Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-04-24,35,40,35,40,50
2019-04-25,41,48.5,41,48.5,88
2019-04-29,48.4,55,48.4,53,73
2019-05-07,53,53,53,53,1
2019-05-08,51,51,51,51,3
2019-05-10,51,51,48,48,28
2019-05-15,47,47,47,47,1
2019-05-17,49.4,56,49.4,56,36
2019-05-20,56,58.5,56,58.5,23
2019-05-21,57,57,56.5,56.5,8
2019-05-22,56.5,56.5,56.5,56.5,1
2019-05-23,56.5,56.5,56.5,56.5,1
2019-05-24,56.5,56.5,56.5,56.5,1
2019-05-27,56.5,56.5,56.5,56.5,1
2019-05-28,57.5,65,57.5,65,30
2019-05-29,78,93.6,70,70,100
2019-05-30,69.5,69.5,65,65,41
2019-06-03,64,64,60.5,60.5,32
2019-06-04,58,58,57,57,22
2019-06-05,54.5,60,50,59,77
2019-06-11,61,61,61,61,6
2019-06-17,60,60,59,59,22
2019-06-24,57,57,57,57,1
2019-07-03,59.5,60,59.5,60,10
2019-07-09,60,63.5,60,63.5,13
2019-08-05,64,64,64,64,2
2019-08-07,64.45,64.45,64.45,64.45,2
2019-08-09,65,65,65,65,1
2019-08-27,63.5,63.5,62.5,62.5,3
2019-09-13,66,77,66,77,42
2019-09-16,85,85,68,70,73
2019-09-17,67,67,62,62,40
2019-09-19,61.5,61.5,61.5,61.5,2
2019-09-25,59,59,56,56,22
2019-09-27,55,55,55,55,1
2019-10-02,54,54,52,52,24
2019-10-03,51,60,49.3,60,47
2019-10-07,60,60,60,60,1
2019-10-16,60,60,60,60,1
2019-10-23,60,61,60,61,93
2019-10-25,61,61,61,61,1
2019-10-31,64,68.5,64,68.5,36
2019-11-04,68,68,62,62,70
2019-11-14,61,61,55,56.5,69
2019-11-25,58,58,58,58,2
2019-12-02,58,58,58,58,2
2019-12-04,60,60,60,60,4
2019-12-11,60,60,60,60,1
2019-12-12,60,60,60,60,1
2019-12-19,60,60,50,50.5,805
2019-12-20,50,50,50,50,517
2019-12-23,50,50,50,50,1
2019-12-27,49.3,55,49.3,55,39
2020-01-02,53,53,50,52.5,407
2020-01-08,52,52,52,52,1
2020-01-09,51,51,51,51,1
2020-01-13,59.6,59.6,59.6,59.6,50
2020-01-14,59.6,59.6,59.6,59.6,1
2020-01-15,58.5,58.5,58.5,58.5,1
2020-01-20,58.5,58.5,55.4,55.4,12
2020-01-24,56,57,56,57,3
2020-02-07,56,56,56,56,1
2020-02-12,58,58.2,58,58,17
2020-02-13,58,58,50,50,723
2020-02-14,53,57,53,57,26
2020-02-25,55.5,55.5,51,51,25
2020-02-27,53.5,60,53.5,60,30
2020-03-04,60,60,60,60,1
2020-03-05,60,60,56.5,56.5,40
2020-03-13,56.4,56.4,56.4,56.4,1
2020-03-18,54,54,53,53,6
2020-03-25,53,53,51,51,25
2020-03-26,52,60,52,60,70
2020-03-31,59,67,57.5,57.5,102
2020-04-02,55,55,54,54,20
2020-04-06,54,54,53,53,20
2020-04-07,53,53.5,53,53.5,21
2020-04-15,56,67,56,67,85
2020-04-16,65,73,52,73,840
2020-04-17,73,73,65,65,77
2020-04-20,65,65,65,65,1
2020-04-21,65,69,65,69,28
2020-05-04,69.5,69.5,69.5,69.5,2
2020-05-05,69.5,69.5,69.5,69.5,1
2020-05-07,70,71,70,71,3
2020-05-19,71,85,71,85,171
2020-05-20,85,100,73,73,210
2020-05-21,75,75,60,60,87
2020-05-22,60.5,60.5,50,56,556
2020-05-26,57,57,57,57,8
2020-05-27,56,56,55.5,55.5,3
2020-05-28,56.5,56.5,56.5,56.5,1
2020-05-29,55.5,57.5,55.5,57.5,72
2020-06-01,58,60,58,60,24
2020-06-03,61,62.5,61,62.5,23
2020-06-04,65,65,65,65,1
2020-06-05,65,65,60,60,21
2020-06-08,62,62,62,62,3
2020-06-09,60.5,60.5,60,60,3
2020-06-12,60,60,60,60,1
2020-06-15,60,60,60,60,1
2020-06-17,58,59,55,59,61
2020-06-19,60,60,60,60,3
2020-06-22,60,60,60,60,1
2020-06-23,60.5,60.5,60.5,60.5,2
2020-06-24,58,60,58,60,5
2020-06-25,58,58,56,57,13
2020-06-29,57,57,57,57,1
2020-06-30,57,58,57,58,2
2020-07-01,58,58,58,58,1
2020-07-02,59.5,60,59.5,60,88
2020-07-07,60,60,56,60,138
2020-07-08,60,60,60,60,1
2020-07-09,60,60,60,60,1
2020-07-10,59.5,59.5,59.5,59.5,20
2020-07-13,58,58,55,55,631
2020-07-14,55,55,54,54,67
2020-07-15,54,54,54,54,1
2020-07-16,54,54,54,54,1
2020-07-17,54,55,54,55,75
2020-07-20,56,56,51,51,342
2020-07-22,51,51,51,51,1
2020-07-23,51,51,51,51,1
2020-07-24,51,51,51,51,1
2020-07-27,51,51,51,51,17
2020-07-29,53,58,48,48,154
2020-07-30,51,53,48,48,236
2020-07-31,48.2,50,39,50,185
2020-08-03,47,47,40,45,72
2020-08-04,45,45,45,45,3
2020-08-05,42.2,43,41.6,43,38
2020-08-06,44,45,44,45,2
2020-08-10,45,45.8,45,45.8,4
2020-08-11,43,43,41,41,21
2020-08-12,43,50,39,39,92
2020-08-13,41.4,41.4,41.4,41.4,2
2020-08-14,42,50,42,50,16
2020-08-17,49.8,51,49.8,51,23
2020-08-18,48.6,48.6,47,47,47
2020-08-19,45.6,45.8,45.6,45.8,48
2020-08-20,46.6,46.6,46.6,46.6,20
2020-08-21,46.6,48.8,42,42.4,107
2020-08-24,42,42,42,42,21
2020-08-25,41,55,40.6,47,15592
2020-08-26,47,54,46.4,48.6,210
2020-08-27,49.8,60,49.6,60,1110
2020-08-28,60,60,56,58,1555
2020-08-31,58,58,53,56,61
2020-09-01,55,55,53,53,99
2020-09-02,53,53,49,49,79
2020-09-03,49,49,49,49,1
2020-09-07,49,57.5,49,57.5,14
2020-09-08,63,63,53.5,53.5,69
2020-09-09,54,54,54,54,1
2020-09-10,54,54,54,54,1
2020-09-17,45,46,45,45,152
2020-09-18,45.6,45.6,42,42,50
2020-09-22,43,43,42.8,42.8,50
2020-09-23,42,42,42,42,1
2020-09-30,42,42,42,42,1
2020-10-01,42,50,42,50,111
2020-10-02,47.8,55,47.8,54,94
2020-10-07,53.5,53.5,53.5,53.5,10
2020-10-12,53,53,53,53,1
2020-10-13,52.5,52.5,52.5,52.5,1
2020-10-14,53,53,53,53,1
2020-10-19,53.5,53.5,53.5,53.5,1
2020-10-20,52,52,52,52,1
2020-10-21,51,51,51,51,1
2020-10-27,50,50,43.8,43.8,101
2020-10-28,43,43,41.2,41.2,37
2020-11-02,42,42,42,42,20
2020-11-04,44,51,38,41,302
2020-11-05,39.6,39.6,39,39,142
2020-11-09,38,38,38,38,30
2020-11-10,38,40.6,33,40.6,78
2020-11-12,39,39,35,39,49
2020-11-13,39,39,39,39,26
2020-11-17,38.6,38.6,36,36,34
2020-11-18,36,36,36,36,1
2020-11-19,36,36,36,36,235
2020-11-20,36,36,36,36,112
2020-12-02,36,36,35,35,81
2020-12-04,36.6,36.6,36.6,36.6,55
2020-12-07,37,37,35.4,35.4,212
2020-12-08,35,39.6,30,39.6,196
2020-12-10,38,38,31,31,185
2020-12-11,32.2,34,32.2,34,32
2020-12-14,34.8,34.8,33,33,3
2020-12-15,34.8,34.8,34.8,34.8,1
2020-12-16,34.8,34.8,34.8,34.8,1
2020-12-17,34.8,34.8,28,30,167
2020-12-18,30,30.2,25.2,27,402
2020-12-21,28,33,28,33,131
2020-12-22,32.6,34,32.4,34,233
2020-12-23,35,36,32,32,125
2020-12-28,32,32,30,30,255
2020-12-29,30,30,30,30,1
2020-12-30,31,36,30,34,406
2021-01-04,34,34,34,34,150
2021-01-05,34.4,35,34.4,35,87
2021-01-07,35,35,35,35,5
2021-01-08,34,35.6,30,35,475
2021-01-20,35,35,35,35,2
2021-01-22,34,34,30,30,82
2021-01-26,31,32,31,32,22
2021-01-27,33,33,33,33,1
2021-02-01,33,33,33,33,1
2021-02-03,33,33,33,33,1
2021-02-05,33,33,33,33,1
2021-02-08,32.8,33,31,31,8
2021-02-09,32,32,31,32,16
2021-02-11,33,33,33,33,50
2021-02-12,33,33,33,33,2
2021-02-22,33,33,33,33,1
2021-03-01,33,33,32.2,32.2,44
2021-03-02,32.6,33,32.6,33,6
2021-03-03,33,33,33,33,2
2021-03-09,33,33,33,33,3
2021-03-12,33,33,33,33,2
2021-03-15,33.2,47,33.2,44,611
2021-03-16,40,40,36,36,193
2021-03-18,37,39,37,39,6
2021-03-19,39.8,40,39.8,40,7
2021-03-26,39.8,56,39.8,45,591
2021-03-29,47.4,47.4,38,42,117
2021-03-30,41,44.8,41,44.8,8
2021-04-01,45,45.8,45,45.8,6
2021-04-06,45,45,43,43,16
2021-04-09,42,42,42,42,5
2021-04-12,42,42,41,41,4
2021-04-15,40,40,40,40,5
2021-04-27,40,40,40,40,11
2021-04-30,40,40,38,38,7
2021-05-13,38,38,38,38,2
2021-05-17,38,38,38,38,1
2021-05-25,38,38,38,38,20
2021-05-26,38,38,38,38,1
2021-05-27,39,39,39,39,1
2021-05-31,39,40,39,40,15
2021-06-01,40,40,39.8,40,5
2021-06-02,40,40,40,40,2
2021-06-04,39.6,39.6,39.6,39.6,1
2021-06-07,39.4,41,39.4,41,24
2021-06-08,41,41,41,41,1
2021-06-09,40,40,40,40,2
2021-06-11,40.8,48.8,40.8,48.8,171
2021-06-14,49,51,49,51,3
2021-06-15,50,50,41,44,119
2021-06-16,44.6,48,44.6,46.8,96
2021-06-17,46,46,46,46,1
2021-06-18,43.2,43.2,43.2,43.2,129
2021-06-21,43.2,46.4,43.2,46.4,17
2021-06-23,46,46,46,46,1
2021-06-24,46,46,46,46,1
2021-06-25,45,45,42,42,32
2021-06-30,42,42,42,42,2
2021-07-01,41.8,41.8,41.8,41.8,1
2021-07-02,41.6,41.6,41,41,3
2021-07-05,41,41,41,41,1
2021-07-06,40.8,40.8,38.2,38.2,15
2021-07-07,36,36,36,36,8
2021-07-26,36,36,36,36,2
2021-07-27,36,36,36,36,2
2021-07-28,36,36,36,36,1
2021-07-29,36,36,36,36,1
2021-07-30,36,36,36,36,21
2021-08-04,37,37,37,37,1
2021-08-11,38,38,38,38,24
2021-08-12,38,39,38,39,20
