Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-03-10,20.9867,20.9867,20.9867,20.9867,213508.6501909
1999-03-11,22.9259,22.9259,22.9259,22.9259,108387.2931293
1999-03-12,25.1317,25.1317,25.1317,25.1317,102598.93607234
1999-03-15,27.6001,27.6001,27.6001,27.6001,71597.634502736
1999-03-16,27.6001,27.6001,27.6001,27.6001,168279.17371111
1999-03-17,27.6001,27.6001,27.6001,27.6001,76766.395660999
1999-03-18,27.7769,27.7769,27.7769,27.7769,48283.41857885
1999-03-19,29.098,29.098,29.098,29.098,23996.283475184
1999-03-22,26.7184,26.7184,26.7184,26.7184,3964.3896262404
1999-03-23,27.2476,27.2476,27.2476,27.2476,9752.7466832052
1999-03-24,26.2771,26.2771,26.2771,26.2771,12538.367913733
1999-03-25,26.4528,26.4528,26.4528,26.4528,23325.481303862
1999-03-26,27.6001,27.6001,27.6001,27.6001,10530.057901577
1999-03-29,28.0405,28.0405,28.0405,28.0405,19759.476478606
1999-03-30,27.7769,27.7769,27.7769,27.7769,7045.983112512
1999-03-31,26.7184,26.7184,26.7184,26.7184,2612.5440290724
1999-04-01,26.7184,26.7184,26.7184,26.7184,6504.2207481924
1999-04-06,26.2771,26.2771,26.2771,26.2771,5302.9215925272
1999-04-07,26.7184,26.7184,26.7184,26.7184,18494.681544892
1999-04-08,27.1598,27.1598,27.1598,27.1598,7093.0928833224
1999-04-09,27.6001,27.6001,27.6001,27.6001,17422.422196229
1999-04-12,27.7769,27.7769,27.7769,27.7769,21073.429434035
1999-04-13,28.4809,28.4809,28.4809,28.4809,22336.176116844
1999-04-14,28.5697,28.5697,28.5697,28.5697,12224.985525299
1999-04-15,28.6596,28.6596,28.6596,28.6596,5130.868516524
1999-04-16,29.8049,29.8049,29.8049,29.8049,17243.200242059
1999-04-19,32.0098,32.0098,32.0098,32.0098,11781.53920441
1999-04-20,30.8634,30.8634,30.8634,30.8634,5313.1628470512
1999-04-21,32.0967,32.0967,32.0967,32.0967,20201.898674042
1999-04-22,33.0672,33.0672,33.0672,33.0672,22576.845598158
1999-04-23,33.3338,33.3338,33.3338,33.3338,16870.418577385
1999-04-26,33.0672,33.0672,33.0672,33.0672,3535.2810616848
1999-04-27,32.1845,32.1845,32.1845,32.1845,5601.966224628
1999-04-28,32.1845,32.1845,32.1845,32.1845,16673.786490524
1999-04-29,31.7451,31.7451,31.7451,31.7451,23473.97949446
1999-04-30,32.3613,32.3613,32.3613,32.3613,6183.6694815912
1999-05-04,32.8915,32.8915,32.8915,32.8915,11062.603136825
1999-05-05,33.3338,33.3338,33.3338,33.3338,19534.168879078
1999-05-06,34.5671,34.5671,34.5671,34.5671,13412.971050083
1999-05-07,34.2136,34.2136,34.2136,34.2136,10017.995175377
1999-05-10,33.9499,33.9499,33.9499,33.9499,3088.7623644384
1999-05-11,33.6843,33.6843,33.6843,33.6843,5763.7780461072
1999-05-12,33.5076,33.5076,33.5076,33.5076,5152.3751510244
1999-05-13,33.9499,33.9499,33.9499,33.9499,9694.3715324184
1999-05-14,33.7722,33.7722,33.7722,33.7722,5535.398070222
1999-05-17,33.0672,33.0672,33.0672,33.0672,22513.349820109
1999-05-18,33.3338,33.3338,33.3338,33.3338,7239.5428230156
1999-05-19,33.6843,33.6843,33.6843,33.6843,7478.1640534248
1999-05-20,33.9499,33.9499,33.9499,33.9499,9130.078408146
1999-05-21,33.9499,33.9499,33.9499,33.9499,9752.7466832052
1999-05-24,33.5076,33.5076,33.5076,33.5076,11477.373945047
1999-05-25,33.0672,33.0672,33.0672,33.0672,14145.220748549
1999-05-26,32.6259,32.6259,32.6259,32.6259,13459.056695441
1999-05-27,32.6259,32.6259,32.6259,32.6259,23325.481303862
1999-05-28,32.0967,32.0967,32.0967,32.0967,8989.7732211672
1999-05-31,32.0098,32.0098,32.0098,32.0098,3642.8142341868
1999-06-01,32.0098,32.0098,32.0098,32.0098,11256.162847328
1999-06-02,32.8915,32.8915,32.8915,32.8915,20290.997588401
1999-06-07,33.7722,33.7722,33.7722,33.7722,9042.0036192396
1999-06-08,33.7722,33.7722,33.7722,33.7722,9790.639324944
1999-06-09,32.6259,32.6259,32.6259,32.6259,16752.644150359
1999-06-10,33.0672,33.0672,33.0672,33.0672,5923.5416166816
1999-06-11,33.4207,33.4207,33.4207,33.4207,20803.060314601
1999-06-14,33.5076,33.5076,33.5076,33.5076,9227.370326124
1999-06-15,33.7722,33.7722,33.7722,33.7722,7638.9517494516
1999-06-16,33.4207,33.4207,33.4207,33.4207,2983.2774428412
1999-06-17,33.7722,33.7722,33.7722,33.7722,8470.5416168004
1999-06-18,33.9499,33.9499,33.9499,33.9499,5923.5416166816
1999-06-21,34.3913,34.3913,34.3913,34.3913,6002.3992765164
1999-06-22,35.272,35.272,35.272,35.272,15537.00723836
1999-06-23,34.654,34.654,34.654,34.654,18405.582630533
1999-06-24,34.654,34.654,34.654,34.654,6156.0180943764
1999-06-25,34.654,34.654,34.654,34.654,2586.9408927624
1999-06-28,34.654,34.654,34.654,34.654,6700.8528350532
1999-06-29,35.0943,35.0943,35.0943,35.0943,21511.755127662
1999-06-30,35.272,35.272,35.272,35.272,25084.928831086
1999-07-01,35.272,35.272,35.272,35.272,13454.960193631
1999-07-02,35.978,35.978,35.978,35.978,12816.930036786
1999-07-05,38.6212,38.6212,38.6212,38.6212,22505.15681649
1999-07-06,39.6807,39.6807,39.6807,39.6807,18189.492160076
1999-07-07,39.6807,39.6807,39.6807,39.6807,13255.255730413
1999-07-08,40.828,40.828,40.828,40.828,11306.344994496
1999-07-09,40.828,40.828,40.828,40.828,7249.7840775396
1999-07-12,40.7391,40.7391,40.7391,40.7391,2592.0615200244
1999-07-13,40.3867,40.3867,40.3867,40.3867,3167.6200242732
1999-07-14,39.9443,39.9443,39.9443,39.9443,5220.9915563352
1999-07-15,40.1211,40.1211,40.1211,40.1211,12546.560917352
1999-07-16,39.9443,39.9443,39.9443,39.9443,10915.129071679
1999-07-19,39.5049,39.5049,39.5049,39.5049,6710.0699641248
1999-07-20,40.828,40.828,40.828,40.828,4602.4197830856
1999-07-21,43.9126,43.9126,43.9126,43.9126,24601.541617553
1999-07-22,43.9126,43.9126,43.9126,43.9126,35300.580218776
1999-07-23,43.8247,43.8247,43.8247,43.8247,5696.1857662488
1999-07-26,42.7672,42.7672,42.7672,42.7672,9222.249698862
1999-07-27,43.2086,43.2086,43.2086,43.2086,17968.281062358
1999-07-28,43.9126,43.9126,43.9126,43.9126,3517.870928994
1999-07-29,43.4732,43.4732,43.4732,43.4732,11256.162847328
1999-07-30,43.2086,43.2086,43.2086,43.2086,4046.3196624324
1999-08-02,43.5611,43.5611,43.5611,43.5611,4446.7527143208
1999-08-03,43.9126,43.9126,43.9126,43.9126,4813.38962628
1999-08-04,44.3539,44.3539,44.3539,44.3539,9836.724970302
1999-08-05,44.7953,44.7953,44.7953,44.7953,10373.36670736
1999-08-06,45.4134,45.4134,45.4134,45.4134,12896.811822073
1999-08-09,45.677,45.677,45.677,45.677,9458.8226783664
1999-08-10,46.1193,46.1193,46.1193,46.1193,11222.366707399
1999-08-11,46.1193,46.1193,46.1193,46.1193,14171.848010311
1999-08-12,46.5587,46.5587,46.5587,46.5587,11339.117008973
1999-08-13,49.6453,49.6453,49.6453,49.6453,13740.691194851
1999-08-16,50.528,50.528,50.528,50.528,15867.799759486
1999-08-17,49.6453,49.6453,49.6453,49.6453,14755.599518179
1999-08-18,48.7636,48.7636,48.7636,48.7636,8654.8841982324
1999-08-19,48.3222,48.3222,48.3222,48.3222,6575.9095298604
1999-08-20,47.6172,47.6172,47.6172,47.6172,6736.6972258872
1999-08-23,46.2932,46.2932,46.2932,46.2932,13182.542823293
1999-08-24,44.0893,44.0893,44.0893,44.0893,23017.21954269
1999-08-25,44.7953,44.7953,44.7953,44.7953,12128.717732773
1999-08-26,46.2932,46.2932,46.2932,46.2932,8733.7418580672
1999-08-27,48.0566,48.0566,48.0566,48.0566,15766.411339698
1999-08-30,49.2039,49.2039,49.2039,49.2039,19878.275031084
1999-08-31,50.2624,50.2624,50.2624,50.2624,20168.102534113
1999-09-01,49.822,49.822,49.822,49.822,21488.200242257
1999-09-02,50.528,50.528,50.528,50.528,14470.892642412
1999-09-03,51.4078,51.4078,51.4078,51.4078,13632.133896896
1999-09-06,54.9366,54.9366,54.9366,54.9366,14651.138722034
1999-09-07,54.672,54.672,54.672,54.672,21248.554886395
1999-09-08,52.7308,52.7308,52.7308,52.7308,12409.328106731
1999-09-09,50.2624,50.2624,50.2624,50.2624,20593.114596859
1999-09-10,51.4078,51.4078,51.4078,51.4078,14391.010857125
1999-09-13,50.7028,50.7028,50.7028,50.7028,14838.553679824
1999-09-14,48.0566,48.0566,48.0566,48.0566,12723.734620618
1999-09-15,43.4732,43.4732,43.4732,43.4732,17626.223161256
1999-09-16,43.4732,43.4732,43.4732,43.4732,18585.828710155
1999-09-17,43.9126,43.9126,43.9126,43.9126,16200.640531516
1999-09-20,44.0893,44.0893,44.0893,44.0893,15100.729795638
1999-09-21,43.9126,43.9126,43.9126,43.9126,10518.7925216
1999-09-22,43.0309,43.0309,43.0309,43.0309,19329.343788598
1999-09-23,40.828,40.828,40.828,40.828,29384.207480261
1999-09-24,40.828,40.828,40.828,40.828,17007.651388007
1999-09-27,39.9443,39.9443,39.9443,39.9443,18990.358263853
1999-09-28,39.2393,39.2393,39.2393,39.2393,13971.119421641
1999-09-29,37.4769,37.4769,37.4769,37.4769,26770.639325736
1999-09-30,34.3913,34.3913,34.3913,34.3913,25241.620025303
1999-10-01,35.978,35.978,35.978,35.978,26420.388421015
1999-10-04,37.0365,37.0365,37.0365,37.0365,7219.0603139676
1999-10-05,39.2393,39.2393,39.2393,39.2393,15551.344994694
1999-10-06,39.6807,39.6807,39.6807,39.6807,21959.297950361
1999-10-07,40.5624,40.5624,40.5624,40.5624,23969.656213422
1999-10-08,40.6513,40.6513,40.6513,40.6513,33129.434259688
1999-10-11,41.3563,41.3563,41.3563,41.3563,12939.825091074
1999-10-12,40.5624,40.5624,40.5624,40.5624,23717.721352132
1999-10-13,39.5049,39.5049,39.5049,39.5049,16335.825091232
1999-10-14,39.5049,39.5049,39.5049,39.5049,7336.8347409936
1999-10-15,39.7676,39.7676,39.7676,39.7676,14724.875754607
1999-10-18,38.2687,38.3596,38.2687,38.3596,25138.18335461
1999-10-19,37.9172,39.0636,37.9172,39.0636,2870.6236430772
1999-10-20,38.8859,40.4745,38.8859,40.3867,7922.6344997664
1999-10-21,40.5624,40.5624,39.9443,39.9443,26733.77080945
1999-10-22,40.5624,41.2664,40.5624,41.2664,13591.1688788
1999-10-25,41.4441,41.4441,41.0047,41.3563,17808.517491784
1999-10-26,41.2664,41.2664,40.9159,41.0926,14543.605549532
1999-10-27,40.9159,40.9159,40.9159,40.9159,7340.9312428032
1999-10-28,40.828,40.9159,40.5624,40.9159,14153.413752168
1999-10-29,41.4441,41.4441,41.3563,41.3563,5793.4776842268
1999-11-02,41.0926,41.2664,41.0926,41.2664,8761.393245282
1999-11-03,41.0926,41.4441,41.0926,41.1795,9045.0759955968
1999-11-04,41.0926,41.0926,39.7676,39.7676,10750.244873843
1999-11-05,40.1211,40.3867,39.2393,40.3867,14229.199035646
1999-11-08,39.6807,39.6807,38.3596,38.799,10757.41375201
1999-11-09,39.3292,39.6807,39.3292,39.6807,3341.7213511812
1999-11-10,38.799,39.6807,38.799,39.6807,5702.3305189632
1999-11-15,40.5624,41.4441,40.5624,41.4441,10334.449940168
1999-11-16,41.3563,42.1501,41.3563,42.1501,4213.2521111736
1999-11-17,42.3249,44.3539,42.3249,43.2086,17344.588661846
1999-11-18,43.2086,45.8538,43.2086,45.8538,11944.375151341
1999-11-19,47.4405,49.3807,47.4405,49.3807,8207.3413755336
1999-11-22,50.528,51.1451,50.2624,50.2624,25808.985525932
1999-11-23,50.2624,51.1451,50.2624,50.9693,22621.907118064
1999-11-24,51.1451,54.672,51.1451,54.672,14317.273824552
1999-11-25,53.7883,54.672,53.7883,53.7883,20576.728589621
1999-11-26,52.9086,52.9086,50.7028,51.1451,11485.566948666
1999-11-29,49.3807,51.1451,48.7636,49.3807,19713.390833248
1999-11-30,49.822,52.9086,49.822,52.0268,13161.036188792
1999-12-01,52.0268,54.0549,52.0268,52.2905,13643.399276873
1999-12-02,52.2905,52.2905,51.1451,51.5855,17541.220748707
