Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-13,4.406,4.406,3.7816,3.86479,771588.90173048
2013-12-16,3.9897,3.9897,3.76074,3.7816,266889.77499541
2013-12-17,3.78846,3.81628,3.511,3.58036,391672.31453176
2013-12-18,3.54568,3.67746,3.54568,3.65668,32885.700600218
2013-12-19,3.65668,3.65668,3.44154,3.45544,131523.98083705
2013-12-20,3.34444,3.67746,3.24725,3.67746,403519.93538228
2013-12-23,3.7816,3.83705,3.70528,3.81628,73627.743369886
2013-12-27,3.80933,3.98274,3.80933,3.98274,28827.992870366
2013-12-30,3.92729,4.09384,3.89261,3.98274,139771.14724351
2014-01-02,3.98274,4.09384,3.98274,4.02439,14650.926709177
2014-01-03,3.99665,4.02439,3.92033,4.02439,39124.495431792
2014-01-07,3.7816,4.04525,3.74683,3.74683,404189.76162418
2014-01-08,3.7816,3.81628,3.67746,3.67746,32418.482957108
2014-01-09,3.622,3.622,3.55949,3.622,2853.1276452467
2014-01-10,3.72605,3.72605,3.55949,3.60809,1160.2940520833
2014-01-13,3.56645,3.67746,3.56645,3.67746,7003.8360433957
2014-01-14,3.60809,3.60809,3.60809,3.60809,1057.329026469
2014-01-15,3.59418,3.67746,3.58036,3.67746,53197.489416554
2014-01-16,3.64277,3.8787,3.622,3.8787,15867.685452726
2014-01-17,3.81628,3.86479,3.81628,3.86479,3299.3094229085
2014-01-20,3.64973,3.733,3.64973,3.65668,3180.8442859114
2014-01-21,3.73996,3.89261,3.73996,3.88565,18333.310313403
2014-01-22,3.96893,4.07298,3.96893,3.9897,26559.440854413
2014-01-23,4.00361,4.05221,3.89261,3.89261,6543.2613051641
2014-01-24,3.95502,3.95502,3.88565,3.88565,4832.7132989918
2014-01-27,3.88565,3.96197,3.82314,3.96197,7589.5188235026
2014-01-28,3.96197,4.00361,3.92033,3.95502,116291.79995102
2014-01-29,3.89956,4.10766,3.89956,3.9897,45447.433725158
2014-01-30,3.9897,3.9897,3.8301,3.88565,12496.411226969
2014-01-31,3.80933,3.95502,3.80933,3.88565,34910.679437299
2014-02-03,3.88565,4.01743,3.88565,3.92729,7664.8050787904
2014-02-04,3.92729,3.92729,3.89261,3.92729,2740.1982623149
2014-02-05,3.93424,3.97588,3.88565,3.97588,18948.886165463
2014-02-06,3.9897,4.01743,3.93424,3.97588,6114.7939405113
2014-02-07,3.9897,4.29499,3.96893,4.21171,172408.8460616
2014-02-10,4.21171,4.35054,4.12852,4.16321,37129.409666664
2014-02-11,4.16321,4.18398,4.09384,4.16321,33794.671417738
2014-02-12,4.16321,4.406,4.09384,4.37131,61909.659164495
2014-02-13,4.39217,4.39217,4.23953,4.30195,21824.15682697
2014-02-14,4.30195,4.39217,4.2603,4.30195,16208.687903148
2014-02-17,4.42686,4.42686,4.05907,4.12157,23337.631988419
2014-02-18,4.17016,4.22562,4.11461,4.19093,17825.12809021
2014-02-19,4.19093,4.19093,4.02439,4.05221,40799.614611946
2014-02-20,4.04525,4.10766,3.96197,3.96197,13275.845399361
2014-02-21,4.02439,4.20484,4.02439,4.17016,16608.369346661
2014-02-24,4.16321,4.16321,4.07298,4.09384,638.82601913362
2014-02-25,4.09384,4.19093,4.09384,4.16321,2034.9431943979
