Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-12-18,21.35,24,17.1,17.8,27764
2019-12-19,18,19.6,17,19.392,6700
2019-12-20,19.3,19.3,17.25,19,3232
2019-12-23,19,19.2,18.29,19.2,4671
2019-12-27,19.2,20.5,18.5,19,3075
2019-12-30,19.05,21,19.05,20.16,1253
2020-01-02,21,24,20.5,23.79,9720
2020-01-03,24.1,26.1,24.1,25.3,17719
2020-01-07,26.1,31,26,30.2,33765
2020-01-08,30.51,34.5,30.51,34.2,30027
2020-01-09,34.99,37,29.5,33,18860
2020-01-10,33.8,34.4,29.66,31.48,10258
2020-01-13,31.5,32.7,29.3,30.1,10562
2020-01-14,30,31.5,28.65,31.3,6186
2020-01-15,31.5,32.7,30,30,12637
2020-01-16,29.35,32.4,29.35,31.7,4052
2020-01-17,29.5,32,29.3,31.35,5910
2020-01-20,31.5,32.2,30.8,31.5,3153
2020-01-21,31.5,31.5,30.8,30.8,1206
2020-01-22,31.5,31.5,29.6,30.7,4266
2020-01-23,30.7,31.2,29,30.98,3032
2020-01-24,30.1,32.17,30.05,32.17,1607
2020-01-27,32.29,32.29,30.5,31,3157
2020-01-28,31,36.79,30.6,36.1,16896
2020-01-29,36.9,36.9,33.9,34,10370
2020-01-30,33.98,36.5,33,34.4,8258
2020-01-31,35,35.5,32,33.88,2209
2020-02-03,34.25,37.4,34,35.7,7861
2020-02-04,35.3,37.4,35.3,36,8744
2020-02-05,36.96,36.96,35,35,11495
2020-02-06,36.04,37.4,30,31.5,37312
2020-02-07,31.45,33.475,29,30.78,25227
2020-02-10,30.8,30.8,29.5,30,7777
2020-02-11,30,32.27,30,30.1,5295
2020-02-12,30.11,31.98,30.1,31.5,2720
2020-02-13,31.75,32.94,31.75,32.15,2879
2020-02-14,32.8,33.35,32.5,32.5,3982
2020-02-17,33.4,33.4,32.3,32.7,2417
2020-02-18,32.9,33.8,30.02,32.5,6216
2020-02-19,32.5,32.96,31,31.87,1740
2020-02-20,32,32,30.005,30.15,7081
2020-02-21,30,30.79,29.6,29.66,5154
2020-02-24,29.5,29.5,25.3,26.9,19594
2020-02-25,26.8,26.8,23.41,25.975,23709
2020-02-26,24.4,25.985,22.5,25.3,36876
2020-02-27,24,25.98,22.98,22.98,5733
2020-02-28,22.5,22.5,18.868,21.79,23604
2020-03-02,21.5,25,20.8,21.995,6691
2020-03-03,22.5,24.2,22.5,22.75,11188
2020-03-04,22.85,23.4,21.6,21.8,6154
2020-03-05,22.56,22.58,21.5,21.54,3605
2020-03-06,21.12,21.12,20.4,20.9,4231
