Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-09-17,3.0246,3.8752,2.8355,3.0246,6905
2019-09-18,3.0246,3.1002,2.7411,3.0907,5019
2019-09-19,3.1683,3.1683,3.1198,3.1683,1016
2019-09-20,3.1489,3.1489,2.9648,3.1489,432
2019-09-23,3.0229,3.0229,2.8195,2.8583,620
2019-09-24,2.8583,2.8583,2.8583,2.8583,4
2019-09-25,2.8583,3.3911,2.8583,3.1973,1429
2019-09-26,3.6818,3.8755,3.1004,3.2942,11143
2019-09-27,3.3427,3.3427,2.8098,2.8098,2474
2019-09-30,2.7517,2.9551,2.6548,2.9551,1226
2019-10-01,2.9551,2.9551,2.7323,2.7323,871
2019-10-02,2.7905,2.9551,2.7517,2.9067,1042
2019-10-04,2.9454,2.9454,2.9454,2.9454,4
2019-10-07,2.8098,3.0035,2.8001,2.9454,517
2019-10-08,2.9454,3.1004,2.8001,3.1004,2582
2019-10-09,3.1004,3.1876,3.1004,3.1876,1712
2019-10-10,3.1876,3.1876,3.1876,3.1876,4
2019-10-11,3.1586,3.1586,3.0617,3.0617,87
2019-10-14,3.0423,3.0423,3.0423,3.0423,336
2019-10-15,3.0035,3.0035,3.0035,3.0035,37
2019-10-16,3.0035,3.0035,2.9067,2.9067,67
2019-10-22,2.9842,2.9938,2.9842,2.9938,1032
2019-10-23,3.0035,3.0035,3.0035,3.0035,4
2019-10-24,3.0229,3.0229,3.0229,3.0229,4
2019-10-25,3.0035,3.0035,3.0035,3.0035,4
2019-10-28,3.0035,3.0035,3.0035,3.0035,4
2019-10-29,2.9938,2.9938,2.9938,2.9938,10
2019-10-30,2.9938,2.9938,2.9938,2.9938,4
2019-10-31,2.9842,2.9842,2.9842,2.9842,8
2019-11-04,2.9842,2.9842,2.9842,2.9842,4
2019-11-05,2.9745,2.9745,2.9745,2.9745,4
2019-11-06,2.9745,2.9745,2.9745,2.9745,4
2019-11-07,2.9745,2.9745,2.9745,2.9745,4
2019-11-08,2.9745,2.9745,2.9745,2.9745,4
