Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-09,15,15,11,12.21,2190
2013-12-10,12.05,12.25,12.05,12.2,566
2013-12-11,12.2,12.2,12.1,12.1,422
2013-12-13,12.05,12.59,12,12.59,115
2013-12-18,12.64,12.64,12.64,12.64,3
2013-12-19,12.62,12.62,12.62,12.62,5
2013-12-20,12.6,12.6,12.6,12.6,3
2013-12-23,12.6,12.6,12.6,12.6,4
2013-12-27,12.58,12.58,12.58,12.58,2
2013-12-30,12.58,12.58,12.58,12.58,5
2014-01-02,12.55,12.55,12.5,12.5,10
2014-01-03,12.57,12.57,12.57,12.57,3
2014-01-07,12.49,12.5,12.49,12.5,470
2014-01-08,12.41,12.41,12.41,12.41,115
2014-01-09,12.41,12.42,11.7,12.25,550
2014-01-15,12.2,12.2,12.2,12.2,15
2014-01-20,12.2,12.2,12.2,12.2,10
2014-01-23,12.3,12.3,12.2,12.2,30
2014-01-31,12,12.05,11.99,12.05,340
2014-02-03,12.04,12.09,12.04,12.07,315
2014-02-05,12.1,12.1,12.07,12.07,255
2014-02-06,12.1,12.1,12.08,12.08,124
2014-02-07,12.1,12.1,12.09,12.09,15
2014-02-10,12.08,12.1,12.08,12.1,215
2014-02-11,12.11,12.12,12.1,12.12,225
2014-02-12,12.12,12.13,12,12.06,395
2014-02-13,12.07,12.6,12.07,12.6,545
2014-02-14,12.6,12.6,12.6,12.6,5
2014-02-17,12.59,12.59,12.57,12.58,232
2014-02-18,12.5,12.58,12.49,12.58,230
2014-02-19,12.5,12.5,12,12,345
2014-02-20,12.1,12.12,12.09,12.12,370
2014-02-21,11.96,11.96,11.96,11.96,10
2014-02-24,11.9,11.9,11.89,11.89,170
2014-02-25,11.9,11.95,11.89,11.95,155
2014-02-26,11.94,11.94,11.94,11.94,95
2014-02-27,11.95,11.95,11.93,11.93,93
2014-02-28,11.93,11.93,11.93,11.93,95
2014-03-03,11.9,11.9,11.9,11.9,2
2014-03-04,11.89,12.14,11.89,12.14,100
2014-03-05,12.05,12.05,12.05,12.05,95
2014-03-11,12.04,12.04,12.04,12.04,95
2014-03-17,12.03,12.03,12.03,12.03,97
2014-03-19,12.03,12.03,12.03,12.03,2
2014-03-20,12.02,12.1,12.02,12.1,103
2014-03-21,12.03,12.04,12.03,12.04,112
2014-03-24,12.04,12.04,11.9,11.9,113
2014-03-25,12.01,12.01,11.7,11.7,117
2014-03-26,11.93,11.93,11.93,11.93,105
2014-03-27,11.8,11.8,11.75,11.75,113
2014-03-28,11.8,11.8,11.75,11.75,108
2014-03-31,11.8,11.8,11.8,11.8,2
2014-04-01,11.8,11.8,11.75,11.75,163
2014-04-02,11.8,11.9,11.8,11.88,168
2014-04-03,11.88,11.88,11.87,11.87,110
2014-04-04,11.88,11.88,11.88,11.88,2
2014-04-07,11.88,11.88,11.85,11.85,155
2014-04-08,11.88,11.88,11.86,11.86,155
2014-04-09,11.88,11.88,11.87,11.87,167
2014-04-10,11.88,11.88,11.87,11.87,173
2014-04-11,11.88,11.88,11.88,11.88,4
2014-04-14,11.88,11.88,11.82,11.86,179
2014-04-15,11.86,11.86,11.86,11.86,171
2014-04-16,11.9,11.9,11.87,11.87,187
2014-04-17,11.87,11.87,11.86,11.86,190
2014-04-22,11.86,11.86,11.86,11.86,188
2014-04-23,11.87,11.87,11.87,11.87,2
2014-04-24,11.86,11.88,11.86,11.87,190
2014-04-25,11.85,11.87,11.83,11.87,223
2014-04-28,11.88,11.88,11.88,11.88,3
2014-04-29,11.88,11.88,11.88,11.88,1
2014-04-30,11.88,11.88,11.88,11.88,1
2014-05-02,11.88,11.88,11.88,11.88,90
2014-05-05,11.89,11.89,11.87,11.87,96
2014-05-06,11.86,11.86,11.85,11.85,99
2014-05-07,11.85,11.85,11.83,11.83,100
2014-05-08,11.85,11.85,11.85,11.85,1
2014-05-09,11.85,11.85,11,11,465
2014-05-12,11,11.01,11,11,100
2014-05-13,11.01,11.01,10.99,10.99,104
2014-05-14,11.01,11.01,11,11,91
2014-05-15,11.01,11.01,11.01,11.01,2
2014-05-16,11.01,11.01,10.99,10.99,91
2014-05-19,11.01,11.01,10.74,10.74,117
2014-05-20,10.75,10.75,10.75,10.75,101
2014-05-21,10.77,11.01,10.77,11.01,63
2014-05-22,11,11,11,11,110
2014-05-23,10.92,10.92,10.55,10.55,35
2014-05-26,10.63,11.94,10.63,11.66,244
2014-05-27,11.72,11.72,11.7,11.7,112
2014-05-28,11.6,11.6,11.3,11.3,125
2014-05-29,11.3,11.3,11.3,11.3,1
2014-05-30,11.27,11.27,11.26,11.27,136
2014-06-02,11.26,11.92,11.26,11.9,160
2014-06-03,11.9,11.9,11.87,11.87,77
2014-06-04,11.9,11.9,11.9,11.9,2
2014-06-05,11.9,11.9,11.87,11.87,94
2014-06-06,11.9,11.9,11.9,11.9,2
2014-06-09,11.9,11.9,11.62,11.62,17
2014-06-10,11.7,11.89,11.7,11.89,20
2014-06-11,11.87,11.89,11.87,11.89,97
2014-06-12,11.89,11.89,11.8,11.8,142
2014-06-13,11.8,11.8,11.78,11.78,92
2014-06-16,11.8,11.8,11.78,11.78,124
2014-06-17,11.8,11.8,11.8,11.8,2
2014-06-18,11.8,11.8,11.8,11.8,2
2014-06-20,11.8,11.8,11.78,11.78,140
2014-06-23,11.8,11.8,11.78,11.78,122
2014-06-24,11.78,11.78,11.76,11.76,123
2014-06-25,11.78,11.78,11.76,11.76,112
2014-06-26,11.76,11.76,11.55,11.55,127
2014-06-27,11.5,11.5,11.48,11.48,121
2014-06-30,11.48,11.48,11,11,37
2014-07-03,10.98,10.98,10.98,10.98,132
2014-07-04,10.95,10.95,10.95,10.95,110
2014-07-07,10.95,10.95,10.95,10.95,101
2014-07-08,10.95,10.95,10.95,10.95,115
2014-07-09,10.95,10.95,10.95,10.95,120
2014-07-11,10.95,10.95,10.95,10.95,110
2014-07-16,10.95,10.95,10.95,10.95,110
2014-07-18,10.96,10.96,10.96,10.96,120
2014-07-21,11,11.6,11,11.6,111
2014-07-22,11.55,11.55,11.55,11.55,34
2014-07-23,11.55,11.55,11.55,11.55,45
2014-07-28,11.55,11.55,11.55,11.55,43
2014-07-29,11.54,11.54,11.54,11.54,60
2014-07-30,11.54,11.54,11.54,11.54,67
2014-07-31,11.53,12.19,11.53,12.05,155
2014-08-01,11.98,11.98,11.98,11.98,65
2014-08-04,11.95,11.95,11.95,11.95,55
2014-08-05,11.88,11.88,11.84,11.84,62
2014-08-06,11.84,11.84,11.8,11.8,63
2014-08-07,11.84,11.84,11.79,11.79,70
2014-08-08,11.85,11.85,11.85,11.85,66
2014-08-11,11.83,11.83,11.79,11.8,69
2014-08-12,11.8,11.8,11.8,11.8,2
2014-08-13,11.8,11.8,11.76,11.76,57
2014-08-14,11.8,11.8,11.74,11.74,70
2014-08-18,11.74,11.74,11.68,11.68,63
2014-08-19,11.68,11.68,11.63,11.63,61
2014-08-20,11.63,11.63,11.59,11.59,61
2014-08-21,11.63,11.63,11.63,11.63,1
2014-08-22,11.63,11.63,11.63,11.63,1
2014-08-25,11.63,11.63,11.63,11.63,1
2014-08-26,11.63,11.63,11.59,11.59,70
2014-08-27,11.63,11.63,11.63,11.63,1
2014-08-28,11.63,11.63,11.53,11.53,71
2014-08-29,11.53,11.53,11.5,11.5,71
2014-09-01,11.53,11.53,11.45,11.45,61
2014-09-02,11.53,11.53,11.53,11.53,1
2014-09-03,11.53,11.53,11.49,11.49,66
2014-09-26,11.49,11.49,11.49,11.49,2
2014-10-06,11.8,11.8,11.8,11.8,1
2014-10-07,11.8,11.8,11.8,11.8,2
2014-10-08,11.8,11.8,11.8,11.8,1
2014-10-09,11.8,11.8,11.8,11.8,1
2014-10-10,11.8,11.8,11.8,11.8,1
2014-10-13,11.8,11.8,11.8,11.8,1
2014-10-14,11.8,11.8,11.8,11.8,1
2014-10-15,11.8,11.8,11.8,11.8,1
2014-10-16,11.8,11.8,11.8,11.8,1
2014-10-17,11.8,11.8,11.8,11.8,1
2014-10-20,11.8,11.8,11.8,11.8,1
2014-10-21,11.8,11.8,11.8,11.8,1
2014-10-22,11.8,11.8,11.8,11.8,2
2014-10-23,11.8,11.8,11.8,11.8,1
2014-10-24,11.8,11.8,11.8,11.8,1
2014-10-27,11.8,11.8,11.8,11.8,1
2014-10-28,11.8,11.8,11.8,11.8,1
2014-10-29,11.8,11.8,11.8,11.8,2
2014-10-30,11.8,11.8,11.8,11.8,1
2014-10-31,11.8,11.8,11.8,11.8,1
2014-11-03,11.8,11.8,11.8,11.8,1
2014-11-04,11.8,11.8,11.8,11.8,1
2014-11-05,11.8,11.8,11.8,11.8,1
2014-11-06,11.8,11.8,11.8,11.8,2
2014-11-07,11.8,11.8,11.8,11.8,1
2014-11-10,11.8,11.8,11.8,11.8,1
2014-11-12,11.8,11.8,11.8,11.8,1
2014-11-13,11.8,11.8,11.8,11.8,1
2014-11-14,11.8,11.8,11.8,11.8,1
2014-11-17,11.8,11.8,11.8,11.8,1
2014-11-18,11.8,11.8,11.8,11.8,1
2014-11-19,11.8,11.8,11.8,11.8,1
2014-11-20,11.8,11.8,11.8,11.8,1
2014-11-21,11.8,11.8,11.8,11.8,1
2014-11-24,11.8,11.8,11.8,11.8,2
2014-11-25,11.8,11.8,11.8,11.8,2
2014-11-26,11.8,11.8,11.8,11.8,1
2014-11-27,11.8,11.8,11.8,11.8,1
2014-11-28,11.8,11.8,11.8,11.8,1
2014-12-01,11.8,11.8,11.8,11.8,1
2014-12-02,11.8,11.8,11.8,11.8,1
2014-12-03,11.8,11.8,11.8,11.8,1
2014-12-04,11.8,11.8,11.8,11.8,2
2014-12-05,11.8,11.8,11.8,11.8,2
2014-12-08,11.8,11.8,11.8,11.8,1
2014-12-09,11.8,11.8,11.8,11.8,1
2014-12-10,11.8,11.8,11.8,11.8,1
2014-12-11,11.8,11.8,11.8,11.8,2
2014-12-12,11.8,11.8,11.8,11.8,3
2014-12-15,11.8,11.8,11.8,11.8,2
2014-12-17,11.8,11.8,11.8,11.8,2
2014-12-18,11.8,11.8,11.8,11.8,2
2014-12-19,11.78,11.78,11.78,11.78,1
2014-12-22,11.78,11.78,11.78,11.78,2
2014-12-23,11.78,11.78,11.78,11.78,2
2014-12-29,11.78,11.78,11.78,11.78,2
2014-12-30,11.78,11.78,11.78,11.78,2
2015-01-02,11.8,11.8,11.8,11.8,2
2015-01-05,11.8,11.8,11.8,11.8,1
2015-01-07,11.8,11.8,11.8,11.8,1
2015-01-08,11.8,11.8,11.8,11.8,1
2015-01-09,11.8,11.8,11.8,11.8,2
2015-01-12,11.8,11.8,11.8,11.8,2
2015-01-13,11.8,11.8,11.8,11.8,1
2015-01-14,11.8,11.8,11.8,11.8,2
2015-01-15,11.8,11.8,11.8,11.8,2
2015-01-16,11.8,11.8,11.8,11.8,1
2015-01-19,11.8,11.8,11.8,11.8,2
2015-01-20,11.8,11.8,11.8,11.8,1
2015-01-21,11.8,11.8,11.8,11.8,1
2015-01-22,11.8,11.8,11.8,11.8,2
2015-01-23,11.8,11.8,11.8,11.8,1
2015-01-26,11.8,11.8,11.8,11.8,2
2015-03-10,12.02,12.02,12.02,12.02,2
2015-03-11,12.02,12.02,12.02,12.02,1
2015-03-12,12.02,12.02,12.02,12.02,1
2015-03-13,12.02,12.02,12.02,12.02,1
2015-03-19,12.01,12.19,12.01,12.19,35
2015-03-20,12.19,12.19,12.19,12.19,1
2015-03-23,12.19,12.19,12.19,12.19,1
2015-03-24,12.19,12.19,12.19,12.19,1
2015-03-25,12.19,12.19,12.19,12.19,2
2015-03-26,12.19,12.19,12.19,12.19,2
2015-03-27,12.19,12.19,12.19,12.19,2
2015-03-30,12.19,12.19,12.19,12.19,2
2015-03-31,12.19,12.19,12.19,12.19,1
2015-04-01,12.19,12.19,12.19,12.19,3
2015-04-02,12.19,12.19,12.19,12.19,2
2015-04-07,12.19,12.19,12.19,12.19,2
2015-04-08,12.19,12.19,12.19,12.19,2
2015-04-09,12.19,12.19,12.19,12.19,2
2015-04-10,12.19,12.19,12.19,12.19,1
2015-04-13,12.19,12.19,12.19,12.19,2
2015-04-14,12.19,12.19,12.19,12.19,1
2015-04-15,12.19,12.19,12.19,12.19,2
2015-04-16,12.19,12.19,12.19,12.19,1
2015-04-17,12.19,12.19,12.19,12.19,1
2015-04-20,12.19,12.19,12.19,12.19,2
2015-04-21,12.19,12.19,12.19,12.19,1
2015-04-22,12.19,12.19,12.19,12.19,1
2015-04-23,12.19,12.19,12.19,12.19,1
2015-04-24,12.19,12.19,12.19,12.19,1
2015-04-27,12.19,12.19,12.19,12.19,1
2015-04-28,12.19,12.19,12.19,12.19,1
2015-04-29,12.19,12.19,12.19,12.19,2
2015-04-30,12.19,12.19,12.19,12.19,1
2015-05-05,12.29,12.29,12.29,12.29,1
2015-05-06,12.29,12.29,12.29,12.29,1
2015-05-07,12.29,12.29,12.29,12.29,1
2015-05-08,12.29,12.29,12.29,12.29,2
2015-05-11,12.29,12.29,12.29,12.29,1
2015-05-14,12.29,12.29,12.29,12.29,1
2015-05-15,12.29,12.29,12.29,12.29,1
2015-05-18,12.29,12.7,12.28,12.7,66
2015-05-19,12.7,12.7,12.7,12.7,3
2015-05-20,12.7,12.7,12.7,12.7,2
2015-05-22,12.7,12.7,12.7,12.7,2
2015-05-25,12.7,12.7,12.7,12.7,2
2015-05-26,12.7,12.84,12.7,12.84,22
2015-05-27,12.84,12.84,12.84,12.84,1
2015-05-28,12.84,12.84,12.84,12.84,1
2015-05-29,12.84,12.84,12.84,12.84,1
