Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-07-13,123.73,148.48,121.83,137.06,332
2010-07-14,142.77,164.47,142.77,164.37,198
2010-07-15,162.71,164.66,159,164.52,73
2010-07-16,159,164.56,149.43,164.56,107
2010-07-20,158.58,164.64,158.58,164.64,13
2010-07-21,166.56,166.56,166.56,166.56,3
2010-07-22,160.85,166.56,160.85,166.56,10
2010-07-28,160.85,160.85,160.85,160.85,5
2010-07-29,167.51,167.51,167.51,167.51,5
2010-07-30,160.86,171.32,160.85,171.32,35
2010-08-02,164.67,171.32,164.66,171.31,36
2010-08-03,161.81,170.37,161.8,170.37,23
2010-08-04,170.37,170.37,170.37,170.37,11
2010-08-05,169.79,169.8,161.8,169.41,27
2010-08-10,166.55,166.55,166.55,166.55,3
2010-08-19,160,166.56,158.95,166.56,76
2010-08-23,166.55,166.55,166.55,166.55,3
2010-08-24,160.38,166.55,160.38,166.55,51
2010-08-25,160.67,165.61,159.9,165.61,84
2010-08-26,158.95,165.6,158.95,165.6,10
2010-08-30,161.8,166.56,161.8,166.56,26
2010-08-31,152.29,166.61,152.29,166.61,111
2010-09-02,159.9,166.55,159.9,166.55,47
2010-09-09,152.29,170.37,152.29,170.37,171
2010-09-10,157.04,168.47,157.04,168.47,80
2010-09-15,157.04,168.47,157.04,168.47,75
2010-09-16,157.04,167.04,157.04,167.04,38
2010-09-17,157.04,157.04,157.04,157.04,38
2010-09-28,157.04,157.04,157.04,157.04,18
2010-09-30,157.04,157.04,157.04,157.04,7
2010-10-12,151.33,158,151.33,158,47
2010-10-27,152.3,157.04,152.29,157.04,76
2010-11-05,147.53,159.9,147.53,159.9,218
2010-11-08,147.53,159.9,147.53,159.9,97
2010-11-10,152.29,159.42,152.29,159.42,80
2010-11-12,152.29,159.33,152.29,159.33,189
2010-11-15,159.33,159.41,142.77,159.37,2013
2010-11-17,152.29,159.31,152.29,159.31,35
2010-11-18,159.31,159.33,159.31,159.33,16
2010-12-27,144.67,154.19,138.01,154.19,1299
2010-12-28,147.53,158.95,147.53,158.95,95
2010-12-29,147.53,158.95,142.77,158.95,1114
2010-12-30,147.53,158.95,147.53,158.95,60
2011-01-03,152.29,158.95,152.29,158.95,43
2011-01-04,152.29,156.75,152.29,156.75,23
2011-02-01,147.56,156.09,147.54,156.09,95
2011-02-02,147.62,154.08,145.62,145.62,32
2011-02-03,152.29,152.29,152.29,152.29,52
2011-02-14,142.77,158.95,138.01,158.95,4775
2011-02-17,154.51,154.51,147.53,154.18,27
2011-03-08,146.2,155.14,146.19,155.14,130
2011-03-09,155.14,155.14,155.14,155.14,20
2011-04-19,147.53,155.99,147.53,155.99,121
2011-04-26,152.29,157.04,144.73,157.04,175
2011-04-27,153.24,153.24,152.29,152.29,42
2011-05-02,155.14,157.04,145.62,157.04,176
2011-05-10,147.53,157.04,147.53,157.04,13
2011-05-19,147.53,157.04,142.77,157.04,253
2011-06-10,156.57,156.57,156.57,156.57,20
2011-06-24,151.81,151.81,151.81,151.81,5
2011-06-30,156.56,161.8,147.57,161.8,311
2011-07-06,161.8,161.8,161.8,161.8,20
2011-07-07,163.24,166.12,151.72,166.12,312
2011-07-08,153.64,163.24,153.64,163.24,43
2011-07-11,163.24,163.24,163.24,163.24,20
2011-07-12,153.64,163.24,153.64,163.24,105
2011-07-14,163.24,163.24,153.64,162.28,139
2011-07-18,163.24,163.24,153.74,158.44,27
2011-07-27,158.35,158.35,149.99,158.35,95
2011-07-29,158.06,162.28,150.66,162.28,248
2011-08-01,163.24,163.24,150.86,162.28,228
2011-08-16,151.72,151.72,151.72,151.72,46
2011-08-17,162.19,162.19,162.19,162.19,104
2011-09-07,151.72,161.32,151.72,161.32,34
2011-10-26,151.82,157.48,151.72,157.48,29
2011-10-27,144.04,160.65,144.04,160.65,122
2011-10-28,150.86,160.36,150.76,160.36,58
2011-11-03,150.86,150.86,150.76,150.76,26
2011-11-04,147.02,147.02,146.92,146.92,26
2011-11-15,142.21,142.21,142.12,142.12,26
2011-11-18,135.59,135.59,134.44,134.44,26
2011-12-30,134.44,161.23,134.44,161.23,486
2012-01-02,144.04,144.04,144.04,144.04,20
2012-01-23,143.37,143.37,143.37,143.37,2
2012-02-08,134.44,134.44,134.44,134.44,5
2012-03-13,124.93,124.93,124.83,124.83,27
2012-05-23,115.23,120.03,115.23,120.03,46
2012-06-05,118.06,118.06,118.06,118.06,25
2012-06-29,118.06,136.76,118.06,136.76,122
2012-08-21,110.19,132.82,110.19,132.82,30
2012-08-24,119.05,132.32,119.05,132.32,27
2012-08-28,119.05,119.05,119.05,119.05,13
2012-08-30,119.05,131.74,119.05,119.05,10422
2012-08-31,119.05,119.05,119.05,119.05,13
2012-09-07,122,122,122,122,10
2012-09-10,118.06,118.06,118.06,118.06,13
2012-09-27,120.03,120.03,120.03,120.03,6
2012-09-28,120.03,120.03,120.03,120.03,28
2012-10-17,111.18,111.18,111.18,111.18,9
2012-10-30,111.77,111.77,98.387,98.387,18
2012-10-31,114.13,114.13,114.13,114.13,10
2012-11-02,111.18,111.18,100.75,100.75,29
2012-11-05,108.23,108.23,108.23,108.23,1
2012-12-06,100.75,100.75,98.387,98.387,30
2012-12-07,93.724,93.724,93.724,93.724,16
2012-12-28,91.5,91.5,91.5,91.5,16
2013-01-16,91.5,91.5,91.5,91.5,17
2013-04-09,91.5,91.5,86.04,91.5,3
2013-04-10,86.04,92.484,86.04,92.484,39
2013-04-18,85.597,85.597,85.597,85.597,1
2013-04-30,92.01,92.01,92.01,92.01,10
2013-05-08,86.58,86.58,86.58,86.58,18
2013-05-15,91.5,91.5,91.5,91.5,41
2013-05-17,85.6,85.6,85.6,85.6,18
2013-05-21,85.59,85.59,85.59,85.59,60
2013-05-29,85.6,85.6,85.6,85.6,18
2013-06-10,84,91,84,91,86
2013-06-11,89,89,89,89,17
2013-06-20,82.61,82.61,82.61,82.61,19
2013-06-28,82.61,82.61,82,82,138
2013-07-02,77.21,83,77.21,83,7
2013-11-28,77.21,83,77.21,83,492
2013-12-03,82.5,82.5,82.5,82.5,18
2013-12-04,77.21,77.21,77.21,77.21,19
2013-12-10,69,69,68,68,21
2013-12-11,61,61,61,61,1000
2013-12-12,59.99,59.99,59.99,59.99,20
2013-12-13,50,60,50,60,12
2013-12-16,50,50,50,50,10
2013-12-17,40,40,39,39,2125
2013-12-18,33,33,29.5,32.99,225
2013-12-19,29.8,29.8,29.8,29.8,150
2013-12-20,28.5,28.5,28.5,28.5,300
2013-12-27,31.49,37,31.49,37,1235
2013-12-30,33,33,30,30,488
2014-01-02,32.97,32.98,28.5,28.5,2761
2014-01-03,27.07,30.87,21.66,25,3573
2014-01-07,25,29.9,24,25,4741
2014-01-08,25.01,27,24.5,25,616
2014-01-09,25,26.8,25,25,3003
2014-01-10,25.03,26.88,25.03,26.6,1085
2014-01-13,27,29.8,25.4,26,1822
2014-01-14,27.5,29.99,27.49,28,3901
2014-01-15,28.5,29.1,26.36,27,2262
2014-01-16,27,27,25.03,26,981
2014-01-17,25.31,26,25.31,26,191
2014-01-20,25.2,26,25.2,26,1275
2014-01-21,25.3,26,25,25.99,1628
2014-01-22,25.99,25.99,25,25,1495
2014-01-23,24.5,25,24.05,24.5,4841
2014-01-24,24.5,24.5,22.7,23,1637
2014-01-27,22.99,23,22.99,23,377
2014-01-28,23,25,22.99,23,4258
2014-01-29,25,26.65,24.99,26,2958
2014-01-30,26.4,26.7,25.6,26.7,1128
2014-01-31,26.8,28,26.02,26.7,762
2014-02-03,25.7,26.7,25.7,26.7,151
2014-02-04,26.7,27.69,26.7,27.69,1286
2014-02-05,27.7,27.7,27.7,27.7,417
2014-02-06,25.66,27.5,25.66,27.5,410
2014-02-07,26.51,27.29,25.66,27.29,988
2014-02-10,27.15,27.18,27.15,27.18,908
2014-02-11,27.18,27.18,27.18,27.18,180
