Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-12-08,6.14234,8.65491,6.14234,6.99378,7238.980891989
2011-12-09,7.25914,7.67098,5.59782,5.61198,1786.242038283
2011-12-12,5.86299,5.86299,4.9836,5.16645,2402.54777079
2011-12-13,5.44407,5.58384,5.16492,5.30469,1749.6815287275
2011-12-14,5.38855,5.38855,5.38855,5.38855,715.5414013005
2011-12-15,5.31885,5.31885,5.29071,5.29071,861.7834395225
2011-12-16,5.2348,5.2348,5.2348,5.2348,355.159235682
2011-12-19,5.16492,5.16492,5.16492,5.16492,114.904458603
2011-12-20,5.16492,5.16492,5.16492,5.16492,464.8407643485
2011-12-22,5.16492,5.16492,5.16492,5.16492,652.8662420625
2011-12-28,5.44407,5.44407,5.44407,5.44407,177.579617841
2011-12-29,5.57005,5.58384,5.57005,5.58384,574.522293015
2012-01-11,5.34642,5.34642,5.34642,5.34642,459.617834412
2012-01-27,5.33283,5.33283,5.33283,5.33283,282.038216571
2012-01-31,5.58384,5.58384,5.58384,5.58384,355.159235682
2012-02-02,5.58384,5.58384,5.58384,5.58384,177.579617841
2012-02-27,5.72342,6.6993,5.72342,6.6993,2606.2420383135
2012-02-29,6.97999,7.25914,6.97999,7.25914,114.904458603
2012-03-01,7.39872,7.67787,7.39872,7.67787,208.91719746
2012-03-02,7.67787,9.21322,7.67787,9.21322,386.496815301
2012-03-05,7.67098,7.67098,7.39872,7.39872,94.012738857
2012-03-09,7.39757,8.0966,7.39757,7.95684,1545.987261204
2012-03-14,6.42149,6.42149,6.42149,6.42149,684.2038216815
2012-03-15,6.42149,6.42149,6.28191,6.28191,443.9490446025
2012-05-25,5.58384,5.58384,5.58384,5.58384,396.942675174
2012-07-20,5.44407,5.58269,5.44407,5.58269,5933.248407864
2012-08-29,5.51434,5.51434,5.51434,5.51434,271.592356698
2012-08-30,5.51434,5.58384,5.51434,5.51434,1566.87898095
2012-09-13,5.37438,5.37438,5.37438,5.37438,282.038216571
2012-11-20,5.33283,5.33283,5.19306,5.19306,292.484076444
2012-12-17,4.93363,4.93363,4.93363,4.93363,308.1528662535
2012-12-20,4.67649,4.67649,4.18826,4.18826,825.222929967
2012-12-21,3.89609,3.89609,3.89609,3.89609,308.1528662535
2013-01-10,3.97842,3.97842,3.97842,3.97842,715.5414013005
2013-01-11,4.20205,4.20205,4.20205,4.20205,1070.7006369825
2013-01-22,4.20205,4.20205,4.20205,4.20205,1065.477707046
2013-02-27,4.51624,5.02515,4.51624,5.02515,699.872611491
2013-02-28,5.40252,5.40252,5.40252,5.40252,276.8152866345
2013-03-01,6.44945,6.44945,5.02515,5.02515,282.038216571
2013-03-27,5.02515,5.02515,5.02515,5.02515,292.484076444
2013-04-19,4.95565,4.95565,4.80497,4.80497,626.75159238
2013-05-20,4.88576,4.88576,4.88576,4.88576,308.1528662535
2013-06-04,5.58384,5.58384,5.58384,5.58384,5.2229299365
2013-07-04,4.39734,4.39734,4.39734,4.39734,344.713375809
2013-07-05,4.46703,4.53692,4.46703,4.53692,945.3503185065
2013-07-08,4.72685,4.72685,4.72685,4.72685,323.821656063
2013-10-16,5.02515,5.02515,4.88576,4.88576,616.305732507
2013-10-17,5.02515,5.09522,4.94167,5.02515,1316.178343998
2013-10-21,4.80497,4.80497,4.61082,4.61082,642.4203821895
2013-11-20,4.81626,5.09522,4.81626,5.09522,710.318471364
2013-11-21,5.09522,5.09522,5.09522,5.09522,2151.847133838
2013-11-22,5.09522,5.09522,5.09522,5.09522,778.2165605385
2013-11-26,5.09522,5.09522,5.09522,5.09522,3504.5859873915
2013-11-27,5.09522,5.09522,5.09522,5.09522,4340.2547772315
2013-11-28,5.30469,5.30469,5.09522,5.09522,4794.649681707
2013-11-29,5.30469,5.30469,5.30469,5.30469,1436.3057325375
2013-12-02,5.58384,5.58384,5.58384,5.58384,276.8152866345
2013-12-06,5.58384,5.58384,5.58384,5.58384,5.2229299365
2013-12-09,6.77053,6.77053,6.77053,6.77053,282.038216571
2013-12-27,6.77053,6.77053,6.77053,6.77053,417.83439492
2014-01-27,6.36405,6.36405,5.30469,5.30469,282.038216571
2014-01-28,6.36578,6.36578,6.36578,6.36578,235.0318471425
2014-02-11,5.58384,5.58384,5.45403,5.45403,537.9617834595
2014-02-18,5.58384,5.86299,5.58384,5.86299,522.29299365
2014-02-25,6.14234,6.77053,6.14234,6.77053,172.3566879045
2014-02-28,5.44407,5.65372,5.44407,5.65372,631.9745223165
2014-03-06,5.65372,5.65372,5.65372,5.65372,5.2229299365
2014-03-10,5.65372,5.65372,5.65372,5.65372,5.2229299365
2014-03-12,5.65372,5.65372,5.65372,5.65372,15.6687898095
2014-03-13,5.65372,5.65372,5.65372,5.65372,10.445859873
2014-03-14,5.65372,6.37554,5.65372,6.37554,914.0127388875
2014-03-31,6.28191,6.28191,6.25396,6.25396,266.3694267615
2014-04-03,6.28191,6.28191,6.28191,6.28191,83.566878984
2014-04-04,6.28498,6.28498,6.28498,6.28498,5.2229299365
2014-04-08,6.28498,6.28498,6.28498,6.28498,5.2229299365
2014-04-22,6.30968,6.30968,6.30968,6.30968,141.0191082855
2014-04-28,6.33342,6.56107,6.33342,6.56107,67.8980891745
2014-05-02,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-08,6.56107,6.56107,6.56107,6.56107,10.445859873
2014-05-09,6.56107,6.56107,6.56107,6.56107,10.445859873
2014-05-13,6.56107,6.56107,6.56107,6.56107,10.445859873
2014-05-14,6.56107,6.56107,6.56107,6.56107,73.121019111
2014-05-15,6.56107,6.56107,6.56107,6.56107,67.8980891745
2014-05-20,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-22,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-23,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-27,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-28,6.56107,6.56107,6.56107,6.56107,5.2229299365
2014-05-29,6.42149,6.42149,6.23462,6.23462,26.1146496825
2014-07-03,6.34146,6.45289,6.34146,6.45289,20.891719746
2014-07-14,6.38377,6.38377,5.87371,5.87371,616.305732507
2014-08-14,5.57216,5.98917,5.57216,5.98917,564.076433142
2014-08-19,5.57216,5.57216,5.57216,5.57216,271.592356698
2014-09-01,5.32287,5.32287,5.32287,5.32287,271.592356698
2014-09-12,5.32287,5.32287,5.32287,5.32287,10.445859873
2014-09-17,5.34106,5.38338,5.34106,5.38338,15.6687898095
2014-09-22,5.38338,5.38338,5.38338,5.38338,10.445859873
2014-09-23,5.38338,5.38338,5.38338,5.38338,5.2229299365
2014-10-08,5.38338,5.38338,5.38338,5.38338,5.2229299365
2014-10-14,5.38338,5.38338,5.38338,5.38338,15.6687898095
2014-10-15,5.38338,5.38338,5.38338,5.38338,10.445859873
2014-10-27,5.38338,5.38338,5.38338,5.38338,10.445859873
2014-10-28,5.38338,5.38338,5.38338,5.38338,15.6687898095
2015-01-08,5.30143,5.35504,5.30143,5.35504,15.6687898095
2015-01-09,5.37629,5.37629,5.37629,5.37629,5.2229299365
2015-01-21,5.00275,5.00275,5.00275,5.00275,5.2229299365
2015-02-09,4.9321,4.9321,4.9321,4.9321,94.012738857
2015-02-10,4.9321,4.9321,4.9321,4.9321,15.6687898095
2015-02-20,5.22561,5.22561,5.04487,5.04487,219.363057333
2015-03-18,4.91678,4.91678,4.86183,4.86183,407.388535047
2015-04-08,4.90414,4.90414,4.90414,4.90414,214.1401273965
2015-04-10,4.72091,4.72091,3.77642,3.94587,1039.3630573635
2015-04-13,4.25585,4.27729,4.15725,4.25585,835.66878984
2015-04-14,4.29816,4.29816,4.29816,4.29816,245.4777070155
2015-05-06,4.50954,4.57425,4.50954,4.57425,255.9235668885
2015-06-29,4.27959,4.39485,4.27959,4.39485,245.4777070155
2015-07-08,4.08908,4.39485,4.08908,4.10172,532.738853523
2015-07-23,4.01997,4.01997,4.01997,4.01997,47.0063694285
2015-08-06,4.02131,4.02131,4.02131,4.02131,224.5859872695
2015-08-17,3.7412,3.7412,3.7412,3.7412,52.229299365
2015-08-20,3.73985,3.73985,3.73985,3.73985,271.592356698
2015-08-26,3.70558,3.70558,3.70558,3.70558,699.872611491
2015-08-27,3.73985,3.85933,3.73985,3.85933,527.5159235865
2015-09-01,3.64814,3.64814,3.64814,3.64814,778.2165605385
2015-09-15,3.69084,3.69084,3.69084,3.69084,67.8980891745
2015-11-18,3.42107,3.42107,3.42107,3.42107,151.4649681585
2015-11-19,3.52465,3.52465,3.52465,3.52465,255.9235668885
2015-12-22,3.34065,3.34065,3.34065,3.34065,67.8980891745
2016-01-22,3.85741,3.85933,3.85741,3.85933,73.121019111
2016-02-11,3.5907,3.5907,3.5907,3.5907,276.8152866345
2016-03-10,3.66231,3.66231,3.66231,3.66231,276.8152866345
2016-04-21,3.40824,3.40824,3.40824,3.40824,276.8152866345
2016-05-31,3.20701,3.20701,3.20701,3.20701,308.1528662535
2016-06-02,3.21716,3.2185,3.21716,3.21716,1457.1974522835
2016-07-13,3.11798,3.11798,2.99851,2.99851,496.1783439675
2016-08-03,2.91407,2.91407,2.70997,2.70997,527.5159235865
2016-08-09,2.73927,2.73927,2.73927,2.73927,370.8280254915
2016-09-19,2.73927,2.73927,2.73927,2.73927,167.133757968
2016-10-04,2.76837,2.76837,2.76837,2.76837,731.21019111
2016-10-17,2.80341,2.80341,2.80341,2.80341,715.5414013005
2016-10-24,2.7071,2.7071,2.7071,2.7071,214.1401273965
2016-11-04,2.70997,2.70997,2.7071,2.7071,2110.063694346
2016-11-07,2.60945,2.60945,2.60945,2.60945,10.445859873
2016-11-15,2.73927,2.73927,2.73927,2.73927,736.4331210465
2016-12-15,2.74635,2.74635,2.74635,2.74635,736.4331210465
2017-01-02,2.76109,2.76109,2.76109,2.76109,731.21019111
2017-01-12,2.84093,2.84093,2.84093,2.84093,710.318471364
2017-01-17,2.92422,2.92422,2.92422,2.92422,67.8980891745
2017-02-17,3.06992,3.06992,3.06992,3.06992,480.509554158
2017-04-05,3.35118,3.36574,3.35118,3.35118,1055.031847173
2017-04-10,3.36574,3.36574,3.36574,3.36574,67.8980891745
2017-05-11,3.20548,3.20548,3.20548,3.20548,229.808917206
2017-06-20,3.33529,3.33529,3.33529,3.33529,600.6369426975
2017-07-12,3.45209,3.45209,3.45209,3.45209,579.7452229515
2017-07-14,3.45209,3.45209,3.45209,3.45209,579.7452229515
