Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-11-16,4.5916,4.6578,4.5916,4.6578,434
2015-11-20,4.7371,4.7371,4.7371,4.7371,31
2015-11-23,4.823,4.823,4.823,4.823,7
2015-11-24,4.8891,5.2854,4.823,4.823,60
2015-11-25,4.7239,5.1533,4.7239,5.0542,105
2015-11-26,4.79,4.79,4.79,4.79,10
2015-11-27,5.0542,5.4506,5.0542,5.4506,115
2015-11-30,4.9617,5.1203,4.7569,4.7569,374
2015-12-01,4.7569,4.7569,4.7569,4.7569,12
2015-12-09,4.7569,4.7569,4.7569,4.7569,76
2015-12-10,4.7569,4.7569,4.7569,4.7569,35
2016-01-07,4.922,4.922,4.922,4.922,606
2016-01-08,4.9287,5.2854,4.9287,5.2854,1816
2016-01-11,5.2854,5.2854,5.2854,5.2854,302
2016-01-12,5.2854,5.2854,5.2854,5.2854,607
2016-02-03,5.0212,5.0212,5.0212,5.0212,1
2016-02-16,4.9948,4.9948,4.7569,4.7569,302
2016-03-08,4.6247,4.6247,4.6247,4.6247,1
2016-04-13,4.7835,4.7835,4.7835,4.7835,242
2016-04-14,4.7835,5.1336,4.7835,5.1336,1080
2016-04-15,5.2854,5.9462,5.2854,5.9462,667
2016-04-18,6.5408,7.2679,6.5408,7.2679,234
2016-04-19,7.2679,7.6109,6.1774,7.2679,946
2016-04-20,7.928,8.6556,6.6071,7.1351,2520
2016-04-25,6.5342,6.5342,6.5342,6.5342,134
2016-04-26,6.5077,6.9837,6.5077,6.9837,167
2016-04-28,5.4903,5.4903,5.4903,5.4903,246
2016-04-29,5.9462,5.9462,5.4903,5.9462,179
2016-05-02,6.2765,6.9504,6.2765,6.9504,61
2016-05-04,6.9504,6.9504,6.9504,6.9504,31
2016-05-05,7.2679,7.928,7.2679,7.2679,1067
2016-05-06,6.6071,7.2679,6.6071,7.2679,469
2016-05-10,6.2831,6.2831,6.2831,6.2831,15
2016-05-11,5.9395,5.9395,5.9395,5.9395,15
2016-05-17,5.9395,5.9395,5.9395,5.9395,1
2016-05-18,5.9395,5.9395,5.3648,5.9395,19
2016-05-19,5.9395,5.9395,5.3582,5.3582,45
2016-05-20,5.6158,5.6158,5.6158,5.6158,101
2016-05-23,5.9395,5.9395,5.9395,5.9395,15
2016-05-30,6.2383,6.2383,6.2383,6.2383,1
2016-06-01,6.2244,6.2244,6.2244,6.2244,18
2016-06-02,6.2313,6.2313,6.2313,6.2313,1
2016-06-06,5.6131,5.6131,5.6131,5.6131,35
2016-06-07,5.0573,5.0573,4.314,4.321,21713
2016-06-08,4.5085,4.5224,4.321,4.5224,57
2016-06-09,4.5363,4.9809,4.5363,4.9809,1875
2016-06-10,5.2171,5.3976,5.0156,5.0364,26769
2016-06-13,5.3491,5.5992,5.0018,5.0018,15000
2016-06-14,5.1268,5.1406,5.1268,5.1406,309
2016-06-15,5.2309,5.2379,5.0712,5.0712,587
2016-06-16,5.3699,5.3699,5.0087,5.0087,17343
2016-06-17,5.3491,5.3491,5.1406,5.1406,2172
2016-06-20,5.3491,5.3491,5.1268,5.1268,3586
2016-06-21,5.1406,5.2101,5.0226,5.1406,10178
2016-06-22,5.0851,5.1755,5.0851,5.1755,9208
2016-06-23,5.1755,5.224,5.1268,5.224,11353
2016-06-24,5.2588,5.2588,5.0156,5.0156,6479
2016-06-27,5.0156,5.0712,5.0156,5.0573,5313
2016-06-28,5.0364,5.3976,4.8766,5.1059,17375
2016-06-29,5.3491,5.3491,5.2101,5.3491,6078
2016-06-30,5.3491,5.5574,5.2935,5.5574,8494
2016-07-01,5.5574,5.5574,5.0087,5.0087,7823
2016-07-04,5.3422,5.3422,5.3422,5.3422,72
2016-07-05,4.5155,4.5155,4.5155,4.5155,107
2016-07-06,5.3144,5.3144,5.3144,5.3144,1440
2016-07-07,5.2796,5.2796,5.2656,5.2656,723
2016-07-08,5.2588,5.2588,5.1963,5.1963,2309
2016-07-11,5.2656,5.2656,5.2656,5.2656,1525
2016-07-12,5.3561,5.3561,5.3561,5.3561,1527
2016-07-13,5.4602,5.4602,5.4602,5.4602,1556
2016-07-14,5.488,5.488,5.488,5.488,1152
2016-07-15,5.5574,5.5574,5.5574,5.5574,145
2016-07-18,5.5574,5.5574,5.5574,5.5574,166
