Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-12-29,9.71,9.77,8,8.98,240326
2020-12-30,9,9.5,8.7,9.046,61475
2021-01-04,9.1,12.9,8.7,12.9,147927
2021-01-05,13.1,13.102,10.65,10.814,191454
2021-01-07,10.8,11.276,10.73,10.95,31664
2021-01-08,11.048,11.048,10.13,10.17,20099
2021-01-11,10.45,10.45,9.75,9.99,22449
2021-01-12,9.85,10.14,9.2,9.6,24524
2021-01-13,9.75,10.5,9.35,10.5,18628
2021-01-14,10.87,10.87,10,10,12617
2021-01-15,10.1,10.15,9.6,9.999,13559
2021-01-18,10.098,10.098,9.51,9.775,1600
2021-01-19,9.42,9.72,9.25,9.65,6918
2021-01-20,9.65,9.7,9.43,9.6,2475
2021-01-21,9.6,10.2,9.5,9.86,8449
2021-01-22,9.52,9.85,9.32,9.69,2515
2021-01-25,9.689,9.689,9.2,9.221,6426
2021-01-26,9.202,10.22,9.03,9.779,26325
2021-01-27,9.6,9.76,9.1,9.2,5374
2021-01-28,9.14,9.4,8.8,9.27,29694
2021-01-29,9.01,9.27,8.9,9.2,6873
2021-02-01,9.24,9.24,8.9,8.901,5106
2021-02-02,9.08,9.08,8.51,8.78,10354
2021-02-03,8.798,8.799,8.387,8.7,11288
2021-02-04,8.7,8.98,8.511,8.7,4542
2021-02-05,8.84,8.97,8.45,8.85,4688
2021-02-08,8.9,8.9,8.451,8.69,5912
2021-02-09,8.46,8.7,8.3,8.6,7271
2021-02-10,8.45,8.84,8.29,8.84,9098
2021-02-11,8.65,8.968,8.65,8.968,7026
2021-02-12,8.8,8.999,8.56,8.63,2294
2021-02-15,8.63,8.92,8.5,8.92,2478
2021-02-16,8.5,8.79,8.5,8.7,3565
2021-02-17,8.7,8.7,8.69,8.69,119
2021-02-18,8.7,8.7,8.35,8.69,2078
2021-02-19,8.69,8.69,8.4,8.42,1392
2021-02-22,8.36,8.4,8.2,8.39,4278
2021-02-23,8.4,8.4,8.06,8.06,3183
2021-02-24,8.22,8.38,8.04,8.35,643
2021-02-25,8.35,8.35,8,8,4825
2021-02-26,8,8.06,7.51,7.99,7020
2021-03-01,8.04,8.17,7.8,8.17,4187
2021-03-02,8.17,8.17,7.75,7.99,1448
2021-03-03,8.01,9.3,7.801,8.64,12819
2021-03-04,8.2,8.499,8.02,8.499,1941
2021-03-05,8.499,8.499,8.1,8.35,2590
2021-03-08,8.08,8.38,8.01,8.34,1908
2021-03-09,8.33,8.33,8.33,8.33,5
2021-03-10,8.329,8.33,8.1,8.1,266
2021-03-11,8.03,8.279,8.03,8.24,552
2021-03-12,8.2,8.47,7.72,8.07,10707
2021-03-15,7.76,7.9,7.55,7.8,5799
2021-03-16,7.77,8.03,7.45,7.45,14447
2021-03-17,7.32,7.99,7,7.4,11381
2021-03-18,7.58,7.58,7.13,7.44,1630
2021-03-19,7.153,7.7,7.15,7.6,7620
2021-03-22,7.25,7.66,7.21,7.6,478
2021-03-23,7.59,7.59,6.92,7.34,10957
2021-03-24,7.338,7.338,6.94,7.19,3270
2021-03-25,7.23,7.27,7,7.16,3753
2021-03-26,7.15,7.16,6.94,7.15,972
2021-03-29,7.16,7.27,7,7,3496
2021-03-30,7.19,7.19,7,7.04,2385
2021-03-31,7.04,7.3,7.04,7.3,2100
2021-04-01,7.3,7.385,7,7,5740
2021-04-06,7.05,7.225,6.7,7.18,3055
2021-04-07,7.16,7.18,6.94,6.94,1750
2021-04-08,7.1,7.1,6.66,6.79,9024
2021-04-09,7.12,7.12,6.5,6.8,5379
2021-04-12,6.8,7,6.7,6.8,1945
2021-04-13,6.66,6.85,6.5,6.8,5840
2021-04-14,6.5,6.8,6.25,6.75,11684
2021-04-15,6.68,6.92,6.64,6.86,1696
2021-04-16,6.895,6.9,6.65,6.8,1084
2021-04-19,6.875,6.98,6.7,6.7,2933
2021-04-20,6.665,6.9,6.65,6.65,1236
2021-04-21,6.46,6.5,5.905,6.4,1324
2021-04-22,6.4,6.9,5.9,6.7,9969
2021-04-23,6.7,6.8,6.2,6.7,1550
2021-04-26,6.405,6.7,6.3,6.68,1975
2021-04-27,6.69,6.69,6.31,6.65,908
2021-04-28,6.32,6.7,6.3,6.68,3857
2021-04-29,6.4,6.655,6.3,6.6,1655
2021-04-30,6.6,6.75,6.6,6.74,1578
2021-05-04,6.45,6.78,6.325,6.74,3140
2021-05-05,6.42,6.695,6.26,6.6,2502
2021-05-06,6.59,6.6,6.33,6.6,7503
2021-05-07,6.4,6.7,6.35,6.68,1011
2021-05-10,6.37,6.68,6.345,6.68,2036
2021-05-11,6.4,6.68,6.3,6.67,6199
2021-05-12,6.77,6.77,6.3,6.6,11440
2021-05-13,6.505,6.545,6.26,6.545,2108
2021-05-14,6.305,6.535,6.26,6.52,2310
2021-05-17,6.4,6.53,6.26,6.53,2982
2021-05-18,6.53,6.53,6.33,6.4,1490
2021-05-19,6.285,6.44,6.28,6.44,800
2021-05-20,6.395,6.395,5.75,6.15,5327
2021-05-21,6.15,6.15,6,6.01,3253
2021-05-24,5.955,5.955,5.8,5.8,3108
2021-05-25,5.93,6.1,5.91,5.94,6185
2021-05-26,6.18,6.395,5.8,6.2,5597
2021-05-27,6.19,6.19,5.85,6.17,6731
2021-05-28,6.17,6.19,5.6,6.175,2239
2021-05-31,6.175,6.18,5.8,6.18,2651
2021-06-01,6.18,6.18,6.18,6.18,30
2021-06-02,6.05,6.18,6,6.18,740
2021-06-04,5.9,6.1,5.7,6,2897
2021-06-07,6,6,5.65,5.995,3752
2021-06-08,5.99,6.18,5.99,6.17,409
2021-06-09,6.005,6.005,5.7,5.99,3324
2021-06-10,5.985,6.18,5.89,6.18,640
2021-06-11,5.81,6.495,5.8,6.4,5204
2021-06-14,6.4,6.495,5.9,6.495,10275
2021-06-15,6.495,6.495,6,6.495,862
2021-06-16,6.45,6.45,6,6,5286
2021-06-17,6.3,6.3,5.9,5.91,8792
