Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-08,14.289,14.48,13.632,13.861,1991
2015-01-09,13.565,13.756,13.47,13.527,1066
2015-01-12,13.842,13.842,13.622,13.718,1083
2015-01-13,13.632,13.632,13.632,13.632,60
2015-01-14,13.632,13.632,13.622,13.622,213
2015-01-16,13.709,13.814,13.709,13.814,283
2015-01-19,13.661,13.661,13.651,13.651,105
2015-01-21,13.622,13.861,13.622,13.861,162
2015-01-27,13.814,13.814,13.814,13.814,53
2015-01-30,13.356,13.356,13.356,13.356,146
2015-02-03,13.356,13.356,13.356,13.356,1
2015-02-05,13.356,13.356,13.356,13.356,20
2015-02-06,14.47,14.47,14.47,14.47,1
2015-02-11,13.07,13.718,13.07,13.718,310
2015-02-12,13.765,13.765,13.718,13.765,488
2015-02-13,13.765,13.765,13.765,13.765,88
2015-02-17,13.765,13.765,13.765,13.765,493
2015-02-18,14.089,14.175,14.089,14.175,566
2015-02-19,14.099,14.214,14.052,14.194,998
2015-02-20,14.194,14.194,14.004,14.175,173
2015-02-23,14.194,14.252,14.194,14.252,334
2015-02-24,14.099,14.252,14.099,14.252,178
2015-02-26,14.099,14.252,14.099,14.252,7
2015-02-27,14.232,14.47,14.232,14.47,1843
2015-03-02,14.422,14.422,14.422,14.422,430
2015-03-03,14.461,14.671,14.422,14.671,5885
2015-03-04,14.671,15.337,14.671,15.337,1012
2015-03-05,15.624,16.662,15.624,16.662,3497
2015-03-06,16.195,17.604,16.147,17.604,2008
2015-03-09,17.604,18.939,17.529,18.091,623
2015-03-10,18.567,18.576,17.767,18.481,738
2015-03-11,17.814,18.576,17.814,18.567,22262
2015-03-12,18.386,18.386,18.1,18.291,7
2015-03-13,18.243,19.044,17.671,18.672,7860
2015-03-16,17.795,18.434,17.795,18.434,106
2015-03-17,18.539,18.539,18.157,18.414,5268
2015-03-18,18.291,18.539,18.167,18.472,1004
2015-03-19,18.539,19.005,18.291,18.481,7008
2015-03-20,18.967,18.967,18.195,18.576,25
2015-03-23,18.967,18.967,18.205,18.576,33
2015-03-24,18.576,18.672,18.3,18.672,611
2015-03-25,18.672,18.672,18.129,18.291,748
2015-03-27,18.347,18.596,18.291,18.596,21274
2015-03-30,18.624,18.624,18.624,18.624,21
2015-03-31,18.339,18.567,18.339,18.567,840
2015-04-01,18.339,18.339,18.339,18.339,525
2015-04-02,18.291,18.529,18.291,18.386,26554
2015-04-07,18.529,18.529,18.319,18.339,32697
2015-04-08,18.339,18.519,18.339,18.519,264
2015-04-09,18.339,18.339,18.339,18.339,64
2015-04-10,18.157,18.339,18.157,18.339,173
2015-04-13,18.195,18.195,18.147,18.147,315
2015-04-14,18.1,18.1,18.1,18.1,1
2015-04-15,17.434,18.147,17.434,18.147,7
2015-04-16,17.786,17.814,17.547,17.547,649
2015-04-17,17.547,17.547,15.814,16.214,818
