Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-04-20,50.1015,52.7666,50.1015,51.9543,103877.62791082
2004-04-21,51.4336,52.6507,50.97,51.7813,31215.813954642
2004-04-22,51.7813,51.7813,50.2754,50.2754,15168.2325587
2004-04-23,50.1015,50.2754,49.464,49.6379,8761.395349161
2004-04-26,49.464,49.464,48.7695,48.9433,6703.1627909454
2004-04-27,49.8127,49.8127,47.959,48.9433,3774.1395350232
2004-04-28,48.7695,48.7695,47.959,48.3058,3168.6511629078
2004-04-29,48.132,48.4217,46.7999,47.0897,5311.3953490335
2004-04-30,46.2792,46.7999,45.9315,46.7999,5313.5348839173
2004-05-04,47.6103,47.6103,46.7999,47.6103,3062.7441861597
2004-05-05,46.7999,46.7999,46.1053,46.7999,5784.2325583533
2004-05-06,46.7999,47.0897,46.1053,46.2792,1394.9767442376
2004-05-07,46.4522,46.9167,46.4522,46.9167,3319.4883722157
2004-05-10,46.7999,46.7999,45.9315,46.2792,2634.8372093997
2004-05-11,46.2792,46.7999,46.2792,46.7999,1819.6744186719
2004-05-12,46.7999,47.4365,46.7999,47.4365,472.8372093198
2004-05-13,47.0897,47.0897,46.1053,46.1053,1541.5348837779
2004-05-14,45.9315,46.7999,45.9315,46.7999,336.9767441985
2004-05-17,46.4522,46.4522,45.9315,46.4522,1909.5348837915
2004-05-18,46.4522,46.4522,45.9315,45.9315,203.255813961
2004-05-19,46.4522,46.4522,46.2792,46.2792,864.3720930552
2004-05-20,46.1053,46.4522,45.9315,45.9315,658.9767442104
2004-05-21,45.4678,45.4678,44.2517,45.4678,1968.372093096
2004-05-24,46.4522,46.4522,45.7567,45.7567,503.8604651349
2004-05-25,45.7567,46.2792,44.5985,44.5985,428.9767442019
2004-05-26,45.121,45.9315,45.121,45.5837,182.9302325649
2004-05-27,44.5985,46.1053,44.5985,46.1053,468.5581395522
2004-05-28,45.121,45.5837,45.121,45.121,211.8139534962
2004-05-31,44.5985,45.293,44.2517,44.2517,478.1860465293
2004-06-01,44.2517,45.121,44.2517,45.121,136.9302325632
2004-06-02,45.4678,45.4678,45.121,45.121,311.3023255929
2004-06-03,45.7567,46.1053,45.121,46.1053,1138.2325581816
2004-06-04,46.2792,46.2792,46.2792,46.2792,67.3953488397
2004-06-07,46.4522,46.4522,45.4678,45.9315,825.8604651468
2004-06-08,45.4678,46.1053,45.4678,46.1053,1294.418604699
2004-06-09,46.1053,46.627,45.9315,46.1053,4275.8604652743
2004-06-11,46.1053,46.9167,46.1053,46.7999,4476.9767443515
2004-06-14,46.4522,47.0897,46.4522,47.0897,1567.2093023835
2004-06-15,47.0897,48.7695,47.0897,47.959,7939.8139537818
2004-06-16,48.132,48.5956,47.6103,48.132,1898.8372093725
2004-06-17,47.6103,47.7842,47.6103,47.7842,2024.0000000748
2004-06-18,47.6103,48.132,47.6103,48.132,1846.4186047194
2004-06-21,48.4217,48.5956,48.3058,48.5956,1875.3023256507
2004-06-22,48.7695,48.9433,48.7695,48.7695,1422.790697727
2004-06-23,47.0897,49.2902,47.0897,49.1172,1534.0465116846
2004-06-25,49.1172,49.6379,48.9433,49.6379,2593.1162791656
2004-06-28,49.6379,49.6379,49.6379,49.6379,26.7441860475
2004-06-29,48.5956,49.6379,48.5956,49.464,690.0000000255
2004-06-30,49.464,49.464,48.7695,49.464,2029.3488372843
2004-07-01,48.7695,49.1172,48.7695,49.1172,156.1860465174
2004-07-02,48.7695,48.9433,48.7695,48.9433,427.90697676
2004-07-05,48.7695,48.9433,48.7695,48.9433,779.8604651451
2004-07-06,48.7695,49.1172,48.3058,49.1172,219.3023255895
2004-07-07,49.2902,49.464,49.1172,49.464,2157.7209303123
2004-07-08,49.464,51.7813,49.2902,50.6232,4030.8837210792
2004-07-09,50.97,50.97,49.6379,49.8127,1440.9767442393
2004-07-12,50.1015,50.97,49.9267,49.9267,418.2790697829
2004-07-13,49.6379,49.6379,48.4217,48.9433,342.325581408
2004-07-14,49.2902,49.2902,48.3058,49.2902,967.0697674776
2004-07-15,48.5956,48.5956,48.4217,48.4217,240.6976744275
2004-07-16,48.4217,49.1172,48.4217,49.1172,1403.5348837728
2004-07-19,49.2902,49.2902,48.9433,48.9433,402.2325581544
2004-07-20,48.4217,49.8127,48.4217,49.8127,44.9302325598
2004-07-21,49.8127,49.8127,49.1172,49.8127,336.9767441985
2004-07-22,49.1172,49.1172,49.1172,49.1172,6.4186046514
2004-07-23,49.6379,50.97,49.6379,50.1015,3195.3953489553
2004-07-26,49.6379,50.798,49.6379,50.798,65.2558139559
2004-07-27,50.2754,51.1438,50.2754,50.97,2268.9767442699
2004-07-28,50.97,51.7813,50.97,51.7813,4533.6744187722
2004-07-29,51.4336,52.1291,51.4336,52.1291,2430.5116279968
2004-07-30,52.1291,53.635,52.1291,53.635,3116.2325582547
2004-08-02,54.7942,55.14,54.2716,54.7942,2973.953488482
2004-08-03,54.7942,54.7942,53.8089,54.2716,2227.2558140358
2004-08-04,53.635,53.9828,52.6507,53.9828,2384.5116279951
2004-08-05,53.4602,54.2716,53.4602,54.2716,2400.5581396236
2004-08-06,54.4455,54.4455,53.635,53.635,339.1162790823
2004-08-09,53.4602,53.635,48.7695,53.4602,1513.7209302885
2004-08-10,54.1566,56.1253,54.1566,56.1253,9191.4418608048
2004-08-11,56.2992,56.2992,54.2716,54.7942,2983.5813954591
2004-08-12,54.9671,55.3148,54.7942,55.14,4340.0465117883
2004-08-13,54.9671,55.14,54.9671,55.14,3082.0000001139
2004-08-16,54.1566,54.7942,54.1566,54.7942,180.7906976811
2004-08-17,54.7942,54.7942,53.1134,53.1134,112.3255813995
2004-08-18,53.4602,54.9671,53.4602,54.9671,807.6744186345
2004-08-19,54.9671,55.4878,54.9671,55.14,498.5116279254
2004-08-20,53.4602,54.9671,53.4602,54.2716,617.2558139763
2004-08-23,54.2716,54.2716,52.6507,52.6507,209.6744186124
2004-08-24,52.9405,54.9671,52.6507,54.6203,634.3720930467
2004-08-25,54.9671,54.9671,53.635,53.635,92.0000000034
2004-08-26,53.4602,54.7942,53.4602,54.7942,180.7906976811
2004-08-27,54.1566,54.9671,54.1566,54.9671,88.7906976777
2004-08-30,54.9671,54.9671,53.635,54.7942,446.0930232723
2004-08-31,54.7942,54.7942,53.8089,53.9828,103.7674418643
2004-09-01,53.4602,54.2716,53.4602,54.2716,272.7906976845
2004-09-02,54.2716,55.14,53.4602,54.2716,728.5116279339
2004-09-03,53.2873,54.9671,53.1134,54.2716,254.6046511722
2004-09-06,54.1566,54.7942,53.2873,54.7942,2174.8372093827
2004-09-07,54.7942,54.7942,53.635,54.7942,809.8139535183
2004-09-08,54.7942,56.473,54.7942,56.2992,9300.5581398786
2004-09-09,56.473,56.6478,55.9505,56.2992,211.8139534962
2004-09-10,56.6478,56.8198,55.6037,55.9505,1258.0465116744
2004-09-13,55.3148,55.4878,55.3148,55.3148,574.4651163003
2004-09-14,55.9505,55.9505,54.7942,55.7775,266.3720930331
2004-09-15,55.14,55.9505,54.4455,54.4455,287.7674418711
2004-09-16,54.4455,54.4455,54.4455,54.4455,215.0232558219
2004-09-17,54.4455,55.14,54.4455,54.9671,26.7441860475
2004-09-20,54.6203,55.6037,54.2716,54.2716,302.7441860577
2004-09-21,53.4602,55.14,53.4602,55.14,754.1860465395
2004-09-22,53.8089,53.8089,53.4602,53.8089,83.4418604682
2004-09-23,53.2873,53.2873,53.2873,53.2873,186.1395348906
2004-09-24,52.7666,53.2873,52.7666,52.7666,632.2325581629
2004-09-27,52.6507,53.2873,52.6507,53.2873,180.7906976811
2004-09-28,52.1291,53.9828,52.1291,52.7666,584.0930232774
2004-09-29,53.9828,53.9828,53.4602,53.4602,462.1395349008
2004-10-01,52.303,53.2873,52.303,52.6507,62.0465116302
2004-10-04,52.6507,52.7666,52.6507,52.6507,174.3720930297
