Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-05-10,2.7,3.8,2,2.26,113420
2021-05-11,2.24,2.24,1.861,2.05,21814
2021-05-12,2.049,2.4,1.85,2.1995,11672
2021-05-13,2.19,2.19,1.89,2.04,11644
2021-05-14,2,2,1.8,1.99,5418
2021-05-17,1.64,1.9,1.6,1.85,2953
2021-05-18,1.75,2.1,1.75,2.05,1804
2021-05-19,1.85,2.01,1.85,2.01,696
2021-05-20,1.8,1.97,1.8,1.97,1366
2021-05-21,2.02,2.13,1.9,2.13,2691
2021-05-24,2.08,2.08,2.08,2.08,300
2021-05-25,2.08,2.08,1.78,1.98,6284
2021-05-26,1.77,1.98,1.77,1.98,111
2021-05-27,1.9598,1.9598,1.9598,1.9598,20
2021-05-28,1.77,1.96,1.77,1.96,427
2021-05-31,1.77,1.94,1.62,1.94,1332
2021-06-02,1.7,1.91,1.7,1.91,105
2021-06-04,1.91,1.94,1.91,1.91,858
2021-06-07,1.93,1.93,1.92,1.92,693
2021-06-09,1.92,2.24,1.92,2.08,6276
2021-06-10,2.08,2.08,1.93,2.02,4705
2021-06-11,2.02,2.02,2.02,2.02,10
2021-06-14,2.02,2.02,2.02,2.02,76
2021-06-15,2.02,2.02,2.02,2.02,310
2021-06-16,2.02,2.02,2.02,2.02,80
2021-06-17,2.02,2.02,2.02,2.02,20
2021-06-18,2.02,2.02,2.02,2.02,20
2021-06-21,2.02,2.02,2.02,2.02,86
2021-06-22,2.02,2.02,2.02,2.02,10
2021-06-23,2.02,2.02,2.02,2.02,10
2021-06-24,2.02,2.03,1.92,2.03,145
2021-06-25,2.02,2.02,2.02,2.02,20
2021-06-28,2.02,2.02,2.02,2.02,10
2021-06-29,2.02,2.02,2.02,2.02,20
2021-06-30,2.02,2.02,2.02,2.02,20
2021-07-01,2.02,2.02,2.02,2.02,20
2021-07-02,2.02,2.02,2.02,2.02,10
2021-07-05,2.02,2.02,2.02,2.02,20
2021-07-06,2.0195,2.0195,2.0195,2.0195,10
2021-07-07,2.019,2.019,2.019,2.019,15
2021-07-08,2.02,2.02,2.02,2.02,197
2021-07-09,2.02,2.02,2.0195,2.0195,910
2021-07-12,2.02,2.02,2.02,2.02,10
2021-07-13,2.02,2.02,2.02,2.02,15
2021-07-14,2.02,2.02,2.02,2.02,10
2021-07-15,2.02,2.02,2.02,2.02,10
2021-07-16,2,2,2,2,10
2021-07-19,2.02,2.02,1.94,1.94,60
2021-07-20,1.94,1.94,1.9,1.9,120
2021-07-21,1.93,1.93,1.93,1.93,57
2021-07-22,1.93,1.94,1.93,1.94,500
2021-07-23,1.94,1.94,1.94,1.94,20
2021-07-26,1.94,2,1.94,2,73
2021-07-27,2,2,2,2,10
2021-07-28,2,2,2,2,10
2021-07-29,2,2,1.95,1.95,110
2021-07-30,1.88,1.89,1.86,1.89,695
2021-08-02,1.84,1.84,1.8,1.8,500
2021-08-04,1.84,1.84,1.84,1.84,200
2021-08-06,1.88,1.88,1.88,1.88,918
2021-08-09,1.9,1.9,1.9,1.9,328
2021-08-10,1.91,1.91,1.91,1.91,10
2021-08-11,1.92,1.92,1.92,1.92,10
2021-08-12,1.91,1.91,1.91,1.91,200
2021-08-13,1.92,1.92,1.92,1.92,20
2021-08-23,1.85,1.87,1.8,1.8,2119
2021-08-24,1.82,1.89,1.82,1.89,42
2021-08-25,1.89,1.89,1.89,1.89,59
2021-08-27,1.89,1.89,1.89,1.89,168
2021-08-30,1.89,1.89,1.89,1.89,10
2021-08-31,1.89,1.89,1.89,1.89,20
2021-09-01,1.88,1.88,1.88,1.88,10
2021-09-02,1.88,1.88,1.88,1.88,10
2021-09-06,1.88,1.88,1.88,1.88,20
2021-09-08,1.87,1.87,1.87,1.87,20
2021-09-09,1.88,1.88,1.88,1.88,10
2021-09-14,1.8,1.8,1.8,1.8,20
2021-09-15,1.8,1.86,1.8,1.86,40
2021-09-16,1.88,1.92,1.8,1.92,554
2021-09-17,1.76,1.84,1.75,1.84,496
2021-09-20,1.85,1.85,1.85,1.85,10
2021-09-21,1.85,1.85,1.85,1.85,10
2021-09-22,1.65,1.74,1.641,1.74,3997
2021-09-23,1.7,1.7,1.65,1.65,80
2021-09-29,1.64,1.69,1.64,1.69,161
2021-09-30,1.65,1.74,1.65,1.74,140
2021-10-05,1.75,1.76,1.75,1.76,100
2021-10-06,1.75,1.75,1.75,1.75,100
2021-10-08,1.75,1.76,1.75,1.76,100
2021-10-12,1.77,1.77,1.77,1.77,100
2021-10-13,1.7798,1.7798,1.7798,1.7798,5
2021-10-19,1.66,1.77,1.65,1.77,211
2021-10-20,1.68,1.72,1.68,1.72,100
2021-10-25,1.64,1.64,1.6,1.6,918
2021-10-26,1.6,1.6,1.6,1.6,10
2021-10-27,1.6,1.6,1.6,1.6,10
2021-10-28,1.6,1.73,1.6,1.73,128
2021-10-29,1.66,1.66,1.66,1.66,20
2021-11-03,1.62,1.74,1.62,1.74,85
2021-11-04,1.64,1.64,1.62,1.62,40
2021-11-05,1.7,1.7,1.7,1.7,1
2021-11-09,1.68,1.68,1.68,1.68,10
2021-11-10,1.6,1.6,1.46,1.54,1056
