Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-06-14,4.94499,4.94499,3.27918,3.53646,33396.863309752
2011-06-15,3.89008,4.01885,3.60071,3.60071,7350.6043166346
2011-06-16,3.69714,4.17953,3.69714,4.17953,5760.6043166156
2011-06-17,4.17953,4.17953,3.68114,3.68114,2548.5755395988
2011-06-20,3.68114,3.8482,3.66838,3.8482,1307.4604316703
2011-06-21,3.84173,3.84173,3.66838,3.66838,3171.9928057933
2011-06-22,3.69076,4.1151,3.69076,4.1151,1968.6258993041
2011-06-28,3.85808,4.49757,3.85808,4.05076,2621.7841726932
2011-06-29,4.08319,4.08319,4.08319,4.08319,621.1294964103
2011-07-01,4.10216,4.10216,4.09893,4.09893,901.3812949748
2011-07-04,4.14718,4.66157,4.09893,4.65545,5534.1151079798
2011-07-05,4.1151,4.53315,4.1151,4.53315,4473.7338130031
2011-07-06,4.37238,4.37238,4.37238,4.37238,312.2805755433
2011-07-08,4.17953,4.17953,4.17953,4.17953,297.410071946
2011-07-13,4.27595,4.27595,4.17953,4.17953,949.424460443
2011-07-22,4.24396,4.24396,4.24396,4.24396,157.8561151098
2011-07-27,4.17647,4.62957,4.17647,4.62957,2410.1654676547
2011-07-28,4.62957,4.62957,4.62957,4.62957,1294.8776978572
2011-07-29,4.5043,4.5043,4.5043,4.5043,157.8561151098
2011-08-01,4.63316,5.19851,4.63316,5.18863,5148.6258993421
2011-08-02,4.66157,4.66157,4.66157,4.66157,157.8561151098
2011-08-03,4.62957,5.14431,4.18259,5.14431,832.7482014488
2011-08-04,4.66515,5.14431,4.66157,5.14431,2787.6474820477
2011-08-05,4.50124,4.50124,4.50124,4.50124,1865.6762590151
2011-08-08,4.50124,5.14431,4.50124,4.50124,1202.2230215971
2011-08-09,4.50124,4.82225,4.50124,4.82225,2327.8057554235
2011-08-10,4.27901,4.27901,4.27901,4.27901,157.8561151098
2011-08-11,4.49154,4.4946,4.49154,4.4946,160.143884894
2011-08-17,4.34038,4.34038,4.34038,4.34038,113.2446043179
2011-08-18,4.49154,4.82225,4.24396,4.50124,2580.6043165776
2011-08-19,4.31145,4.82225,4.30795,4.82225,1174.7697841867
2011-08-24,4.50124,5.19851,4.50124,5.14431,8117.0071943416
2011-08-25,4.50124,4.50124,4.50124,4.50124,157.8561151098
2011-08-29,4.50124,4.82225,4.50124,4.50124,901.3812949748
2011-09-01,4.46924,4.66157,4.46924,4.66157,187.5971223044
2011-09-02,4.34038,4.34038,4.34038,4.34038,157.8561151098
2011-09-05,4.34038,4.82225,4.34038,4.34659,1712.3956834737
2011-09-06,4.43672,4.66157,4.43672,4.66157,686.33093526
2011-09-08,4.17953,4.17953,4.17953,4.17953,157.8561151098
2011-09-09,4.17953,4.66157,4.17953,4.66157,370.6187050404
2011-09-14,4.34038,4.62957,4.34038,4.34038,806.4388489305
2011-09-15,4.34038,4.82225,4.34038,4.82225,529.6187050423
2011-09-19,4.34038,4.34038,4.34038,4.34038,157.8561151098
2011-09-20,4.34038,4.82225,4.34038,4.82225,187.5971223044
2011-09-21,4.34038,4.34038,4.34038,4.34038,157.8561151098
2011-09-23,4.17953,4.34038,4.17953,4.34038,187.5971223044
2011-09-26,4.34038,4.82225,4.34038,4.50124,1524.7985611693
2011-10-03,4.66157,4.82225,4.66157,4.82225,1028.3525179979
2011-10-04,5.30149,5.30149,5.30149,5.30149,60.6258992813
2011-10-05,5.14431,5.27238,4.82225,5.27238,1149.6043165605
2011-10-06,4.79025,4.79025,4.79025,4.79025,91.510791368
2011-10-07,4.50736,4.50736,4.5043,4.5043,928.8345323852
2011-10-10,4.50124,4.50124,4.50124,4.50124,157.8561151098
2011-10-11,4.34344,4.34344,4.34344,4.34344,553.6402877764
2011-10-13,4.34038,4.34038,4.34038,4.34038,157.8561151098
2011-10-20,4.18259,4.18259,4.17953,4.17953,778.9856115201
2011-10-24,4.01885,4.01885,3.85808,3.85808,466.7050359768
2011-10-25,4.01885,4.01885,3.85808,3.85808,1712.3956834737
2011-10-31,4.4946,4.4946,4.4946,4.4946,91.510791368
2011-11-09,3.85808,3.85808,3.85808,3.85808,51.4748201445
2011-11-10,3.85808,4.01561,3.85808,4.01561,466.7050359768
2011-11-14,4.01561,4.01885,4.01561,4.01885,590.2446043236
2011-11-15,4.01885,4.01885,4.01885,4.01885,312.2805755433
