Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-17,1.5164,1.5764,1.2311,1.2311,73529
2011-05-18,1.3161,1.4713,1.0009,1.3513,51142
2011-05-19,1.4013,1.4263,1.081,1.116,70704
2011-05-20,1.176,1.176,1.126,1.161,1516
2011-05-23,1.086,1.156,1.086,1.156,3077
2011-05-25,1.076,1.161,1.076,1.161,4381
2011-05-26,1.131,1.161,1.086,1.1109,8840
2011-05-27,1.116,1.116,1.116,1.116,1898
2011-05-30,1.101,1.2412,1.101,1.2412,4827
2011-05-31,1.126,1.126,1.126,1.126,2168
2011-06-01,1.176,1.176,1.126,1.176,13
2011-06-02,1.2262,1.2262,1.2262,1.2262,7
2011-06-03,1.2412,1.2412,1.141,1.141,8
2011-06-06,1.176,1.2361,1.101,1.126,18786
2011-06-07,1.1661,1.1661,1.1661,1.1661,7
2011-06-08,1.076,1.141,1.0509,1.076,6009
2011-06-09,1.126,1.126,1.0009,1.101,8010
2011-06-14,1.026,1.026,1.0009,1.0009,5396
2011-06-15,1.086,1.086,1.086,1.086,7
2011-06-16,1.0009,1.026,0.9509,0.9509,10595
2011-06-17,0.9509,0.9509,0.9509,0.9509,2089
2011-06-22,0.9008,0.9509,0.9008,0.9509,3002
2011-06-27,0.9008,0.9258,0.9008,0.9258,1003
2011-06-29,0.8958,0.8958,0.8958,0.8958,1000
2011-06-30,0.9458,0.9458,0.9458,0.9458,7
2011-07-01,0.8759,0.8759,0.8759,0.8759,2998
2011-07-04,0.9509,0.9509,0.9509,0.9509,179
2011-07-15,0.8507,0.8507,0.7606,0.8007,21147
2011-07-18,0.8507,0.9509,0.8507,0.9509,2600
2011-07-19,0.9258,1.096,0.9258,1.096,7818
2011-07-20,0.9509,0.9509,0.9458,0.9458,3002
2011-07-22,0.9509,1.0359,0.9509,1.0359,3000
2011-07-25,0.9008,0.9008,0.8507,0.8759,7000
2011-07-27,0.8458,0.8558,0.8007,0.8558,10400
2011-07-28,0.8158,0.8158,0.8158,0.8158,2920
2011-07-29,0.8608,0.8608,0.8608,0.8608,2004
2011-08-03,0.8108,0.8108,0.7507,0.7507,7263
2011-08-04,0.7507,0.7507,0.7207,0.7207,4996
2011-08-05,0.7257,0.7257,0.7257,0.7257,5993
2011-08-09,0.7257,0.7507,0.7257,0.7507,4171
2011-08-10,0.7006,0.7006,0.6757,0.6757,5993
2011-08-11,0.6856,0.7006,0.6506,0.6856,5507
2011-08-12,0.6856,0.6956,0.6856,0.6956,5613
2011-08-16,0.7507,0.7507,0.7507,0.7507,10
2011-08-24,0.6757,0.8958,0.6757,0.7507,8885
2011-08-25,0.8507,0.8507,0.8507,0.8507,7
2011-08-26,0.9509,0.9509,0.9509,0.9509,7
2011-09-20,0.8458,0.9509,0.8458,0.9509,7978
2011-09-21,0.8007,0.8458,0.7606,0.8458,8735
2011-09-22,0.8007,0.8007,0.8007,0.8007,3982
2011-09-23,0.8507,0.8507,0.8507,0.8507,10
2011-09-26,0.7006,0.8007,0.7006,0.8007,3256
2011-09-29,0.6856,0.8909,0.6806,0.8558,126667
2011-09-30,0.8759,0.8759,0.7507,0.8608,52875
2011-10-03,0.8258,0.8308,0.8258,0.8308,22445
2011-10-04,0.8308,0.8308,0.8308,0.8308,9112
2011-10-05,0.8308,0.8909,0.8308,0.8909,71797
2011-10-06,0.8909,0.9008,0.8909,0.9008,8153
2011-10-07,0.8759,0.8808,0.8759,0.8808,7193
2011-10-10,0.8808,0.9008,0.8808,0.9008,27173
2011-10-11,0.9008,0.9108,0.8958,0.9108,17374
2011-10-12,0.9058,0.9108,0.9058,0.9108,21374
2011-10-13,0.9108,0.9308,0.8909,0.9209,123486
2011-10-14,0.9308,0.9308,0.8507,0.9108,11299
2011-10-17,0.8958,0.8958,0.8258,0.8258,2227
2011-10-18,0.8458,0.8507,0.8258,0.8258,2298
2011-10-19,0.9008,0.9008,0.8258,0.8258,4229
2011-10-20,0.8507,0.8507,0.8507,0.8507,3210
2011-10-21,0.8507,0.8507,0.8258,0.8507,2325
2011-10-24,0.8258,0.8258,0.8258,0.8258,13386
2011-10-28,0.8258,0.8258,0.8258,0.8258,200
2011-10-31,0.8258,0.8258,0.8258,0.8258,1898
2011-11-02,0.8308,0.8308,0.8308,0.8308,1997
2011-11-03,0.8258,0.8258,0.8258,0.8258,1997
2011-11-04,0.8408,0.8408,0.8258,0.8408,5820
2011-11-07,0.8258,0.8258,0.8258,0.8258,3996
2011-11-14,0.8308,0.8308,0.8308,0.8308,3936
2011-11-15,0.8308,0.8308,0.8207,0.8207,10535
2011-11-17,0.8408,0.8408,0.8408,0.8408,8022
2011-11-21,0.8258,0.8258,0.8258,0.8258,15985
2011-11-22,0.8308,0.8308,0.8258,0.8258,15815
2011-11-23,0.8258,0.8258,0.8258,0.8258,5993
2011-11-25,0.8308,0.8308,0.8308,0.8308,200
2011-11-28,0.8258,0.8258,0.8258,0.8258,135
2011-12-07,0.8007,0.8007,0.8007,0.8007,2318
2011-12-16,0.7257,0.7257,0.7257,0.7257,2998
2011-12-20,0.6506,0.6506,0.6456,0.6456,3996
2011-12-22,0.5755,0.6706,0.5755,0.6706,3999
2011-12-23,0.5454,0.6706,0.5454,0.6706,3497
2011-12-30,0.571,0.571,0.571,0.571,979
2012-01-02,0.5755,0.5755,0.5755,0.5755,1997
2012-01-05,0.5755,0.6506,0.5755,0.5755,226
2012-01-10,0.6506,0.6506,0.5755,0.5755,20
2012-01-16,0.6006,0.6907,0.6006,0.6907,3197
2012-01-30,0.5755,0.6757,0.5755,0.6757,4000
2012-01-31,0.6721,0.6721,0.6721,0.6721,2309
2012-02-01,0.6706,0.6706,0.6706,0.6706,2
2012-02-07,0.6506,0.7456,0.6506,0.7407,92910
2012-03-13,0.7257,0.7407,0.7257,0.7407,7994
2012-03-14,0.7606,0.8759,0.7606,0.7606,6214
2012-03-15,0.7707,0.7707,0.7507,0.7507,2998
2012-03-16,0.7858,0.9008,0.7257,0.7257,50953
2012-03-19,0.7257,0.7257,0.7257,0.7257,1997
2012-03-20,0.8007,0.8007,0.8007,0.8007,2
2012-03-21,0.7958,0.7958,0.7257,0.7257,5295
2012-03-23,0.6806,0.6806,0.6757,0.6757,3397
2012-03-26,0.6757,0.6757,0.6506,0.6506,6694
2012-03-28,0.7006,0.7507,0.7006,0.7507,5145
2012-03-29,0.7507,0.7557,0.7507,0.7507,24708
2012-03-30,0.7435,0.7494,0.678,0.7018,8192
2012-04-02,0.7507,0.9008,0.7507,0.8057,93436
2012-04-03,0.8408,0.8657,0.8308,0.8308,6707
2012-04-04,0.8657,0.8657,0.8657,0.8657,1000
2012-04-05,0.8657,0.8657,0.8258,0.8558,10191
2012-04-10,0.8558,0.8657,0.8558,0.8657,4095
2012-04-11,0.8657,0.8657,0.8657,0.8657,819
2012-04-12,0.8657,0.9209,0.8657,0.8708,16584
2012-04-13,0.8708,0.8958,0.8708,0.8958,4899
2012-04-16,0.8909,0.8909,0.8759,0.8759,3427
2012-04-17,0.8759,0.8858,0.8357,0.8507,18643
2012-04-18,0.8858,0.8858,0.8308,0.8507,4000
2012-04-19,0.8007,0.8458,0.7808,0.8007,10280
2012-04-20,0.8507,0.8808,0.8458,0.8458,5489
2012-04-23,0.8458,0.8458,0.8458,0.8458,2998
