Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-12-04,3.81,4,3.3,3.69,4547
2017-12-05,3.49,3.49,2.8,2.8,2430
2017-12-06,2.79,3.2,2.79,2.91,2202
2017-12-07,3,3,2.94,2.94,500
2017-12-08,2.95,3.15,2.95,3.15,165
2017-12-11,3.15,3.15,2.97,2.97,368
2017-12-12,2.97,3.05,2.95,3.05,830
2017-12-13,3.06,3.06,3,3,125
2017-12-15,3.19,3.19,3.19,3.19,5
2017-12-18,3.19,3.19,3.19,3.19,10
2017-12-19,3.19,3.19,3.19,3.19,5
2017-12-20,3.19,3.19,2.9,2.9,405
2017-12-27,3.04,3.19,3.04,3.19,380
2017-12-28,3.1,3.1,2.95,2.95,556
2017-12-29,2.95,2.95,2.95,2.95,356
2018-01-05,2.9,2.9,2.5,2.5,857
2018-01-15,2.6,2.66,2.57,2.66,671
2018-01-18,2.68,2.68,2.68,2.68,16
2018-01-22,2.7,3.02,2.7,3.02,410
2018-01-23,3.02,3.7,3.02,3.5,565
2018-01-24,3.5,3.5,3.5,3.5,15
2018-01-25,3.36,3.36,3.3,3.3,310
2018-01-30,3.16,3.16,3.02,3.04,1249
2018-02-06,3.16,3.2,3.16,3.2,100
2018-02-07,3.2,3.2,3.2,3.2,5
2018-02-12,3.2,3.2,3.2,3.2,10
2018-02-13,3.2,3.38,3.18,3.28,1090
2018-02-15,3.22,3.22,3.22,3.22,329
2018-02-19,3.2,3.2,3.1,3.1,160
2018-02-20,3.1,3.1,3.1,3.1,106
2018-02-21,3.1,3.1,3.1,3.1,12
2018-02-22,3.1,3.1,3.1,3.1,10
2018-02-23,3.1,3.1,3.1,3.1,6
2018-02-26,3.1,3.1,3.1,3.1,37
2018-02-27,3.1,3.1,3.1,3.1,6
2018-02-28,3.1,3.1,3.1,3.1,13
2018-03-07,3.02,3.1,2.5,3.1,1210
2018-03-21,2.5,2.88,2.5,2.88,2000
2018-03-26,2.64,2.64,2.64,2.64,171
2018-03-27,2.7,2.7,2.7,2.7,50
