Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-24,51.9161,55.6944,45.9476,48.3366,1607125.1560163
2006-10-25,50.9262,51.2419,48.7334,50.5258,289652.09247599
2006-10-26,51.4791,51.4791,48.1368,48.1368,141994.54334792
2006-10-27,48.1368,48.7334,47.7391,48.3366,128875.43352176
2006-10-30,49.0928,49.0928,46.1464,47.1416,65072.982656813
2006-10-31,47.6597,47.7783,46.9427,47.7391,42155.190750054
2006-11-02,47.8978,47.8978,47.3414,47.5393,121999.08670118
2006-11-03,47.7391,47.7391,47.2611,47.46,19939.387282579
2006-11-06,47.7391,48.9331,46.9427,48.1368,30173.167629062
2006-11-07,49.3318,50.7657,48.1368,50.6863,95286.52022807
2006-11-08,50.9262,50.9262,49.3318,50.9262,25846.855490477
2006-11-09,50.5258,50.8852,50.1254,50.1254,19164.508669888
2006-11-10,50.1254,50.1254,49.4495,49.8115,12548.323699008
2006-11-13,50.1254,50.1254,49.3318,49.3318,38660.947975603
2006-11-14,49.1311,49.5306,48.1368,48.9331,48427.109824992
2006-11-15,49.6893,49.6893,47.7783,48.2171,25483.52601072
2006-11-16,48.4953,49.6893,48.4953,48.9331,87596.046239885
2006-11-17,49.0125,49.5306,48.6148,48.9331,69897.190749139
2006-11-20,48.9331,49.3318,48.6148,49.1311,38250.520229952
2006-11-21,49.3318,50.0059,49.1311,49.7286,51854.069362451
2006-11-22,49.7286,50.4857,49.7286,50.3252,118034.98265507
2006-11-23,50.4857,50.4857,50.1254,50.3252,33667.410403514
2006-11-24,50.3252,51.3213,50.1254,51.0805,81985.745662035
2006-11-27,51.3213,53.7067,51.3213,53.4659,177484.20808663
2006-11-28,52.3896,53.5854,51.8358,53.5854,65436.31213657
2006-11-29,53.5078,54.9007,52.9104,54.8187,77715.50288761
2006-11-30,54.9007,55.4545,54.2239,54.6225,47728.485547558
2006-12-01,54.9007,55.6578,54.2658,55.492,72224.069361779
2006-12-04,55.6944,58.4785,55.2236,57.7642,71035.398841587
2006-12-05,58.5195,58.6782,58.0825,58.4785,74786.439303891
2006-12-06,58.5543,58.8771,57.0909,57.485,230637.96531031
2006-12-07,57.485,58.6782,57.485,58.4785,30548.832368934
2006-12-08,58.8343,58.8343,57.7205,58.169,40818.49710848
2006-12-11,58.4089,58.4089,57.2862,57.403,29807.595374739
2006-12-12,57.6875,57.6875,56.6905,57.0463,156762.09248038
2006-12-13,56.8118,57.2862,56.2963,56.2963,33427.433524909
2006-12-14,56.3677,57.2113,54.2239,55.6944,51236.184969408
2006-12-15,54.9007,56.4881,53.3036,56.4881,83625.213870074
2006-12-18,56.4881,57.2496,55.3011,57.2113,60211.768784141
2006-12-19,57.0909,57.2496,56.093,57.0909,133992.323695
2006-12-20,56.4881,57.6875,55.3332,56.093,84545.872829581
2006-12-21,55.1041,55.6944,55.1041,55.3332,29717.884392083
2006-12-22,55.3332,55.6944,54.9391,55.3011,74592.439303898
2006-12-27,55.3011,56.4497,55.3011,56.093,28162.520230285
2006-12-28,56.093,56.4881,55.3011,56.4881,47686.99421808
2006-12-29,55.0202,59.6761,55.0202,59.6761,115200.11560314
2007-01-02,58.8771,59.2382,58.4785,58.4785,33193.06358272
2007-01-03,58.7941,58.7941,56.6905,57.37,52305.988437581
2007-01-04,57.2862,57.2862,55.8968,56.2963,41629.260114234
2007-01-05,56.6905,59.4719,56.4881,58.4392,156250.73987924
2007-01-08,58.4785,59.3961,56.8929,59.3961,35802.531790726
2007-01-09,59.0741,61.2652,58.4785,60.8675,121257.84970698
2007-01-10,61.2652,61.6674,60.3066,61.2652,24639.12138647
2007-01-11,60.6695,62.6626,60.6695,62.5386,43729.618495667
2007-01-12,63.2565,63.4553,61.901,62.2203,76174.716760493
2007-01-15,62.8507,65.6455,62.0526,65.1657,35410.046241606
2007-01-16,65.6455,65.6455,63.4116,65.1657,40173.69942064
2007-01-17,64.8536,64.8536,63.6551,64.0483,37688.705201069
2007-01-18,64.4104,65.4386,63.6551,65.2897,85035.919072339
2007-01-19,65.2406,65.2406,63.9743,64.4487,32371.086704134
2007-01-22,63.7362,64.4487,63.5365,64.0483,92526.786124115
2007-01-23,64.2472,64.2472,62.0526,63.6551,68776.924853222
2007-01-24,63.6925,64.4487,63.2565,64.4487,30314.462426746
2007-01-25,64.8839,65.7578,64.8839,65.6455,100460.60115276
2007-01-26,65.2897,65.5581,63.6551,64.8536,46642.982657421
2007-01-29,65.2085,67.5057,64.4487,66.7566,68136.612714515
2007-01-30,66.9189,67.1561,65.6455,66.8369,36559.468206886
2007-01-31,66.0325,67.5057,66.0325,66.8369,37291.734102816
2007-02-01,67.5057,68.3876,67.231,67.668,48450.658957939
2007-02-02,68.2235,70.4146,68.0282,69.8189,25945.537571398
2007-02-05,69.6209,70.9015,69.2223,70.2157,22636.323698675
2007-02-06,70.2157,70.4146,69.2223,69.8189,10058.843930304
2007-02-07,68.6676,69.6209,68.0737,68.8246,24661.549132134
2007-02-08,68.4215,68.4215,63.0995,65.4386,67020.832367731
2007-02-09,64.8839,66.6309,64.8839,65.4769,35718.427744486
2007-02-12,65.6455,66.4819,64.8536,66.4819,122392.69363758
2007-02-13,66.9555,67.8356,66.4819,67.231,88693.884390138
2007-02-14,68.4215,68.4215,67.231,67.7108,15407.861271168
2007-02-15,68.1816,68.1816,64.4487,65.6455,25804.242773715
2007-02-16,65.6455,67.6305,65.6455,65.6455,31458.27745561
2007-02-19,67.1186,67.1186,65.0034,66.7566,104989.8843896
2007-02-20,66.7566,66.7941,65.6455,65.6455,32876.832368858
2007-02-21,66.432,66.6309,65.4386,65.6455,64679.37572041
2007-02-22,65.7204,66.432,65.4386,66.2385,127440.05779926
2007-02-23,66.432,66.432,65.2085,65.4386,181155.63005183
2007-02-26,66.6754,66.6754,65.4769,65.4769,20594.277455968
2007-02-27,65.4769,65.6455,61.5042,61.6674,52911.537570509
2007-02-28,60.3485,63.6925,60.3485,63.6925,133994.56646957
2007-03-01,64.4487,65.2085,62.6626,63.6551,58886.289015398
2007-03-02,63.4553,65.2406,62.4637,64.653,58372.693639693
2007-03-05,62.6626,64.4104,61.1073,63.7362,66282.959535386
2007-03-06,62.8935,64.653,62.8935,64.5727,24514.647398035
2007-03-07,64.653,65.6455,64.4487,65.6455,56902.554911418
2007-03-08,65.6455,67.4236,65.6455,66.869,47574.85548976
2007-03-09,67.5485,69.4149,67.0375,67.6305,101557.31791572
2007-03-12,67.6305,69.2223,67.6305,68.4634,34597.040461286
2007-03-13,68.6213,68.6213,68.4215,68.5035,132615.26011123
2007-03-14,67.231,68.6213,66.0325,68.6213,40012.219651859
2007-03-15,68.4215,69.1813,68.4215,68.6213,49656.150287379
2007-03-16,68.8246,69.579,68.4215,68.4215,140001.83814567
2007-03-19,69.3801,69.3801,67.6305,68.4215,10205.745664403
2007-03-20,68.4215,68.8246,67.231,68.3876,17069.75722487
2007-03-21,67.6305,68.4634,67.6305,68.4215,96179.144505498
2007-03-22,68.6213,69.1813,68.4215,68.6213,22267.387282502
2007-03-23,69.1813,69.1813,67.6305,68.5856,19202.635837517
2007-03-26,67.668,68.4215,67.668,68.2235,13433.098265453
2007-03-27,67.7482,68.4215,67.7482,68.4215,32740.023120307
2007-03-28,68.3876,68.6213,67.6305,68.6213,23156.64739808
2007-03-29,67.7108,68.6213,67.7108,68.4634,18392.994219046
2007-03-30,68.4215,70.0177,68.2235,68.2235,105587.58381155
2007-04-02,69.2223,69.5371,67.668,69.5371,14296.566473517
2007-04-03,69.6209,69.6209,68.0282,69.1813,7413.4913292352
2007-04-04,69.2223,70.0177,69.2223,69.6209,37919.710981408
2007-04-05,69.6209,69.8189,69.2223,69.6209,9734.7630054592
2007-04-10,69.6209,70.4146,69.6209,70.2157,54072.173408621
2007-04-11,70.4618,74.2018,70.4618,73.9557,71173.329477421
2007-04-12,74.2018,74.2232,70.4146,71.8119,25417.364161011
2007-04-13,72.0099,73.599,72.0099,72.8054,58087.86126976
2007-04-16,73.599,73.599,72.8803,73.1951,49040.508668902
2007-04-17,72.9561,73.3591,72.4834,73.1951,94030.566470886
2007-04-18,73.3591,77.5798,73.3591,73.7916,54442.231212077
2007-04-19,73.9896,74.2018,70.8123,72.5994,30372.774565472
2007-04-20,71.853,73.1951,71.853,72.8054,24546.046241965
2007-04-23,72.8054,73.558,72.0099,73.1951,164836.08091942
2007-04-24,73.237,73.558,72.3943,73.1951,196909.9999935
2007-04-25,71.2163,71.2163,69.6949,70.8123,79893.236991584
2007-04-26,71.2163,71.2163,69.8938,70.8123,28115.42196439
2007-04-27,69.6209,70.8123,69.6209,70.4146,4049.3294796352
2007-04-30,69.6209,71.6068,65.04,71.6068,53463.260113843
2007-05-02,71.573,71.6068,69.6209,69.8189,9845.780346496
2007-05-04,69.6209,71.2163,69.6209,71.2163,17168.439305792
2007-05-07,71.0174,71.0174,70.4146,70.4146,11355.167629683
2007-05-08,70.4146,70.4146,68.0737,68.4215,29711.156068384
2007-05-09,67.6305,68.4215,65.4769,66.0325,43156.589593952
2007-05-10,65.7953,66.0325,61.9367,62.8935,33436.404623174
2007-05-11,61.7013,62.8507,61.621,62.8507,40946.335258765
2007-05-14,66.6309,66.6309,62.8507,63.6551,54537.549131149
2007-05-15,64.4487,65.04,62.8935,62.8935,41370.219651814
2007-05-16,64.4104,64.4104,62.931,63.0193,118788.55490938
2007-05-17,63.2565,64.0483,62.8935,63.0558,129321.74566047
2007-05-18,63.0558,65.2406,62.931,63.8548,100992.13872499
2007-05-21,65.4386,65.6455,64.1669,64.4487,17767.260115021
2007-05-22,65.4386,65.4386,63.6551,63.7362,51505.317917376
2007-05-23,64.0483,65.04,63.6551,64.4487,9855.8728320448
2007-05-24,65.04,68.4215,64.8536,68.4215,101346.49710648
2007-05-25,67.8356,69.6209,67.8356,68.8246,91720.508667494
2007-05-28,70.6544,70.6544,69.0582,69.6949,23777.895952973
2007-05-29,70.6125,70.8462,69.1483,69.6619,74417.502887718
2007-05-30,67.2747,69.6619,67.2747,69.2642,23828.358380717
2007-05-31,69.7431,71.2582,69.6619,71.2582,64234.184968979
2007-06-01,70.8462,70.8462,69.8938,69.8938,72275.653176806
2007-06-04,70.6125,70.6125,67.1927,68.2708,106049.59537222
2007-06-05,68.4634,68.4634,66.869,68.0737,57129.075142624
2007-06-06,67.305,67.305,64.5228,64.5228,16921.734103488
2007-06-08,63.8049,64.4853,63.0933,63.8923,115174.32369562
2007-06-11,65.2843,66.6309,65.0837,66.6309,32972.15028793
2007-06-12,65.6776,66.8369,65.2843,65.2843,5443.2138726528
2007-06-13,64.0867,64.8839,63.2939,64.1233,15035.560693146
2007-06-14,64.8839,66.4819,64.8839,66.4819,61460.994217626
2007-06-15,66.6754,67.0375,66.6754,66.6754,20833.13294729
2007-06-18,66.8369,66.8369,65.0837,66.6005,44431.60693495
2007-06-19,65.6776,66.4819,65.1149,66.4819,8357.6994216896
2007-06-20,66.869,67.1561,65.6776,66.4819,16539.341039917
2007-06-21,66.6754,66.6754,63.2939,63.2939,119297.66473595
2007-06-22,65.6455,65.6455,64.2106,65.2843,121317.28323299
2007-06-25,65.3146,65.3146,64.4853,65.2843,77688.589592813
2007-06-26,65.0837,66.432,65.0837,66.3134,207476.8323631
2007-06-27,66.4819,67.7108,64.8839,67.7108,199147.16762349
2007-06-28,67.668,67.668,65.2843,66.201,80206.104043597
2007-06-29,65.2843,66.201,64.8839,65.2843,46354.786125638
2007-07-02,66.3937,66.3937,64.4853,65.2843,61798.531789869
2007-07-03,64.4853,65.2843,64.0867,64.0867,6104.8323697408
2007-07-04,63.6863,64.8839,62.931,64.0867,18677.826588979
2007-07-05,64.0867,64.4853,62.931,64.0483,5257.0635836416
2007-07-06,64.0483,64.0867,62.4075,63.0933,41792.982657581
2007-07-09,63.3305,64.4416,63.0933,64.4416,63481.734101952
2007-07-10,64.3658,64.6476,63.2939,63.6863,210002.19652486
2007-07-11,63.4865,63.6863,62.4949,62.4949,182167.12138127
2007-07-12,62.4949,62.4949,59.7528,60.1443,31228.393062554
2007-07-13,60.2254,61.061,60.1086,61.061,3930.462427616
2007-07-16,60.1086,61.2589,58.1111,58.2814,15227.317918573
2007-07-17,57.9167,57.9167,55.3332,56.4069,65548.45086489
2007-07-18,57.123,58.1111,56.4069,56.7244,24734.439305542
2007-07-19,56.9206,57.6384,56.7244,57.321,47994.254333677
2007-07-20,57.321,60.1086,57.123,60.1086,110731.38727958
2007-07-23,61.061,62.0526,60.9094,61.9367,8135.664739616
2007-07-24,62.0954,62.0954,60.9094,61.58,188037.58380883
2007-07-25,60.2655,61.7013,60.2655,61.7013,36264.543351405
2007-07-26,61.2589,61.3,57.321,59.5138,2570.2196530944
2007-07-27,56.7244,58.5962,54.9284,58.5195,9632.716762688
2007-07-30,58.4731,59.7055,56.1278,59.7055,3747.6763004544
2007-07-31,60.5063,60.5063,59.314,59.7055,4342.0115605504
2007-08-01,58.9065,59.314,57.7205,57.873,29467.81502793
2007-08-02,58.9065,61.7013,58.5195,61.7013,11075.942196166
2007-08-03,60.5063,63.2502,60.5063,63.2502,69449.757223142
2007-08-06,59.7528,62.0954,59.7528,61.7013,18630.728323085
2007-08-07,61.4979,63.1744,61.4979,63.1744,24626.786126355
2007-08-08,63.2502,63.2502,61.7013,62.8935,37254.72832247
2007-08-09,62.1703,62.7687,61.9768,61.9768,3099.5144507648
2007-08-10,59.0278,61.7013,58.6372,60.5063,14917.81502841
2007-08-13,61.3,62.0169,60.5063,61.901,13648.404623827
2007-08-14,59.7528,62.4949,59.7055,61.7013,34230.34681968
2007-08-16,59.7055,59.7528,56.686,56.686,34526.393062445
2007-08-17,56.6477,61.7013,51.7457,58.1111,15384.312138221
2007-08-20,58.3099,59.5138,56.5273,58.5195,36934.011559475
2007-08-21,56.9206,57.7205,54.5717,57.7205,10414.323699078
2007-08-22,57.7205,61.3,57.7205,60.9094,29725.734103066
