Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-12-23,10.9193,12.8479,10.7809,11.8836,280826.83823665
2004-12-24,12.1253,12.607,11.9524,12.607,48087.514706114
2004-12-27,13.1232,14.7773,12.9167,14.7429,300460.00000145
2004-12-28,15.1902,16.7051,14.7773,15.948,285777.54411902
2004-12-29,16.0857,16.2233,14.7773,15.1902,120805.27941235
2004-12-30,14.7429,14.7773,13.9154,13.9842,123220.82353001
2004-12-31,14.1571,14.9493,14.1571,14.7773,51430.705882601
2005-01-03,14.9493,15.5704,14.7773,15.1214,65278.279412079
2005-01-04,15.1214,15.1566,14.7773,14.8453,25411.426470711
2005-01-05,14.9493,14.9493,14.5364,14.7773,23248.544117759
2005-01-06,14.2939,14.57,14.1923,14.2939,20560.808823629
2005-01-07,14.2939,14.6388,14.2939,14.466,9789.117647106
2005-01-10,14.3292,14.3292,13.6393,13.7434,20435.088235393
2005-01-11,13.6057,13.6057,12.9511,12.9511,43507.867647268
2005-01-12,12.8479,13.1576,12.8479,13.02,16369.308823608
2005-01-13,13.1576,13.1928,12.8479,12.9167,12580.602941237
2005-01-14,12.9511,12.9864,12.5382,12.7439,26158.426470714
2005-01-17,12.5718,12.7103,12.0909,12.2277,29727.426470731
2005-01-18,12.1253,12.2277,11.5739,11.7796,30395.088235441
2005-01-19,11.746,12.7103,11.6075,12.6414,46304.235294341
2005-01-20,12.5382,12.5382,12.1589,12.2629,9958.7794118127
2005-01-21,12.3653,12.4694,11.9524,12.2277,10183.367647108
2005-01-24,12.2629,12.2629,11.8836,12.2277,7802.0000000376
2005-01-25,12.2629,13.1576,12.2277,13.1232,47903.205882584
2005-01-26,13.5025,13.7778,12.8831,13.2264,57097.897059099
2005-01-27,13.2608,13.3305,12.8479,13.1576,29283.132353082
2005-01-28,13.2264,13.2264,12.9864,13.1928,14905.823529484
2005-01-31,13.1928,13.5025,13.02,13.3305,19397.588235388
2005-02-01,13.3305,13.3305,13.1576,13.296,5918.6323529697
2005-02-02,13.3305,13.3305,13.02,13.1928,9765.9264706353
2005-02-03,13.0896,13.1928,12.9511,12.9864,6439.8235294428
2005-02-04,12.9864,13.1576,12.9864,13.0535,8578.2941176884
2005-02-07,13.0535,13.0535,12.7103,12.9864,20708.5000001
2005-02-08,12.8479,12.9864,12.7439,12.9864,5913.7500000285
2005-02-09,13.0535,13.0535,12.8135,12.9511,3352.9558823691
2005-02-10,12.8479,12.9511,12.8135,12.9511,3533.6029411935
2005-02-11,12.9167,12.9167,12.7791,12.8479,4687.058823552
2005-02-14,12.8135,12.8135,12.5382,12.5382,12362.117647118
2005-02-15,12.5382,12.5382,12.1253,12.3653,15567.382353016
2005-02-16,12.7103,12.9511,12.3653,12.5382,18937.42647068
2005-02-17,12.3989,12.8135,12.2629,12.7103,9050.6617647495
2005-02-18,12.7103,12.7103,12.5382,12.7103,2973.3529411908
2005-02-21,12.5382,12.7103,12.3989,12.7103,2015.1911764803
2005-02-22,12.5718,12.5718,12.3653,12.5382,3310.2352941336
2005-02-23,12.5382,12.5382,12.3989,12.3989,6690.0441176793
2005-02-24,12.3989,13.1576,12.3653,13.0896,26175.514706009
2005-02-25,13.1928,13.3305,12.8479,13.0896,25282.044117769
2005-02-28,12.9167,12.9167,12.7103,12.7439,3398.1176470752
2005-03-01,12.7103,12.9167,12.6767,12.7439,2060.3529411864
2005-03-02,12.6767,12.7103,12.4694,12.5718,4433.1764706096
2005-03-03,12.4694,12.7103,12.3653,12.4694,5065.441176495
2005-03-04,12.6767,12.6767,12.3989,12.3989,1860.1764705972
2005-03-07,12.3653,12.5382,12.3653,12.5038,7749.5147059197
2005-03-08,12.5038,12.5038,12.2277,12.3318,2149.4558823633
2005-03-09,12.4694,12.4694,12.2629,12.2973,2016.4117647156
2005-03-10,12.2973,12.3989,12.2973,12.2973,900.7941176514
2005-03-11,12.2973,12.3318,11.9524,12.2277,2104.2941176572
2005-03-14,12.2277,12.2277,12.0909,12.2277,809.2500000039
2005-03-15,12.0557,12.0557,11.8836,11.9524,5888.1176470872
2005-03-16,11.8836,11.8836,11.4355,11.7107,14498.147058893
2005-03-17,11.5739,11.6075,11.4011,11.4355,6488.6470588548
2005-03-18,11.5043,11.6427,11.4011,11.5739,7170.9558823875
2005-03-21,11.5739,11.6772,11.3667,11.5739,12186.352941235
2005-03-22,11.4707,11.5739,11.4011,11.5043,9647.5294118112
2005-03-23,11.5043,11.5387,11.229,11.3667,5540.2500000267
2005-03-24,11.229,11.2987,11.0914,11.1602,3025.8382353087
2005-03-29,11.2642,11.2642,11.1602,11.1938,1409.7794117715
2005-03-30,11.2642,11.7796,11.2642,11.7796,6116.3676470883
2005-03-31,11.6075,11.7796,11.5739,11.5739,2941.617647073
2005-04-01,11.814,11.814,11.4011,11.4355,1786.9411764792
2005-04-04,11.4011,11.4011,11.1938,11.1938,2085.9852941277
2005-04-05,11.2642,11.2642,11.1602,11.1938,1288.9411764768
2005-04-06,11.1602,11.3322,11.1602,11.3322,1854.0735294207
2005-04-07,11.2642,11.3667,11.2642,11.3667,1025.294117652
2005-04-11,11.3667,11.3667,11.2642,11.2642,1245.000000006
2005-04-12,11.229,11.2642,11.229,11.2642,559.0294117674
2005-04-13,11.2642,11.2642,10.8161,10.9193,2663.3235294246
2005-04-14,10.9193,10.9193,10.4032,10.8497,4189.0588235496
2005-04-15,10.7809,10.7809,10.5056,10.7809,5104.5000000246
2005-04-18,10.7809,10.7809,10.2991,10.368,6546.0147059139
2005-04-19,10.2991,10.3327,10.2303,10.3327,2037.1617647157
2005-04-20,10.3327,10.4032,10.0574,10.2991,3976.6764706074
2005-04-21,10.368,10.4032,10.0927,10.2639,1585.5441176547
2005-04-22,10.4032,10.7809,10.4032,10.5744,2931.8529411906
2005-04-25,10.6096,10.7809,10.4704,10.7809,2298.3676470699
2005-04-26,10.7809,10.8497,10.4704,10.4704,4621.1470588458
2005-04-27,10.4704,10.4704,10.4704,10.4704,201.3970588245
2005-04-28,10.2991,10.2991,10.2639,10.2991,2481.4558823649
2005-04-29,10.4704,10.4704,10.1959,10.4704,557.8088235321
2005-05-02,10.4704,10.4704,10.4704,10.4704,314.9117647074
2005-05-04,10.5408,10.6776,10.4032,10.4032,1119.2794117701
2005-05-05,10.6096,10.6096,10.6096,10.6096,778.7352941214
2005-05-06,10.2991,10.2991,9.61012,10.1263,9394.8676471041
2005-05-09,10.0574,10.0574,9.64453,9.64453,8409.852941217
2005-05-10,9.67894,9.78217,9.61012,9.74776,3022.1764706028
2005-05-11,9.61012,9.78217,9.57571,9.78217,2614.5000000126
2005-05-12,9.78217,9.78217,9.57571,9.57571,283.1764705896
2005-05-13,9.43807,9.64453,9.2652,9.64453,3177.1911764859
2005-05-16,9.64453,9.67894,9.40284,9.61012,2272.7352941286
2005-05-17,9.40284,9.40284,8.92029,8.95552,7241.7500000349
2005-05-18,9.12839,9.16198,9.09316,9.12839,2339.8676470701
2005-05-19,9.02516,9.23161,9.02516,9.23161,2553.4705882476
2005-05-20,9.05875,9.23161,9.05875,9.23161,353.970588237
2005-05-23,9.2652,9.2652,8.92029,9.19639,8625.8970588651
2005-05-24,9.2652,9.5413,9.2652,9.36843,10739.955882405
2005-05-25,9.33484,9.36843,9.2652,9.36843,6060.2205882645
2005-05-27,9.36843,9.36843,9.2652,9.33484,2453.382352953
2005-05-30,9.33484,9.43807,9.2652,9.43807,5203.3676470839
2005-05-31,9.43807,10.1607,9.36843,10.1263,30087.500000145
2005-06-01,10.0574,10.0574,9.81658,9.91981,6952.4705882688
2005-06-02,9.81658,10.0574,9.74776,9.74776,4043.8088235489
2005-06-03,9.67894,9.78217,9.57571,9.74776,4270.8382353147
2005-06-06,9.64453,9.8854,9.64453,9.8854,4020.6176470782
2005-06-07,9.98863,10.2991,9.95422,10.1263,12445.117647119
2005-06-08,10.2639,10.2991,9.8854,10.0239,10627.661764757
2005-06-09,10.1959,10.1959,9.81658,9.95422,3352.9558823691
2005-06-10,9.95422,9.95422,9.74776,9.95422,2648.676470601
2005-06-13,9.81658,9.95422,9.78217,9.91981,3161.323529427
2005-06-14,9.81658,9.8854,9.71335,9.8854,4862.8235294352
2005-06-15,9.81658,9.81658,9.64453,9.64453,4420.9705882566
2005-06-16,9.61012,9.74776,9.57571,9.64453,2422.8676470705
2005-06-17,9.61012,9.61012,9.43807,9.5413,7903.3088235675
2005-06-20,9.36843,9.5413,9.23161,9.29961,9405.8529412218
2005-06-21,9.29961,9.29961,9.16198,9.2652,6218.8970588535
2005-06-22,9.19639,9.2652,9.19639,9.2652,728.6911764741
2005-06-23,9.23161,9.81658,9.19639,9.47248,26143.779411891
2005-06-24,9.47248,9.47248,9.29961,9.33484,3486.0000000168
2005-06-27,9.19639,9.64453,9.19639,9.64453,5712.352941204
2005-06-28,9.50607,9.50607,9.47248,9.47248,1711.2647058906
2005-06-29,9.33484,9.33484,9.29961,9.33484,2996.5441176615
2005-06-30,9.33484,9.33484,9.2652,9.33484,325.8970588251
2005-07-01,9.33484,9.33484,9.16198,9.33484,2475.3529411884
2005-07-04,9.23161,9.29961,9.12839,9.19639,1182.7500000057
2005-07-05,9.23161,9.33484,9.12839,9.16198,3598.2941176644
2005-07-06,9.19639,9.29961,9.12839,9.29961,2216.5882353048
2005-07-07,9.19639,9.33484,9.16198,9.33484,9547.4411765166
2005-07-08,9.29961,9.29961,9.12839,9.16198,19573.352941271
2005-07-11,9.19639,9.47248,9.16198,9.23161,6034.5882353232
2005-07-12,9.2652,9.2652,9.16198,9.16198,1635.588235302
2005-07-13,9.16198,9.8854,9.16198,9.57571,71121.23529446
2005-07-14,9.71335,9.95422,9.29961,9.36843,47308.779411993
2005-07-15,9.36843,9.47248,9.23161,9.33484,9520.58823534
2005-07-18,9.23161,9.47248,9.16198,9.33484,6624.1323529731
2005-07-19,9.43807,9.47248,9.12839,9.23161,14057.51470595
2005-07-20,9.12839,9.2652,8.92029,9.2652,12446.338235354
2005-07-21,9.2652,9.2652,8.99157,8.99157,2332.5441176583
2005-07-22,8.99157,9.09316,8.74824,8.8187,10102.808823578
2005-07-25,8.68024,8.68024,8.37055,8.43937,19597.764705977
2005-07-26,8.43937,8.85229,8.40496,8.68024,14427.352941246
2005-07-27,8.68024,8.85229,8.43937,8.57701,12951.661764768
2005-07-28,8.74824,8.74824,8.54096,8.71383,6941.4852941511
2005-07-29,8.74824,8.99157,8.30092,8.43937,24311.676470705
2005-08-01,8.64583,8.95552,8.54096,8.78429,21326.117647162
2005-08-02,8.8187,8.8187,8.68024,8.78429,5463.3529412028
2005-08-03,8.74824,8.78429,8.61224,8.71383,3974.2352941368
2005-08-04,8.61224,8.85229,8.61224,8.78429,2947.7205882495
2005-08-05,8.50737,8.61224,8.33533,8.54096,11223.308823584
2005-08-08,8.40496,8.43937,8.37055,8.43937,3252.8676470745
2005-08-09,8.40496,8.54096,8.40496,8.47378,5105.7205882599
2005-08-10,8.50737,8.50737,8.37055,8.37055,1815.0147058911
2005-08-11,8.26733,8.26733,7.78477,7.95682,12563.514705943
2005-08-12,7.95682,7.95682,7.71546,7.95682,6080.9705882646
2005-08-16,7.99123,7.99123,7.40577,7.40577,19943.191176567
2005-08-17,6.88889,7.37095,6.88889,7.19841,24111.500000116
2005-08-18,7.09519,7.40577,7.06094,7.37095,13867.102941243
2005-08-19,7.40577,7.40577,7.26805,7.37095,2602.2941176596
2005-08-22,7.26805,7.37095,7.23323,7.37095,1863.8382353031
2005-08-23,7.33695,7.37095,7.23323,7.23323,3532.3823529582
2005-08-24,7.23323,7.88718,7.23323,7.40577,11961.76470594
2005-08-25,7.40577,7.78477,7.40577,7.64713,7138.0000000344
2005-08-26,7.75003,8.06005,7.75003,7.95682,15121.867647132
2005-08-29,8.02564,8.02564,7.81918,7.85359,4474.6764706098
2005-08-30,7.95682,7.95682,7.71546,7.88718,12569.617647119
2005-08-31,7.92241,8.06005,7.88718,7.88718,30710.000000148
2005-09-01,7.88718,7.92241,7.88718,7.92241,1515.9705882426
2005-09-02,7.88718,7.92241,7.88718,7.92241,10724.088235346
2005-09-05,7.95682,7.95682,7.95682,7.95682,124.5000000006
2005-09-06,7.99123,7.99123,7.71546,7.92241,9658.5147059289
2005-09-07,7.95682,7.95682,7.88718,7.88718,2618.1617647185
2005-09-08,7.99123,7.99123,7.88718,7.99123,3243.1029411921
2005-09-09,7.88718,7.92241,7.88718,7.92241,1712.4852941259
2005-09-12,7.85359,7.85359,7.68007,7.85359,467.4852941199
2005-09-13,7.68007,7.68007,7.40577,7.43986,4008.4117647252
2005-09-14,7.40577,7.50884,7.40577,7.50884,1057.0294117698
2005-09-15,7.40577,7.64713,7.40577,7.43986,1441.5147058893
2005-09-16,7.40577,7.54341,7.40577,7.54341,6484.9852941489
2005-09-19,7.71546,8.33533,7.71546,8.12887,30519.588235441
2005-09-20,8.09446,8.37055,8.06005,8.26733,10105.250000049
2005-09-21,8.40496,8.78429,8.37055,8.68024,21715.485294222
2005-09-22,8.8867,8.8867,8.43937,8.64583,14423.69117654
2005-09-23,8.64583,8.68024,8.47378,8.57701,7426.0588235652
2005-09-26,8.47378,8.57701,8.43937,8.54096,4278.1617647265
2005-09-27,8.54096,8.8187,8.43937,8.74824,20190.970588333
2005-09-28,8.8187,8.8187,8.57701,8.71383,7454.1323529771
2005-09-29,8.71383,8.8867,8.61224,8.8867,10785.117647111
2005-09-30,8.8867,9.40284,8.8867,9.16198,19866.294117743
2005-10-03,9.29961,9.61012,9.29961,9.47248,29427.161764848
2005-10-04,9.33484,9.74776,9.33484,9.5413,29454.014706024
2005-10-05,9.33484,9.50607,9.29961,9.50607,4422.1911764919
2005-10-06,9.16198,9.33484,9.05875,9.33484,6624.1323529731
2005-10-07,8.8187,9.02516,8.64583,8.8867,32067.294117802
2005-10-10,8.78429,8.8867,8.71383,8.8867,9171.5000000442
2005-10-11,8.8867,9.2652,8.8867,9.19639,10390.867647109
2005-10-12,9.16198,9.19639,8.8867,9.12839,1869.9411764796
2005-10-13,8.95552,8.95552,8.78429,8.78429,3330.9852941337
2005-10-14,8.78429,8.85229,8.40496,8.54096,6809.6617647387
2005-10-17,8.40496,8.64583,8.40496,8.64583,900.7941176514
2005-10-18,8.61224,8.64583,8.47378,8.64583,743.3382352977
2005-10-19,8.43937,8.61224,8.12887,8.50737,2975.7941176614
2005-10-20,8.47378,8.47378,8.12887,8.40496,10320.073529461
2005-10-21,8.37055,8.8187,8.37055,8.74824,12956.544117709
2005-10-24,8.68024,8.68024,8.40496,8.68024,4634.5735294341
2005-10-25,8.68024,8.74824,8.68024,8.71383,1530.6176470662
2005-10-26,8.74824,8.74824,8.68024,8.71383,10637.426470639
2005-10-27,8.71383,8.71383,8.43937,8.68024,1605.0735294195
2005-10-28,8.54096,8.54096,8.54096,8.54096,2236.1176470696
2005-10-31,8.57701,8.8187,8.57701,8.8187,4972.6764706122
2005-11-02,8.8187,8.8867,8.68024,8.8867,4289.1470588442
2005-11-03,8.8867,8.8867,8.74824,8.8867,393.0294117666
2005-11-04,8.71383,8.8867,8.68024,8.68024,1136.3676470643
2005-11-07,8.68024,8.68024,8.02564,8.06005,15932.338235371
2005-11-08,8.09446,8.19769,8.02564,8.19769,6183.5000000298
2005-11-09,8.33533,8.64583,8.02564,8.19769,9165.3970588677
2005-11-10,8.02564,8.30092,8.02564,8.30092,10241.955882402
2005-11-14,8.37055,8.37055,7.88718,8.19769,3743.5441176651
2005-11-15,7.99123,8.1641,7.88718,8.1641,4546.6911764925
2005-11-16,7.95682,8.02564,7.92241,7.99123,2430.1911764823
2005-11-17,7.92241,7.99123,7.88718,7.99123,4312.3382353149
2005-11-18,7.81918,8.06005,7.57717,7.92241,10149.19117652
2005-11-21,7.92241,7.92241,7.78477,7.92241,1784.5000000086
2005-11-22,7.92241,7.95682,7.78477,7.92241,743.3382352977
2005-11-23,7.92241,7.92241,7.61256,7.71546,4220.7941176674
2005-11-24,7.71546,7.71546,7.61256,7.64713,5011.7352941418
2005-11-25,7.68007,7.78477,7.68007,7.71546,1851.6323529501
2005-11-28,7.71546,7.92241,7.71546,7.88718,2801.2500000135
2005-11-29,7.99123,7.99123,7.88718,7.92241,3112.500000015
2005-11-30,7.88718,7.88718,7.75003,7.81918,997.2205882401
2005-12-01,7.81918,7.92241,7.75003,7.92241,706.7205882387
2005-12-02,7.92241,7.92241,7.78477,7.92241,1390.2500000067
2005-12-05,7.78477,7.78477,7.64713,7.71546,4103.6176470786
2005-12-06,7.71546,8.1641,7.43986,8.06005,25836.191176595
2005-12-07,8.1641,8.37055,7.92241,7.99123,38064.04411783
2005-12-08,8.30092,8.30092,7.57717,7.71546,11497.941176526
2005-12-09,7.78477,7.88718,7.71546,7.81918,4552.794117669
2005-12-12,7.78477,7.85359,7.71546,7.71546,899.5735294161
2005-12-13,7.85359,8.19769,7.81918,7.88718,28400.64705896
2005-12-14,7.75003,7.81918,7.75003,7.81918,4289.1470588442
2005-12-15,7.81918,7.88718,7.75003,7.75003,7170.9558823875
2005-12-16,7.88718,7.92241,7.71546,7.85359,17071.147058906
2005-12-19,7.85359,7.92241,7.71546,7.88718,6710.7941176794
2005-12-20,7.88718,8.26733,7.85359,8.26733,75084.485294479
2005-12-21,8.40496,8.40496,8.02564,8.02564,44099.852941389
2005-12-22,8.02564,8.02564,7.92241,8.02564,3808.235294136
2005-12-23,8.02564,8.02564,7.92241,8.02564,5625.6911764977
2005-12-27,7.95682,8.1641,7.71546,7.78477,55728.397059092
2005-12-28,7.88718,7.95682,7.78477,7.95682,7362.5882353296
2005-12-29,7.92241,7.95682,7.71546,7.85359,6559.4411765022
