Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-06-26,55,55,27,34,10731
2008-06-27,32,33,28,30,2676
2008-06-30,28,31,25,28,2464
2008-07-01,29,29,24,26,1442
2008-07-02,24,25,21,23,2020
2008-07-03,22,24,20,22,1421
2008-07-04,22,26,22,22,694
2008-07-07,23,24,20,22,728
2008-07-08,20,22,19,22,1238
2008-07-09,20,25,20,22,572
2008-07-10,21,22,20,22,964
2008-07-11,22,23,20,22,445
2008-07-14,21,22,20,22,594
2008-07-15,21,21,19,21,920
2008-07-16,21,21,19,21,211
2008-07-17,21,22,19,21,375
2008-07-18,19,21,19,21,22
2008-07-21,21,21,21,21,50
2008-07-22,20,21,19,20,1142
2008-07-23,19,26,19,24,2261
2008-07-24,25,28,23,26,1004
2008-07-25,25,27,25,26,257
2008-07-28,23,23,21,22,424
2008-07-29,22,24,21,24,734
2008-07-30,24,24,22,23,477
2008-07-31,24,24,21,23,554
2008-08-01,23,23,23,23,10
2008-08-04,21,28,21,27,1288
2008-08-05,27,38,27,34,1662
2008-08-06,33,46,32,46,4121
2008-08-07,49,49,40,43,1221
2008-08-08,37,45,35,41,270
2008-08-11,45,46,36,41,680
2008-08-12,43,43,33,38,401
2008-08-13,38,41,36,40,439
2008-08-14,41,41,40,40,37
2008-08-18,39,40,32,35,957
2008-08-19,36,36,29,30,2571
2008-08-20,32,32,24,27,2619
2008-08-21,26,36,26,36,2242
2008-08-22,34,35,31,35,1012
2008-08-25,32,34,31,31,71
2008-08-26,28,31,27,31,51
2008-08-27,28,32,27,32,154
2008-08-29,31,31,27,29,756
2008-09-01,29,31,25,28,3455
2008-09-02,27,28,23,26,9709
2008-09-03,26,26,24,25,934
2008-09-04,25,26,24,26,1047
2008-09-05,25,25,21,24,9267
2008-09-08,24,26,24,26,2953
2008-09-09,26,28,21,23,40949
2008-09-10,23,23,22,23,16488
2008-09-11,23,23,22,22,3769
2008-09-12,23,24,22,23,12064
2008-09-15,22,22,19,20,10815
2008-09-16,20,21,19,21,1262
2008-09-17,20,21,19,21,1360
2008-09-18,20,21,20,21,1419
2008-09-19,21,22,21,21,2496
2008-09-22,21,21,20,20,73
2008-09-23,20,21,20,20,1004
2008-09-24,20,20,19,20,443
2008-09-25,20,20,19,20,300
2008-09-26,20,20,20,20,969
2008-09-29,20,22,20,21,4601
2008-09-30,20,21,19,21,1299
2008-10-01,20,21,20,21,171
2008-10-02,20,21,20,20,175
2008-10-03,20,21,20,20,807
2008-10-06,20,21,19,20,485
2008-10-07,19,20,19,19,4560
2008-10-08,18,19,17,18,3856
2008-10-09,18,18,18,18,320
2008-10-10,17,18,15,15,5933
2008-10-13,17,17,15,16,1648
2008-10-14,17,18,16,18,1009
2008-10-15,17,18,16,17,655
2008-10-16,16,17,15,17,1978
2008-10-17,16,16,15,15,943
2008-10-20,16,16,13,14,7540
2008-10-21,14,15,14,15,901
2008-10-22,14,15,13,14,668
2008-10-23,12,14,10,11,5512
2008-10-24,11,11,10,11,2049
2008-10-27,11,13,10,11,4501
2008-10-28,12,13,11,12,2877
2008-10-29,13,13,10,12,9700
2008-10-30,12,12,10,12,5880
2008-10-31,10,12,10,12,2097
2008-11-03,10,12,10,11,857
2008-11-04,10,14,10,14,15227
2008-11-05,14,17,13,15,12135
2008-11-06,15,17,15,16,5463
2008-11-07,16,16,15,16,1663
2008-11-10,15,17,15,16,2963
2008-11-12,15,15,14,15,6826
2008-11-13,14,15,14,15,1039
2008-11-14,15,16,14,16,2988
2008-11-17,15,16,15,16,379
2008-11-18,15,16,14,16,1530
2008-11-19,16,16,14,15,3193
2008-11-20,14,15,14,15,722
2008-11-21,15,15,14,14,1483
2008-11-24,14,15,13,15,312
2008-11-25,14,15,14,15,436
2008-11-26,15,16,15,15,1120
2008-11-27,16,16,15,16,220
2008-11-28,16,16,15,16,767
2008-12-01,15,16,14,16,17
2008-12-02,15,16,14,14,61
2008-12-03,16,16,16,16,5
2008-12-04,16,16,16,16,41
2008-12-05,15,15,15,15,34
2008-12-08,16,16,15,16,626
2008-12-09,14,16,14,16,87
2008-12-10,14,16,14,15,1500
2008-12-11,15,15,15,15,10
2008-12-12,15,16,14,15,221
2008-12-15,15,16,14,15,2017
2008-12-16,15,15,14,15,412
2008-12-17,14,15,13,15,948
2008-12-18,14,15,14,15,635
2008-12-19,15,15,15,15,410
2008-12-22,15,15,14,14,826
2008-12-23,14,15,13,14,6707
2008-12-29,13,14,12,14,10999
2008-12-30,12,14,12,14,1239
2008-12-31,13,14,12,14,1670
2009-01-05,13,14,12,13,6278
2009-01-06,13,13,13,13,243
2009-01-07,13,13,12,12,174
2009-01-08,12,13,12,13,338
2009-01-09,12,13,12,12,6762
2009-01-12,12,13,11,12,6398
2009-01-13,12,12,11,12,3981
2009-01-14,11,12,11,12,21198
2009-01-15,12,12,11,11,24696
2009-01-16,11,12,11,11,8746
2009-01-19,12,12,11,11,2178
2009-01-20,10,11,10,11,196
2009-01-21,11,12,10,10,5527
