Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-09-24,8.45,8.89,7.22,8.18,368365
2020-09-25,8.51,9.499,8.51,9.25,238046
2020-09-28,9.4,10.3,8.8,8.93,180000
2020-09-29,9,9,7.95,7.95,199440
2020-09-30,8.3,8.3,7.51,7.6,63524
2020-10-01,8.18,8.18,7.263,7.6,54682
2020-10-02,7.6,7.6,7.221,7.488,17464
2020-10-05,7.488,7.7,6.98,7.179,48925
2020-10-06,7.199,7.39,7.1,7.21,27138
2020-10-07,7.29,7.791,7.16,7.791,26998
2020-10-08,7.789,8.748,7.5,8.55,53177
2020-10-09,8.58,8.6,7.9,8.35,40038
2020-10-12,8.4,9.1,7.92,8.3,36037
2020-10-13,8.1,8.9,8,8.4,24909
2020-10-14,8.55,8.6,8,8,40127
2020-10-15,8.188,8.6,7.16,7.78,65064
2020-10-16,7.5,8.2,7.3,8.13,26166
2020-10-19,8.18,8.4,8,8.1,26610
2020-10-20,8.29,8.29,7.81,8,14976
2020-10-21,8.2,8.2,7.7,7.94,13839
2020-10-22,7.929,7.929,7.54,7.63,10353
2020-10-23,7.84,7.989,7.45,7.75,16043
2020-10-26,7.51,7.69,7.4,7.45,13915
2020-10-27,7.372,7.6,7.3,7.4,16257
2020-10-28,7.39,7.39,6.45,6.63,45664
2020-10-29,6.63,7.68,6.5,7.68,34093
2020-10-30,7.679,7.68,6.9,7.25,19296
2020-11-02,7.5,7.5,7.12,7.45,15076
2020-11-03,7.45,8.2,7.45,7.99,40618
2020-11-04,7.69,8.6,7.69,8.37,51980
2020-11-05,8.35,8.6,8.2,8.534,45160
2020-11-06,8.595,8.595,8.221,8.452,16485
2020-11-09,8.55,8.71,8.32,8.7,41341
2020-11-10,8.7,8.9,8.5,8.85,34101
2020-11-12,8.89,9.29,7.56,7.74,132272
2020-11-13,7.96,7.989,7.58,7.96,33810
2020-11-16,8.1,8.297,7.901,8.04,16324
2020-11-17,7.92,8.15,7.61,7.798,14044
2020-11-18,7.999,7.999,7.67,7.85,5958
2020-11-19,7.79,7.88,7.68,7.7,5455
2020-11-20,8.101,8.101,7.85,8.05,21296
2020-11-23,8.05,8.15,7.8,7.9,26776
2020-11-24,7.8,8,7.732,7.8,17491
2020-11-25,7.9,7.9,7.61,7.79,15415
2020-11-26,7.7,7.7,7.38,7.49,17143
2020-11-27,7.381,7.69,7.3,7.4,9643
2020-11-30,7.539,7.69,7.46,7.65,24880
2020-12-01,7.68,7.8,7.65,7.75,8777
2020-12-02,7.78,7.78,7.6,7.65,5105
2020-12-03,7.78,7.88,7.7,7.88,5356
2020-12-04,7.75,7.88,7.75,7.8,8981
2020-12-07,7.87,8.7,7.8,8.54,46562
2020-12-08,8.58,8.899,8.221,8.621,22818
2020-12-09,8.75,8.798,8.71,8.79,15209
2020-12-10,8.78,8.78,8.4,8.6,9295
2020-12-11,8.45,8.45,8.221,8.38,6307
2020-12-14,8.3,8.3,8.07,8.18,12806
2020-12-15,8.21,8.21,8,8.1,6162
2020-12-16,7.95,8.65,7.95,8.5,22351
2020-12-17,8.5,8.779,8.33,8.5,13201
2020-12-18,8.5,8.68,8.142,8.457,7452
2020-12-21,8.3,8.48,8.17,8.3,5288
2020-12-22,8.3,8.399,8.151,8.399,8962
2020-12-23,8.399,8.399,8.06,8.21,5853
2020-12-28,8.08,8.37,8.024,8.18,14887
2020-12-29,8.326,8.69,8.21,8.59,3254
2020-12-30,8.5,8.69,8.4,8.66,3698
2021-01-04,8.897,9.4,8.897,9.1,42816
2021-01-05,9.2,9.999,9.15,9.351,39104
2021-01-07,9.56,9.7,9.101,9.289,14418
2021-01-08,9.2,9.25,9.05,9.05,12658
2021-01-11,9.197,9.4,8.9,9.2,19110
2021-01-12,9.32,9.4,8.8,9,12810
2021-01-13,9,9,8.7,9,7324
2021-01-14,8.8,9.1,8.7,9.1,9811
2021-01-15,9.179,9.2,8.94,9,5823
2021-01-18,9.05,9.05,8.8,8.9,7087
2021-01-19,8.804,8.9,8.802,8.9,3441
2021-01-20,8.89,8.9,8.56,8.8,12241
2021-01-21,8.6,8.79,8.551,8.72,3334
2021-01-22,8.73,8.73,8.42,8.64,13869
2021-01-25,8.43,8.6,8.43,8.5,3679
2021-01-26,8.46,8.78,8.46,8.55,4214
2021-01-27,8.512,9.4,8.46,8.98,87416
2021-01-28,8.55,8.78,8.5,8.78,22373
2021-01-29,8.68,8.76,8.6,8.72,8122
2021-02-01,8.7,8.82,8.5,8.72,11726
2021-02-02,8.72,8.79,8.32,8.36,12420
2021-02-03,8.62,8.699,8.15,8.3,11146
2021-02-04,8.5,8.599,8.33,8.4,3570
2021-02-05,8.4,8.6,8.4,8.4,2779
2021-02-08,8.48,8.48,8.123,8.25,16607
2021-02-09,8.26,8.26,8.03,8.05,14685
2021-02-10,8.05,8.3,8.05,8.06,14099
2021-02-11,8.052,8.248,8.052,8.248,4282
2021-02-12,8.06,8.23,8.01,8.199,7378
2021-02-15,8.1,8.19,8.05,8.19,6616
2021-02-16,8.07,8.23,8.051,8.17,6510
2021-02-17,8.23,8.26,8.11,8.13,9607
2021-02-18,8.2,8.2,8.025,8.025,7894
2021-02-19,8.025,8.44,8.025,8.2,9330
2021-02-22,8.15,8.2,8.1,8.2,4169
2021-02-23,8.1,8.38,7.8,8,43305
2021-02-24,8,8.11,7.9,8.088,5676
2021-02-25,8,8.09,7.9,7.9,2302
2021-02-26,7.85,8.36,7.85,8.36,12894
2021-03-01,8.16,8.459,8.1,8.32,12618
2021-03-02,8.2,8.5,8.15,8.5,12079
2021-03-03,8.497,8.8,8.25,8.69,40547
2021-03-04,8.68,8.68,8.34,8.35,6615
2021-03-05,8.27,8.49,8.16,8.45,13189
2021-03-08,8.45,8.6,8.42,8.5,4765
2021-03-09,8.5,8.5,8.3,8.3,4137
2021-03-10,8.32,8.39,8.31,8.33,630
2021-03-11,8.37,8.39,8.25,8.3,10282
2021-03-12,8.29,8.5,8.161,8.161,10095
2021-03-15,8.16,8.28,8.1,8.1,9800
2021-03-16,8.1,8.299,8.001,8.299,6667
2021-03-17,8.29,8.29,8.04,8.1,7658
2021-03-18,8.05,8.186,8,8.186,7863
2021-03-19,7.8,8,7.6,7.999,34200
2021-03-22,7.999,7.999,7.75,7.92,4740
2021-03-23,7.9,7.989,7.762,7.95,2606
2021-03-24,7.92,7.92,7.701,7.9,6299
2021-03-25,7.724,7.958,7.7,7.865,3388
2021-03-26,7.85,7.933,7.74,7.933,1760
2021-03-29,7.865,8,7.761,7.761,5831
2021-03-30,7.9,7.9,7.65,7.85,5359
2021-03-31,7.85,7.988,7.6,7.77,7271
2021-04-01,7.75,7.88,7.6,7.87,3688
2021-04-06,7.87,7.97,7.6,7.96,15193
2021-04-07,8,8,7.66,7.86,5976
2021-04-08,7.72,7.84,7.56,7.75,8979
2021-04-09,7.75,7.75,7.6,7.7,8074
2021-04-12,7.7,7.8,7.45,7.77,14326
2021-04-13,7.74,7.74,7.46,7.47,16891
2021-04-14,7.6,7.74,7.5,7.74,4636
2021-04-15,7.66,7.74,7.62,7.74,2542
2021-04-16,7.63,7.79,7.54,7.74,2833
2021-04-19,7.7,7.72,7.52,7.52,10452
2021-04-20,7.52,7.68,7.5,7.5,3871
2021-04-21,7.5,7.54,7.45,7.46,1230
2021-04-22,7.5,7.58,7.45,7.47,1785
2021-04-23,7.42,7.5,7.28,7.28,9855
2021-04-26,7.28,7.28,7.04,7.04,8907
2021-04-27,7.04,7.04,6.86,6.98,6347
2021-04-28,6.98,7.4,6.9,7.38,8262
2021-04-29,7.38,7.38,7.01,7.32,4446
2021-04-30,7.31,7.31,7.02,7.1,6028
2021-05-04,7.29,7.29,7.02,7.18,4118
2021-05-05,7.18,7.27,6.99,7.2,6464
2021-05-06,7.17,7.36,7.01,7.18,6379
2021-05-07,7.01,7.2,7,7.17,4170
2021-05-10,7.03,7.2,6.9,6.9,4574
2021-05-11,6.95,7.09,6.6,6.94,7174
2021-05-12,7,7.1,6.9,7.1,3793
2021-05-13,6.9,7.08,6.9,7.08,4598
2021-05-14,7.1,7.1,6.91,7.08,1685
2021-05-17,7.08,7.15,7,7.1,3410
2021-05-18,7.1,7.19,7.1,7.14,1907
2021-05-19,7.06,7.14,6.99,6.99,3402
2021-05-20,7.01,7.07,6.93,7.05,2071
2021-05-21,7.09,7.1,6.99,7.05,2439
2021-05-24,6.97,7.04,6.87,7.04,10354
2021-05-25,7.04,7.04,7.02,7.02,802
2021-05-26,6.92,7,6.92,7,1476
2021-05-27,7.05,7.05,7,7.05,1613
2021-05-28,7.1,7.2,6.95,7.05,6253
2021-05-31,7.05,7.05,6.9,7.05,5953
2021-06-01,6.95,7.04,6.95,7.04,243
2021-06-02,7.04,7.05,7,7.04,2392
2021-06-04,7,7.05,7,7.04,1478
2021-06-07,7.05,7.28,7,7.2,8354
2021-06-08,7.29,7.39,7.15,7.39,2416
2021-06-09,7.22,7.75,7.2,7.4,11816
2021-06-10,7.35,7.64,7.35,7.64,4613
2021-06-11,7.68,7.7,7.5,7.6,1881
2021-06-14,7.7,7.78,7.5,7.55,3472
2021-06-15,7.5,7.54,7.3,7.54,3152
2021-06-16,7.37,7.37,7.3,7.35,4107
2021-06-17,7.3,7.3,7.22,7.22,1275
2021-06-18,7.24,7.29,7.2,7.29,2296
2021-06-21,7.3,7.3,7.1,7.24,4769
2021-06-22,7.23,7.26,7.03,7.26,1055
2021-06-23,7.26,7.26,7,7.04,4404
2021-06-24,7.03,7.18,7.01,7.1,1543
2021-06-25,7.02,7.18,7,7.05,2008
2021-06-28,7.14,7.14,6.96,6.96,2332
2021-06-29,6.96,6.96,6.45,6.62,28961
2021-06-30,6.61,6.7,6.46,6.65,7083
2021-07-01,6.64,6.67,6.5,6.58,2019
2021-07-02,6.6,6.6,6.48,6.58,4385
2021-07-05,6.58,6.6,6.5,6.6,3399
2021-07-06,6.8,6.92,6.6,6.88,1948
2021-07-07,6.7,6.85,6.67,6.67,522
