Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-29,3.67947,3.7798,3.37833,3.37833,21961111.543921
2007-07-02,3.43422,3.43422,3.03276,3.25015,8978371.985088
2007-07-03,3.34501,3.42294,3.31698,3.35603,7342482.081477
2007-07-04,3.40064,3.46763,3.36158,3.40064,2819693.7513684
2007-07-05,3.43969,3.43969,3.31698,3.37833,2250067.7868813
2007-07-06,3.38953,3.39508,3.33381,3.33937,838368.61424274
2007-07-09,3.35048,3.35048,3.20563,3.22776,1394009.3046177
2007-07-10,3.21665,3.2334,3.08283,3.11086,2758798.9848688
2007-07-11,3.12197,3.12197,2.95465,3.01592,2018093.3757056
2007-07-12,2.97696,3.05506,2.95465,3.00481,1312473.670097
2007-07-13,3.00481,3.11086,2.97696,3.09403,1353930.5533472
2007-07-16,3.10522,3.16649,2.84878,3.01046,736874.26398536
2007-07-17,2.98824,2.98824,2.86544,2.93799,999637.71069513
2007-07-18,2.95465,2.95465,2.87108,2.88783,1392118.4061404
2007-07-19,2.89894,3.1888,2.89894,3.13308,2390909.1879015
2007-07-20,3.17769,3.17769,3.03831,3.04951,1005885.3959745
2007-07-23,3.04951,3.11086,2.95465,3.01046,616287.71575776
2007-07-24,3.07728,3.07728,2.88219,2.89338,1600838.5685843
2007-07-25,2.78751,2.88783,2.66479,2.87108,2636369.9341031
2007-07-26,2.87108,2.88783,2.77631,2.77631,1565839.0863496
2007-07-27,2.68146,2.81536,2.67035,2.67599,2073378.8224081
2007-07-30,2.70385,2.78751,2.70385,2.73162,737718.88835087
2007-07-31,2.78178,2.87108,2.78178,2.81536,1239978.8579117
2007-08-01,2.78751,2.78751,2.72051,2.7429,720816.03048226
2007-08-02,2.82083,2.83758,2.69829,2.69829,2162001.0051523
2007-08-03,2.74845,2.74845,2.66479,2.67599,403039.07615634
2007-08-06,2.62019,2.6313,2.50867,2.56447,1067819.5228803
2007-08-07,2.62019,2.64249,2.3581,2.3581,1733953.9036144
2007-08-08,2.40271,2.49756,2.3581,2.36938,2405645.7513538
2007-08-09,2.39715,2.39715,2.17976,2.24111,4497236.4265544
2007-08-10,2.1519,2.16309,2.00133,2.03483,3999872.5128313
2007-08-13,2.03483,2.30802,2.03483,2.25778,3921195.6955697
2007-08-14,2.25778,2.33033,2.22428,2.22428,3885614.3097816
2007-08-16,2.11285,2.11285,1.90656,2.00697,2787205.0965449
2007-08-17,2.00133,2.22428,1.97356,2.1742,4327215.731117
2007-08-20,2.25778,2.31349,2.1742,2.21317,1307631.7716197
2007-08-21,2.23547,2.23547,2.11285,2.20206,1169801.2893813
2007-08-22,2.22992,2.31349,2.17976,2.27453,3596281.4925125
2007-08-23,2.30802,2.37485,2.26333,2.28017,3435045.8123038
2007-08-24,2.28563,2.38049,2.24111,2.31922,2465153.1675996
2007-08-27,2.36938,2.45295,2.36938,2.39168,1772606.126966
2007-08-28,2.39168,2.43629,2.35254,2.40271,1080080.9797335
2007-08-29,2.26333,2.40835,2.25778,2.39168,1272875.4213647
2007-08-30,2.45295,2.48637,2.21881,2.28017,2410492.2589682
2007-08-31,2.32469,2.39715,2.32469,2.34152,714719.29444143
2007-09-03,2.35254,2.36938,2.28563,2.34152,469472.87311299
2007-09-04,2.34152,2.34152,2.26897,2.29683,755951.48226014
2007-09-05,2.30238,2.30802,2.16309,2.16309,1364371.4010633
2007-09-06,2.19095,2.20206,2.10729,2.16309,765386.38581378
2007-09-07,2.1407,2.18531,2.05713,2.08499,1074349.5178044
2007-09-10,2.03483,2.08499,1.97356,2.02927,940633.84267274
2007-09-11,2.04602,2.10174,2.0403,2.09054,1018067.3452135
2007-09-12,2.11285,2.12396,2.06269,2.07379,418843.80712136
2007-09-13,2.05713,2.24111,2.03483,2.22428,1682240.5381304
2007-09-14,2.22428,2.30238,2.10729,2.1296,1807826.8477794
2007-09-17,2.12396,2.1296,2.06824,2.11285,666693.23860218
2007-09-18,2.10729,2.11285,2.06269,2.10729,1393483.8629933
2007-09-19,2.18531,2.20206,2.1407,2.1519,1403986.9340596
2007-09-20,2.14635,2.16309,2.10729,2.10729,894458.35536147
2007-09-21,2.10729,2.20779,2.10729,2.11849,2542239.8325769
2007-09-24,2.12396,2.16309,2.09054,2.10174,692063.08124266
2007-09-25,2.09054,2.20206,2.09054,2.19095,2297740.0914515
2007-09-26,2.20206,2.64249,2.1742,2.50311,12024735.030881
2007-09-27,2.53097,2.59233,2.36938,2.38604,5466204.9392789
2007-09-28,2.38604,2.49756,2.31349,2.34152,2809815.2183731
2007-10-01,2.33588,2.38049,2.26333,2.30802,1364166.2944643
2007-10-02,2.34699,2.37485,2.28563,2.30238,2019892.0914417
2007-10-03,2.30238,2.31349,2.22992,2.24111,1255607.2893844
2007-10-04,2.22428,2.3581,2.20779,2.30238,5363831.3961281
2007-10-05,2.31922,2.39168,2.29136,2.36938,4452989.8631011
2007-10-08,2.38604,2.39715,2.33033,2.33588,922264.12693606
2007-10-09,2.33588,2.43629,2.33588,2.36938,1517789.9848251
2007-10-10,2.39715,2.39715,2.33588,2.34152,786249.64469776
2007-10-11,2.34699,2.36938,2.31349,2.34152,874488.11678209
2007-10-12,2.33588,2.38604,2.29136,2.36938,2040417.7310364
2007-10-15,2.38604,2.45295,2.36938,2.40835,1390080.0152774
2007-10-16,2.39715,2.39715,2.34699,2.35254,501311.63961158
2007-10-17,2.34699,2.39715,2.34699,2.39168,468284.86803681
2007-10-18,2.39168,2.39168,2.28563,2.33588,905103.1573923
2007-10-19,2.28563,2.34152,2.28563,2.32469,2294601.2691164
2007-10-22,2.26897,2.30802,2.24111,2.28563,2663780.4721751
