Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-09-09,0.38451,0.38451,0.3584,0.37626,7502
2011-09-12,0.36941,0.36941,0.36941,0.36941,75
2011-09-13,0.36941,0.36941,0.36941,0.36941,75
2011-09-14,0.36941,0.36941,0.36941,0.36941,75
2011-09-15,0.36941,0.36941,0.36941,0.36941,75
2011-09-16,0.36941,0.36941,0.36941,0.36941,75
2011-09-19,0.36941,0.36941,0.36941,0.36941,75
2011-09-20,0.36941,0.36941,0.36941,0.36941,75
2011-09-21,0.34331,0.34331,0.34331,0.34331,75
2011-09-22,0.35566,0.35566,0.35566,0.35566,75
2011-09-23,0.35704,0.35704,0.35704,0.35704,75
2011-09-28,0.34331,0.35704,0.30211,0.35704,4591
2011-10-03,0.31586,0.35566,0.28562,0.35566,7218
2011-10-13,0.35566,0.36805,0.35566,0.36805,7288
2011-10-14,0.36941,0.36941,0.36941,0.36941,75
2011-10-17,0.36941,0.36941,0.36941,0.36941,75
2011-10-18,0.36941,0.36941,0.36941,0.36941,75
2011-10-19,0.36941,0.36941,0.36941,0.36941,75
2011-10-20,0.36941,0.36941,0.36941,0.36941,75
2011-10-21,0.37765,0.41198,0.37765,0.41198,1250
2011-10-24,0.39687,0.41198,0.39687,0.41198,515
2011-10-27,0.41198,0.45314,0.41198,0.45314,2979
2011-11-02,0.45314,0.45314,0.45314,0.45314,75
2011-11-07,0.45314,0.45314,0.45314,0.45314,75
2011-11-08,0.45169,0.45169,0.45169,0.45169,75
2011-11-10,0.41198,0.45169,0.38451,0.45169,7798
2011-11-14,0.41198,0.45169,0.39823,0.45169,2261
2011-11-15,0.42571,0.45169,0.39823,0.45169,4014
2011-11-16,0.45169,0.45169,0.45169,0.45169,75
2011-11-17,0.44908,0.44908,0.35979,0.4394,5523
2011-11-28,0.38451,0.4394,0.38451,0.43258,6645
2011-11-29,0.43258,0.4394,0.38451,0.42846,2117
2011-11-30,0.41198,0.41198,0.4106,0.41198,7351
2011-12-02,0.41198,0.42435,0.41198,0.42435,1463
2011-12-05,0.41198,0.41198,0.41198,0.41198,75
2011-12-06,0.41198,0.41198,0.41198,0.41198,75
2011-12-09,0.39823,0.41198,0.38451,0.41198,2185
2011-12-13,0.38451,0.41198,0.38451,0.41198,2556
2011-12-14,0.4051,0.4051,0.4051,0.4051,144
2011-12-15,0.41198,0.41198,0.41198,0.41198,75
2011-12-30,0.41238,0.41238,0.41238,0.41238,318
2012-01-03,0.38451,0.38451,0.38451,0.38451,191
2012-01-09,0.39823,0.39823,0.39823,0.39823,75
2012-01-10,0.39823,0.41198,0.39823,0.41198,590
2012-01-12,0.4051,0.4051,0.4051,0.4051,75
2012-01-13,0.4051,0.4051,0.4051,0.4051,144
2012-01-16,0.4051,0.4051,0.4051,0.4051,75
2012-01-17,0.41198,0.41198,0.41198,0.41198,5
2012-01-18,0.4051,0.4051,0.4051,0.4051,75
2012-01-19,0.41198,0.41198,0.41198,0.41198,5
2012-01-23,0.4051,0.4051,0.4051,0.4051,75
2012-01-24,0.4051,0.4051,0.4051,0.4051,75
2012-01-25,0.4051,0.4051,0.4051,0.4051,75
2012-01-26,0.39823,0.39823,0.39823,0.39823,75
2012-01-27,0.40373,0.40373,0.40373,0.40373,75
2012-01-30,0.39823,0.4051,0.37077,0.39138,9128
2012-01-31,0.37007,0.40484,0.37007,0.40484,14460
2012-02-01,0.4051,0.41884,0.4051,0.41884,723
2012-02-02,0.41198,0.41198,0.41198,0.41198,150
2012-02-03,0.4051,0.4051,0.4051,0.4051,144
2012-02-06,0.41198,0.41198,0.41198,0.41198,5
2012-02-07,0.4106,0.4106,0.4106,0.4106,144
2012-02-08,0.4106,0.4106,0.4106,0.4106,75
2012-02-10,0.40924,0.40924,0.40924,0.40924,144
2012-02-13,0.4106,0.4106,0.39138,0.39138,6773
2012-02-14,0.37765,0.39138,0.36667,0.39138,17266
2012-02-21,0.36667,0.42021,0.36667,0.42021,14564
2012-02-23,0.42021,0.42021,0.42021,0.42021,75
2012-02-24,0.42021,0.42021,0.42021,0.42021,254
2012-02-27,0.42021,0.42021,0.42021,0.42021,75
2012-02-28,0.42021,0.42021,0.42021,0.42021,254
2012-02-29,0.42021,0.42021,0.42021,0.42021,254
2012-03-01,0.42021,0.42021,0.42021,0.42021,254
2012-03-02,0.42021,0.42021,0.42021,0.42021,254
2012-03-05,0.42021,0.42435,0.42021,0.42435,266
