Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-03-05,0.0333678,0.0333678,0.0333678,0.0333678,4729035.2032484
1996-03-06,0.0364998,0.0364998,0.0364998,0.0364998,10864158.362188
1996-03-07,0.0372347,0.0372347,0.0372347,0.0372347,3496765.2498466
1996-03-08,0.0368759,0.0368759,0.0368759,0.0368759,2840375.3730372
1996-03-11,0.0348375,0.0348375,0.0348375,0.0348375,401864.3317363
1996-03-12,0.0313467,0.0313467,0.0313467,0.0313467,191166.76922218
1996-03-13,0.0328166,0.0328166,0.0328166,0.0328166,835621.22474329
1996-03-14,0.0337352,0.0337352,0.0337352,0.0337352,489528.29799874
1996-03-15,0.0339102,0.0339102,0.0339102,0.0339102,664201.27970979
1996-03-18,0.0344701,0.0344701,0.0344701,0.0344701,246930.17306962
1996-03-19,0.0368759,0.0368759,0.0368759,0.0368759,611473.73862254
1996-03-20,0.0348375,0.0348375,0.0348375,0.0348375,545290.55882558
1996-03-21,0.0348375,0.0348375,0.0348375,0.0348375,200930.45133723
1996-03-22,0.0313467,0.0313467,0.0313467,0.0313467,271234.22046043
1996-03-25,0.0344701,0.0344701,0.0344701,0.0344701,681776.36472512
1996-03-26,0.0318892,0.0318892,0.0318892,0.0318892,626010.67483644
1996-03-27,0.0339102,0.0339102,0.0339102,0.0339102,280348.66686471
1996-03-28,0.0320904,0.0320904,0.0320904,0.0320904,622321.00428302
1996-03-29,0.0328166,0.0328166,0.0328166,0.0328166,379509.1344984
1996-04-01,0.0320904,0.0320904,0.0320904,0.0320904,668759.64593254
1996-04-02,0.0320904,0.0320904,0.0320904,0.0320904,902237.60935431
1996-04-03,0.0317055,0.0317055,0.0317055,0.0317055,393616.29496011
1996-04-04,0.0328166,0.0328166,0.0328166,0.0328166,136915.58165174
1996-04-05,0.0320904,0.0320904,0.0320904,0.0320904,606917.65844101
1996-04-09,0.0328166,0.0328166,0.0328166,0.0328166,395133.08331959
1996-04-10,0.0320904,0.0320904,0.0320904,0.0320904,373437.40897802
1996-04-11,0.0320904,0.0320904,0.0320904,0.0320904,186394.65814394
1996-04-12,0.0326241,0.0326241,0.0326241,0.0326241,901583.80156107
