Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-07-01,9.50762,9.50762,6.39952,6.67371,21360.15
2010-07-02,6.67371,6.67371,6.39952,6.58238,1828.05
2010-07-05,6.58238,6.58238,5.94238,6.03381,7879.2
2010-07-06,6.03381,6.03381,5.30238,6.03381,3476.55
2010-07-07,6.03381,6.12533,5.66819,6.12533,2169.3
2010-07-08,5.85095,6.03381,5.75952,6.03381,421.05
2010-07-09,6.03381,6.39952,5.57676,5.57676,1177.05
2010-07-12,5.48533,5.48533,5.02819,5.48533,2261.7
2010-07-13,5.94238,6.03381,5.48533,5.48533,2031.75
2010-07-14,5.85095,5.85095,5.85095,5.85095
2010-07-15,5.94238,5.94238,5.39381,5.94238,393.75
2010-07-16,5.94238,6.21667,5.94238,6.21667,820.05
2010-07-19,6.12533,6.12533,6.12533,6.12533
2010-07-20,6.03381,6.03381,5.39381,5.85095,1656.9
2010-07-21,5.57676,5.85095,5.57676,5.85095,223.65
2010-07-22,5.48533,5.57676,5.48533,5.57676,2780.4
2010-07-23,5.57676,5.94238,5.48533,5.94238,925.05
2010-07-26,5.94238,6.67371,5.94238,6.39952,2663.85
2010-07-27,6.39952,6.39952,6.39952,6.39952,1981.35
2010-07-28,6.39952,6.9481,5.75952,6.58238,12089.7
2010-07-29,6.9481,7.588,6.39952,6.85667,17718.75
2010-07-30,6.58238,6.76514,6.39952,6.76514,1738.8
2010-08-02,6.85667,6.85667,6.85667,6.85667
2010-08-03,6.85667,6.85667,6.85667,6.85667
2010-08-04,6.85667,6.85667,6.12533,6.21667,1017.45
2010-08-05,6.03381,6.3081,6.03381,6.3081,1038.45
2010-08-06,6.58238,6.58238,5.94238,6.39952,1529.85
2010-08-09,6.39952,6.39952,5.94238,5.94238,868.35
2010-08-10,6.3081,6.3081,6.3081,6.3081
2010-08-11,6.3081,6.3081,5.57676,6.21667,934.5
2010-08-12,5.66819,6.12533,5.48533,5.75952,4652.55
2010-08-13,6.03381,6.03381,5.66819,6.03381,55.65
2010-08-16,6.03381,6.03381,6.03381,6.03381
2010-08-17,6.03381,6.03381,6.03381,6.03381
2010-08-18,6.03381,6.03381,6.03381,6.03381,763.35
2010-08-19,6.03381,6.03381,5.66819,6.03381,219.45
2010-08-20,6.03381,6.49095,6.03381,6.49095,4728.15
2010-08-23,6.39952,6.39952,6.39952,6.39952,110.25
2010-08-24,6.58238,6.58238,6.12533,6.12533,453.6
2010-08-25,6.12533,6.12533,6.12533,6.12533,460.95
2010-08-26,6.39952,6.39952,6.12533,6.12533,450.45
2010-08-27,6.3081,6.3081,6.3081,6.3081
2010-08-30,6.39952,6.39952,6.39952,6.39952,81.9
2010-08-31,6.12533,6.12533,5.57676,6.03381,1213.8
2010-09-01,6.03381,6.03381,6.03381,6.03381,164.85
2010-09-02,5.94238,5.94238,5.94238,5.94238
2010-09-03,5.94238,5.94238,5.94238,5.94238,273
2010-09-06,6.03381,6.12533,5.94238,5.94238,547.05
2010-09-07,6.12533,6.12533,5.85095,5.85095,1421.7
2010-09-08,5.85095,5.85095,5.85095,5.85095
2010-09-09,6.21667,6.21667,6.21667,6.21667
2010-09-10,6.12533,6.12533,5.57676,5.85095,562.8
2010-09-13,6.12533,6.12533,5.75952,5.75952,1837.5
2010-09-14,5.66819,6.12533,5.30238,6.12533,985.95
2010-09-15,6.12533,6.12533,6.12533,6.12533
2010-09-16,6.12533,6.12533,6.12533,6.12533
2010-09-17,6.12533,6.12533,6.12533,6.12533
2010-09-20,5.48533,5.85095,5.48533,5.85095,1968.75
2010-09-21,6.12533,6.12533,5.48533,5.57676,1676.85
2010-09-22,6.03381,6.3081,5.94238,5.94238,1640.1
2010-09-23,6.3081,6.3081,6.21667,6.21667,110.25
2010-09-24,6.21667,6.39952,6.12533,6.39952,1548.75
2010-09-27,6.39952,6.76514,6.03381,6.76514,1888.95
2010-09-28,5.94238,6.03381,5.48533,6.03381,3766.35
2010-09-29,5.75952,6.12533,5.48533,5.57676,2538.9
2010-09-30,5.85095,5.85095,5.66819,5.66819,1160.25
2010-10-01,5.75952,5.75952,5.75952,5.75952,1426.95
2010-10-04,5.85095,6.21667,5.75952,6.12533,2491.65
2010-10-05,6.12533,6.12533,5.85095,6.12533,438.9
2010-10-06,6.12533,6.3081,5.75952,6.3081,5301.45
2010-10-07,6.3081,6.3081,5.57676,6.21667,676.2
2010-10-08,6.3081,6.49095,6.12533,6.3081,4089.75
2010-10-11,6.12533,6.39952,6.12533,6.39952,601.65
2010-10-12,6.67371,6.67371,6.39952,6.58238,504
2010-10-13,6.58238,6.58238,6.3081,6.49095,1575
2010-10-14,6.49095,6.49095,6.03381,6.39952,894.6
2010-10-15,6.49095,6.49095,6.49095,6.49095
