Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-14,0.64,0.96,0.64,0.96,856000
2022-01-19,1.902,2.282,1.8,2.282,1699427
2022-01-20,2.35,3.38,2,2.716,2655958
2022-01-21,2.6,2.94,2.161,2.29,919291
2022-01-24,2.2,2.4005,1.76,1.81,821941
2022-01-25,1.88,1.95,1.7,1.758,270282
2022-01-26,1.8398,1.8782,1.65,1.77,225610
2022-01-27,1.725,2.07,1.662,1.97,344427
2022-01-28,2,2.03,1.77,1.818,218813
2022-01-31,1.886,1.89,1.8,1.8204,107015
2022-02-01,1.8004,1.8198,1.7704,1.798,36873
2022-02-02,1.798,1.8094,1.76,1.809,39655
2022-02-03,1.7708,1.8,1.74,1.7898,65077
2022-02-04,1.7898,1.82,1.75,1.8,41527
2022-02-07,1.81,1.95,1.8,1.95,55506
2022-02-08,1.98,2.12,1.98,2.056,71112
2022-02-09,2.03,2.26,2.03,2.1,338924
2022-02-10,2.25,2.84,2.074,2.81,2094958
2022-02-11,2.94,3.1295,2.722,2.929,1209892
2022-02-14,2.84,3.7245,2.811,3.46,1002367
2022-02-15,3.43,3.9,2.841,3.02,1600720
2022-02-16,3.05,3.25,2.7495,3.1,674405
2022-02-17,3.041,3.15,2.9,3.019,454774
2022-02-18,2.9975,3.19,2.96,3.033,309615
2022-02-21,3.04,3.1,2.67,2.67,296526
2022-02-22,2.68,2.94,2.55,2.9,130304
2022-02-23,2.9,2.92,2.76,2.795,67269
2022-02-24,2.45,2.6295,1.96,2,347778
2022-02-25,2.1,2.5,2.1,2.3,133269
2022-02-28,2.2005,2.32,2.1545,2.274,49979
2022-03-01,2.194,2.25,2.103,2.103,32090
2022-03-02,2.36,3.3,2.36,2.6105,415066
2022-03-03,2.75,2.8,2.41,2.59,55627
2022-03-04,2.5,2.9395,2.36,2.53,61033
2022-03-07,2.48,2.575,2.21,2.45,36710
2022-03-08,2.4,2.65,2.4,2.575,38069
2022-03-09,2.575,2.64,2.3,2.54,32481
2022-03-10,2.5475,2.6,2.49,2.556,6308
2022-03-11,2.45,2.52,2.31,2.45,40042
2022-03-14,2.45,2.75,2.402,2.66,33166
2022-03-15,2.6,2.7195,2.493,2.7,48124
2022-03-16,2.5705,2.94,2.57,2.88,130144
2022-03-17,2.88,2.98,2.755,2.83,85243
