Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-03-30,1.95,2.25,1.88,1.95,95894
2012-04-02,1.95,1.97,1.71,1.95,26952
2012-04-03,1.89,2,1.78,1.98,16095
2012-04-04,1.96,2.02,1.92,2.02,12070
2012-04-05,1.97,1.97,1.9,1.96,9798
2012-04-10,1.95,1.96,1.95,1.95,3141
2012-04-11,1.95,1.95,1.94,1.94,2806
2012-04-12,1.94,1.94,1.85,1.88,3400
2012-04-13,1.79,1.89,1.79,1.89,2820
2012-04-16,1.88,1.89,1.88,1.88,2704
2012-04-17,1.89,1.95,1.89,1.95,2000
2012-04-18,1.94,1.94,1.94,1.94,2640
2012-04-19,1.94,1.94,1.94,1.94,1455
2012-04-20,1.94,1.94,1.94,1.94,3378
2012-04-23,1.95,1.95,1.87,1.87,2749
2012-04-24,1.91,1.91,1.8,1.8,2809
2012-04-25,1.8,1.8,1.75,1.75,2893
2012-04-26,1.82,1.83,1.73,1.73,4140
2012-04-27,1.79,1.79,1.73,1.74,10440
2012-04-30,1.77,1.77,1.6,1.6,10051
2012-05-02,1.59,1.69,1.59,1.59,4228
2012-05-04,1.58,1.59,1.58,1.59,1100
2012-05-07,1.58,1.58,1.58,1.58,2083
2012-05-08,1.58,1.58,1.58,1.58,1562
2012-05-09,1.62,1.89,1.55,1.55,5502
2012-05-10,1.59,1.6,1.59,1.6,2400
2012-05-11,1.59,1.59,1.58,1.58,2250
2012-05-14,1.57,1.57,1.57,1.57,2000
2012-05-15,1.57,1.57,1.57,1.57,2000
2012-05-16,1.56,1.57,1.56,1.57,3850
2012-05-17,1.59,1.64,1.59,1.64,3495
2012-05-18,1.64,1.72,1.64,1.7,11525
2012-05-21,1.71,1.85,1.71,1.77,14949
2012-05-22,1.8,1.89,1.79,1.86,14691
2012-05-23,1.86,1.96,1.86,1.96,13558
2012-05-24,1.96,2,1.7,1.98,12495
2012-05-25,1.97,2.09,1.89,2.08,22601
2012-05-28,2.08,2.2,2.08,2.2,19573
2012-05-29,2.2,2.4,2.2,2.32,6097
2012-05-30,2.38,2.44,2.32,2.42,14832
2012-05-31,2.43,2.57,2.42,2.57,20081
2012-06-01,2.6,2.7,2.6,2.7,17846
2012-06-04,2.73,2.84,2.61,2.83,14369
2012-06-05,2.84,3.07,2.84,2.94,25288
2012-06-06,3,3.05,2.99,3.05,10021
2012-06-08,3.07,3.15,2.9,3.11,10663
2012-06-11,3.17,3.17,2.81,2.84,10278
2012-06-12,2.86,3.05,2.4,2.83,8519
2012-06-13,2.84,2.84,2.72,2.82,7390
2012-06-14,2.77,2.77,2.57,2.69,7471
2012-06-15,2.59,2.82,2.4,2.82,5657
2012-06-18,2.52,2.81,2.52,2.73,5839
2012-06-19,2.69,2.69,2.52,2.63,6556
2012-06-20,2.61,2.61,2.39,2.57,7249
2012-06-21,2.36,2.57,2.2,2.44,8930
2012-06-22,2.42,2.5,2.4,2.42,8856
2012-06-25,2.51,2.51,2.51,2.51,2000
2012-06-26,2.51,2.52,2.45,2.45,6489
2012-06-27,2.54,2.54,2.5,2.5,3381
2012-06-28,2.51,2.51,2.37,2.46,2340
2012-06-29,2.46,2.46,2.46,2.46,987
2012-07-02,2.4,2.41,2.4,2.41,4687
2012-07-03,2.4,2.41,2.4,2.41,4324
2012-07-04,2.46,2.46,2.3,2.3,1080
2012-07-09,2.47,2.47,2.47,2.47,1155
2012-07-10,2.47,2.48,2.47,2.48,1700
2012-07-11,2.46,2.46,2.46,2.46,1065
2012-07-12,2.47,2.47,2.47,2.47,690
2012-07-13,2.47,2.47,2.47,2.47,1000
2012-07-16,2.47,2.59,2.47,2.59,3346
2012-07-17,2.53,2.53,2.53,2.53,1000
2012-07-18,2.53,2.53,2.53,2.53,900
2012-07-19,2.53,2.53,2.53,2.53,1500
2012-07-20,2.53,2.53,2.53,2.53,555
2012-07-23,2.53,2.53,2.53,2.53,950
2012-07-24,2.52,2.52,2.52,2.52,1671
2012-07-25,2.52,2.52,2.52,2.52,1000
2012-07-26,2.52,2.52,2.52,2.52,898
2012-07-27,2.52,2.52,2.52,2.52,1760
2012-07-30,2.52,2.52,2.52,2.52,700
2012-07-31,2.49,2.49,2.49,2.49,780
2012-08-01,2.48,2.48,2.19,2.48,4137
2012-08-02,2.24,2.24,2.24,2.24,762
2012-08-03,2.23,2.23,2.23,2.23,1411
2012-08-06,2.24,2.24,2.24,2.24,1366
2012-08-07,2.23,2.25,2.23,2.25,1600
2012-08-08,2.2,2.49,2.2,2.49,877
2012-08-09,2.24,2.46,2.24,2.46,2611
2012-08-10,2.48,2.48,2.48,2.48,967
2012-08-13,2.48,2.48,2.48,2.48,1440
2012-08-14,2.2,2.48,2.2,2.48,800
2012-08-16,2.49,2.5,2.49,2.5,800
2012-08-17,2.49,2.5,2.49,2.5,1300
2012-08-20,2.49,2.49,2.4,2.49,1154
2012-08-21,2.49,2.5,2.49,2.5,1000
