Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-08-27,2.63833,3.20195,1.87,2.35662,72466.64019981
2008-08-28,2.36511,2.36511,1.95518,1.95518,8171.8660051092
2008-08-29,2.09199,2.09199,1.77593,1.97236,3046.7717122134
2008-09-01,1.69914,2.33096,1.69914,2.23699,6114.0397023428
2008-09-02,1.78452,2.18576,1.78452,2.14322,1763.7047146718
2008-09-03,2.10887,2.39926,2.10887,2.23699,4872.990074529
2008-09-04,2.23699,2.5189,2.23699,2.5189,1905.1290322922
2008-09-05,2.52758,2.69825,2.52758,2.69825,19331.064516475
2008-09-08,2.68966,3.79962,2.6556,3.5264,57841.521092848
2008-09-09,3.70575,5.27667,3.70575,5.06326,90746.245659194
2008-09-10,5.06326,7.00147,4.11558,4.42295,35148.042184253
2008-09-11,4.3888,5.88292,4.00443,4.3888,9356.550868654
2008-09-12,3.54338,4.62786,3.50942,3.58621,2773.1464020348
2008-09-15,4.07284,4.17529,3.37261,3.78254,5869.1091812466
2008-09-16,4.09001,4.16671,3.55216,3.79962,5200.930521185
2008-09-17,3.58621,4.08133,3.42394,3.80811,685.6004962902
2008-09-18,3.63725,4.55956,3.63725,4.43134,6588.5285360982
2008-09-19,4.22643,5.06326,4.21813,4.62786,46345.158809763
2008-09-22,4.17529,4.62786,3.67159,3.85933,36060.126551515
2008-09-23,4.20945,4.20945,3.12515,3.45809,37697.779157003
2008-09-24,3.15072,3.73131,3.15072,3.53498,7463.7196031114
2008-09-25,3.33856,3.5264,3.28743,3.5264,2874.602977719
2008-09-26,3.5264,3.5264,3.17619,3.17619,1541.3200992832
2008-09-29,3.03977,3.28743,2.86891,3.03109,12021.066997734
2008-09-30,2.86891,3.28743,2.46757,3.28743,11138.70223345
2008-10-01,3.27884,3.5264,2.97996,3.37261,7907.4640199928
2008-10-02,3.34714,3.48395,3.03977,3.03977,7568.250620483
2008-10-03,3.28743,3.28743,2.88599,3.12515,6355.8957817516
2008-10-06,3.11657,3.11657,3.11657,3.11657,118.8784119128
2008-10-07,3.06524,3.06524,2.55305,2.91165,3189.2208437296
2008-10-08,2.93722,2.95439,2.55305,2.55305,709.1712158936
2008-10-09,2.91165,2.91165,2.52758,2.69825,2037.3300248504
2008-10-10,2.57013,2.82627,2.16029,2.25417,5464.3076924056
2008-10-13,2.92873,2.92873,2.78353,2.78353,2626.5980149354
2008-10-14,2.82627,3.33017,2.82627,3.08241,3027.3002481932
2008-10-15,3.31289,3.31289,3.31289,3.31289,355.6104218426
2008-10-16,3.29592,3.33017,3.29592,3.33017,2163.3821340338
2008-10-17,3.33017,3.33017,3.32148,3.32148,124.0024813918
2008-10-20,3.24469,3.60309,2.74089,3.45809,4115.6526055328
2008-10-21,3.45809,3.45809,2.76645,3.44082,60.4640198522
2008-10-22,3.42394,3.42394,3.42394,3.42394,396.6029776746
2008-10-23,3.41525,3.41525,2.74938,2.83466,202.9131513684
2008-10-24,3.27884,3.27884,2.82627,3.20195,2492.3473945856
2008-10-27,2.82627,3.18487,2.82627,3.15072,1248.2233250844
2008-10-28,3.15921,3.15921,2.82627,3.12515,650.756823833
2008-10-29,2.83466,3.14233,2.83466,3.10798,657.9305211036
2008-10-30,2.86891,3.10798,2.86891,3.0909,777.8337469122
2008-10-31,3.0909,3.12515,2.76645,3.12515,411.9751861116
2008-11-03,3.09949,3.69716,3.09949,3.54338,3078.5409429832
2008-11-04,3.54338,3.54338,2.86891,3.16779,1759.6054590886
2008-11-05,3.20195,3.50942,2.78353,3.50942,2041.4292804336
2008-11-06,3.37261,3.37261,3.37261,3.37261,58.4143920606
2008-11-07,3.37261,3.54338,3.12515,3.37261,1305.6129032492
2008-11-10,3.49234,3.49234,2.95439,3.49234,333.064516135
2008-11-12,2.95439,3.37261,2.82627,3.37261,297.196029782
2008-11-13,2.75806,3.28743,2.75806,3.28743,248.0049627836
2008-11-14,3.28743,3.28743,2.71522,3.27025,470.3895781722
2008-11-17,2.86891,3.20195,2.664,3.20195,3611.4441687992
2008-11-18,3.11657,3.12515,3.03977,3.03977,275.6749379702
2008-11-19,3.12515,3.12515,2.86891,3.11657,1177.5111662742
2008-11-20,2.86891,2.86891,2.2969,2.81778,5927.5235733072
2008-11-21,2.82627,2.82627,2.82627,2.82627,118.8784119128
2008-11-24,2.9458,2.95439,2.52758,2.9458,337.1637717182
2008-11-25,2.53597,2.92873,2.36511,2.68966,3408.5310174308
2008-11-26,2.69825,2.92873,2.69825,2.92873,1380.4243176426
2008-11-27,2.52758,2.84325,2.45898,2.80061,1046.3349876118
2008-11-28,2.78353,2.78353,2.45898,2.7323,450.918114152
2008-12-01,2.47616,2.52758,2.23699,2.5189,665.1042183742
2008-12-02,2.69825,2.69825,2.69825,2.69825,22.5459057076
2008-12-03,2.62975,2.63833,2.24577,2.32247,1503.4019851386
