Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-17,8.619,8.619,5.6353,5.6353,222492
2009-12-18,5.6353,5.9669,4.9724,5.3038,22360
2009-12-21,5.3038,5.3038,4.3094,4.3094,33133
2009-12-22,4.6409,4.6409,4.3094,4.6409,8481
2009-12-23,4.6409,4.6409,3.9778,4.3094,4317
2009-12-28,4.3094,4.6409,4.3094,4.3094,7443
2009-12-29,4.3094,4.6409,3.9778,4.3094,2260
2009-12-30,4.3094,4.3094,3.9778,4.3094,665
2009-12-31,4.3094,4.6409,4.3094,4.6409,1157
2010-01-04,4.6409,4.6409,3.9778,3.9778,9712
2010-01-05,3.9778,4.3094,3.6464,4.3094,6024
2010-01-06,4.3094,4.9724,4.3094,4.9724,21741
2010-01-07,4.9724,4.9724,4.3094,4.6409,8681
2010-01-08,4.6409,4.6409,4.3094,4.6409,8760
2010-01-11,4.6409,4.6409,4.3094,4.3094,3320
2010-01-12,4.3094,4.3094,4.3094,4.3094,5995
2010-01-13,4.6409,5.9669,4.3094,5.9669,58889
2010-01-14,6.9613,7.2928,6.2983,6.9613,55264
2010-01-15,7.2928,7.6243,6.2983,6.9613,27911
2010-01-18,6.6298,6.9613,6.2983,6.9613,12401
2010-01-19,6.9613,7.2928,6.6298,6.9613,15141
2010-01-20,6.9613,8.2873,6.6298,7.9558,42611
2010-01-21,8.619,8.619,7.6243,8.2873,16041
2010-01-22,7.9558,7.9558,6.9613,7.2928,11581
2010-01-25,7.2928,7.6243,6.6298,7.2928,10929
2010-01-26,6.9613,6.9613,6.6298,6.9613,6633
2010-01-27,6.6298,7.2928,6.6298,6.9613,13759
2010-01-28,6.9613,6.9613,6.6298,6.6298,3158
2010-01-29,6.6298,6.6298,6.2983,6.6298,2761
2010-02-01,6.2983,6.6298,6.2983,6.2983,7609
2010-02-02,6.2983,6.6298,6.2983,6.2983,3113
2010-02-03,6.2983,6.2983,5.6353,5.9669,15368
2010-02-04,5.9669,6.6298,5.6353,6.2983,16999
2010-02-05,6.2983,6.2983,5.9669,6.2983,6054
2010-02-08,6.2983,6.2983,5.6353,5.9669,7963
2010-02-09,5.6353,5.9669,5.6353,5.9669,3326
2010-02-10,5.9669,5.9669,5.9669,5.9669,89
2010-02-11,5.6353,6.2983,5.6353,5.6353,13954
2010-02-12,6.2983,6.2983,6.2983,6.2983,463
2010-02-15,6.2983,6.2983,6.2983,6.2983
2010-02-16,6.2983,6.2983,5.9669,6.2983,1535
2010-02-17,5.6353,6.2983,5.6353,5.9669,6085
2010-02-18,5.9669,6.2983,2.9834,3.3149,430398
2010-02-19,2.9834,3.3149,2.652,2.9834,154224
2010-02-22,2.652,2.9834,2.3204,2.652,165531
2010-02-23,2.9834,2.9834,2.652,2.652,133551
2010-02-24,2.652,2.9834,2.652,2.652,75299
2010-02-25,2.652,2.9834,2.652,2.652,106387
2010-02-26,2.652,2.9834,2.652,2.652,23353
2010-03-01,2.652,2.652,2.3204,2.652,107273
2010-03-02,2.3204,2.652,2.3204,2.652,73734
2010-03-03,2.652,2.652,2.3204,2.3204,40306
2010-03-04,2.652,2.9834,2.652,2.652,307257
2010-03-05,2.9834,2.9834,2.652,2.652,160915
2010-03-08,2.3204,2.9834,2.3204,2.652,59786
2010-03-09,2.652,2.652,2.3204,2.652,97095
2010-03-10,2.652,2.652,2.3204,2.652,54273
2010-03-11,2.652,2.652,2.3204,2.3204,49683
2010-03-12,2.3204,2.652,2.3204,2.652,61424
2010-03-15,2.3204,2.652,2.3204,2.3204,72856
2010-03-16,2.3204,2.652,1.9889,2.652,157049
2010-03-17,2.3204,2.652,2.3204,2.652,121033
2010-03-18,2.3204,2.652,2.3204,2.3204,26417
2010-03-19,2.3204,2.3204,1.9889,2.3204,26034
2010-03-22,2.3204,2.652,2.3204,2.3204,23639
2010-03-23,2.3204,2.652,2.3204,2.3204,23735
2010-03-24,2.3204,2.652,2.3204,2.652,36452
2010-03-25,2.3204,2.652,2.3204,2.652,33765
