Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-05-13,5.6378,5.6378,5.6378,5.6378,200483
1998-05-14,5.6378,5.6378,5.6378,5.6378,138541
1998-05-15,5.5986,5.5986,5.5986,5.5986,105238
1998-05-18,5.0897,5.0897,5.0897,5.0897,17998
1998-05-19,4.5809,4.5809,4.5809,4.5809
1998-05-20,4.1507,4.1507,4.1507,4.1507,90711
1998-05-21,4.3855,4.3855,4.3855,4.3855,55088
1998-05-22,4.3855,4.3855,4.3855,4.3855,24325
1998-05-25,4.0328,4.0328,4.0328,4.0328,10729
1998-05-26,3.8374,3.8374,3.8374,3.8374,52603
1998-05-27,3.6803,3.6803,3.6803,3.6803,41349
1998-05-28,3.7195,3.7195,3.7195,3.7195,16377
1998-05-29,3.9151,3.9151,3.9151,3.9151,10203
1998-06-01,3.5396,3.5396,3.5396,3.5396,25157
1998-06-02,3.367,3.367,3.367,3.367,7105
1998-06-03,3.5085,3.5085,3.5085,3.5085,14746
1998-06-04,3.5241,3.5241,3.5241,3.5241,10729
1998-06-05,3.5633,3.5633,3.5633,3.5633,26843
1998-06-08,3.6803,3.6803,3.6803,3.6803,16377
1998-06-09,3.3121,3.3121,3.3121,3.3121,18119
1998-06-10,3.3204,3.3204,3.3204,3.3204,19673
1998-06-15,3.3204,3.3204,3.3204,3.3204,21413
1998-06-16,2.9916,2.9916,2.9916,2.9916,13225
1998-06-17,3.1714,3.1714,3.1714,3.1714,29351
1998-06-18,3.3276,3.3276,3.3276,3.3276,49308
1998-06-19,3.2893,3.2893,3.2893,3.2893,11660
1998-06-22,3.2893,3.2893,3.2893,3.2893,11430
1998-06-23,3.2729,3.2729,3.2729,3.2729,23253
1998-06-24,3.1632,3.1632,3.1632,3.1632,8123
1998-06-25,3.1322,3.1322,3.1322,3.1322,27095
1998-06-26,3.1322,3.1322,3.1322,3.1322,7916
1998-06-29,3.2573,3.2573,3.2573,3.2573,14998
1998-06-30,3.43,3.43,3.43,3.43,24500
1998-07-01,3.5241,3.5241,3.5241,3.5241,41371
1998-07-02,3.641,3.641,3.641,3.641,56806
1998-07-03,3.641,3.641,3.641,3.641,46964
1998-07-06,3.5633,3.5633,3.5633,3.5633,15327
1998-07-07,3.5241,3.5241,3.5241,3.5241,10794
1998-07-08,3.4063,3.4063,3.4063,3.4063,20745
1998-07-09,3.2893,3.2893,3.2893,3.2893,15458
1998-07-10,3.2893,3.2893,3.2893,3.2893,35152
1998-07-13,3.2893,3.2893,3.2893,3.2893,50534
1998-07-14,3.367,3.367,3.367,3.367,52132
1998-07-15,3.3276,3.3276,3.3276,3.3276,12677
1998-07-16,3.2893,3.2893,3.2893,3.2893,21315
1998-07-17,3.2893,3.2893,3.2893,3.2893,19881
1998-07-20,3.1797,3.1797,3.1797,3.1797,13618
1998-07-21,3.1322,3.1322,3.1322,3.1322,18490
1998-07-22,2.8189,2.8189,2.8189,2.8189,6624
1998-07-23,2.8271,2.8271,2.8271,2.8271,28683
1998-07-24,3.0537,3.0537,3.0537,3.0537,31003
1998-07-27,3.1322,3.1322,3.1322,3.1322,43364
1998-07-28,3.0537,3.0537,3.0537,3.0537,11966
1998-07-29,2.976,2.976,2.976,2.976,7248
1998-07-30,2.976,2.976,2.976,2.976,8418
1998-07-31,3.0929,3.0929,3.0929,3.0929,20581
1998-08-03,2.7878,2.7878,2.7878,2.7878,8659
1998-08-04,2.8189,2.8189,2.8189,2.8189,17330
1998-08-05,2.7404,2.7404,2.7404,2.7404,27489
