Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-11-26,6.55,7.3,6.3,6.5,86963
2013-11-27,6.33,6.5,5.8,6.5,47495
2013-11-28,6.5,6.59,5.85,6.09,14287
2013-11-29,6.09,6.6,5.7,5.7,6680
2013-12-02,5.7,5.7,4.57,5.47,41992
2013-12-03,5.49,5.49,4.42,5.06,7295
2013-12-04,5,5,4.82,4.98,2605
2013-12-05,4.99,5,4.99,5,400
2013-12-06,4.98,5.02,4.71,5.02,24275
2013-12-09,5.02,5.02,4.85,4.98,1265
2013-12-10,4.88,5.12,4.88,5.12,1071
2013-12-11,5,5.12,4.82,4.98,16056
2013-12-12,4.98,5.12,4.98,5.12,31
2013-12-13,5.12,5.16,5,5.16,2030
2013-12-16,5.16,5.18,4.15,4.68,28200
2013-12-19,4.73,4.73,4.73,4.73,1
2013-12-20,4.73,5.65,4.73,5.11,5865
2013-12-23,4.95,5.32,4.95,5.32,425
2013-12-30,5.32,5.89,5.32,5.89,1150
2014-01-02,6.59,6.59,6.14,6.34,300
2014-01-03,6.34,6.34,5.3,6,1558
2014-01-07,5.8,5.8,5.48,5.48,985
2014-01-09,5.3,5.5,5.1,5.5,1025
2014-01-10,5.2,5.2,5.05,5.05,70
2014-01-14,5,5,5,5,10
2014-01-16,4.73,4.73,4.38,4.5,5757
2014-01-17,4.45,4.97,4.45,4.97,1750
2014-01-20,4.3,4.62,4.2,4.51,1836
2014-01-21,4.51,4.7,4.4,4.7,386
2014-01-22,4.7,5.13,4.6,5.13,955
2014-01-23,5.24,5.24,5.24,5.24,4
2014-01-24,5.24,5.24,4.85,4.85,1258
2014-01-27,4.8,5.14,4.11,4.75,2062
2014-01-28,5.09,5.1,4.75,5,2500
2014-01-31,5.1,5.21,4.16,5.21,331
2014-02-03,5.05,5.37,5,5,1360
2014-02-04,5.37,5.71,5,5.68,2641
2014-02-05,5.68,5.68,5.68,5.68,5
2014-02-06,5.2,7.05,4.99,7.05,32538
2014-02-07,6,7.75,6,7,7334
2014-02-10,7.3,8.5,7.3,8.5,4356
2014-02-11,8.61,8.7,7,7.29,25920
2014-02-12,6.8,7.3,5.44,7.3,5428
2014-02-13,6.98,6.98,6.5,6.8,551
2014-02-14,6.71,7.3,6.3,7.3,2046
2014-02-17,7.15,7.3,6.35,7.3,401
2014-02-18,6.4,6.4,6.24,6.24,985
2014-02-19,6.66,6.75,6.11,6.75,502
2014-02-20,6.11,7.19,5.6,7.19,2909
2014-02-21,6.98,7.18,6,6.02,24816
2014-02-24,6,7,5.2,7,1731
2014-02-25,6,7,5.72,7,3662
2014-02-26,6.5,6.98,6.5,6.5,245
2014-02-27,6.9,6.9,6.85,6.85,50
2014-03-03,6.6,6.6,5.51,5.51,1875
2014-03-04,5.58,5.58,5.58,5.58,52
2014-03-05,6.5,6.5,6.5,6.5,10
2014-03-06,6.2,6.2,5.51,5.51,50
2014-03-10,6.2,6.23,6,6,790
2014-03-11,5.6,5.6,5.6,5.6,191
2014-03-13,4.85,5.72,4.85,5.05,430
2014-03-17,5.8,5.8,5.8,5.8,35
2014-03-20,5.8,5.8,5.5,5.5,278
2014-03-21,5.5,6.2,5.3,5.35,47430
2014-03-24,6,7.19,6,7.19,7290
2014-03-25,7.2,8.3,6.9,8.3,296
2014-03-26,6.9,7,6.65,6.88,7049
2014-03-28,7.01,8.41,7.01,8.4,26575
2014-03-31,8.4,8.8,8.4,8.4,145
2014-04-01,10,12,10,12,158
2014-04-02,10.75,15,10.75,15,47
2014-04-03,18,21.5,15,21.5,1011
2014-04-04,25.8,30.96,25.8,30.96,1005
2014-04-07,32.25,38.7,32.25,38.7,448
2014-04-08,41.5,59.76,41.5,59.76,2992
2014-04-09,61,73.2,48.8,48.8,1031
2014-04-10,55,55,45,54.5,1043
2014-04-11,51.6,59,51,51,767
2014-04-14,52,52,45,45,5189
2014-04-16,49.49,49.49,49.49,49.49,22
2014-04-17,45.5,45.5,43,43,54
2014-04-22,41.92,49.49,41.92,49.49,126
2014-04-23,48.26,50.2,48.26,50.2,55
2014-04-24,51,51.99,50,50,140
2014-04-25,52,57,52,57,83
2014-04-28,50,50,50,50,6
2014-05-02,55,57,55,57,3
2014-05-05,57,80,57,80,221
2014-05-06,64.5,66.65,62,66.65,16
2014-05-07,67,80,67,80,10
2014-05-08,80.01,115,80.01,115,194
2014-05-09,115,137,115,128.5,150
2014-05-12,128.5,129,100,100,51
2014-05-13,95,112,77,110,1463
2014-05-14,107.5,120,107.5,120,28
2014-05-15,112.5,130,112.5,115,46
2014-05-16,116.3,116.4,114,114,28
2014-05-19,113,113,113,113,4
2014-05-20,112,112,112,112,1
2014-05-21,120.4,120.4,120.4,120.4,13
2014-05-22,130,150,130,150,5
2014-05-23,139.95,139.95,120.4,135,6
2014-05-26,140,140,140,140,9
2014-05-27,140,140.2,131,131,195
2014-05-28,130.3,130.3,130.3,130.3,1
2014-05-29,125,125,100,125,50
2014-05-30,124.9,124.9,105,105,4
2014-06-02,103,113,82.5,83,65
2014-06-03,86,88,86,88,2
2014-06-04,90,94,73,87,45
2014-06-05,85.5,86,81,86,5
2014-06-06,83.85,83.99,81.5,83.99,12
2014-06-09,82.99,86,81,85,50
2014-06-10,85,86,79.1,80,49
2014-06-12,78,78,50,50,113
2014-06-13,50,60,40,42.98,4624
2014-06-16,40,40,35,35,67
2014-06-17,36,36,30,32,62
2014-06-18,34.4,37,34.4,37,44
2014-06-20,38,42.8,38,42.8,37
2014-06-23,42.8,51.36,42.8,51.36,95
2014-06-24,50,60,50,60,454
2014-06-25,63,74,50,50,8267
2014-06-26,48.4,52.49,38.72,39.01,4543
2014-06-27,38,54.72,37.1,54.6,1559
2014-06-30,54.5,65,43.1,43.1,4738
2014-07-01,46.15,49,39.1,43,703
2014-07-02,39.2,55,38.4,54.5,660
2014-07-03,56,67,51.2,67,1328
2014-07-04,68,80,65,80,191
2014-07-07,71,100,65,99.99,138
2014-07-08,100,144,100,144,1410
2014-07-09,150,215,150,215,328
2014-07-10,228,270,190,270,124
2014-07-11,222,260,222,260,4
2014-07-14,211,260,200,260,36
2014-07-15,250,260,230,260,37
2014-07-16,250,260,200,260,95
2014-07-17,250,260,242,260,129
2014-07-18,260,298,208.5,242,364
2014-07-21,240,240,205,205,98
2014-07-22,205,205,205,205,3
2014-07-23,205,205,200,200,114
2014-07-24,200,200,160,165,25
2014-07-25,170,170,170,170,6
2014-07-28,170,200,170,200,12
2014-07-29,200,240,128.2,128.2,174
2014-07-30,135,153,108,108,62
2014-07-31,100,113,80,80,202
2014-08-01,74,74,60,60,336
2014-08-04,58.1,58.1,37.18,37.18,20079
2014-08-05,38.45,45,24.61,25.19,45588
2014-08-06,24.5,35.28,22.1,35,5822
2014-08-07,38.49,46.17,35.5,46.17,2744
2014-08-08,55,60,31,31,30001
2014-08-11,31,44.42,29.31,44.42,5199
2014-08-12,45.63,48,28.99,28.99,45157
2014-08-13,30.5,34,19.52,20,86007
2014-08-14,20,20,17.02,19.9,7655
2014-08-18,21.47,24.5,19.39,20,19944
2014-08-19,20,21.49,16,16,14467
2014-08-20,16.7,17,12.12,12.63,16203
2014-08-21,13.12,14.6,9.15,14.6,36877
2014-08-22,14.58,15.97,12.41,13.13,11359
2014-08-25,13.99,13.99,11.3,12.12,6405
2014-08-26,11.5,12.95,10.6,12.49,3507
2014-08-27,12.69,18,12,15,21658
2014-08-28,13,14.39,10.9,11.5,30173
2014-08-29,11.6,12.4,11.5,12.05,8731
2014-09-01,11.6,12.05,11.4,11.99,2767
2014-09-02,11.6,12.29,11,11,3578
2014-09-03,11.5,11.5,10.11,10.4,3186
2014-09-04,10.5,12.33,10.03,11.45,11756
2014-09-05,11.05,11.48,10.5,10.55,2967
2014-09-08,10.6,11.3,10.53,10.55,1808
2014-09-09,10.55,10.99,10.5,10.5,2453
2014-09-10,10.5,11.1,10.24,10.51,3743
2014-09-11,10.37,10.8,10.1,10.5,1961
2014-09-12,10.01,10.23,9.52,9.65,3118
2014-09-15,9.65,11.35,9.65,10.2,12908
2014-09-16,10.2,10.3,8.16,8.35,23989
2014-09-17,8.35,8.35,5.2,5.2,80371
2014-09-18,4.7,5,3.01,4.43,241958
2014-09-19,4.43,5.19,3.9,4.61,88616
2014-09-22,4.65,5.05,4.3,4.52,60780
2014-09-23,4.49,4.7,3.61,3.79,48433
2014-09-24,3.77,4.39,3.64,4.08,40747
2014-09-25,4.13,4.14,3.81,3.92,13872
2014-09-26,4.03,4.29,3.62,3.97,30691
2014-09-29,4.1,5.5,3.87,5.15,74315
2014-09-30,5.5,6.3,5.26,5.55,87314
2014-10-01,5.65,5.65,4.98,5.24,35025
2014-10-02,5.4,5.4,4.35,4.45,60920
2014-10-03,4.54,4.84,4.37,4.62,21455
2014-10-06,4.65,4.68,3.72,3.72,90726
2014-10-07,3.58,3.98,3.41,3.7,55369
2014-10-08,3.65,4.35,3.59,3.7,86369
2014-10-09,3.73,3.78,3.41,3.53,32794
2014-10-10,3.52,3.64,3.24,3.41,24538
2014-10-13,3.35,3.39,3.13,3.19,15339
2014-10-14,3.1,3.49,3.1,3.32,12668
2014-10-15,3.47,3.47,2.95,3.15,20585
2014-10-16,2.91,3.1,2.33,2.4,69453
2014-10-17,2.46,2.46,2.3,2.42,20313
2014-10-20,2.43,2.43,2.03,2.1,40247
2014-10-21,2.13,2.65,2.07,2.65,56706
2014-10-22,2.83,3.52,2.68,3.52,92699
2014-10-23,3.81,4.49,3.25,3.52,97280
2014-10-24,3.8,3.87,3.34,3.62,16181
2014-10-27,3.65,4.2,3.31,3.6,45361
2014-10-28,3.64,3.73,3.37,3.57,4051
2014-10-29,3.42,3.89,3.33,3.8,37980
2014-10-30,4.08,4.78,3.91,4.3,62791
2014-10-31,4.41,4.88,3.91,4.49,53271
2014-11-03,4.74,4.79,4.3,4.7,21091
2014-11-04,4.65,4.91,4.4,4.57,25317
2014-11-05,4.9,5.09,4.6,4.9,19706
2014-11-06,5.01,5.99,5.01,5.9,78665
2014-11-07,6.2,7,5.5,6.1,108866
2014-11-10,6.09,7.41,5.55,7.41,49935
2014-11-12,7.69,11,7.15,10.9,99969
2014-11-13,12.2,15.3,11.5,15.3,51390
2014-11-14,20,24,15.55,15.55,76333
2014-11-17,15.7,18.8,12.56,13,84800
2014-11-18,12.89,14.99,10.44,12,66064
2014-11-19,12.25,13,10.3,10.3,25265
2014-11-20,9.7,11.52,8.6,11.52,62575
2014-11-21,15.5,16.8,13.8,15.95,83489
2014-11-24,15.06,15.99,13,13.4,35620
2014-11-25,13.4,13.4,11.07,11.2,23387
2014-11-26,11.15,11.95,10.4,11.55,16198
2014-11-27,11.55,13.8,10.9,12.59,29686
2014-11-28,12.22,13.6,12.22,13.5,12134
2014-12-01,13.5,17.95,13.5,16.9,41702
2014-12-02,17,17,14.34,15.2,24875
2014-12-03,15.4,16.5,15,15.7,8643
2014-12-04,15.5,16.9,15,15.65,45963
2014-12-05,15,15.69,11.62,11.62,38252
2014-12-08,11,14,10.7,13.9,28355
2014-12-09,13.89,14.7,13.36,14.7,9088
2014-12-10,15.05,16.6,13.5,15.1,10719
2014-12-11,15,16.65,14.81,16.01,16396
2014-12-12,16.45,18.5,16.1,18.01,13158
2014-12-15,18.1,21,18.1,20.7,18536
2014-12-16,21.01,22.98,17.73,20.5,39089
2014-12-17,20,21.2,17,18,7955
2014-12-18,18,19.19,18,18.5,2152
2014-12-19,18.85,21.2,18.85,20.2,5597
2014-12-22,20.7,21,19.9,20.5,1398
2014-12-23,20.59,20.89,19.15,20.7,542
2014-12-29,20.1,22.5,19.81,22.47,9321
2014-12-30,21.74,22.4,19,19.85,11962
2015-01-02,21.5,21.5,17.66,19,6738
2015-01-05,18.99,18.99,17,18.47,9054
2015-01-07,18.62,20.2,18.62,19.6,2329
2015-01-08,19.6,19.6,18.5,19.42,31481
2015-01-09,19.42,19.49,18.21,19.1,4863
2015-01-12,19.42,19.6,17.05,18.05,20727
2015-01-13,17.3,18.72,17.2,17.95,45809
2015-01-14,18.19,18.49,17.4,17.9,26693
2015-01-15,17.4,17.42,16.02,16.02,3328
2015-01-16,16.44,20,14.55,19.98,27637
2015-01-19,19.6,21.15,19,20.05,8140
2015-01-20,20.04,20.04,18.2,19,3020
2015-01-21,19.09,19.8,18.1,19.8,7320
2015-01-22,19,19.68,18.78,19.68,1848
2015-01-23,19.65,19.65,19,19.39,1885
2015-01-26,19.35,19.35,18.5,19,6941
2015-01-27,19.3,19.35,18.99,19,2081
2015-01-28,19,19.15,18.2,19.15,4128
2015-01-29,19.35,19.59,19,19.59,1956
2015-01-30,19.77,19.77,19,19.49,1323
2015-02-02,19.49,19.49,17.9,18.6,1736
2015-02-03,19,21.16,19,19.99,15521
2015-02-04,19.99,25,19.8,25,35526
2015-02-05,24.5,25,21.41,23.02,8351
2015-02-06,23.21,23.79,22,23.19,1040
2015-02-09,22.05,23.61,22.05,23.2,2801
2015-02-10,23,24,21,23,4809
2015-02-11,23,23.29,21.4,23.1,8806
2015-02-12,23.29,23.3,22.2,22.89,2272
2015-02-13,22.89,22.9,22.1,22.89,486
2015-02-16,22.78,27.33,22.1,27.33,25696
2015-02-17,27.5,29.8,27,28.28,16421
2015-02-18,28.96,29.08,27.77,28,1870
2015-02-19,28,29,26.1,27.74,2148
2015-02-20,28,28,26.15,26.7,941
2015-02-23,27.59,27.59,25.7,26.55,736
2015-02-24,26.55,29.8,25.3,29.22,7545
2015-02-25,31,31,29.2,31,5295
2015-02-26,31.79,38.1,31.35,38,9422
2015-02-27,36.69,39.89,35.15,36.5,3760
2015-03-02,36.5,39,36.5,38.2,2303
2015-03-03,35.6,38.66,35.6,37,1888
2015-03-04,37,38.73,36.3,38,2223
2015-03-05,37.01,41.13,36.65,39,11268
2015-03-06,37.6,39.4,33,35.17,5192
2015-03-09,35,36.95,33,34.6,1937
2015-03-10,34,35.9,30.02,31.43,7003
2015-03-11,30.7,32.16,27.9,28,4182
2015-03-12,27.9,31.63,27.9,31.53,14401
2015-03-13,31.9,35.79,31.21,33,6125
2015-03-16,33,41,33,38,7657
2015-03-17,38,40.85,38,38,6324
2015-03-18,38.53,39.5,37,38.67,1589
2015-03-19,39,39,34.02,35.7,3863
2015-03-20,35.7,40,34.1,38.5,7819
2015-03-23,39.65,39.91,37,39.85,3298
2015-03-24,38,53.45,38,49.98,14539
2015-03-25,50,50,45.86,46,6285
2015-03-26,46.74,46.78,42.17,45.9,1657
2015-03-27,47,47,40.1,41.2,2898
2015-03-30,41.99,43.5,39.3,43.5,3650
2015-03-31,43.4,46.89,41.5,43,4387
2015-04-01,42,42,39,40.5,2706
2015-04-02,39.02,39.05,35,36.34,4713
2015-04-07,36.35,39,36.35,37.5,1926
2015-04-08,38.38,38.38,34.22,34.99,910
2015-04-09,34.78,34.99,28.02,29.9,4728
2015-04-10,29.9,35,28.4,32,14322
2015-04-13,30.63,33.94,30.63,32.44,2942
2015-04-14,33.44,34.98,32.4,34.3,4261
2015-04-15,34.87,34.87,33,33.67,887
2015-04-16,34.34,34.5,32.2,33.99,1442
2015-04-17,32.4,41.8,32.4,40.54,10739
2015-04-20,41.9,41.9,37.6,37.99,3806
2015-04-21,38.6,39.15,35.5,36.5,1983
2015-04-22,35,36.76,28.1,32.9,4577
2015-04-23,32.74,35.4,29.99,35,7977
2015-04-24,36.5,38.5,30.5,33,4848
2015-04-27,32.14,38,30.6,38,3782
2015-04-28,35,38,35,36,5132
2015-04-29,35.01,41,35.01,39.25,6706
2015-04-30,39.98,47.4,39.98,46.29,6373
2015-05-04,46.29,47.5,43.4,47,1647
2015-05-05,46.99,47.4,44,47.4,2006
2015-05-06,46.4,46.4,43.51,44.8,594
2015-05-07,43.52,44,40.31,40.88,834
2015-05-08,39.5,43.7,38.75,40.99,1994
2015-05-11,43.97,63.31,41,59.9,16232
2015-05-12,57,64,45.61,46.91,16161
2015-05-13,45.17,53.95,41.03,48.93,5513
2015-05-14,47.99,51.8,44.2,51.5,6942
2015-05-15,52.85,55,50,52.69,2369
2015-05-18,53.89,53.89,45.5,48.09,2006
2015-05-19,48.49,48.49,43.4,45.5,1764
2015-05-20,46.5,46.5,43.2,44.8,735
2015-05-21,44,45.9,41.6,42.97,2654
2015-05-22,41.66,49,41.6,45.5,3257
2015-05-25,45.2,48.79,43.2,44.5,1525
2015-05-26,44.99,46.9,43.5,45.89,806
2015-05-27,44,46.1,43,43.8,1771
2015-05-28,45.5,45.51,42.01,42.6,13514
2015-05-29,44.18,44.8,42,42,618
2015-06-01,40.02,43.69,38.81,40.5,1799
2015-06-02,42,42.49,39,41.6,1042
2015-06-03,41.79,44.5,39.7,42.07,1662
2015-06-05,40.3,42.8,39.7,40,2394
2015-06-08,40,42,38.81,38.81,1245
2015-06-09,39.98,40.98,33,34.97,5921
2015-06-10,35,43,31.5,42.3,9295
2015-06-11,42.67,48,41.65,43.5,3849
2015-06-12,45.7,47.49,42,44,3215
2015-06-15,43.5,48,43.5,46,4967
2015-06-16,45,46.48,40.12,42.66,2375
2015-06-17,42.97,44.7,40.33,41.9,3268
2015-06-18,41.9,41.9,37.5,38.7,2141
2015-06-19,42.2,42.2,36.2,39.97,4201
2015-06-22,37.01,41.17,35,38.5,2968
2015-06-23,37,38.32,35.1,36.47,2950
2015-06-24,36.77,41.85,35,40.8,4924
2015-06-25,40.8,45.4,39.5,40,3764
2015-06-26,40,41.5,36.68,37.77,2299
2015-06-29,36.66,39.15,36.06,38.5,1207
2015-06-30,37.89,39,35.51,38.5,1794
2015-07-01,38.4,39.29,35.38,37.5,1693
2015-07-02,35.8,38,35.25,35.75,2923
2015-07-03,36,36.75,35,35.93,3078
2015-07-06,35.9,35.9,33.55,33.55,1129
2015-07-07,33.55,34.69,33,33.06,1114
2015-07-08,32.6,33.9,28.27,30.69,2197
2015-07-09,30.05,37.39,30.05,35,3108
2015-07-10,35.5,37.49,35,35,1465
2015-07-13,34.8,37.09,34.8,36,2553
2015-07-14,36.6,37.08,33.5,34.5,4916
2015-07-15,34.9,35,32.06,32.06,1099
2015-07-16,33.9,34.2,32.5,32.54,1043
2015-07-17,33.5,33.98,32.5,32.5,904
2015-07-20,32.5,36.6,32.5,33.9,3911
2015-07-21,34,35.7,33.5,34.2,1508
2015-07-22,33.5,35,30.43,31.77,1662
2015-07-23,31.5,33.44,29.2,32.9,2465
2015-07-24,32,32,30,31.88,703
2015-07-27,31.88,34,30.31,30.31,1005
2015-07-28,31.1,31.95,29.96,31.1,1527
2015-07-29,30.95,32.5,29.8,32,3104
2015-07-30,32.15,33.52,30.1,31.9,2049
2015-07-31,32.22,32.22,28.44,31.75,7152
2015-08-03,30.33,33,29.58,31.24,2400
