Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-08-20,1.91871,1.91871,1.91871,1.91871,974678.19670233
1997-08-21,2.10893,2.10893,2.10893,2.10893,798913.66118663
1997-08-22,1.99008,1.99008,1.99008,1.99008,201988.68852066
1997-08-25,1.91871,1.91871,1.91871,1.91871,313795.90163323
1997-08-26,1.97418,1.97418,1.97418,1.97418,208994.8087391
1997-08-27,2.15651,2.15651,2.15651,2.15651,403374.15299761
1997-08-28,2.37052,2.37052,2.37052,2.37052,556066.66665584
1997-08-29,2.47377,2.47377,2.47377,2.47377,421551.85791529
1997-09-01,2.47377,2.47377,2.47377,2.47377,400644.59015613
1997-09-02,2.71158,2.71158,2.71158,2.71158,566841.63933322
1997-09-03,2.98906,2.98906,2.98906,2.98906,389151.14753341
1997-09-04,2.94158,2.94158,2.94158,2.94158,604450.21856746
1997-09-05,3.05244,3.05244,3.05244,3.05244,305101.58469351
1997-09-08,3.26655,3.26655,3.26655,3.26655,390950.43715086
1997-09-09,2.94158,2.94158,2.94158,2.94158,623809.45353976
1997-09-10,2.64811,2.64811,2.64811,2.64811,263034.75409324
1997-09-11,2.63231,2.63231,2.63231,2.63231,329286.61201545
1997-09-12,2.60053,2.60053,2.60053,2.60053,155517.59562539
1997-09-15,2.52925,2.52925,2.52925,2.52925,187483.27868487
1997-09-16,2.54514,2.54514,2.54514,2.54514,135525.02731977
1997-09-17,2.54514,2.54514,2.54514,2.54514,224880.05464043
1997-09-18,2.46568,2.46568,2.46568,2.46568,72582.076501319
1997-09-19,2.32294,2.32294,2.32294,2.32294,81728.032785294
1997-09-22,2.34683,2.34683,2.34683,2.34683,157390.60108983
1997-09-23,2.36282,2.36282,2.36282,2.36282,150651.31147248
1997-09-24,2.34683,2.34683,2.34683,2.34683,58021.639343132
1997-09-25,2.26756,2.26756,2.26756,2.26756,81669.890708792
1997-09-26,2.13272,2.13272,2.13272,2.13272,106008.57923291
1997-09-29,2.12473,2.12473,2.12473,2.12473,57176.502731127
1997-09-30,2.02976,2.02976,2.02976,2.02976,80813.33333176
1997-10-01,1.99008,1.99008,1.99008,1.99008,188609.78141709
1997-10-02,2.06154,2.06154,2.06154,2.06154,159472.29507886
1997-10-03,2.13272,2.13272,2.13272,2.13272,211654.80873905
1997-10-06,2.20419,2.20419,2.20419,2.20419,266228.41529536
1997-10-07,2.20419,2.20419,2.20419,2.20419,221615.79234541
1997-10-08,2.22788,2.22788,2.22788,2.22788,227792.34972234
1997-10-09,2.22788,2.22788,2.22788,2.22788,160021.53005153
1997-10-10,2.20419,2.20419,2.20419,2.20419,279199.28961205
1997-10-13,2.20419,2.20419,2.20419,2.20419,225230.98360217
1997-10-14,2.34683,2.34683,2.34683,2.34683,303862.95081375
1997-10-15,2.33884,2.33884,2.33884,2.33884,169939.94535188
1997-10-16,2.34683,2.34683,2.34683,2.34683,168362.84152678
1997-10-17,2.29935,2.29935,2.29935,2.29935,902489.61746876
1997-10-20,2.37852,2.37852,2.37852,2.37852,152886.66666369
1997-10-21,2.33103,2.33103,2.33103,2.33103,552773.33332257
1997-10-22,2.34683,2.34683,2.34683,2.34683,785743.44260765
1997-10-23,2.34683,2.34683,2.34683,2.34683,207377.21311072
1997-10-24,2.10893,2.10893,2.10893,2.10893,130534.15300292
1997-10-27,2.03766,2.03766,2.03766,2.03766,121344.59016157
1997-10-28,1.83934,1.83934,1.83934,1.83934
1997-10-29,1.97418,1.97418,1.97418,1.97418,117378.46994307
1997-10-30,1.81565,1.81565,1.81565,1.81565,130757.37704663
1997-10-31,1.87912,1.87912,1.87912,1.87912,126453.82513415
1997-11-03,1.87912,1.87912,1.87912,1.87912,51351.912567306
1997-11-04,1.91871,1.91871,1.91871,1.91871,154773.16939589
1997-11-05,1.95829,1.95829,1.95829,1.95829,100158.03278493
1997-11-06,1.95829,1.95829,1.95829,1.95829,46891.58469854
1997-11-07,1.91871,1.91871,1.91871,1.91871,29275.573769922
1997-11-12,1.84734,1.84734,1.84734,1.84734,41601.693988261
1997-11-13,1.85514,1.85514,1.85514,1.85514,77378.797812701
1997-11-14,1.85514,1.85514,1.85514,1.85514,91572.732238654
1997-11-17,1.91871,1.91871,1.91871,1.91871,36608.743168686
1997-11-18,1.88692,1.88692,1.88692,1.88692,80797.759561268
1997-11-19,1.72059,1.72059,1.72059,1.72059,34483.442622279
1997-11-20,1.76007,1.76007,1.76007,1.76007,42208.032786063
1997-11-21,1.84734,1.84734,1.84734,1.84734,137482.13114486
1997-11-24,1.84734,1.84734,1.84734,1.84734,92220.6010911
1997-11-25,1.84734,1.84734,1.84734,1.84734,108683.11475198
1997-11-26,1.91871,1.91871,1.91871,1.91871,70345.683058739
1997-11-27,1.91871,1.91871,1.91871,1.91871,104153.22404169
1997-11-28,1.99797,1.99797,1.99797,1.99797,124228.8524566
1997-12-01,1.95829,1.95829,1.95829,1.95829,46680.819671222
1997-12-02,1.95829,1.95829,1.95829,1.95829,294747.1038194
1997-12-03,1.99008,1.99008,1.99008,1.99008,97201.092894282
1997-12-04,2.02976,2.02976,2.02976,2.02976,104292.34972474
1997-12-05,2.02976,2.02976,2.02976,2.02976,24945.027321919
1997-12-08,1.88692,1.88692,1.88692,1.88692,14194.972677319
1997-12-09,1.91871,1.91871,1.91871,1.91871,37127.868851736
1997-12-10,1.88692,1.88692,1.88692,1.88692,32443.278687893
1997-12-11,1.75237,1.75237,1.75237,1.75237,18007.431693638
1997-12-12,1.75237,1.75237,1.75237,1.75237,50098.743168423
1997-12-15,1.75237,1.75237,1.75237,1.75237,42093.825135792
1997-12-16,1.77606,1.77606,1.77606,1.77606,35002.568305329
1997-12-17,1.75237,1.75237,1.75237,1.75237,24450.819671655
1997-12-18,1.67281,1.67281,1.67281,1.67281,22763.661201742
1997-12-19,1.53017,1.53017,1.53017,1.53017,21567.595627995
1997-12-22,1.37953,1.37953,1.37953,1.37953,42966.994534682
1997-12-23,1.41921,1.41921,1.41921,1.41921,40054.699452772
1997-12-29,1.38743,1.38743,1.38743,1.38743,8525.0819670471
1997-12-30,1.41921,1.41921,1.41921,1.41921,149890.27322112
1997-12-31,1.43511,1.43511,1.43511,1.43511,101887.75956086
1998-01-05,1.56195,1.56195,1.56195,1.56195,71708.907102429
1998-01-06,1.54606,1.54606,1.54606,1.54606,52194.972676579
1998-01-07,1.47469,1.47469,1.47469,1.47469,63056.120217351
1998-01-08,1.4588,1.4588,1.4588,1.4588,40589.398906313
1998-01-09,1.38743,1.38743,1.38743,1.38743,41517.595627607
1998-01-12,1.25278,1.25278,1.25278,1.25278,96387.10382326
1998-01-13,1.27647,1.27647,1.27647,1.27647,379103.98906366
1998-01-14,1.32415,1.32415,1.32415,1.32415,163045.95628098
1998-01-15,1.31616,1.31616,1.31616,1.31616,379610.65573031
1998-01-16,1.37953,1.37953,1.37953,1.37953,100269.12568111
1998-01-19,1.451,1.451,1.451,1.451,143096.99453273
1998-01-20,1.41921,1.41921,1.41921,1.41921,123680.6557353
1998-01-21,1.41132,1.41132,1.41132,1.41132,75650.109288144
1998-01-22,1.40332,1.40332,1.40332,1.40332,75607.540982134
1998-01-23,1.41132,1.41132,1.41132,1.41132,59088.961747483
1998-01-26,1.39542,1.39542,1.39542,1.39542,4880.8196720361
1998-01-27,1.39542,1.39542,1.39542,1.39542,31936.612021236
1998-01-28,1.36364,1.36364,1.36364,1.36364,113790.27322183
1998-01-29,1.34784,1.34784,1.34784,1.34784,97175.136610129
1998-01-30,1.37953,1.37953,1.37953,1.37953,106080.21857717
1998-02-02,1.41132,1.41132,1.41132,1.41132,83850.218577602
1998-02-03,1.49058,1.49058,1.49058,1.49058,209643.71584291
1998-02-04,1.49058,1.49058,1.49058,1.49058,214384.37158052
1998-02-05,1.50648,1.50648,1.50648,1.50648,538803.66119169
1998-02-06,1.56195,1.56195,1.56195,1.56195,146458.85245616
1998-02-09,1.60154,1.60154,1.60154,1.60154,83118.251364502
1998-02-10,1.61733,1.61733,1.61733,1.61733,179703.66119869
1998-02-11,1.61733,1.61733,1.61733,1.61733,177818.19671785
1998-02-12,1.54606,1.54606,1.54606,1.54606,81897.267757968
1998-02-13,1.49058,1.49058,1.49058,1.49058,111102.24043499
1998-02-16,1.46679,1.46679,1.46679,1.46679,36157.103824432
1998-02-17,1.4588,1.4588,1.4588,1.4588,38759.999999245
1998-02-18,1.4588,1.4588,1.4588,1.4588,35707.540982911
1998-02-19,1.33995,1.33995,1.33995,1.33995,103589.4535499
1998-02-20,1.33995,1.33995,1.33995,1.33995,82920.983604943
1998-02-23,1.39542,1.39542,1.39542,1.39542,190440.21857553
1998-02-24,1.39542,1.39542,1.39542,1.39542,88211.912566588
1998-02-25,1.38743,1.38743,1.38743,1.38743,22269.453551479
1998-02-26,1.4588,1.4588,1.4588,1.4588,31936.612021236
1998-02-27,1.41132,1.41132,1.41132,1.41132,24872.349726292
1998-03-02,1.47469,1.47469,1.47469,1.47469,82317.759561238
1998-03-03,1.4588,1.4588,1.4588,1.4588,21201.092895762
1998-03-04,1.4588,1.4588,1.4588,1.4588,74706.338796359
1998-03-05,1.40332,1.40332,1.40332,1.40332,32470.273223411
1998-03-06,1.41132,1.41132,1.41132,1.41132,9454.3169397066
1998-03-09,1.38743,1.38743,1.38743,1.38743,8019.4535517564
1998-03-10,1.41132,1.41132,1.41132,1.41132,55249.508195645
1998-03-11,1.41921,1.41921,1.41921,1.41921,36847.540982889
1998-03-12,1.40332,1.40332,1.40332,1.40332,86663.879779733
1998-03-13,1.41132,1.41132,1.41132,1.41132,52870.87431591
1998-03-16,1.39542,1.39542,1.39542,1.39542,25773.551912066
1998-03-17,1.39542,1.39542,1.39542,1.39542,56881.639343155
1998-03-18,1.41921,1.41921,1.41921,1.41921,94867.103823289
1998-03-19,1.42711,1.42711,1.42711,1.42711,117194.69945127
1998-03-20,1.451,1.451,1.451,1.451,56445.573769393
1998-03-23,1.53826,1.53826,1.53826,1.53826,75198.469943891
1998-03-24,1.51428,1.51428,1.51428,1.51428,127155.68305763
1998-03-25,1.66511,1.66511,1.66511,1.66511,277328.36065034
1998-03-26,1.71249,1.71249,1.71249,1.71249,463140.05463579
1998-03-27,1.67281,1.67281,1.67281,1.67281,129462.67759311
1998-03-30,1.60953,1.60953,1.60953,1.60953,60750.163933243
1998-03-31,1.60154,1.60154,1.60154,1.60154,87367.814205949
1998-04-01,1.60154,1.60154,1.60154,1.60154,140182.62294809
1998-04-02,1.62543,1.62543,1.62543,1.62543,86046.120216904
1998-04-06,1.78396,1.78396,1.78396,1.78396,359422.89616786
1998-04-07,1.78396,1.78396,1.78396,1.78396,261234.42622442
1998-04-08,1.74428,1.74428,1.74428,1.74428,60552.896173684
1998-04-09,1.66511,1.66511,1.66511,1.66511,161090.92895861
1998-04-14,1.7046,1.7046,1.7046,1.7046,77802.40437007
1998-04-15,1.7046,1.7046,1.7046,1.7046,60495.792348549
1998-04-16,1.67281,1.67281,1.67281,1.67281,79350.437156925
1998-04-17,1.61733,1.61733,1.61733,1.61733,114915.73770268
1998-04-20,1.56195,1.56195,1.56195,1.56195,165100.65573449
1998-04-21,1.56985,1.56985,1.56985,1.56985,125382.34972433
1998-04-22,1.56985,1.56985,1.56985,1.56985,149552.84152714
1998-04-23,1.61733,1.61733,1.61733,1.61733,153506.50272925
1998-04-24,1.64912,1.64912,1.64912,1.64912,126297.04917787
1998-04-27,1.60154,1.60154,1.60154,1.60154,79489.562839982
1998-04-28,1.48269,1.48269,1.48269,1.48269,481991.58469007
1998-04-29,1.49058,1.49058,1.49058,1.49058,236049.56283693
1998-04-30,1.51428,1.51428,1.51428,1.51428,146262.62294797
1998-05-04,1.49058,1.49058,1.49058,1.49058,208740.4371544
1998-05-05,1.48269,1.48269,1.48269,1.48269,376346.39343529
1998-05-06,1.451,1.451,1.451,1.451,203326.99453156
