Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-02,2.19,2.3,1.8,1.978,72390
2010-06-04,2.176,2.176,1.744,1.998,46220
2010-06-07,1.89,2.194,1.86,2.19,19425
2010-06-08,2.39,2.39,2.1,2.2,20325
2010-06-09,2.08,2.08,2.08,2.08,1350
2010-06-11,2.08,2.08,1.804,2.058,14920
2010-06-14,2,2.08,1.92,2.08,18540
2010-06-15,2,3.018,2,2.98,41540
2010-06-16,2.89,2.98,2.44,2.8,11635
2010-06-17,2.8,2.98,2.4,2.888,2865
2010-06-18,2.93,2.93,2.93,2.93,50
2010-06-21,3.514,3.998,2.76,3.36,12550
2010-06-23,2.998,3.36,2.8,3.36,16255
2010-06-24,3.21,3.21,3.21,3.21,5
2010-06-25,2.8,3.2,2.8,3.2,2080
2010-06-28,2.78,3.2,2.602,3.2,5015
2010-06-29,3.34,3.798,3.34,3.798,5135
2010-07-01,3.794,4.2,3.794,4.2,1365
2010-07-07,3.9,4.28,3.9,4.28,700
2010-07-08,3.4,4.18,3.4,4.18,835
2010-07-09,3.98,4.42,3.98,4.4,6725
2010-07-13,4.92,4.92,4.4,4.86,10625
2010-07-16,4.75,4.92,4.75,4.92,1940
2010-07-22,3.94,4.88,3.94,4.88,1330
2010-07-23,5.84,6.18,5.84,6.18,2780
2010-07-26,6.2,6.5,6.18,6.5,855
2010-07-29,5.2,6.36,5.2,5.2,805
2010-07-30,4.9,4.9,4.9,4.9,325
2010-08-02,5.2,5.2,5.2,5.2,5
2010-08-04,5.2,5.2,4.66,5.1,2040
2010-08-16,4.798,4.798,4.798,4.798,5
2010-08-27,5,5,5,5,40
2010-09-01,3.958,3.958,2.76,2.76,3215
2010-09-02,2.8,2.8,2.24,2.4,365
2010-09-03,2,2,1.6,1.6,8295
2010-09-06,1.676,1.676,1.35,1.42,20690
2010-09-07,1.512,1.6,1.512,1.6,260
2010-09-08,1.36,1.6,1.282,1.396,3920
2010-09-09,1.594,1.594,1.36,1.45,3215
2010-09-10,1.45,1.472,1.2,1.2,24135
2010-09-13,1.196,1.276,1.02,1.2,10430
2010-09-14,1.18,1.2,1.1,1.2,815
2010-09-15,1.2,1.2,1.2,1.2,2415
2010-09-16,1.2,1.2,1.2,1.2,350
2010-09-17,1.06,1.2,1,1.162,23775
2010-09-20,1.02,1.15,0.93,1.04,60740
2010-09-21,0.94,1.064,0.9,1,60680
2010-09-22,1.08,1.1,0.92,1.04,115800
2010-09-23,0.946,1,0.92,0.996,59235
2010-09-24,0.996,0.996,0.946,0.99,69180
2010-09-27,0.996,0.996,0.95,0.95,70425
2010-09-28,0.988,0.988,0.948,0.97,8100
2010-09-29,0.99,0.99,0.97,0.98,56810
2010-09-30,0.96,1.02,0.94,1.02,39250
2010-10-01,1.028,1.136,1,1.126,43950
2010-10-04,1.136,1.136,1.07,1.136,41535
2010-10-05,1.136,1.136,1.06,1.098,33990
2010-10-06,1.098,1.098,1.002,1.04,19975
2010-10-07,1.038,1.038,1,1.038,62870
2010-10-08,1.046,1.046,1.004,1.03,10500
2010-10-11,1.03,1.03,1,1.018,8790
2010-10-12,1.018,1.204,1.018,1.136,68400
2010-10-13,1.136,1.136,1.132,1.132,510
2010-10-14,1.136,1.136,0.964,1.08,42680
2010-10-15,1.08,1.08,0.974,1.02,25015
2010-10-18,1.11,1.11,0.94,1,98400
2010-10-19,1.04,1.08,0.97,1.07,160060
2010-10-20,1.066,1.066,1,1.046,36020
2010-10-21,1.044,1.044,0.96,0.98,149490
2010-10-22,0.97,1.04,0.938,1.038,241770
2010-10-25,1.038,1.038,1.012,1.026,17410
2010-10-26,1.03,1.038,1.014,1.036,68160
2010-10-27,1.038,1.084,1.002,1.078,292305
2010-10-28,1.08,1.28,1.08,1.17,185650
2010-10-29,1.17,1.27,1.12,1.25,109095
2010-11-02,1.3,1.48,1.26,1.42,140910
2010-11-03,1.42,1.482,1.32,1.322,78210
2010-11-04,1.36,1.4,1.24,1.38,71185
2010-11-05,1.38,1.484,1.34,1.456,35875
2010-11-08,1.46,1.626,1.46,1.57,60090
2010-11-09,1.616,1.622,1.526,1.526,43220
2010-11-10,1.62,1.62,1.33,1.57,99270
2010-11-12,1.57,1.58,1.43,1.52,21065
2010-11-15,1.578,1.578,1.42,1.5,20075
2010-11-16,1.5,1.528,1.34,1.39,74885
2010-11-17,1.382,1.47,1.3,1.45,43715
2010-11-18,1.34,1.4,1.3,1.39,28505
2010-11-19,1.39,1.44,1.33,1.44,24725
2010-11-22,1.4,1.5,1.39,1.5,29585
2010-11-23,1.5,1.56,1.41,1.52,17510
2010-11-24,1.518,1.676,1.472,1.636,62735
2010-11-25,1.696,1.746,1.61,1.734,53450
2010-11-26,1.76,1.76,1.62,1.73,20495
2010-11-29,1.752,1.754,1.63,1.698,21185
2010-11-30,1.69,1.69,1.38,1.48,172990
2010-12-01,1.46,1.47,1.4,1.46,47960
2010-12-02,1.46,1.52,1.4,1.47,30775
2010-12-03,1.55,1.58,1.46,1.52,18655
2010-12-06,1.54,1.54,1.42,1.52,31765
2010-12-07,1.48,1.56,1.4,1.56,29870
2010-12-08,1.65,1.65,1.4,1.49,127300
2010-12-09,1.49,1.49,1.4,1.44,23041
2010-12-10,1.46,1.46,1.4,1.42,30159
2010-12-13,1.4,1.4,1.27,1.34,20949
2010-12-14,1.3,1.3,1.22,1.28,18673
2010-12-15,1.28,1.37,1.22,1.34,6540
2010-12-16,1.34,1.37,1.26,1.35,36933
2010-12-17,1.37,1.37,1.26,1.31,7299
2010-12-20,1.35,1.35,1.26,1.31,11232
2010-12-21,1.31,1.37,1.26,1.37,17619
2010-12-22,1.32,1.34,1.25,1.34,22029
2010-12-23,1.28,1.35,1.28,1.33,9292
2010-12-27,1.36,1.36,1.28,1.31,9724
2010-12-28,1.31,1.31,1.25,1.29,36166
2010-12-29,1.34,1.34,1.26,1.28,5340
2010-12-30,1.3,1.32,1.26,1.32,183
2010-12-31,1.32,1.37,1.32,1.37,8299
2011-01-03,1.41,1.41,1.27,1.38,2061
2011-01-04,1.38,1.38,1.26,1.31,20734
2011-01-05,1.34,1.34,1.21,1.28,17628
2011-01-07,1.29,1.29,1.21,1.26,7256
2011-01-10,1.27,1.27,1.12,1.22,8067
2011-01-11,1.23,1.24,1.08,1.24,17580
2011-01-12,1.24,1.25,1.17,1.25,3029
2011-01-13,1.25,1.25,1.17,1.23,3131
2011-01-14,1.24,1.24,1.15,1.24,18747
2011-01-17,1.24,1.24,1,1.19,18910
2011-01-18,1.18,1.3,1.13,1.21,68296
2011-01-19,1.16,1.21,1.15,1.2,8838
2011-01-20,1.24,1.24,1.15,1.19,9606
2011-01-21,1.22,1.35,1.16,1.32,31362
2011-01-24,1.34,1.35,1.28,1.34,6533
2011-01-25,1.18,1.3,1.18,1.3,5161
2011-01-26,1.24,1.3,1.24,1.27,1872
2011-01-27,1.22,1.29,1.2,1.29,3840
2011-01-28,1.29,1.3,1.2,1.3,8056
2011-01-31,1.3,1.33,1.25,1.33,8743
2011-02-01,1.25,1.29,1.18,1.29,2817
2011-02-02,1.24,1.25,1.18,1.25,6546
2011-02-03,1.2,1.25,1.2,1.25,2541
2011-02-04,1.2,1.2,1.17,1.2,11477
2011-02-07,1.19,1.19,1,1.11,86861
2011-02-08,1.09,1.09,0.97,0.97,96570
2011-02-09,1,1.05,0.98,1.02,39483
2011-02-10,1,1.06,1,1.06,14470
2011-02-11,1.01,1.07,1.01,1.05,24010
2011-02-14,1.05,1.26,1.02,1.26,61809
2011-02-15,1.25,1.5,1.25,1.5,193613
2011-02-16,1.5,1.5,1.35,1.4,30097
2011-02-17,1.4,1.4,1.3,1.3,16423
2011-02-18,1.38,1.38,1.2,1.25,30533
2011-02-21,1.25,1.25,1.14,1.2,8796
2011-02-22,1.23,1.23,1.16,1.23,9522
2011-02-23,1.23,1.23,1.15,1.16,15376
2011-02-24,1.15,1.15,1.1,1.15,925
2011-02-25,1.16,1.16,1.09,1.16,18487
2011-02-28,1.16,1.38,0.93,0.95,404597
2011-03-01,0.97,1,0.96,0.99,47226
2011-03-02,1,1.04,0.98,1.02,100994
2011-03-03,1.02,1.02,0.98,1,5390
2011-03-04,1.01,1.01,0.87,0.88,167729
2011-03-07,0.9,0.9,0.86,0.89,18321
2011-03-08,0.9,0.9,0.73,0.73,159037
2011-03-09,0.76,0.76,0.61,0.63,1398283
2011-03-10,0.63,0.67,0.61,0.65,197462
2011-03-11,0.64,0.69,0.62,0.67,57010
2011-03-14,0.68,0.7,0.66,0.68,81240
2011-03-15,0.68,0.68,0.64,0.66,35057
2011-03-16,0.63,0.66,0.62,0.66,16668
2011-03-17,0.64,0.66,0.63,0.66,16761
2011-03-18,0.66,0.77,0.66,0.77,243103
2011-03-21,0.79,0.91,0.74,0.9,147753
2011-03-22,0.91,0.91,0.83,0.86,73679
2011-03-23,0.87,0.9,0.8,0.84,20154
2011-03-24,0.81,0.9,0.81,0.88,11841
2011-03-25,0.82,0.88,0.78,0.85,27655
2011-03-28,0.82,0.85,0.73,0.84,63216
2011-03-29,0.78,0.83,0.76,0.83,12435
2011-03-30,0.77,0.83,0.77,0.83,3763
2011-03-31,0.76,0.82,0.76,0.82,6315
2011-04-01,0.77,0.82,0.77,0.82,4301
2011-04-04,0.82,0.82,0.77,0.82,17371
2011-04-05,0.77,0.89,0.77,0.89,61914
2011-04-06,0.86,0.89,0.85,0.88,42031
2011-04-07,0.88,0.88,0.83,0.85,38533
2011-04-08,0.85,0.87,0.85,0.87,73655
2011-04-11,0.85,0.85,0.85,0.85,6196
2011-04-12,0.85,0.88,0.85,0.88,18293
2011-04-13,0.85,0.96,0.85,0.94,75845
2011-04-14,0.95,0.95,0.91,0.91,3020
2011-04-15,0.91,0.98,0.91,0.97,31290
2011-04-18,0.97,1.04,0.92,1.01,29236
2011-04-19,0.97,1,0.95,1,3235
2011-04-20,0.95,0.98,0.85,0.98,29430
2011-04-21,0.97,0.97,0.9,0.95,11302
2011-04-26,0.92,0.95,0.86,0.91,21692
2011-04-27,0.91,0.91,0.87,0.87,4707
2011-04-28,0.9,0.9,0.9,0.9,1000
2011-04-29,0.9,0.9,0.86,0.88,10521
2011-05-02,0.9,0.95,0.9,0.95,50300
2011-05-04,0.95,0.95,0.92,0.94,4302
2011-05-05,0.94,0.94,0.9,0.9,4619
2011-05-06,0.9,0.92,0.9,0.92,2700
2011-05-09,0.92,0.92,0.9,0.9,35172
2011-05-10,0.9,0.94,0.9,0.94,8281
2011-05-11,0.9,0.92,0.9,0.92,13368
2011-05-12,0.84,0.87,0.82,0.87,13240
2011-05-13,0.89,0.89,0.82,0.87,4881
2011-05-16,0.87,0.87,0.83,0.86,1401
2011-05-17,0.86,0.86,0.73,0.85,51815
2011-05-18,0.8,0.84,0.73,0.8,81836
2011-05-19,0.76,0.84,0.74,0.78,33140
2011-05-20,0.8,0.84,0.75,0.82,47880
2011-05-23,0.76,0.82,0.76,0.82,7254
2011-05-24,0.82,0.82,0.75,0.82,68114
2011-05-25,0.79,0.81,0.79,0.81,3002
2011-05-26,0.78,0.78,0.78,0.78,330
2011-05-27,0.82,0.82,0.78,0.81,38047
2011-05-30,0.8,0.89,0.8,0.89,24777
2011-05-31,0.87,0.87,0.8,0.84,31232
2011-06-01,0.85,0.85,0.85,0.85,2
2011-06-02,0.81,0.84,0.79,0.8,18141
2011-06-03,0.85,0.85,0.85,0.85,1
2011-06-06,0.8,0.86,0.8,0.86,68212
2011-06-07,0.86,0.99,0.85,0.99,47401
2011-06-08,0.99,1.14,0.99,1.14,132442
2011-06-09,1.14,1.15,1.05,1.15,15611
2011-06-10,1.1,1.14,1.09,1.1,8495
2011-06-13,1.09,1.17,1.09,1.16,22447
2011-06-14,1.16,1.18,1.1,1.18,11536
2011-06-15,1.1,1.17,1.1,1.15,5985
2011-06-16,1.16,1.21,1.15,1.15,47347
2011-06-17,1.19,1.26,1.19,1.23,29958
2011-06-20,1.15,1.21,1.11,1.2,2975
2011-06-21,1.21,1.21,1.06,1.19,14452
2011-06-22,1.11,1.19,1.06,1.18,5387
2011-06-24,1.19,1.19,1.1,1.1,14302
2011-06-27,1.1,1.15,1.1,1.1,5492
2011-06-28,1.1,1.11,1.09,1.11,7702
2011-06-29,1.1,1.1,1.09,1.1,806
2011-06-30,1.1,1.2,1.1,1.2,10001
2011-07-01,1.2,1.2,1.2,1.2,2
2011-07-04,1.2,1.2,1.05,1.17,9676
2011-07-05,1.18,1.18,1.04,1.04,10202
2011-07-06,1.04,1.1,1.04,1.05,8868
2011-07-07,1.04,1.06,1.03,1.03,88902
2011-07-08,1.05,1.08,1,1,23574
2011-07-11,1,1.05,1,1.05,2488
2011-07-12,1.08,1.08,0.99,1.08,6840
2011-07-13,1.08,1.08,0.99,1.01,14406
2011-07-14,0.99,1,0.99,1,10401
2011-07-15,0.99,1.05,0.99,1,12562
2011-07-18,0.99,0.99,0.95,0.95,9915
2011-07-19,0.99,0.99,0.99,0.99,2
2011-07-20,0.98,0.98,0.98,0.98,2
2011-07-21,1.1,1.1,1.1,1.1,15
2011-07-22,1.1,1.1,1.04,1.04,5472
2011-07-25,1.1,1.14,1.04,1.04,208112
2011-07-26,1.05,1.05,1.03,1.04,90785
2011-07-27,1.1,1.1,0.95,1,8016
2011-07-28,1.03,1.03,0.95,1,2094
2011-07-29,1.03,1.03,1.03,1.03,2
2011-08-01,1.03,1.03,1,1,2
2011-08-02,1,1,1,1,2
2011-08-03,1,1,0.99,0.99,2
2011-08-04,0.99,0.99,0.99,0.99,1
2011-08-05,0.94,0.99,0.85,0.99,24871
2011-08-08,0.9,0.9,0.9,0.9,2800
2011-08-09,0.85,1,0.85,0.99,6400
2011-08-10,0.91,0.93,0.87,0.93,7832
2011-08-11,0.89,0.94,0.89,0.94,700
2011-08-16,0.94,0.94,0.94,0.94,2
2011-08-17,0.94,0.94,0.94,0.94,2
2011-08-18,0.85,0.9,0.85,0.9,1200
2011-08-19,0.85,0.85,0.85,0.85,1000
2011-08-23,0.85,0.85,0.83,0.83,3401
2011-08-24,0.83,0.83,0.82,0.83,8501
2011-08-25,0.83,0.83,0.78,0.78,4711
2011-08-26,0.78,0.78,0.78,0.78,1500
2011-08-29,0.83,0.83,0.83,0.83,2
2011-08-30,0.75,0.83,0.75,0.83,5000
2011-08-31,0.83,0.83,0.83,0.83,1
2011-09-01,0.75,0.83,0.75,0.83,5301
2011-09-02,0.8,0.85,0.8,0.85,31004
2011-09-05,0.85,0.99,0.85,0.86,9496
2011-09-06,0.85,1.09,0.8,1.09,103151
2011-09-07,1,1.2,0.94,0.99,15801
2011-09-08,0.99,1.16,0.98,1.16,8601
2011-09-09,1.15,1.15,1,1.04,7719
2011-09-12,0.99,1.14,0.84,1.04,5871
2011-09-13,1.13,1.13,1.03,1.1,2301
2011-09-14,0.9,1.09,0.9,1.09,6750
2011-09-15,1.09,1.09,0.93,1,13202
2011-09-16,1,1,0.9,0.98,9750
2011-09-19,0.98,0.98,0.97,0.97,2
2011-09-20,0.97,0.97,0.97,0.97,2
2011-09-21,0.97,0.97,0.96,0.96,2
2011-09-22,0.96,0.96,0.88,0.88,4351
2011-09-23,0.96,0.96,0.96,0.96,100
2011-09-26,0.96,0.96,0.96,0.96,1
2011-09-27,0.96,0.96,0.85,0.9,3001
2011-09-28,0.8,0.8,0.8,0.8,1500
2011-09-29,0.82,0.95,0.77,0.81,20600
2011-09-30,0.79,0.93,0.79,0.8,9609
2011-10-03,0.77,0.8,0.69,0.75,32562
2011-10-04,0.76,0.76,0.64,0.64,8242
2011-10-05,0.64,0.76,0.61,0.66,35513
2011-10-06,0.68,0.76,0.62,0.76,8210
2011-10-07,0.72,0.72,0.68,0.68,330
2011-10-10,0.63,0.68,0.61,0.66,36288
2011-10-11,0.66,0.67,0.6,0.64,12338
2011-10-12,0.64,0.64,0.6,0.6,18478
2011-10-13,0.55,0.57,0.55,0.56,14441
2011-10-14,0.56,0.63,0.56,0.63,13188
2011-10-17,0.57,0.57,0.56,0.57,8060
2011-10-18,0.57,0.57,0.56,0.56,2001
2011-10-19,0.56,0.56,0.51,0.51,33732
2011-10-20,0.5,0.51,0.5,0.51,2
2011-10-21,0.49,0.54,0.49,0.54,1369
2011-10-24,0.56,0.64,0.56,0.64,6499
2011-10-25,0.64,0.64,0.64,0.64,10
2011-10-26,0.62,0.62,0.62,0.62,2
2011-10-27,0.62,0.68,0.62,0.67,9387
2011-10-28,0.67,0.78,0.67,0.73,53519
2011-10-31,0.73,0.78,0.67,0.67,23314
2011-11-02,0.68,0.78,0.64,0.64,22561
2011-11-03,0.64,0.74,0.6,0.74,16163
2011-11-07,0.67,0.78,0.66,0.75,67127
2011-11-08,0.73,0.73,0.73,0.73,2916
2011-11-09,0.73,0.84,0.69,0.69,93644
2011-11-10,0.69,0.75,0.69,0.72,6131
2011-11-14,0.7,0.7,0.69,0.7,2601
2011-11-15,0.7,0.7,0.67,0.67,3501
2011-11-16,0.62,0.62,0.62,0.62,4301
2011-11-17,0.61,0.61,0.61,0.61,2
2011-11-18,0.61,0.61,0.61,0.61,2
2011-11-21,0.61,0.66,0.61,0.65,5042
2011-11-22,0.67,0.67,0.64,0.64,3901
2011-11-23,0.65,0.65,0.61,0.61,9749
2011-11-24,0.56,0.59,0.56,0.59,11140
2011-11-28,0.59,0.7,0.59,0.7,122616
2011-11-29,0.68,0.69,0.56,0.64,25915
2011-11-30,0.61,0.62,0.61,0.62,8101
2011-12-01,0.62,0.62,0.61,0.61,5799
2011-12-02,0.57,0.57,0.57,0.57,4001
2011-12-05,0.57,0.61,0.57,0.61,4101
2011-12-06,0.61,0.61,0.61,0.61,4101
2011-12-12,0.61,0.61,0.61,0.61,3000
2011-12-13,0.61,0.61,0.61,0.61,2
2011-12-14,0.61,0.61,0.61,0.61,1
2011-12-15,0.61,0.61,0.61,0.61,2
2011-12-16,0.61,0.61,0.57,0.57,4896
2011-12-19,0.55,0.55,0.55,0.55,3500
2011-12-20,0.52,0.52,0.52,0.52,9620
2011-12-21,0.52,0.61,0.52,0.61,11510
2011-12-22,0.52,0.72,0.52,0.72,4710
2011-12-27,0.53,0.53,0.53,0.53,5000
2011-12-28,0.53,0.53,0.53,0.53,700
2011-12-29,0.48,0.56,0.48,0.56,2070
2011-12-30,0.56,0.6,0.51,0.6,163
2012-01-02,0.52,0.52,0.52,0.52,70
2012-01-03,0.53,0.6,0.53,0.55,11367
2012-01-04,0.55,0.65,0.48,0.48,5743
2012-01-05,0.5,0.6,0.5,0.6,5101
2012-01-09,0.55,0.66,0.55,0.66,5710
2012-01-10,0.57,0.62,0.56,0.61,9015
2012-01-11,0.57,0.61,0.53,0.61,458
2012-01-12,0.61,0.61,0.57,0.57,11
2012-01-13,0.57,0.58,0.47,0.58,10520
2012-01-16,0.47,0.52,0.47,0.52,2
2012-01-17,0.52,0.57,0.52,0.57,4911
2012-01-18,0.52,0.57,0.52,0.57,5
2012-01-19,0.57,0.57,0.47,0.52,5433
2012-01-20,0.52,0.52,0.52,0.52,3
2012-01-23,0.52,0.52,0.52,0.52,15
