Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-05-11,59.2198,75.0651,58.3391,73.2242,1188694.5097605
2007-05-14,82.4278,85.5427,76.8246,85.5427,301507.21567526
2007-05-15,84.0245,84.0245,79.6257,81.6265,97994.509800341
2007-05-16,77.6249,80.8262,76.0243,78.2654,66581.411762273
2007-05-17,77.6249,80.0259,74.5836,78.2654,47681.960782571
2007-05-18,77.2248,77.5445,74.9043,76.8246,37406.35293981
2007-05-21,76.8246,82.8299,76.8246,80.8262,37455.294116278
2007-05-22,81.5461,82.4278,80.0259,81.6265,54839.607841133
2007-05-23,81.6265,82.4278,80.5839,82.4278,37516.470586864
2007-05-24,82.7465,82.7465,79.2246,82.0227,15014.745097491
2007-05-25,78.5861,81.2224,78.5861,79.2246,15647.921568056
2007-05-28,78.5047,79.9454,76.9835,79.2246,14997.411764158
2007-05-29,79.866,79.866,76.8246,78.2654,10778.27450941
2007-05-30,77.2248,77.2248,74.5836,77.2248,15289.019607284
2007-05-31,77.7054,79.2246,76.9041,79.2246,20842.82352865
2007-06-01,79.6257,79.6257,77.1453,79.2246,18983.058822836
2007-06-04,76.8246,78.4253,75.224,78.4253,12950.039215213
2007-06-05,76.9041,78.7852,76.8246,78.4253,12048.705881913
2007-06-06,76.9453,78.4253,75.9047,78.4253,17455.686273872
2007-06-08,76.0645,76.1048,73.9441,76.0243,15916.078430791
2007-06-11,76.0243,77.6249,75.224,77.6249,10470.352940794
2007-06-12,78.0261,78.8254,76.8246,78.4253,21514.745097253
2007-06-13,78.4253,84.0245,78.4253,80.8262,25914.35294023
2007-06-14,81.2224,82.4278,80.0259,82.4278,16340.235293521
2007-06-15,81.6265,82.0227,80.988,81.6265,6540.7843134865
2007-06-18,79.5463,82.265,79.5463,82.265,64161.882350597
2007-06-19,80.8262,80.8262,74.2638,75.224,78123.372546165
2007-06-20,75.3035,76.8246,74.5836,75.6242,60310.823527208
2007-06-21,75.6242,76.0243,74.1844,74.4237,22526.196077608
2007-06-22,74.4237,74.9847,71.8629,74.8248,89399.215683008
2007-06-25,74.4237,74.4237,72.1827,72.5828,12062.980391716
2007-06-26,73.9843,73.9843,71.9826,72.7437,130363.99999524
2007-06-27,72.7437,73.543,68.9814,71.4628,23188.941175623
2007-06-28,69.7425,72.0238,69.1423,70.8233,10084.941176102
2007-06-29,70.4222,70.8233,67.7025,68.0222,9637.3333329812
2007-07-02,65.2212,66.6609,64.9407,66.0224,34397.490194822
2007-07-03,65.6213,69.2217,65.6213,68.8225,12095.607842695
2007-07-04,68.8225,70.3829,67.1013,69.2217,5160.2352939291
2007-07-05,69.9014,69.9014,66.5001,68.342,5326.4313723544
2007-07-06,68.0222,69.462,67.2209,69.462,24354.352940287
2007-07-09,70.3437,72.0238,69.462,71.3029,22144.862744289
2007-07-10,71.1038,71.1833,70.023,70.8233,13870.745097532
2007-07-11,70.8233,70.8233,69.6228,70.8233,9970.7450976749
2007-07-12,71.8217,75.224,71.8217,72.8241,16781.725489583
2007-07-13,74.4237,76.0243,74.0236,75.6644,15857.960783734
2007-07-16,75.6644,75.6644,71.704,73.9441,12476.941176015
2007-07-17,72.0238,75.224,72.0238,74.0236,12689.019607379
2007-07-18,75.224,75.224,72.4229,74.4237,4422.0392155247
2007-07-19,74.3433,74.8248,73.6234,74.4237,5019.5294115813
2007-07-20,74.5041,75.0239,72.3033,74.0236,4790.1176468838
2007-07-23,72.4229,73.9843,71.7433,72.8241,55395.294115623
2007-07-24,73.543,73.543,69.2217,71.5834,15609.176470018
2007-07-25,70.4222,70.4624,69.0618,70.4222,4347.6078429784
2007-07-26,70.023,71.1038,69.6228,69.6228,24676.549018706
2007-07-27,67.8212,70.8233,66.5001,69.6228,18237.72548953
2007-07-30,67.7025,71.9433,67.7025,71.2225,11398.196078015
2007-07-31,71.2225,73.184,71.2225,73.184,39729.019606391
2007-08-01,72.7437,72.7437,68.902,70.8233,4031.5294116174
2007-08-02,71.143,71.143,70.3437,71.0616,1851.6078430696
2007-08-03,71.0616,71.0616,69.1423,71.0234,23998.509803045
2007-08-06,68.5018,69.5826,66.6609,68.8225,12996.941175996
2007-08-07,68.8637,71.143,68.8637,69.2217,39698.431371099
2007-08-08,69.6228,70.4222,69.4228,69.6228,19994.509803191
2007-08-09,71.143,71.143,69.6228,70.4222,31591.52941061
2007-08-10,69.0618,69.0618,68.5018,68.8225,50905.960782454
2007-08-13,67.3808,68.4224,64.9809,68.0222,30439.372547907
2007-08-14,68.1027,68.1027,64.0207,64.0207,16895.92156801
2007-08-16,61.5413,61.5413,56.2187,57.6182,68837.803919053
2007-08-17,57.1396,61.3805,56.8179,59.7798,14563.058822997
2007-08-20,62.0994,68.0222,60.8195,61.6208,20828.549018847
2007-08-21,61.6208,63.1812,60.6606,61.6208,13471.058823037
2007-08-22,61.6208,63.2204,61.2206,63.2204,9778.039215329
2007-08-23,64.0207,64.7396,62.4201,64.0207,1594.6666666084
2007-08-24,64.7396,65.941,64.0207,65.941,4081.4901959293
2007-08-27,66.1813,68.342,66.1019,67.2209,4114.1176469085
2007-08-28,67.3014,68.2625,67.3014,68.1027,3443.2156861487
2007-08-29,63.2616,67.5809,63.2616,67.5809,22966.666665827
2007-08-30,68.7421,69.2217,68.0222,68.8225,9378.3529408338
2007-08-31,69.6228,70.8233,68.1419,69.6228,741.2549019337
2007-09-03,69.6228,71.143,68.902,70.4222,1903.6078430677
2007-09-04,70.8233,72.6642,69.7023,72.5828,36990.352939825
2007-09-05,73.2242,73.9441,72.983,73.6234,7175.9999997378
2007-09-06,72.983,73.6234,72.9437,73.2242,36814.980390812
