Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-11-10,0.829,0.829,0.621,0.621,58730
2017-11-13,0.616,0.616,0.55,0.598,17130
2017-11-14,0.6,0.72,0.56,0.665,40810
2017-11-15,0.665,0.665,0.56,0.62,50400
2017-11-16,0.62,0.62,0.58,0.6,1880
2017-11-17,0.58,0.619,0.54,0.619,4520
2017-11-20,0.59,0.62,0.58,0.62,7550
2017-11-21,0.581,0.69,0.57,0.632,11550
2017-11-22,0.632,0.65,0.59,0.65,3570
2017-11-24,0.643,0.643,0.58,0.6,10060
2017-11-27,0.56,0.56,0.457,0.532,53470
2017-11-28,0.5,0.5,0.46,0.49,5820
2017-11-29,0.49,0.49,0.392,0.392,62590
2017-11-30,0.419,0.419,0.38,0.397,15420
2017-12-01,0.397,0.45,0.397,0.45,13600
2017-12-04,0.46,0.48,0.46,0.48,950
2017-12-05,0.45,0.45,0.375,0.44,14400
2017-12-06,0.44,0.44,0.376,0.439,11100
2017-12-07,0.39,0.419,0.37,0.4,54680
2017-12-08,0.39,0.413,0.39,0.413,4400
2017-12-11,0.413,0.413,0.39,0.412,1700
2017-12-12,0.39,0.412,0.39,0.39,32400
2017-12-13,0.39,0.46,0.39,0.4,28680
2017-12-14,0.429,0.429,0.419,0.429,1000
2017-12-15,0.429,0.429,0.41,0.41,5600
2017-12-18,0.429,0.439,0.39,0.4,328650
2017-12-19,0.413,0.459,0.413,0.459,7070
2017-12-20,0.456,0.47,0.456,0.465,9220
2017-12-21,0.465,0.465,0.465,0.465,100
2017-12-22,0.455,0.478,0.455,0.478,115040
2017-12-28,0.45,0.45,0.439,0.44,25100
2017-12-29,0.445,0.445,0.435,0.44,30760
2018-01-03,0.43,0.439,0.41,0.41,3500
2018-01-04,0.415,0.419,0.415,0.419,500
2018-01-05,0.418,0.418,0.39,0.415,101780
2018-01-08,0.419,0.43,0.419,0.43,3370
2018-01-10,0.43,0.45,0.42,0.439,1150
2018-01-11,0.439,0.439,0.439,0.439,50
2018-01-12,0.439,0.439,0.361,0.41,11120
2018-01-15,0.385,0.385,0.38,0.38,7050
2018-01-16,0.38,0.393,0.37,0.393,12350
2018-01-17,0.393,0.398,0.393,0.398,5100
2018-01-18,0.398,0.398,0.38,0.38,2900
2018-01-19,0.386,0.386,0.386,0.386,50
2018-01-22,0.386,0.386,0.386,0.386,500
2018-01-24,0.387,0.387,0.36,0.36,150
2018-01-25,0.386,0.399,0.386,0.399,1000
2018-01-26,0.396,0.396,0.38,0.38,4120
2018-02-01,0.37,0.395,0.37,0.395,1200
2018-02-02,0.396,0.396,0.37,0.396,8900
2018-02-05,0.396,0.396,0.37,0.386,6360
2018-02-06,0.37,0.386,0.37,0.386,3430
2018-02-07,0.386,0.386,0.386,0.386,50
2018-02-08,0.386,0.386,0.36,0.386,5050
2018-02-09,0.386,0.386,0.36,0.386,3200
2018-02-12,0.35,0.386,0.34,0.36,3950
2018-02-13,0.35,0.35,0.35,0.35,950
2018-02-14,0.35,0.35,0.35,0.35,540
2018-02-15,0.359,0.359,0.335,0.335,11600
2018-02-16,0.33,0.33,0.325,0.325,5500
2018-02-19,0.33,0.33,0.33,0.33,1500
2018-02-20,0.33,0.33,0.33,0.33,100
2018-02-21,0.338,0.357,0.31,0.357,45290
2018-02-22,0.338,0.36,0.338,0.36,4000
2018-02-23,0.354,0.37,0.354,0.37,3600
2018-02-26,0.37,0.39,0.37,0.39,1500
2018-02-27,0.376,0.419,0.376,0.418,5350
2018-02-28,0.396,0.417,0.396,0.417,100
2018-03-01,0.39,0.39,0.387,0.387,2950
2018-03-02,0.37,0.391,0.34,0.36,9550
2018-03-06,0.369,0.415,0.369,0.415,21240
2018-03-07,0.37,0.38,0.37,0.38,2900
2018-03-08,0.38,0.38,0.38,0.38,200
2018-03-09,0.38,0.38,0.38,0.38,50
2018-03-12,0.38,0.38,0.356,0.356,1020
2018-03-13,0.38,0.38,0.38,0.38,50
2018-03-14,0.38,0.38,0.38,0.38,50
2018-03-15,0.38,0.38,0.38,0.38,50
2018-03-16,0.38,0.38,0.38,0.38,50
2018-03-19,0.38,0.38,0.38,0.38,50
2018-03-20,0.38,0.38,0.356,0.356,650
2018-03-21,0.38,0.38,0.356,0.356,500
2018-03-22,0.356,0.356,0.35,0.35,11830
2018-03-23,0.355,0.355,0.355,0.355,2850
2018-03-26,0.33,0.33,0.33,0.33,1170
2018-03-27,0.353,0.353,0.353,0.353,50
2018-03-28,0.353,0.353,0.33,0.33,550
2018-03-29,0.33,0.33,0.33,0.33,1000
2018-04-03,0.33,0.33,0.33,0.33,50
2018-04-04,0.33,0.33,0.33,0.33,50
2018-04-05,0.33,0.33,0.33,0.33,1050
2018-04-06,0.33,0.33,0.33,0.33,50
2018-04-09,0.349,0.349,0.349,0.349,40
2018-04-10,0.343,0.343,0.343,0.343,50
2018-04-11,0.343,0.343,0.343,0.343,50
2018-04-12,0.3,0.322,0.29,0.322,23340
2018-04-13,0.3,0.3,0.3,0.3,3400
2018-04-16,0.29,0.29,0.28,0.28,3260
2018-04-17,0.27,0.27,0.27,0.27,1040
2018-04-18,0.28,0.28,0.28,0.28,1000
2018-04-27,0.284,0.284,0.284,0.284,2300
2018-05-21,0.27,0.27,0.27,0.27,3850
2018-05-22,0.27,0.27,0.27,0.27,3750
2018-05-23,0.27,0.27,0.27,0.27,7500
2018-05-29,0.27,0.27,0.27,0.27,80
2018-06-01,0.255,0.255,0.252,0.252,1190
2018-06-13,0.252,0.252,0.252,0.252,4000
2018-06-21,0.253,0.253,0.253,0.253,60
2018-06-22,0.253,0.253,0.253,0.253,50
2018-06-25,0.253,0.253,0.253,0.253,50
2018-06-26,0.253,0.253,0.23,0.25,720
2018-07-30,0.244,0.245,0.244,0.245,4070
2018-09-03,0.245,0.272,0.245,0.272,11050
2018-09-04,0.27,0.32,0.27,0.32,5000
2018-09-05,0.29,0.315,0.29,0.315,100
2018-09-06,0.29,0.29,0.28,0.28,550
2018-09-07,0.29,0.29,0.26,0.26,6250
2018-09-10,0.258,0.309,0.258,0.309,121850
2018-09-11,0.28,0.28,0.28,0.28,500
2018-09-12,0.28,0.286,0.28,0.286,100
2018-09-14,0.28,0.28,0.25,0.25,600
2018-09-18,0.26,0.26,0.208,0.208,15500
2018-09-19,0.208,0.208,0.2,0.2,8750
2018-09-20,0.2,0.2,0.18,0.18,33550
2018-09-21,0.18,0.18,0.17,0.17,9100
2018-09-24,0.165,0.165,0.161,0.161,15000
2018-09-25,0.161,0.161,0.15,0.15,23000
2018-09-26,0.15,0.151,0.15,0.151,200
2018-09-27,0.14,0.14,0.12,0.12,59650
2018-09-28,0.121,0.121,0.1,0.1,142100
2018-10-01,0.101,0.11,0.1,0.11,30110
2018-10-17,0.114,0.12,0.114,0.12,10000
2018-10-22,0.105,0.105,0.099,0.1,17000
2018-10-25,0.1,0.1,0.1,0.1,16000
2018-10-30,0.1,0.101,0.09,0.101,50100
2018-10-31,0.09,0.1,0.075,0.085,21700
2018-11-02,0.09,0.09,0.09,0.09,140
2018-11-09,0.1,0.1,0.1,0.1,1000
2018-11-14,0.096,0.115,0.078,0.1,123850
2018-11-15,0.107,0.12,0.107,0.12,10650
2018-11-16,0.12,0.144,0.12,0.144,20650
2018-11-19,0.12,0.17,0.12,0.17,153970
