Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-04,2.238,2.3549,2.238,2.3004,10086098
2005-02-07,2.3004,2.3471,2.2537,2.3471,1713579
2005-02-08,2.3471,2.3471,2.3081,2.3393,1135311
2005-02-09,2.3393,2.3627,2.3238,2.3549,1417642
2005-02-10,2.3627,2.3782,2.3471,2.3627,555000
2005-02-11,2.3549,2.3861,2.3393,2.3549,634240
2005-02-14,2.3238,2.3627,2.3238,2.3314,134974
2005-02-15,2.3238,2.3393,2.3238,2.3393,83226
2005-02-16,2.3314,2.3314,2.2614,2.3238,727713
2005-02-17,2.2848,2.3238,2.2537,2.3238,513554
2005-02-18,2.2925,2.3081,2.2614,2.3081,61072
2005-02-21,2.316,2.316,2.2223,2.2537,207574
2005-02-22,2.2537,2.2769,2.2457,2.2769,232867
2005-02-23,2.2691,2.2769,2.2537,2.2614,175468
2005-02-24,2.2537,2.2925,2.2537,2.2925,237483
2005-02-25,2.2925,2.3393,2.2925,2.3238,685416
2005-02-28,2.3238,2.3238,2.2769,2.3004,78460
2005-03-01,2.3004,2.3004,2.2457,2.2848,37134
2005-03-02,2.2848,2.2925,2.2457,2.2925,55109
2005-03-03,2.2925,2.316,2.2691,2.2848,48031
2005-03-04,2.2769,2.2848,2.2614,2.2848,134377
2005-03-07,2.2848,2.2925,2.2848,2.2925,31176
2005-03-08,2.2925,2.2925,2.2925,2.2925,23057
2005-03-09,2.2925,2.3081,2.2691,2.2925,65568
2005-03-10,2.2925,2.3081,2.2925,2.2925,313261
2005-03-11,2.2925,2.2925,2.2537,2.2925,69933
2005-03-14,2.2925,2.2925,2.2614,2.2614,135517
2005-03-15,2.2614,2.2848,2.2537,2.2769,42893
2005-03-16,2.2769,2.2769,2.2614,2.2614,101570
2005-03-17,2.1599,2.2537,2.1599,2.2537,100521
2005-03-18,2.238,2.2769,2.1989,2.2691,189058
2005-03-21,2.2691,2.2691,2.2457,2.2537,99426
2005-03-22,2.2302,2.2457,2.2146,2.2302,667996
2005-03-23,2.2302,2.2302,2.1911,2.1911,17167
2005-03-24,2.1599,2.2848,2.1599,2.2457,105590
2005-03-29,2.2691,2.2691,2.2457,2.2537,11059
2005-03-30,2.2537,2.2691,2.2537,2.2691,603511
2005-03-31,2.2691,2.3238,2.2691,2.316,424598
2005-04-01,2.316,2.316,2.2925,2.2925,73302
2005-04-04,2.3004,2.316,2.2769,2.316,357938
2005-04-05,2.316,2.3238,2.316,2.3238,79992
2005-04-06,2.3081,2.5031,2.3081,2.4331,617511
2005-04-07,2.4331,2.4718,2.4094,2.4331,96972
2005-04-11,2.4331,2.542,2.4017,2.4797,1178402
2005-04-12,2.4562,2.4797,2.4562,2.4718,255087
2005-04-13,2.4718,2.4718,2.4484,2.4484,179398
2005-04-14,2.4484,2.4718,2.4406,2.4718,1949328
2005-04-15,2.4641,2.4718,2.4484,2.4718,46166
2005-04-18,2.4094,2.4484,2.3703,2.4173,76976
2005-04-19,2.4641,2.4718,2.4094,2.4718,69834
2005-04-20,2.4797,2.4797,2.4484,2.4718,407600
2005-04-21,2.4406,2.6435,2.4406,2.5966,538575
2005-04-22,2.62,2.6435,2.5734,2.5734,173809
2005-04-25,2.5652,2.5652,2.5031,2.5109,20590
2005-04-26,2.5187,2.5187,2.4876,2.5031,118500
2005-04-27,2.4718,2.4953,2.4718,2.4718,171512
2005-04-28,2.4718,2.4953,2.4718,2.4876,163518
2005-04-29,2.5264,2.5264,2.5031,2.5031,29636
2005-05-02,2.5109,2.542,2.5109,2.5264,13764
2005-05-04,2.5187,2.5264,2.5031,2.5264,93581
2005-05-05,2.5187,2.542,2.4641,2.4718,336754
2005-05-06,2.4718,2.4718,2.4562,2.4641,154950
2005-05-09,2.4718,2.5576,2.4406,2.4953,147774
2005-05-10,2.4641,2.4953,2.4641,2.4953,11881
2005-05-11,2.4718,2.5734,2.4718,2.5031,388379
2005-05-12,2.542,2.542,2.4718,2.5109,137134
2005-05-13,2.4718,2.5109,2.4562,2.4718,230195
2005-05-16,2.4641,2.4876,2.4641,2.4718,1827339
2005-05-17,2.4797,2.4953,2.3393,2.4641,231398
2005-05-18,2.4173,2.4562,2.4173,2.425,219796
2005-05-19,2.4017,2.4718,2.4017,2.4017,9908
2005-05-20,2.4331,2.4331,2.3703,2.4017,13621
2005-05-23,2.4173,2.425,2.4017,2.4173,9454
2005-05-24,2.4094,2.4173,2.4094,2.4173,69997
2005-05-27,2.4173,2.4641,2.4173,2.4641,2803
2005-05-30,2.4953,2.542,2.4953,2.542,368061
2005-05-31,2.542,2.5652,2.542,2.5499,1245709
2005-06-01,2.5734,2.6122,2.5734,2.6122,88701
2005-06-02,2.589,2.589,2.581,2.589,6481
2005-06-03,2.589,2.589,2.5576,2.5576,1309797
2005-06-06,2.5576,2.6122,2.5576,2.6044,138319
2005-06-07,2.6122,2.6122,2.5652,2.5966,161783
2005-06-08,2.6435,2.6435,2.5966,2.6122,1176
2005-06-09,2.6122,2.6122,2.6122,2.6122,144
2005-06-10,2.5734,2.581,2.5499,2.581,719136
2005-06-13,2.581,2.581,2.5734,2.5734,143443
2005-06-14,2.5499,2.5499,2.5499,2.5499,16286
2005-06-15,2.5499,2.5499,2.5499,2.5499,2009
2005-06-16,2.5652,2.5652,2.5499,2.5652,638391
2005-06-17,2.5499,2.5734,2.5499,2.5499,19563
2005-06-20,2.5499,2.5499,2.5499,2.5499,5793
2005-06-21,2.5499,2.5652,2.5499,2.5576,16552
2005-06-22,2.5652,2.5652,2.5499,2.5499,155435
2005-06-23,2.5499,2.5499,2.5499,2.5499,4711
2005-06-24,2.5499,2.5499,2.5499,2.5499,4679
2005-06-27,2.5031,2.542,2.5031,2.542,8667
2005-06-28,2.542,2.5576,2.542,2.5499,699091
