Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-09-20,65,95,65,95,438
2019-09-23,101,120,101,120,41
2019-09-24,150,180,150,180,51
2019-09-25,216,259.2,216,259.2,43
2019-09-26,300,300,299.95,300,31
2019-09-27,249.9,249.9,200,200,20
2019-09-30,150,180,120,175,39
2019-10-01,180,215,144,144,31
2019-10-02,150,180,120,169,39
2019-10-07,169,179.8,140,140,5
2019-10-08,149,150,120,144.9,28
2019-10-09,130,130,104,130,21
2019-10-10,120,130,120,130,10
2019-10-11,120,120,120,120,1
2019-10-14,110,110,88,88,12
2019-10-15,95,95,95,95,3
2019-10-16,100,100,100,100,16
2019-10-17,120,150,120,150,16
2019-10-18,120,120,120,120,10
2019-10-21,100,100,80,80,57
2019-10-22,74,79,50,50,113
2019-10-23,55,66,55,66,22
2019-10-24,60,60,55,55,25
2019-10-28,55.5,66,50,66,47
2019-10-31,65.6,65.6,65,65,3
2019-11-07,64,70,64,70,15
2019-11-08,79.8,100,79.8,100,34
2019-11-12,111,132,111,132,18
2019-11-13,152.02,182,152.02,182,70
2019-11-14,190,210,170,170,25
2019-11-15,130.1,130.1,104.08,105,26
2019-11-18,90,90,82,82,6
2019-11-19,80,81,80,81,7
2019-11-21,100,119,100,119,12
2019-11-22,100,120,100,120,5
2019-11-25,110,110,110,110,29
2019-11-26,111,111,111,111,1
2019-11-27,110,110,110,110,2
2019-11-28,100,110,100,110,8
2019-12-02,110,110,110,110,1
2019-12-03,110,110,110,110,1
2019-12-05,101,101,100,100,2
2019-12-10,91,109,91,109,11
2019-12-17,90,90,90,90,9
2019-12-20,90,90,90,90,1
2020-01-09,100,100,100,100,2
2020-01-23,90,90,80,80,12
2020-01-24,89,103,88,103,72
2020-01-27,109,112,90,100,18
2020-01-30,110,110,90,90,3
2020-02-06,80,80,74,74,11
2020-02-07,88,88,74,74,60
2020-02-12,70,72,60,72,20
2020-02-18,79.9,87,79.9,87,10
2020-02-24,80,80,80,80,2
2020-02-25,80,80,80,80,1
2020-03-06,70.01,70.01,70,70,3
2020-03-10,50.05,60,50.05,60,7
2020-03-12,50,50,40,40,8
2020-03-23,40,40,40,40,33
2020-03-24,43.1,50,43.1,50,31
2020-03-26,60,60,60,60,2
2020-03-30,60,70,60,70,3
2020-03-31,80,80,80,80,1
2020-04-01,80,96,80,80,8
2020-04-02,96,96,96,96,1
2020-04-03,96,114,96,114,15
2020-04-08,99.5,99.5,90,90,21
2020-04-09,80,80,80,80,10
2020-04-14,85,90,85,90,4
2020-04-15,85,85,80,80,4
2020-04-20,85,85,85,85,1
2020-04-21,85,90,85,90,6
2020-04-22,90,90,90,90,1
2020-04-23,93,93,93,93,1
2020-04-24,85,93,85,93,2
2020-04-30,80,80,70,79.5,7
2020-05-04,90,90,90,90,1
2020-05-14,75,88,75,80,11
2020-05-20,70,70,70,70,2
2020-05-28,65,75,65,75,4
2020-05-29,80,84,80,84,3
2020-06-03,75,80,70,70,8
2020-06-04,70,75,70,75,12
2020-06-05,70,70,70,70,1
2020-06-09,65,70,65,70,2
2020-06-12,70,70,70,70,1
2020-06-16,60.5,60.5,60.5,60.5,1
2020-06-17,60.5,60.5,60.5,60.5,5
2020-06-18,70,70,70,70,2
2020-06-23,60,70,60,70,7
2020-06-25,75,90,75,88,16
2020-06-26,90,100,85,85,108
2020-06-29,80,80,70,70,2
2020-06-30,70,70,70,70,1
2020-07-01,70,70,70,70,2
2020-07-07,60,65,60,60,7
2020-07-10,70,70,70,70,1
2020-07-13,60,60,60,60,2
2020-07-31,70,70,70,70,1
2020-08-06,65,65,65,65,1
2020-08-24,70,70,70,70,1
2020-08-27,70,70,70,70,2
2020-08-28,75,85,75,85,4
2020-09-01,75,75,75,75,1
2020-09-02,90,95,90,95,4
2020-09-03,90,90,90,90,5
2020-09-04,90,99,90,99,6
2020-09-08,99.5,113,80,80,31
2020-09-09,75,75,72,72,4
2020-09-11,72,72,72,72,10
2020-09-17,58,58,58,58,15
2020-09-18,69.5,69.5,69.5,69.5,1
2020-09-21,80,80,80,80,1
2020-09-22,75,75,70,70,2
2020-10-19,60.5,65,60,65,8
2020-10-20,70,70,70,70,1
2020-10-26,80,80,80,80,1
2020-10-28,65,65,65,65,1
2020-10-29,70,70,70,70,1
2020-11-02,65,75,65,75,3
2020-11-03,80,85,75,85,3
2020-11-04,70,70,70,70,3
2020-11-05,70,70,70,70,1
2020-11-13,84,84,84,84,3
2020-11-16,90,95,80,95,12
2020-11-17,91,91,75,75,8
2020-12-09,80,80,80,80,1
2020-12-14,83,83,83,83,1
2020-12-15,80,80,80,80,3
2020-12-17,90,90,90,90,1
2020-12-18,75,80,75,80,2
2020-12-28,71,71,71,71,1
2021-01-04,70,70,70,70,2
2021-01-14,69,69,69,69,1
2021-01-15,68,68,68,68,45
2021-01-20,65,65,65,65,1
2021-01-29,60,60,60,60,2
2021-02-02,61,61,61,61,4
2021-02-09,60,60,60,60,5
2021-02-10,55,55,55,55,10
2021-02-15,55,61,55,61,47
2021-02-24,60,60,60,60,1
2021-02-25,61,70,60,65,12
2021-03-11,65,78,65,78,13
2021-03-12,75,75,75,75,1
2021-03-15,75,80,70,70,10
2021-03-17,65,75,65,75,2
2021-03-25,65,65,65,65,1
2021-04-20,66,66,66,66,10
2021-04-22,67.5,67.5,67.5,67.5,1
2021-05-04,60,60,60,60,23
2021-05-10,60,60,59,59,11
2021-05-11,56,56,56,56,2
2021-05-19,61,61,61,61,8
2021-05-27,62,62,62,62,1
2021-06-10,62,62,62,62,4
2021-06-22,62,70,62,70,7
2021-07-02,75,75,70,70,2
2021-07-14,60,65,60,65,31
2021-07-15,55,60,55,60,2
2021-07-22,55,55,55,55,1
2021-08-03,60,60,60,60,10
2021-08-13,61,70,60,60,34
2021-08-17,60,65,60,65,11
2021-08-19,60,60,60,60,1
2021-08-24,55,55,55,55,2
2021-08-30,50.5,50.5,50.5,50.5,1
2021-09-28,55,55,55,55,10
2021-10-13,55,58,55,58,25
2021-10-21,59,60,59,60,17
2021-10-22,60,60,60,60,1
2021-10-26,58,59,58,59,2
2021-10-28,57,57,57,57,29
2021-11-04,50,55,50,55,2
2021-12-02,59,70,59,70,51
2021-12-06,65,99.5,65,91.5,162
2021-12-07,92,106,90,96,70
2021-12-08,95.5,127,90,127,597
2021-12-09,150,180,133,152,1010
2021-12-10,158,189,158,189,363
2021-12-13,195,234,164,180,911
2021-12-14,160,179,117,117,795
2021-12-15,120,121,82,92,382
2021-12-16,98,121,86.5,121,698
2021-12-17,120,139,98,112,911
2021-12-20,126,126,109,109,362
2021-12-21,116,116,88,88,413
2021-12-22,99,99,78,78,258
2021-12-23,88,88,71,79.5,92
2021-12-27,72,79,69,78,68
2021-12-28,70,89,70,89,84
2021-12-29,93,98,76,85,132
2021-12-30,77.5,87,70,87,125
2022-01-03,75,77,72,72.5,90
2022-01-04,73,85,72.5,80,92
2022-01-05,80,80,64,72.5,283
2022-01-07,71,72,64.5,71,67
2022-01-10,65,75,64.5,70,40
2022-01-11,60,72,60,72,33
2022-01-12,71,71,61.5,71,7
2022-01-13,71,71,62,70,3
2022-01-14,63.5,63.5,61,61,12
2022-01-17,62,69,61,69,13
2022-01-18,69,75,69,70,108
2022-01-19,62,74,62,74,6
2022-01-21,61.5,85,61.5,80,77
2022-01-24,79,79,63.5,71,132
2022-01-25,70.5,70.5,70.5,70.5,1
2022-01-27,73,87,71,83,389
2022-01-28,77,85,77,85,57
2022-01-31,77,77,77,77,20
2022-02-02,81,81,73,73,65
2022-02-03,82,82,82,82,1
2022-02-16,66,79,66,79,61
2022-02-17,79,79,79,79,2
2022-02-24,51,51.5,51,51.5,140
2022-02-25,64.5,64.5,64.5,64.5,8
2022-02-28,64.5,74,64.5,74,57
2022-03-02,70,70,56,56,150
2022-03-03,55,55,55,55,2
2022-03-04,50,55,50,55,49
2022-03-09,55,55,55,55,22
2022-03-10,60,60,60,60,1
2022-03-14,60,69,60,69,99
2022-03-23,60,65,56,65,24
2022-03-28,55.5,65,55.5,65,18
2022-03-30,55.5,65,55.5,55.5,73
2022-03-31,59.5,60.5,59.5,60.5,25
2022-04-01,60.5,60.5,60.5,60.5,5
2022-04-04,55,61,53,61,37
2022-04-05,53,59.5,53,59.5,10
2022-04-08,52,58,52,58,12
2022-04-11,58,58,58,58,31
2022-04-13,51,57.5,51,57.5,38
2022-04-14,50,57,49.2,57,41
2022-04-19,56,56,56,56,5
2022-04-20,56,57,56,57,12
2022-04-22,50.5,59,50.5,59,4
2022-04-28,56.5,61.5,56.5,61.5,23
2022-04-29,55,59,55,59,6
2022-05-04,58.5,58.5,58.5,58.5,19
2022-05-09,50.5,57.5,50,57.5,11
2022-05-11,58.5,58.5,58.5,58.5,1
2022-05-12,58.5,58.5,58.5,58.5,4
2022-05-16,59.5,59.5,59.5,59.5,1
2022-05-27,50,50,45,50,9
2022-05-30,50,53,50,51,24
2022-05-31,51,51,51,51,4
2022-06-01,49.8,49.8,49.8,49.8,4
2022-06-02,49.8,50,49.8,50,48
2022-06-06,52,59,52,59,11
2022-06-07,58,58,55.5,55.5,34
2022-06-09,50,55,50,55,24
2022-06-15,53,53,53,53,3
2022-06-17,54,55,54,55,5
2022-06-21,45,53,44.4,53,39
2022-06-24,50,53,40.2,53,60
2022-06-28,45,50,45,50,42
2022-06-29,45,50,45,50,11
2022-07-06,45,50,42,50,14
2022-07-14,42,49.6,40,49.6,13
2022-07-20,49,49,49,49,3
2022-08-08,49.6,50,45,45,77
2022-08-09,50,50,50,50,1
2022-08-16,44.4,47,44.4,47,85
2022-08-22,49,49,49,49,1
2022-08-23,44.6,49,44.6,49,34
2022-08-30,45,50,45,50,9
2022-09-01,48,48,47,47,12
2022-09-05,49.6,49.6,49.6,49.6,1
2022-09-07,52,52,52,52,1
2022-09-13,46.8,46.8,46.8,46.8,5
2022-09-14,40.4,48.4,40.4,48.4,58
2022-09-22,50,50,50,50,1
2022-10-11,47,47,47,47,5
2022-10-17,46.8,46.8,46.8,46.8,10
2022-10-24,40,46.6,40,46.6,58
2022-10-27,45,45,45,45,5
2022-11-03,45.8,45.8,45.8,45.8,7
2022-11-04,40.2,45.8,40.2,45.8,2
2022-11-22,45,45,45,45,8
2022-11-29,42.2,49,42.2,49,48
2022-11-30,42,45.8,42,45.8,67
2022-12-02,45.8,47,45.8,45.8,132
2022-12-05,36.8,36.8,36.8,36.8,20
2022-12-06,38.2,38.2,38.2,38.2,2
2022-12-12,38.2,38.2,38.2,38.2,33
2022-12-13,32.8,32.8,32.8,32.8,6
2022-12-20,39.4,39.4,39.4,39.4,3
2022-12-22,47.2,55.5,45,45,119
2022-12-23,45,45,40,45,45
2022-12-30,50,52,50,52,25
2023-01-02,55,56.5,55,56.5,11
2023-01-05,56.5,60.5,56.5,60.5,240
2023-01-09,60,60,60,60,1
2023-01-10,50,60,40.8,60,64
2023-01-11,50,50,50,50,10
2023-01-12,53,62,53,62,55
2023-01-13,61.5,61.5,61.5,61.5,10
2023-01-16,61.5,64.5,61.5,64.5,148
2023-01-17,64.5,64.5,64.5,64.5,14
2023-01-18,60,75,60,75,167
2023-01-19,63,77,62,77,94
2023-01-20,64,80,63,80,226
2023-01-23,78,78,70.5,70.5,19
2023-01-24,78,78.5,63,63,46
2023-01-25,51,60.5,50.5,51,95
2023-01-26,60,61.5,53,59,62
2023-01-27,62,64.5,59.5,64.5,120
2023-01-31,56,66,56,66,8
2023-02-09,60,60,60,60,30
2023-03-01,60,71.5,60,71.5,35
2023-03-02,71,85,71,75,46
2023-03-03,65,65,65,65,9
2023-03-13,67,67,67,67,15
2023-03-14,56.5,56.5,56.5,56.5,4
2023-03-17,67,67,67,67,7
2023-03-21,67.5,67.5,67.5,67.5,42
2023-04-05,58,58,50,50,19
