Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-11,0.9175,0.9175,0.7909,0.8226,639432
2011-07-12,0.7909,0.7909,0.7119,0.7831,68053
2011-07-13,0.8068,0.8068,0.704,0.704,55507
2011-07-14,0.6802,0.696,0.6486,0.696,18885
2011-07-15,0.6644,0.6802,0.6328,0.6802,19960
2011-07-18,0.6486,0.6723,0.6328,0.6723,18489
2011-07-19,0.6802,0.7356,0.6328,0.6644,27460
2011-07-20,0.6723,0.7119,0.5933,0.5933,15605
2011-07-21,0.6723,0.7356,0.6248,0.7356,22141
2011-07-22,0.7435,0.7989,0.696,0.7909,60731
2011-07-25,0.8146,0.8146,0.7435,0.7989,10246
2011-07-26,0.7751,0.8146,0.7751,0.8146,10443
2011-07-27,0.7593,0.7593,0.7435,0.7435,3641
2011-07-28,0.7593,0.7909,0.7514,0.7831,39165
2011-07-29,0.7593,0.7909,0.7514,0.7909,7511
2011-08-01,0.7356,0.7593,0.7277,0.7514,7074
2011-08-03,0.7672,0.7672,0.7119,0.7119,15045
2011-08-05,0.6882,0.7435,0.6882,0.7435,2530
2011-08-08,0.696,0.696,0.6723,0.6723,13971
2011-08-09,0.6723,0.704,0.6328,0.704,5059
2011-08-10,0.6328,0.6328,0.5695,0.5695,12011
2011-08-11,0.5695,0.6802,0.5379,0.6011,23829
2011-08-12,0.6328,0.6328,0.6328,0.6328,20
2011-08-16,0.6565,0.6802,0.6565,0.6723,4052
2011-08-17,0.6723,0.7119,0.6723,0.7119,3919
2011-08-18,0.6723,0.6723,0.6723,0.6723,1090
2011-08-22,0.696,0.7277,0.696,0.7119,18838
2011-08-23,0.6565,0.7356,0.6565,0.7356,12590
2011-08-24,0.6644,0.6644,0.6644,0.6644,885
2011-08-25,0.704,0.704,0.704,0.704,126
2011-08-26,0.6328,0.704,0.6328,0.704,304
2011-08-29,0.704,0.7277,0.704,0.7277,6751
2011-08-30,0.7672,0.7672,0.7672,0.7672,10
2011-09-08,0.7197,0.7435,0.7119,0.7435,5046
2011-09-22,0.6328,0.7119,0.6328,0.7119,1025
2011-09-23,0.6407,0.6802,0.6328,0.6802,8666
2011-09-26,0.6802,0.6802,0.6802,0.6802,632
2011-09-27,0.6802,0.704,0.6802,0.704,1644
2011-09-30,0.6723,0.704,0.6723,0.6723,2593
2011-10-03,0.6248,0.6248,0.6011,0.6248,12985
2011-10-04,0.5933,0.5933,0.5933,0.5933,10175
2011-10-05,0.6248,0.6248,0.5933,0.6248,2621
2011-10-07,0.5616,0.609,0.5536,0.609,3578
2011-10-19,0.6248,0.6248,0.5933,0.5933,5085
2011-10-20,0.6248,0.6248,0.6248,0.6248,12
2011-10-24,0.6248,0.6248,0.6248,0.6248,1589
2011-10-28,0.6248,0.6486,0.6248,0.6486,675
2011-11-02,0.5536,0.6407,0.5536,0.6407,5639
2011-11-08,0.6407,0.696,0.6407,0.696,5064
2011-11-09,0.696,0.7356,0.696,0.7119,4614
2011-11-14,0.7356,0.7831,0.7356,0.7751,48107
2011-11-15,0.7119,0.7119,0.7119,0.7119,39159
2011-11-17,0.7751,0.7751,0.7751,0.7751,63
2011-11-21,0.7119,0.7672,0.7119,0.7672,12643
2011-11-22,0.7751,0.7751,0.7751,0.7751,63
2011-11-29,0.7751,0.7751,0.7751,0.7751,7585
2011-11-30,0.7751,0.7751,0.7751,0.7751,4551
2011-12-01,0.7672,0.7989,0.7672,0.7989,13667
2011-12-02,0.7751,0.7831,0.704,0.7831,22125
2011-12-05,0.7989,0.8621,0.7909,0.8621,110362
2011-12-06,0.8621,0.8621,0.8543,0.8621,67445
2011-12-07,0.8621,0.8621,0.7989,0.8463,20356
