Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-06-27,5.44,5.44,5.44,5.44,54476
1997-06-30,5.99,5.99,5.99,5.99,181977
1997-07-01,5.88,5.88,5.88,5.88,84518
1997-07-02,5.82,5.82,5.82,5.82,73226
1997-07-03,5.71,5.71,5.71,5.71,40961
1997-07-04,6.26,6.26,6.26,6.26,61349
1997-07-07,6.31,6.31,6.31,6.31,369284
1997-07-08,6.42,6.42,6.42,6.42,94044
1997-07-09,6.8,6.8,6.8,6.8,102375
1997-07-10,7.02,7.02,7.02,7.02,71640
1997-07-11,6.53,6.53,6.53,6.53,119273
1997-07-14,6.48,6.48,6.48,6.48,150228
1997-07-15,6.31,6.31,6.31,6.31,80779
1997-07-16,6.26,6.26,6.26,6.26,92505
1997-07-17,6.37,6.37,6.37,6.37,38348
1997-07-18,6.2,6.2,6.2,6.2,59229
1997-07-21,6.04,6.04,6.04,6.04,28801
1997-07-22,6.04,6.04,6.04,6.04,16800
1997-07-23,6.26,6.26,6.26,6.26,23885
1997-07-24,6.04,6.04,6.04,6.04,22097
1997-07-25,6.04,6.04,6.04,6.04,30705
1997-07-28,5.99,5.99,5.99,5.99,20961
1997-07-29,6.04,6.04,6.04,6.04,18621
1997-07-30,6.04,6.04,6.04,6.04,11420
1997-07-31,6.2,6.2,6.2,6.2,20548
1997-08-01,5.99,5.99,5.99,5.99,22632
1997-08-04,5.99,5.99,5.99,5.99,26224
1997-08-05,5.93,5.93,5.93,5.93,16771
1997-08-06,6.04,6.04,6.04,6.04,24414
1997-08-07,6.04,6.04,6.04,6.04,22510
1997-08-08,6.26,6.26,6.26,6.26,92984
1997-08-11,6.53,6.53,6.53,6.53,167118
1997-08-12,6.31,6.31,6.31,6.31,25801
1997-08-13,6.53,6.53,6.53,6.53,58105
1997-08-14,6.1,6.1,6.1,6.1,9269
1997-08-18,6.04,6.04,6.04,6.04,25573
1997-08-19,6.2,6.2,6.2,6.2,16359
1997-08-20,6.37,6.37,6.37,6.37,49151
1997-08-21,6.2,6.2,6.2,6.2,29413
1997-08-22,6.15,6.15,6.15,6.15,17397
1997-08-25,6.2,6.2,6.2,6.2,10265
1997-08-26,6.1,6.1,6.1,6.1,90236
1997-08-27,6.04,6.04,6.04,6.04,41506
1997-08-28,6.15,6.15,6.15,6.15,41288
1997-08-29,6.15,6.15,6.15,6.15,82653
1997-09-01,5.71,5.71,5.71,5.71,48119
1997-09-02,5.88,5.88,5.88,5.88,24693
1997-09-03,5.99,5.99,5.99,5.99,50702
1997-09-04,5.71,5.71,5.71,5.71,16037
1997-09-05,5.99,5.99,5.99,5.99,15699
1997-09-08,6.15,6.15,6.15,6.15,26314
1997-09-09,6.04,6.04,6.04,6.04,30334
1997-09-10,6.04,6.04,6.04,6.04,24177
1997-09-11,5.93,5.93,5.93,5.93,18373
1997-09-12,5.93,5.93,5.93,5.93,31047
1997-09-15,5.99,5.99,5.99,5.99,16872
1997-09-16,5.99,5.99,5.99,5.99,9697
1997-09-17,5.99,5.99,5.99,5.99,37663
1997-09-18,5.99,5.99,5.99,5.99,34065
1997-09-19,6.04,6.04,6.04,6.04,53581
1997-09-22,6.1,6.1,6.1,6.1,51049
1997-09-23,6.2,6.2,6.2,6.2,67973
1997-09-24,6.15,6.15,6.15,6.15,45455
1997-09-25,6.1,6.1,6.1,6.1,28544
1997-09-26,5.99,5.99,5.99,5.99,39840
1997-09-29,5.88,5.88,5.88,5.88,26955
1997-09-30,5.88,5.88,5.88,5.88,15692
1997-10-01,5.93,5.93,5.93,5.93,16218
1997-10-02,6.04,6.04,6.04,6.04,57388
1997-10-03,6.04,6.04,6.04,6.04,45060
1997-10-06,5.88,5.88,5.88,5.88,37433
1997-10-07,5.88,5.88,5.88,5.88,26468
1997-10-08,5.93,5.93,5.93,5.93,45482
1997-10-09,6.04,6.04,6.04,6.04,78756
1997-10-10,6.04,6.04,6.04,6.04,26992
1997-10-13,6.1,6.1,6.1,6.1,28105
1997-10-14,6.2,6.2,6.2,6.2,86897
1997-10-15,6.1,6.1,6.1,6.1,60800
1997-10-16,6.1,6.1,6.1,6.1,65866
