Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-11-29,12,12.4,12,12.4,936
2012-11-30,12.8,12.92,12,12.91,758
2012-12-03,12.9,12.9,10.6,12.5,448
2012-12-04,10.7,12.99,10.7,12.99,102
2012-12-05,10.81,12.94,10.81,12.94,2
2012-12-06,13.31,13.31,13.29,13.29,182
2012-12-07,14.84,14.84,13.26,13.27,202
2012-12-10,14.83,14.83,13.27,13.27,142
2012-12-11,14.75,14.75,12,13.74,5110
2012-12-12,13.74,13.89,12,13.89,3
2012-12-13,13.89,13.9,13.89,13.9,4
2012-12-14,13.89,13.89,12.07,13.89,3
2012-12-17,12.51,12.52,12.5,12.5,1596
2012-12-18,12.01,13.89,12.01,13.89,1120
2012-12-19,13.89,14.88,12.92,14.88,699
2012-12-20,14.07,16.5,14.07,16.5,312
2012-12-21,17,19.78,14.1,17.3,1809
2012-12-27,17.3,17.3,15,17.29,306
2012-12-28,17.8,19.74,14.5,18.5,4480
2013-01-02,19,19,15.5,15.6,1235
2013-01-03,16,17.29,15.7,17.29,1124
2013-01-04,15.5,18.6,15.5,18.6,272
2013-01-07,18,18,15.8,15.8,301
2013-01-08,15.81,15.81,15.81,15.81,295
2013-01-09,15.93,16,15.5,15.5,257
2013-01-11,16.95,16.95,16.95,16.95,90
2013-01-14,17.87,17.89,17.55,17.55,158
2013-01-15,17.55,17.55,17.55,17.55,1
2013-01-16,17.7,17.7,17.7,17.7,100
2013-01-17,17.5,17.5,17.5,17.5,1
2013-01-18,17.42,17.42,17.42,17.42,1
2013-01-21,16.95,16.99,15,15.5,359
2013-01-22,15.61,15.7,15,15,250
2013-01-23,16.91,16.91,15,15,795
2013-01-24,16.9,16.9,15,15,767
2013-01-25,16.92,16.92,15,15,1371
2013-01-28,15,16.44,15,16.44,2002
2013-01-29,16.28,16.28,16.06,16.07,101
2013-01-30,16.4,16.4,14.8,16.38,1552
2013-01-31,15.67,15.67,15,15.06,2147
2013-02-01,15.58,15.58,15.01,15.01,434
2013-02-04,15.07,15.19,14.77,15.19,357
2013-02-05,15.19,15.19,15,15,265
2013-02-06,16.39,16.39,15,15,10001
2013-02-07,16.4,16.4,15.19,15.19,71
2013-02-08,16.4,16.4,16.4,16.4,1
2013-02-11,14.7,15.07,13.99,15.07,1123
2013-02-12,16.2,16.2,13.18,14.97,888
2013-02-13,16.2,16.2,13.64,15.5,500
2013-02-14,13.96,15.8,13.3,15.8,776
2013-02-15,15,15,13.64,14.4,52
2013-02-18,15.99,15.99,14,14.66,50
2013-02-19,15.99,15.99,13.49,14.37,101
2013-02-20,15.94,15.94,14.37,14.37,2
2013-02-21,16,16,12.9,14.35,690
2013-02-22,14.24,15.3,14.24,15.3,668
2013-02-25,14.95,14.95,12.5,14.37,1249
2013-02-26,14.34,14.34,12.76,14.25,552
2013-02-27,14.19,14.19,14,14,552
2013-02-28,14,14,14,14,1
2013-03-01,14,14,14,14,1
2013-03-04,14,14,14,14,1
2013-03-05,14,14,14,14,1
2013-03-06,14,14.2,14,14.2,202
2013-03-07,14,14,12,13.98,937
2013-03-08,14,14,11.4,13.8,2899
2013-03-11,13.9,13.9,12,12,501
2013-03-12,13.5,13.5,11.47,12.4,709
2013-03-13,12.4,12.4,12.4,12.4,235
2013-03-14,12.38,12.38,12.38,12.38,1
2013-03-15,12.38,12.38,12.38,12.38,1
2013-03-18,12,12,12,12,1
2013-03-19,12,12,12,12,1
2013-03-20,12,12,12,12,1
2013-03-21,12,12,12,12,1
2013-03-22,12.2,12.2,12.2,12.2,1
2013-03-25,12,12,12,12,1
2013-03-26,12,12,10.6,11.9,739
2013-03-27,11.9,11.9,10.6,11.9,25
2013-03-28,10.6,11.9,10.6,10.6,5
2013-04-02,10.6,11.5,10.6,11.5,27
2013-04-03,11.5,11.5,10.6,10.6,4
2013-04-04,10.61,11.5,10.6,10.6,8
2013-04-05,11.5,11.5,10.6,11.5,9
2013-04-08,11.5,11.5,11.5,11.5,1
2013-04-09,11.5,11.5,10.6,10.6,71
2013-04-10,10.6,10.6,9.43,10.6,21
2013-04-11,8.48,10.17,7.9,8,197
2013-04-12,9.43,9.43,6.4,9.43,7
2013-04-15,7.55,9.06,6.04,9.06,6
2013-04-17,7.25,10.43,5.8,10,154
2013-04-18,9.99,11,9.25,11,23
2013-04-19,11,11,11,11,1
2013-04-22,9.2,10.49,7.36,10,84
2013-04-23,8,9.6,6.4,7.68,148
2013-04-24,9.21,11.05,7.37,11.05,15
2013-04-25,11.5,11.5,9.2,11.49,17
2013-04-26,11.5,11.5,11.5,11.5,1
2013-04-29,11.5,11.5,11.5,11.5,1
2013-04-30,11.5,11.5,11.5,11.5,1
2013-05-02,11.5,11.5,11.5,11.5,2
2013-05-06,11.5,11.5,11.5,11.5,2
2013-05-07,11.5,11.5,11.5,11.5,1
2013-05-08,11.5,11.5,11.5,11.5,1
2013-05-09,11.5,11.5,10,11.5,290
2013-05-10,11.5,11.5,10.5,11.5,10002
2013-05-13,11.5,11.5,11.5,11.5,1
2013-05-14,11.5,11.5,11.5,11.5,1
2013-05-15,11.5,11.5,9.2,11,412
2013-05-16,11.8,11.8,9.3,9.9,51
2013-05-17,11.8,11.8,11.8,11.8,1
2013-05-20,11.8,11.8,11.8,11.8,1
2013-05-21,11.8,11.8,11.8,11.8,1
2013-05-22,11.8,11.8,11.8,11.8,1
2013-05-23,11.8,11.8,11.8,11.8,1
2013-05-24,11.8,11.8,11.8,11.8,1
2013-05-27,11.8,11.8,8.99,8.99,241
2013-05-28,10.78,11.8,8.63,11.8,52
2013-05-29,11.8,11.8,11.8,11.8,2
2013-05-31,11.8,11.8,11.8,11.8,2
2013-06-03,11.8,11.8,11.8,11.8,1
2013-06-04,11.7,11.7,7.9,10.5,511
2013-06-05,11.7,11.7,11.7,11.7,1
2013-06-06,11.7,11.7,9.37,11.65,201
2013-06-07,11.64,11.64,11.64,11.64,1
2013-06-10,11.7,11.7,11.7,11.7,1
2013-06-11,11.7,11.7,11.7,11.7,1
2013-06-12,11.7,11.7,9.36,10.49,17
2013-06-13,8.4,9.48,8.4,9.48,2
2013-06-14,10.84,10.84,10.84,10.84,50
2013-06-17,10.96,10.96,10.96,10.96,1
2013-06-18,10.9,10.9,10.9,10.9,1
2013-06-19,10.9,10.9,8.83,10.9,10
2013-06-20,10.9,10.9,8.83,10.9,128
2013-06-21,10.9,10.9,10.9,10.9,1
2013-06-24,10.9,10.9,10.9,10.9,1
2013-06-25,10.65,10.65,10,10,2
2013-06-26,10.9,10.9,10.9,10.9,1
2013-06-27,10.9,10.9,9,9,506
2013-06-28,9.99,9.99,7.99,7.99,1165
2013-07-01,10,10,8,9,290
2013-07-03,8.5,8.5,8.5,8.5,291
2013-07-04,9,9,9,9,1
2013-07-08,7.51,7.51,7.51,7.51,2
2013-07-09,7.51,7.51,7.5,7.5,460
2013-07-10,7.5,7.5,7.5,7.5,35
2013-07-12,9,9,9,9,251
2013-07-15,10.75,10.75,10,10,2
2013-07-16,10.9,10.9,10.9,10.9,1
2013-07-17,10.9,10.9,10.9,10.9,1
2013-07-18,10.9,10.9,10.9,10.9,150
2013-07-19,10.9,10.9,10.9,10.9,1
2013-07-22,10.9,10.9,9,9.9,225
2013-07-23,10.9,10.9,10.9,10.9,1
2013-07-24,10.7,10.7,10.7,10.7,1
2013-07-25,10.7,10.7,10.7,10.7,1
2013-07-26,10.7,10.7,10.7,10.7,1
2013-07-29,10.7,10.7,10.7,10.7,1
2013-07-30,10.7,10.7,10.7,10.7,51
2013-07-31,10.7,10.7,10.7,10.7,32
2013-08-01,10.7,10.7,10.7,10.7,1
2013-08-02,10.7,10.7,9.7,10.7,2167
2013-08-05,10.7,10.7,10.7,10.7,50
2013-08-06,10.69,10.69,10.69,10.69,1
2013-08-07,10.1,10.1,10.1,10.1,1
2013-08-08,10.69,10.69,10.69,10.69,1
2013-08-09,10.7,10.7,10.7,10.7,1
2013-08-12,10.7,10.7,10.7,10.7,1
2013-08-13,10.7,10.7,10.7,10.7,1
2013-08-14,10.7,10.7,10.7,10.7,1
2013-08-16,10.7,10.7,10.6,10.6,2
2013-08-19,10.7,10.7,10.7,10.7,1
2013-08-20,10.7,10.7,10.7,10.7,1
2013-08-21,10.7,10.7,10.7,10.7,1
2013-08-22,10.68,10.68,10.68,10.68,1
2013-08-23,10.68,10.68,10.68,10.68,1
2013-08-26,10.7,10.7,10.7,10.7,1
2013-08-27,10.7,10.7,10.7,10.7,1
2013-08-28,10.7,10.7,10.7,10.7,1
2013-08-29,10.7,10.7,10.7,10.7,1
2013-08-30,10.7,10.7,10.7,10.7,1
2013-09-02,10.7,10.7,10.7,10.7,1
2013-09-03,10.7,10.7,10.7,10.7,1
2013-09-04,10.7,10.7,10.7,10.7,1
2013-09-05,10.7,10.7,10.7,10.7,1
2013-09-06,10.7,10.7,8.7,9.5,155
2013-09-09,9.5,9.5,9.5,9.5,1
2013-09-10,10.7,10.7,8.55,8.55,122
2013-09-11,6.84,6.84,6.84,6.84,10
2013-09-12,8.2,9.84,8.2,9.84,11
2013-09-13,10.7,10.7,10.7,10.7,1
2013-09-16,10.7,10.7,8.56,8.56,5
2013-09-18,7,8.4,6,7,282
2013-09-19,8.3,9.96,6.82,6.82,1155
2013-09-24,8.18,8.18,8.18,8.18,14
2013-09-26,8,8,8,8,1
2013-09-27,6.53,7,6.53,7,2150
2013-09-30,6.95,8.21,6.95,6.95,2544
2013-10-01,7.25,7.25,7.15,7.15,201
2013-10-02,7.15,7.15,7.15,7.15,34
2013-10-03,7.25,7.25,7.24,7.25,301
2013-10-04,6.95,6.95,6.95,6.95,5
2013-10-07,7,7,5.22,5.22,1110
2013-10-08,6.26,6.26,5.36,5.36,131
2013-10-09,5.65,6.78,5.65,5.77,102
2013-10-10,6,6,6,6,1
2013-10-11,6.1,6.1,6.1,6.1,1
2013-10-14,6.22,6.22,6.22,6.22,221
2013-10-15,6.26,6.26,6,6,3452
2013-10-18,6.2,6.2,6.2,6.2,5
2013-10-23,6.1,6.1,6.1,6.1,1
2013-10-24,6.51,6.51,6.51,6.51,31
2013-10-25,7.81,7.81,7.81,7.81,2
2013-10-28,8,9.38,8,9.36,483
2013-10-29,9.94,9.94,9.62,9.68,13
2013-10-30,10,10.01,9.5,9.5,209
2013-10-31,9.6,10,9.6,10,185
2013-11-04,10,10,10,10,150
2013-11-06,9.99,10,9.99,10,1000
2013-11-08,10.45,10.45,10.45,10.45,240
2013-11-12,10,10,8.15,9.99,2049
