Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-18,39.3,39.3,25,30,24933.1
2008-01-21,30,32,26,29.7,5662.2
2008-01-22,29.4,29.4,26.1,27.9,1308.9
2008-01-23,26.5,28.5,23,23,4148.5
2008-01-24,24,25.5,21.2,25,6174.3
2008-01-25,24.9,25,23,25,1694.4
2008-01-28,24,24,22,22.5,740.8
2008-01-29,22.1,24.8,21,23,2295.7
2008-01-30,23.7,23.7,20.9,21.5,596.2
2008-01-31,22,24,21.5,24,2736.5
2008-02-01,24.2,27.5,24.2,25,3702.4
2008-02-04,25,29,23.5,29,7056.7
2008-02-05,30,34.7,28.5,28.8,14427.7
2008-02-06,27.3,29,24.3,27,2583.8
2008-02-07,28.5,28.5,24,25.4,3823.1
2008-02-08,24.7,25.9,23.1,25.5,2041.6
2008-02-11,24.8,28.9,23.2,24.6,1536.6
2008-02-12,26,27.3,24.2,27.1,994
2008-02-13,27.6,27.8,25,27.8,1763.3
2008-02-14,27.5,30.9,25,30.8,6411.3
2008-02-15,26.7,30,26,26,3070.6
2008-02-18,25.3,28,25.3,27.3,1640.5
2008-02-19,29.4,29.4,27,29,238.5
2008-02-20,27.2,28.8,27.2,28.8,200
2008-02-21,26.6,26.6,24.8,25.9,3093.4
2008-02-22,25.2,25.7,25.2,25.7,216.4
2008-02-25,26.2,26.6,26,26.6,80
2008-02-26,26.8,27.8,25,27.8,1846.5
2008-02-27,25.3,25.3,25.3,25.3,20
2008-02-28,27.4,27.5,23.2,27.5,2480.4
2008-02-29,25.1,25.5,24.1,24.5,755.8
2008-03-03,22.1,24.5,22.1,24.5,45.9
2008-03-04,22.3,24.3,20.6,23.1,610.4
2008-03-05,23,24.9,23,24.9,287
2008-03-06,23.8,24,22,22,128.7
2008-03-07,23.9,24.4,23.9,24.3,143.9
2008-03-10,24.9,24.9,21.5,21.5,793.3
2008-03-11,21,24,21,24,1395.7
2008-03-12,23,25,22,23.4,2454.6
2008-03-13,23.8,23.8,21.7,22.9,140.4
2008-03-14,21.8,22,20.7,21,730
2008-03-17,21,22.1,18,19.8,1129.7
2008-03-18,19.8,21,18.5,20.3,1321.5
2008-03-19,19.6,20.8,19,19.9,461
2008-03-20,19,21.9,18.2,21.9,449.6
2008-03-25,21.5,21.5,18.3,18.5,694.1
2008-03-26,19,19.4,16.5,19,805.1
2008-03-27,18.5,19.3,17.5,19.3,801.2
2008-03-28,19.3,19.3,17,19.3,333.6
2008-03-31,17,19.1,17,19.1,100.5
2008-04-01,17.7,21,16.7,21,1284.5
2008-04-02,20.5,20.5,19,20,36.4
2008-04-03,18,19,18,18.5,257.6
2008-04-04,17.1,17.9,17,17.6,2403.4
2008-04-07,16,16.9,14.4,15.9,2516.7
2008-04-08,15.3,15.9,15,15.9,523.8
2008-04-09,15.9,16.1,15.5,16.1,117.5
2008-04-10,15,15.6,14.2,15.6,405
2008-04-11,15.4,17.1,15.1,16,1425.8
2008-04-14,17,17,15.2,16.7,227.3
2008-04-15,18,18,16,17.2,450.3
2008-04-16,15.9,17.3,15.8,17,286.3
2008-04-17,17.1,17.7,16,16.9,315.6
2008-04-18,17.2,17.3,15.5,15.6,608.6
2008-04-21,17.2,17.2,15.5,16.6,1830.7
2008-04-23,16.5,16.5,13.3,15.9,25
2008-04-24,14.1,16.4,14,16.4,200.5
2008-04-25,16.5,16.5,16.5,16.5,106.7
2008-04-28,14,15.7,13.2,14,933.2
2008-04-29,14.1,14.9,13.5,14.9,974
2008-05-05,15.4,15.4,15.4,15.4,20
2008-05-06,14.8,15.2,14.7,14.7,907.4
2008-05-07,15.1,15.9,14.8,15.4,305.8
2008-05-08,14.7,15.5,14.7,15.5,110
2008-05-09,15,15.4,14.5,15.4,89.5
2008-05-12,12.4,14.7,12.4,14.7,198
2008-05-13,14.1,14.4,14.1,14.4,100
2008-05-14,13.2,14.7,13,14.7,123
2008-05-15,13.8,14.7,13.8,14.7,89.8
2008-05-16,12,14.3,12,14.3,40
2008-05-26,12,14.2,11.6,14.2,101.5
2008-05-28,11.5,14.4,11.5,14.4,62.1
2008-05-30,13.9,14,13.9,14,80
2008-06-03,12.9,13.4,11.2,13.4,195
2008-06-05,12.4,14.9,11,14.9,280.7
2008-06-09,14.8,14.8,14.8,14.8,49.4
2008-06-12,12.5,12.5,12.5,12.5,0.4
2008-06-13,12,12.4,11.9,12,1529.2
2008-06-18,12,13.8,10.2,10.6,236.6
2008-06-19,8.8,12.5,8.8,11.7,380.1
2008-06-20,10.5,11.9,10.5,11.6,260.4
2008-06-24,12,12,12,12,14
2008-07-01,10.3,10.3,9.7,9.7,200
2008-07-02,10.2,10.2,8.7,8.7,137
2008-07-03,7.6,7.6,7.6,7.6,50
2008-07-07,9.1,10.1,8.1,8.1,729.3
2008-07-08,7.3,7.3,7.3,7.3,50
2008-07-09,7.3,7.3,7.3,7.3,147.9
2008-07-15,7.3,8.7,7.2,8.7,210
2008-07-18,7.5,9,7.5,9,36
2008-07-21,8,8,8,8,130
2008-07-22,8.8,11.2,8.8,10.4,2124.5
2008-07-23,10,16.9,9.9,16.9,13942.5
2008-07-24,15.5,21.2,15,16.3,6761.9
2008-07-25,17.5,19,14,16.3,665.5
2008-07-28,16.1,16.1,13.1,13.9,384.9
2008-07-29,14.9,14.9,12,14.4,418.2
2008-07-30,14.3,14.3,11.6,14.2,592.3
2008-07-31,12.5,12.5,12,12,54
2008-08-01,13.4,14,10,13.9,1025
2008-08-04,11.3,13.8,11.3,13.8,4.1
2008-08-05,12.5,13.6,11.2,13.5,27.9
2008-08-06,13.8,19.3,11.4,17.7,4511.5
2008-08-07,18.2,18.7,16.2,18,5391.4
2008-08-08,18.6,18.6,15,15.1,5271.2
2008-08-11,15.1,17.6,15.1,17.3,3067.5
2008-08-12,17.8,17.8,14.5,15.9,5053.8
2008-08-13,15.8,15.8,13.3,15.5,117.4
2008-08-14,14.2,14.2,12.4,13.5,1340.1
2008-08-18,12.1,13.4,12.1,13.4,0.4
2008-08-19,11.2,12.7,11.1,12.7,977.7
2008-08-20,11.2,11.4,10.2,11,3973.8
2008-08-21,11,14,11,12.4,3259.6
2008-08-22,13.5,13.8,11.6,12.5,2752.3
2008-08-25,12.4,12.4,11.2,12.3,310.5
2008-08-26,12,12,12,12,0.1
2008-08-27,11.4,12.1,10.4,11,5894.7
2008-08-28,11.2,11.3,11,11.2,534.9
2008-08-29,11.8,11.8,11.2,11.5,726.5
2008-09-01,11.2,11.3,10.6,11.3,362.1
2008-09-02,10.7,11.2,10.4,10.9,796.5
2008-09-03,10.5,11.2,10.4,11.2,1688.8
2008-09-04,10.6,11.2,10.4,11.2,1810
2008-09-05,11.1,11.8,10.7,11.6,1713.6
2008-09-08,11.5,13.4,11.5,12.9,1734.8
2008-09-09,12.8,12.8,10.8,11.4,2673.6
2008-09-10,10.9,11.1,10.5,11.1,951.8
2008-09-11,11,12.2,10.5,11.5,1117.9
2008-09-12,12,12.2,11.3,12,216.6
