Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-03-21,0.68,0.9,0.67,0.9,77065
2013-03-22,0.95,1.36,0.9,0.99,47416
2013-03-25,1.06,1.27,0.86,0.89,32285
2013-03-26,0.81,0.92,0.81,0.81,4204
2013-03-27,0.9,0.91,0.81,0.89,10847
2013-03-28,0.89,0.95,0.75,0.95,10669
2013-04-02,0.85,0.86,0.76,0.86,5916
2013-04-03,0.74,0.81,0.74,0.81,1250
2013-04-04,0.7,0.75,0.67,0.75,1736
2013-04-05,0.75,0.75,0.75,0.75,34
2013-04-09,0.65,0.7,0.6,0.7,4000
2013-04-12,0.65,0.65,0.65,0.65,1000
2013-04-17,0.6,0.6,0.6,0.6,1000
2013-04-18,0.55,0.6,0.5,0.6,2436
2013-04-19,0.6,0.6,0.6,0.6,336
2013-04-22,0.56,0.56,0.56,0.56,160
2013-04-25,0.56,0.56,0.56,0.56,400
2013-04-26,0.56,0.56,0.48,0.52,8913
2013-04-29,0.62,0.62,0.62,0.62,1000
2013-04-30,0.55,0.55,0.55,0.55,200
2013-05-06,0.65,0.65,0.65,0.65,100
2013-05-07,0.67,0.67,0.67,0.67,900
2013-05-08,0.72,0.8,0.72,0.78,1831
2013-05-10,0.75,0.75,0.75,0.75,928
2013-05-13,0.7,0.75,0.7,0.75,218
2013-05-15,0.7,0.7,0.7,0.7,878
2013-05-16,0.73,0.73,0.73,0.73,477
2013-05-22,0.63,0.63,0.63,0.63,875
2013-05-31,0.66,0.66,0.56,0.56,250
2013-06-18,0.67,0.81,0.67,0.81,4782
2013-06-19,0.82,0.99,0.82,0.9,3900
2013-06-20,0.8,0.8,0.72,0.72,1982
2013-06-21,0.65,0.7,0.65,0.7,6000
2013-06-24,0.7,0.7,0.7,0.7,1000
2013-07-01,0.65,0.65,0.65,0.65,800
2013-07-10,0.68,0.7,0.68,0.7,6709
2013-07-15,0.75,0.82,0.75,0.82,1100
2013-07-16,0.72,0.72,0.72,0.72,1000
2013-07-23,0.65,0.65,0.65,0.65,1000
2013-07-24,0.6,0.75,0.48,0.65,10323
2013-07-25,0.62,0.62,0.62,0.62,2329
2013-08-01,0.7,0.82,0.7,0.8,5201
2013-08-05,0.87,0.9,0.8,0.9,1334
2013-08-06,0.8,0.8,0.8,0.8,709
2013-08-13,0.75,0.75,0.7,0.75,1980
2013-08-16,0.75,0.75,0.75,0.75,600
2013-09-04,0.7,0.7,0.7,0.7,720
2013-09-11,0.65,0.65,0.65,0.65,1000
2013-09-19,0.6,0.65,0.6,0.65,1045
2013-09-20,0.55,0.65,0.55,0.65,1420
2013-09-23,0.64,0.64,0.55,0.55,710
2013-09-27,0.55,0.75,0.5,0.75,4890
2013-09-30,0.75,0.8,0.75,0.8,1310
2013-10-03,0.8,1,0.8,1,2000
2013-10-04,1,1,1,1,500
2013-10-07,1,1,1,1,100
2013-10-11,1,1,1,1,500
2013-10-14,0.8,0.85,0.67,0.75,2700
2013-10-17,0.81,0.81,0.81,0.81,1000
2013-10-18,0.75,0.75,0.7,0.7,2000
2013-10-21,0.68,0.68,0.68,0.68,1000
2013-10-22,0.8,0.8,0.8,0.8,500
2013-10-23,0.7,0.7,0.7,0.7,1000
2013-10-25,0.68,0.68,0.65,0.65,1500
2013-10-28,0.66,0.66,0.56,0.56,1500
2013-10-29,0.57,0.57,0.55,0.55,1000
2013-12-03,0.65,0.65,0.65,0.65,452
2013-12-12,0.65,0.65,0.65,0.65,100
2013-12-27,0.52,0.52,0.52,0.52,2500
2013-12-30,0.48,0.48,0.39,0.39,10403
2014-01-02,0.42,0.42,0.4,0.4,5000
2014-01-03,0.42,0.5,0.42,0.5,10300
2014-01-07,0.57,0.57,0.5,0.56,6030
2014-01-08,0.56,0.59,0.51,0.58,2280
2014-01-09,0.56,0.56,0.5,0.5,3500
2014-01-10,0.55,0.55,0.55,0.55,100
2014-01-17,0.5,0.5,0.5,0.5,70
2014-01-20,0.53,0.53,0.53,0.53,40
2014-01-21,0.53,0.53,0.53,0.53,50
2014-01-22,0.53,0.53,0.53,0.53,10
2014-01-23,0.53,0.53,0.53,0.53,20
2014-01-24,0.53,0.53,0.53,0.53,20
2014-01-27,0.53,0.53,0.53,0.53,20
2014-01-28,0.53,0.53,0.53,0.53,20
2014-01-29,0.53,0.53,0.53,0.53,20
2014-01-30,0.53,0.53,0.53,0.53,20
2014-01-31,0.53,0.53,0.53,0.53,20
2014-02-03,0.53,0.53,0.53,0.53,20
2014-02-04,0.53,0.53,0.53,0.53,20
2014-02-05,0.53,0.58,0.53,0.58,420
2014-02-10,0.58,0.58,0.58,0.58,50
2014-02-13,0.59,0.6,0.59,0.6,150
2014-02-17,0.62,0.7,0.62,0.69,1350
2014-02-18,0.69,0.69,0.69,0.69,40
2014-02-19,0.69,0.75,0.69,0.75,1565
2014-02-20,0.76,0.76,0.76,0.76,400
2014-02-21,0.76,0.76,0.76,0.76,70
2014-02-24,0.76,0.76,0.76,0.76,50
2014-02-25,0.77,0.77,0.77,0.77,20
2014-02-26,0.77,0.77,0.68,0.68,170
2014-02-27,0.7,0.76,0.7,0.76,500
2014-02-28,0.76,0.76,0.76,0.76,320
2014-03-03,0.76,0.76,0.76,0.76,100
2014-03-04,0.76,0.76,0.76,0.76,20
2014-03-05,0.76,0.76,0.76,0.76,20
2014-03-06,0.75,0.75,0.75,0.75,30
2014-03-07,0.66,0.74,0.66,0.74,350
2014-03-10,0.72,0.72,0.72,0.72,20
2014-03-11,0.72,0.72,0.72,0.72,520
2014-03-12,0.72,0.72,0.66,0.66,40
2014-03-14,0.66,0.66,0.6,0.6,1030
2014-03-17,0.7,0.7,0.7,0.7,15
2014-03-28,0.78,0.78,0.78,0.78,500
2014-04-07,0.79,0.79,0.79,0.79,20
2014-04-08,0.79,0.79,0.79,0.79,20
2014-04-09,0.79,0.8,0.79,0.8,55
2014-04-10,0.8,0.8,0.8,0.8,10320
2014-04-11,0.8,0.8,0.8,0.8,6760
2014-04-14,0.8,0.8,0.8,0.8,10
2014-04-15,0.8,0.8,0.8,0.8,20
2014-04-16,0.8,0.8,0.8,0.8,20
2014-04-17,0.8,0.95,0.8,0.95,2145
2014-04-22,1,1.2,1,1.2,1010
2014-04-23,1.3,1.35,0.85,0.85,1360
2014-04-24,0.85,0.85,0.7,0.7,2130
2014-04-25,0.83,0.83,0.83,0.83,260
2014-04-29,0.8,0.8,0.7,0.7,383
2014-04-30,0.75,0.75,0.75,0.75,40
2014-05-14,0.75,0.87,0.75,0.87,470
2014-05-15,0.87,0.9,0.87,0.9,100
2014-05-16,0.89,0.89,0.89,0.89,20
2014-05-19,0.89,0.89,0.89,0.89,20
2014-05-20,0.89,0.89,0.89,0.89,20
2014-05-21,0.89,0.89,0.89,0.89,100
2014-05-22,0.89,0.89,0.89,0.89,15
2014-05-23,0.89,0.89,0.89,0.89,20
2014-05-26,0.89,0.89,0.89,0.89,20
2014-05-27,0.89,0.89,0.89,0.89,20
2014-05-28,0.89,0.89,0.89,0.89,20
2014-05-29,0.89,0.89,0.89,0.89,50
2014-05-30,0.89,0.89,0.89,0.89,30
2014-06-02,0.89,0.89,0.89,0.89,20
2014-06-03,0.89,0.89,0.89,0.89,20
2014-06-04,0.89,0.89,0.89,0.89,20
2014-06-05,0.88,0.88,0.88,0.88,25
2014-06-06,0.87,0.87,0.87,0.87,20
2014-06-09,0.87,0.95,0.87,0.95,13947
2014-06-10,0.95,0.95,0.65,0.7,17724
2014-06-13,0.73,0.75,0.73,0.75,120
2014-06-17,0.75,0.75,0.75,0.75,10
2014-06-18,0.75,0.75,0.75,0.75,10
2014-06-20,0.75,0.8,0.75,0.8,200
2014-06-24,0.8,0.8,0.8,0.8,30
2014-06-25,0.8,0.8,0.8,0.8,15
2014-06-26,0.8,0.8,0.8,0.8,30
2014-06-27,0.8,0.8,0.8,0.8,21
2014-06-30,0.8,0.8,0.8,0.8,20
2014-07-01,0.8,0.8,0.65,0.76,1180
2014-07-03,0.74,0.74,0.74,0.74,520
2014-07-04,0.74,0.74,0.74,0.74,365
2014-07-07,0.74,0.74,0.74,0.74,20
2014-07-08,0.74,0.74,0.74,0.74,20
2014-07-09,0.74,0.74,0.74,0.74,20
2014-07-10,0.74,0.74,0.74,0.74,20
2014-07-11,0.74,0.74,0.74,0.74,15
2014-07-14,0.74,0.74,0.74,0.74,20
2014-07-15,0.74,0.74,0.74,0.74,15
2014-07-16,0.73,0.73,0.73,0.73,20
2014-07-17,0.73,0.73,0.73,0.73,20
2014-07-18,0.73,0.73,0.73,0.73,20
2014-07-21,0.73,0.73,0.73,0.73,15
2014-07-22,0.73,0.73,0.73,0.73,6
2014-07-29,0.73,0.74,0.73,0.74,600
2014-07-30,0.74,0.74,0.74,0.74,20
2014-07-31,0.74,0.74,0.74,0.74,20
2014-08-01,0.74,0.74,0.74,0.74,20
2014-08-04,0.74,0.74,0.74,0.74,80
2014-08-05,0.74,0.74,0.74,0.74,20
2014-08-06,0.74,0.74,0.74,0.74,15
2014-08-07,0.74,0.74,0.74,0.74,20
2014-08-08,0.74,0.74,0.74,0.74,20
2014-08-11,0.74,0.74,0.74,0.74,100
2014-08-12,0.74,0.74,0.74,0.74,100
2014-08-13,0.74,0.74,0.74,0.74,100
2014-08-14,0.74,0.74,0.74,0.74,35
2014-08-19,0.74,0.74,0.74,0.74,20
2014-08-29,0.74,0.74,0.74,0.74,20
2014-09-01,0.74,0.74,0.74,0.74,50
2014-09-02,0.74,0.74,0.74,0.74,20
2014-09-04,0.6,0.71,0.6,0.71,9950
2014-09-09,0.71,0.71,0.71,0.71,20
2014-09-10,0.71,0.71,0.61,0.61,5030
2014-09-16,0.6,0.6,0.51,0.6,16120
2014-09-17,0.59,0.59,0.59,0.59,100
2014-09-18,0.59,0.59,0.59,0.59,20
2014-09-19,0.59,0.59,0.59,0.59,20
2014-09-22,0.59,0.59,0.59,0.59,20
2014-09-23,0.59,0.59,0.59,0.59,20
2014-09-24,0.59,0.59,0.53,0.53,4820
2014-09-26,0.55,0.56,0.5,0.5,961
2014-09-29,0.57,0.57,0.5,0.5,30
2014-10-01,0.55,0.55,0.55,0.55,130
2014-10-02,0.5,0.5,0.5,0.5,11
2014-10-06,0.52,0.52,0.52,0.52,20
2014-10-07,0.52,0.52,0.52,0.52,20
2014-10-08,0.52,0.52,0.45,0.45,649
2014-10-09,0.45,0.47,0.45,0.47,455
2014-10-10,0.45,0.5,0.45,0.5,705
2014-11-03,0.5,0.51,0.5,0.51,190
2014-11-04,0.51,0.52,0.51,0.52,50
2014-11-05,0.52,0.52,0.52,0.52,100
2014-11-06,0.52,0.52,0.52,0.52,20
2014-11-07,0.52,0.52,0.52,0.52,30
2014-11-10,0.52,0.52,0.52,0.52,30
2014-11-12,0.52,0.52,0.52,0.52,20
2014-11-13,0.52,0.52,0.52,0.52,120
2014-11-14,0.52,0.52,0.52,0.52,20
2014-11-17,0.52,0.52,0.52,0.52,20
2014-11-18,0.52,0.53,0.52,0.53,270
2014-12-16,0.47,0.49,0.46,0.49,3900
2014-12-23,0.57,0.57,0.57,0.57,800
2015-01-02,0.59,0.59,0.59,0.59,100
2015-01-09,0.59,0.62,0.59,0.62,251
2015-01-12,0.74,0.84,0.74,0.84,8750
2015-01-13,0.84,0.84,0.84,0.84,20
2015-01-14,0.84,0.84,0.84,0.84,20
2015-01-15,0.84,0.84,0.84,0.84,15
2015-01-19,0.84,0.84,0.75,0.8,785
2015-01-27,0.8,0.8,0.8,0.8,20
2015-01-30,0.81,0.81,0.81,0.81,20
2015-02-02,0.81,0.81,0.81,0.81,20
2015-02-03,0.81,0.81,0.81,0.81,20
2015-02-04,0.81,0.81,0.81,0.81,50
2015-02-05,0.81,0.81,0.81,0.81,20
2015-02-06,0.81,0.81,0.81,0.81,60
2015-02-09,0.81,0.81,0.81,0.81,20
2015-02-10,0.81,0.81,0.81,0.81,30
2015-02-11,0.81,0.81,0.81,0.81,20
2015-02-12,0.81,0.81,0.81,0.81,20
2015-02-13,0.81,0.81,0.81,0.81,20
2015-02-16,0.81,0.81,0.81,0.81,20
2015-02-17,0.81,0.81,0.81,0.81,30
2015-02-18,0.81,0.81,0.81,0.81,20
2015-02-19,0.81,0.81,0.81,0.81,330
2015-02-20,0.81,0.81,0.81,0.81,30
2015-02-23,0.81,0.81,0.81,0.81,30
2015-02-24,0.81,0.81,0.81,0.81,30
2015-02-25,0.81,0.81,0.81,0.81,20
2015-02-26,0.81,0.81,0.81,0.81,30
2015-02-27,0.81,0.81,0.81,0.81,30
2015-03-02,0.81,0.81,0.81,0.81,20
2015-03-03,0.8,0.8,0.8,0.8,100
2015-03-04,0.8,0.8,0.8,0.8,20
2015-03-05,0.8,0.8,0.8,0.8,20
2015-03-06,0.8,0.8,0.8,0.8,10
2015-03-09,0.8,0.8,0.8,0.8,20
2015-03-10,0.8,0.8,0.8,0.8,20
2015-03-11,0.8,0.8,0.8,0.8,20
2015-03-12,0.8,0.8,0.8,0.8,20
2015-03-13,0.8,0.8,0.8,0.8,30
2015-03-16,0.8,0.8,0.8,0.8,50
2015-03-17,0.8,0.8,0.72,0.72,160
2015-03-19,0.71,0.71,0.71,0.71,20
2015-03-20,0.71,0.71,0.71,0.71,20
2015-03-23,0.71,0.71,0.71,0.71,20
2015-03-24,0.71,0.71,0.71,0.71,20
2015-03-25,0.71,0.71,0.71,0.71,20
2015-03-26,0.71,0.71,0.71,0.71,20
