Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-22,48.7217,57.1222,46.2021,48.3022,9075.5102043902
2010-06-23,48.3022,49.1421,42.8417,47.4614,1020.4081633
2010-06-24,47.8828,47.8828,47.4614,47.4614,92.8571428603
2010-06-25,48.3022,48.7217,46.2021,48.3022,118.3673469428
2010-06-28,46.2021,46.2021,42.8417,46.2021,314.2857142964
2010-06-29,36.9617,46.2021,36.9617,42.4222,964.2857143185
2010-06-30,42.0018,42.0018,40.3221,42.0018,156.1224489849
2010-07-01,44.5214,44.5214,43.6815,43.6815
2010-07-02,43.2621,44.9428,43.2621,43.6815,291.8367347038
2010-07-05,44.102,44.102,38.222,43.2621,51.020408165
2010-07-06,44.102,44.102,39.0618,43.2621,482.6530612409
2010-07-07,40.7415,44.102,40.7415,44.102,22.4489795926
2010-07-08,43.6815,44.102,43.6815,44.102,223.4693877627
2010-07-09,45.3622,45.7817,42.8417,45.3622,1076.5306122815
2010-07-12,44.9428,44.9428,42.0018,44.9428,220.4081632728
2010-07-13,42.8417,43.6815,42.8417,43.6815
2010-07-14,47.042,47.042,47.042,47.042,21.4285714293
2010-07-16,46.6215,46.6215,46.6215,46.6215,477.5510204244
2010-07-20,46.6215,47.042,46.6215,47.042,60.2040816347
2010-07-21,47.042,47.042,37.3821,37.8015,4181.6326532034
2010-07-22,37.8015,39.9017,37.8015,39.9017,685.7142857376
2010-07-23,37.8015,38.6414,37.8015,38.222,604.0816326736
2010-07-26,38.222,38.222,37.8015,37.8015,6.1224489798
2010-07-27,37.3821,37.3821,32.342,35.7014,1010.204081667
2010-07-28,33.6013,34.8615,32.342,32.342,36.7346938788
2010-07-29,33.6013,35.7014,31.0817,33.6013,859.1836734986
2010-07-30,34.4411,34.4411,31.5011,33.6013,173.469387761
2010-08-02,31.0817,33.1818,30.2418,32.7614,168.3673469445
2010-08-03,33.1818,33.1818,30.2418,32.7614,141.8367346987
2010-08-04,33.1818,33.6013,31.5011,31.9206,89.7959183704
2010-08-05,33.1818,33.1818,29.8214,32.7614,114.2857142896
2010-08-06,30.2418,37.8015,30.2418,37.8015,1526.5306122968
2010-08-09,37.3821,37.3821,34.0217,36.5413,553.0612245086
2010-08-10,34.0217,34.4411,34.0217,34.4411,67.3469387778
2010-08-11,33.6013,34.0217,33.6013,34.0217,23.4693877559
2010-08-12,33.6013,33.6013,33.6013,33.6013,119.3877551061
2010-08-13,33.1818,33.6013,32.7614,33.6013,69.3877551044
2010-08-16,31.0817,34.4411,31.0817,33.6013,30.612244899
2010-08-17,34.4411,34.4411,34.0217,34.0217,54.0816326549
2010-08-18,34.4411,34.4411,31.0817,31.0817,42.8571428586
2010-08-19,34.0217,34.0217,33.6013,33.6013,2.0408163266
2010-08-20,34.0217,34.0217,34.0217,34.0217
2010-08-23,30.2418,34.0217,30.2418,34.0217,16.3265306128
2010-08-24,33.6013,33.6013,33.6013,33.6013
2010-08-26,33.6013,33.6013,29.8214,33.1818,186.7346938839
2010-08-27,33.6013,33.6013,33.6013,33.6013
2010-08-30,32.7614,33.1818,32.7614,33.1818,477.5510204244
2010-08-31,32.7614,32.7614,32.7614,32.7614
2010-09-01,33.1818,33.1818,33.1818,33.1818
2010-09-02,32.7614,36.5413,32.7614,36.5413,2146.9387755832
2010-09-03,33.6013,36.1218,33.6013,36.1218,140.8163265354
2010-09-06,37.3821,37.3821,34.0217,37.3821,274.4897959277
2010-09-07,36.5413,36.9617,36.5413,36.9617,11.2244897963
2010-09-08,34.4411,36.9617,33.6013,36.1218,3801.0204082925
2010-09-09,31.9206,36.1218,30.6613,36.1218,488.7755102207
2010-09-10,32.7614,35.282,31.5011,34.8615,438.775510219
2010-09-13,35.282,35.282,35.282,35.282
2010-09-14,35.282,35.7014,31.5011,35.282,1215.3061224903
2010-09-15,35.7014,35.7014,35.7014,35.7014
2010-09-17,31.9206,35.282,31.5011,35.282,754.0816326787
2010-09-20,35.282,35.282,31.9206,35.282,925.5102041131
2010-09-21,35.282,35.282,34.0217,35.282,47.9591836751
2010-09-22,34.8615,34.8615,32.342,32.342,533.6734694059
2010-09-23,35.282,35.282,31.9206,31.9206
2010-09-24,33.6013,34.8615,33.6013,33.6013,3.0612244899
2010-09-27,34.0217,35.7014,33.6013,35.7014,67.3469387778
2010-09-28,35.7014,36.9617,34.0217,34.0217,208.1632653132
2010-09-29,36.9617,37.3821,34.0217,34.0217,136.7346938822
2010-09-30,36.9617,41.162,36.9617,40.7415,1004.0816326872
2010-10-01,36.1218,48.7217,36.1218,46.6215,1877.551020472
2010-10-04,46.6215,50.4024,42.0018,47.8828,2083.6734694586
2010-10-05,50.4024,50.4024,47.4614,49.1421,1464.2857143355
2010-10-06,48.7217,50.4024,47.4614,50.4024,463.2653061382
2010-10-07,49.1421,50.4024,46.2021,46.2021,132.653061229
2010-10-08,49.1421,49.982,42.4222,43.2621,1314.2857143304
2010-10-11,43.6815,44.5214,42.4222,44.102,865.3061224784
2010-10-12,42.4222,42.4222,39.9017,39.9017,211.2244898031
2010-10-13,40.3221,42.0018,39.9017,39.9017,463.2653061382
2010-10-14,39.0618,39.0618,36.1218,36.1218,79.5918367374
2010-10-15,36.1218,38.6414,36.1218,38.6414,163.265306128
2010-10-18,37.8015,40.3221,37.8015,37.8015,898.9795918673
2010-10-20,37.8015,37.8015,36.1218,36.1218,151.0204081684
2010-10-21,36.5413,36.5413,36.1218,36.1218,131.6326530657
2010-10-22,36.1218,36.1218,33.6013,35.7014,409.1836734833
2010-10-25,35.282,37.3821,34.4411,36.9617,206.1224489866
2010-10-26,34.0217,34.0217,34.0217,34.0217,47.9591836751
2010-10-27,34.0217,34.4411,32.342,32.342,496.9387755271
2010-10-28,32.7614,32.7614,31.9206,32.7614,515.3061224665
2010-10-29,31.5011,33.6013,31.5011,31.5011,167.3469387812
2010-11-03,32.7614,32.7614,32.7614,32.7614,2.0408163266
2010-11-04,31.0817,32.342,31.0817,32.342,529.5918367527
2010-11-08,31.0817,31.0817,31.0817,31.0817,33.6734693889
2010-11-09,31.0817,31.9206,29.8214,31.9206,417.3469387897
2010-11-10,33.1818,36.1218,32.342,36.1218,1875.5102041454
2010-11-12,35.7014,35.7014,33.6013,33.6013,152.0408163317
2010-11-15,34.4411,34.4411,34.4411,34.4411,2.0408163266
2010-11-16,34.0217,34.0217,33.1818,34.0217,82.6530612273
2010-11-17,33.1818,33.1818,33.1818,33.1818,112.244897963
2010-11-18,33.6013,33.6013,31.5011,31.5011,463.2653061382
2010-11-19,31.5011,32.7614,31.5011,31.5011,21.4285714293
2010-11-22,31.5011,32.342,30.6613,32.342,287.7551020506
2010-11-23,31.0817,31.5011,31.0817,31.5011,820.4081632932
2010-11-24,30.6613,31.5011,29.401,31.5011,494.8979592005
2010-11-25,29.401,29.401,26.8804,26.8804,738.7755102292
2010-11-26,27.3018,27.3018,25.6211,26.461,475.5102040978
2010-11-29,27.7213,27.7213,26.461,26.461,141.8367346987
