Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-05-27,430.08,430.08,430.08,430.08,145.392858306
1999-05-28,456.96,456.96,456.96,456.96,507.071432628
1999-05-31,456.96,456.96,456.96,456.96,133.892858214
1999-06-01,442.008,442.008,442.008,442.008,195.928572996
1999-06-02,400.232,400.232,400.232,400.232,33.321428838
1999-06-07,430.08,430.08,430.08,430.08,67.571429112
1999-06-08,421.12,421.12,421.12,421.12,12.392857242
1999-06-09,421.12,421.12,421.12,421.12,8.535714354
1999-06-10,430.08,430.08,430.08,430.08,32.035714542
1999-06-11,421.12,421.12,421.12,421.12,14.892857262
1999-06-14,421.12,421.12,421.12,421.12,54.250000434
1999-06-15,430.08,430.08,430.08,430.08,103.250000826
1999-06-16,430.08,430.08,430.08,430.08,1.035714294
1999-06-17,415.128,415.128,415.128,415.128,34.964285994
1999-06-18,430.08,430.08,430.08,430.08,8.250000066
1999-06-21,430.08,430.08,430.08,430.08,23.678571618
1999-06-22,415.128,415.128,415.128,415.128,11.750000094
1999-06-23,450.968,450.968,450.968,450.968,275.428573632
1999-06-24,456.96,456.96,456.96,456.96,108.142858008
1999-06-25,465.92,465.92,465.92,465.92,168.107144202
1999-06-28,486.808,486.808,486.808,486.808,45.392857506
1999-06-29,486.808,486.808,486.808,486.808,66.178571958
1999-06-30,442.008,442.008,442.008,442.008
1999-07-01,430.08,430.08,430.08,430.08,51.750000414
1999-07-02,450.968,450.968,450.968,450.968,33.142857408
1999-07-05,471.912,471.912,471.912,471.912,9.82142865
1999-07-06,442.008,442.008,442.008,442.008,38.107143162
1999-07-07,456.96,456.96,456.96,456.96,16.464285846
1999-07-08,442.008,442.008,442.008,442.008,11.000000088
1999-07-09,450.968,450.968,450.968,450.968,34.964285994
1999-07-12,430.08,430.08,430.08,430.08,50.428571832
1999-07-13,442.008,442.008,442.008,442.008,59.785714764
1999-07-14,436.072,436.072,436.072,436.072,53.785714716
1999-07-15,430.08,430.08,430.08,430.08,70.142857704
1999-07-16,436.072,436.072,436.072,436.072,18.250000146
1999-07-19,421.12,421.12,421.12,421.12,37.000000296
1999-07-20,430.08,430.08,430.08,430.08,11.42857152
1999-07-21,421.12,421.12,421.12,421.12,16.857142992
1999-07-22,415.128,415.128,415.128,415.128,23.142857328
1999-07-23,415.128,415.128,415.128,415.128,17.50000014
1999-07-26,406.168,406.168,406.168,406.168,19.500000156
1999-07-27,406.168,406.168,406.168,406.168,3.500000028
1999-07-28,400.232,400.232,400.232,400.232,59.500000476
1999-07-29,406.168,406.168,406.168,406.168,16.285714416
1999-07-30,400.232,400.232,400.232,400.232,16.142857272
1999-08-02,421.12,421.12,421.12,421.12,26.42857164
1999-08-03,421.12,421.12,421.12,421.12,7.000000056
1999-08-04,415.128,415.128,415.128,415.128,6.285714336
1999-08-05,400.232,400.232,400.232,400.232,27.964285938
1999-08-06,400.232,400.232,400.232,400.232,7.000000056
1999-08-09,400.232,400.232,400.232,400.232,32.535714546
1999-08-10,406.168,406.168,406.168,406.168,16.25000013
1999-08-11,370.328,370.328,370.328,370.328,26.42857164
1999-08-12,379.288,379.288,379.288,379.288,48.892857534
1999-08-13,379.288,379.288,379.288,379.288,15.928571556
1999-08-16,385.28,385.28,385.28,385.28,10.500000084
1999-08-17,385.28,385.28,385.28,385.28,0.500000004
1999-08-18,385.28,385.28,385.28,385.28,27.571428792
1999-08-19,385.28,385.28,385.28,385.28,9.392857218
1999-08-20,379.288,379.288,379.288,379.288,9.178571502
1999-08-23,379.288,379.288,379.288,379.288,9.10714293
1999-08-24,340.48,340.48,340.48,340.48,104.892857982
1999-08-25,364.392,364.392,364.392,364.392,92.535715026
1999-08-26,379.288,379.288,379.288,379.288,14.000000112
1999-08-27,370.328,370.328,370.328,370.328,33.678571698
1999-08-30,370.328,370.328,370.328,370.328,3.500000028
1999-08-31,370.328,370.328,370.328,370.328,1.142857152
1999-09-01,358.4,358.4,358.4,358.4,14.000000112
1999-09-02,364.392,364.392,364.392,364.392,13.500000108
1999-09-03,358.4,358.4,358.4,358.4,30.71428596
1999-09-06,364.392,364.392,364.392,364.392,43.39285749
1999-09-07,364.392,364.392,364.392,364.392,2.428571448
1999-09-08,370.328,370.328,370.328,370.328,27.964285938
1999-09-09,358.4,358.4,358.4,358.4,15.928571556
1999-09-10,358.4,358.4,358.4,358.4,2.785714308
1999-09-13,364.392,364.392,364.392,364.392,12.285714384
1999-09-14,358.4,358.4,358.4,358.4,3.500000028
1999-09-15,349.44,349.44,349.44,349.44,28.142857368
1999-09-16,328.552,328.552,328.552,328.552,44.750000358
1999-09-17,295.68,295.68,295.68,295.68,8.39285721
1999-09-20,325.528,325.528,325.528,325.528,66.535714818
1999-09-21,313.6,313.6,313.6,313.6,93.357143604
1999-09-22,328.552,328.552,328.552,328.552,72.178572006
1999-09-23,343.448,343.448,343.448,343.448,8.428571496
1999-09-24,343.448,343.448,343.448,343.448,14.535714402
1999-09-27,343.448,343.448,343.448,343.448,10.250000082
1999-09-28,328.552,328.552,328.552,328.552,22.392857322
1999-09-29,343.448,343.448,343.448,343.448,35.678571714
1999-09-30,343.448,343.448,343.448,343.448,21.142857312
1999-10-01,343.448,343.448,343.448,343.448,10.500000084
1999-10-04,343.448,343.448,343.448,343.448,0.71428572
1999-10-05,337.512,337.512,337.512,337.512,2.250000018
1999-10-06,343.448,343.448,343.448,343.448,2.285714304
1999-10-07,340.48,340.48,340.48,340.48,3.500000028
1999-10-08,313.6,313.6,313.6,313.6,0.392857146
1999-10-11,322.56,322.56,322.56,322.56,0.142857144
1999-10-12,343.448,343.448,343.448,343.448,3.071428596
1999-10-13,337.512,337.512,337.512,337.512,3.285714312
1999-10-14,328.552,328.552,328.552,328.552,2.285714304
1999-10-15,295.68,295.68,295.68,295.68,19.785714444
1999-10-18,313.6,313.6,313.6,313.6,19.714285872
