Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-01-24,1.75987,1.75987,1.75987,1.75987,74856.072894124
2011-01-25,2.0041,2.40487,1.63036,1.75034,191338.67881852
2011-01-26,1.67237,1.67237,1.48773,1.62341,57406.637814121
2011-01-27,1.4921,1.85353,1.48863,1.7853,44426.537586125
2011-01-28,1.74766,1.75034,1.58924,1.74587,6833.380410131
2011-01-31,1.73812,1.79771,1.6388,1.79771,7610.656036567
2011-02-01,1.80189,1.82463,1.66274,1.77656,76775.097951102
2011-02-02,1.71965,1.75034,1.68906,1.75034,1256.528473824
2011-02-03,1.77219,1.77219,1.66274,1.73892,19882.952164324
2011-02-04,1.73892,2.08287,1.67158,2.0487,67006.797267576
2011-02-07,2.04791,2.23165,1.75034,2.03907,21207.945330632
2011-02-08,2.03827,2.12577,2.0041,2.12488,4284.077448815
2011-02-09,2.12399,2.12399,1.75292,2.01284,6227.266514905
2011-02-10,1.99536,2.04791,1.829,2.03033,20647.138952491
2011-02-11,1.92534,2.01284,1.79404,1.95951,12124.291571946
2011-02-14,1.88154,2.00321,1.75471,2.00321,16899.703872705
2011-02-15,1.99536,1.99536,1.81152,1.92534,5256.678815573
2011-02-16,1.92534,1.92534,1.76335,1.8728,4628.414578661
2011-02-17,1.8728,1.96815,1.83784,1.96815,11278.551253026
2011-02-18,1.96815,2.01284,1.96815,1.99536,616.182232356
2011-02-21,1.99536,1.99536,1.89912,1.98662,5290.911161815
2011-02-22,1.98225,1.98225,1.86406,1.92534,7883.50797279
2011-02-23,1.92534,1.94719,1.79404,1.94719,33914.186788692
2011-02-24,1.94719,1.94719,1.89912,1.9166,1520.31890663
2011-02-25,1.91571,1.91571,1.84221,1.91571,4044.451025121
2011-02-28,1.91303,1.92614,1.84092,1.91958,2389.216400949
2011-03-01,1.91958,1.95891,1.88025,1.95891,7483.794988729
2011-03-02,1.95891,1.95891,1.90647,1.95236,5759.08883836
2011-03-03,1.90647,1.95236,1.88025,1.9458,32886.209567719
2011-03-04,1.9463,1.97083,1.89912,1.96914,10639.211845271
2011-03-07,1.96914,1.99099,1.90349,1.99099,20351.129840869
2011-03-08,1.99099,2.03033,1.9166,2.02159,232064.09567566
2011-03-09,2.01284,2.03033,1.93061,2.03033,15369.316628945
2011-03-10,2.03092,2.05059,2.03092,2.03748,228.551252851
2011-03-11,2.01126,2.05714,2.01126,2.05714,8741.330296266
2011-03-14,2.04791,2.04791,1.93061,2.02159,5530.537585509
2011-03-15,1.93061,2.01284,1.93061,2.01284,8889.334852077
2011-03-16,2.01284,2.01284,1.89992,1.90776,11701.421412486
2011-03-17,1.89992,2.01126,1.89992,2.0048,5792.314350889
2011-03-18,2.01126,2.04403,2.01126,2.04403,9964.633257561
2011-03-21,2.04403,2.04403,2.04403,2.04403,228.551252851
2011-03-22,2.04403,2.04403,2.03748,2.04403,446.027334859
2011-03-23,2.03033,2.0347,1.92534,2.0041,9563.913439787
2011-03-24,1.99824,2.01126,1.89992,1.98513,16420.451025317
2011-03-25,1.99824,2.0048,1.97202,2.0048,5325.143508057
2011-03-28,1.97858,2.1947,1.97858,2.18815,21767.74487506
2011-03-29,2.20126,2.62715,2.20126,2.62715,19643.32574063
2011-03-30,2.79748,3.78017,2.79748,3.66883,42633.366743272
2011-03-31,3.66495,3.66495,2.92998,3.54577,18853.968109638
2011-04-01,4.24539,5.09051,4.12739,5.09051,51114.933941584
2011-04-04,5.43774,6.87909,5.43774,6.87909,23611.257403563
2011-04-05,8.18934,9.82089,7.53421,8.58901,100093.36674418
2011-04-06,9.28346,9.28346,7.86833,8.05833,46412.013668161
2011-04-07,8.05833,8.97556,7.86177,8.34656,25439.667426371
2011-04-08,8.32034,8.48412,7.70455,8.03867,6871.640091225
2011-04-11,7.70455,7.70455,6.48598,7.20665,19545.662870469
2011-04-12,7.0101,7.19354,6.55143,6.80698,3510.829157231
2011-04-13,6.80698,6.85942,6.36153,6.85942,1837.471526225
2011-04-14,6.68253,7.1411,6.55143,7.1411,1458.902050137
2011-04-15,6.87909,7.53421,6.87909,7.46866,2180.801822358
2011-04-18,7.20665,7.20665,6.81354,6.87254,4439.129840617
2011-04-19,6.81354,7.2001,6.68253,7.2001,3496.733485249
2011-04-20,7.19354,7.2001,6.87909,7.18699,2070.050113928
2011-04-21,7.16732,7.18699,6.55143,7.1411,3481.630979554
2011-04-26,7.1411,7.1411,6.55143,6.86598,2663.075170885
2011-04-27,6.4532,6.81354,6.28942,6.81354,766.200455593
2011-04-28,6.55143,6.94454,6.55143,6.86598,521.539863334
2011-04-29,6.87303,6.87303,6.22744,6.8631,1866.669703902
2011-05-02,6.82665,6.82665,6.55143,6.82009,160.086560367
2011-05-04,6.22387,6.78076,5.14295,5.14295,24380.478360295
2011-05-05,5.14295,5.22807,4.40917,5.22807,1167.92710708
2011-05-06,5.20185,5.20185,4.61884,5.20185,663.503416867
2011-05-09,4.5795,4.5795,3.67538,3.83261,16009.662870413
2011-05-10,3.82605,3.82605,3.34127,3.47227,3091.986332623
2011-05-11,3.34782,3.5706,3.21026,3.5706,4918.382688005
2011-05-12,3.56404,3.79328,3.22983,3.79328,2846.318906651
2011-05-13,3.78017,4.12739,3.78017,4.12739,1237.398633277
2011-05-16,4.12739,4.2585,4.06194,4.09472,2721.471526239
2011-05-17,3.93084,4.24539,3.83261,3.93084,1336.068337151
2011-05-18,3.93084,3.93084,3.60328,3.92438,920.246013682
2011-05-19,3.92438,3.92438,3.92438,3.92438,62.423690206
