Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-22,14,14.6,13,14.6,1692
2012-05-23,14,15,14,14.28,292
2012-05-24,14.1,14.99,14,14,458
2012-05-25,14.1,14.7,13.6,14,747
2012-05-28,14,14,13.4,13.4,30
2012-05-29,13.4,13.4,13.4,13.4,10
2012-06-05,13.6,13.6,13.5,13.5,200
2012-06-08,13.5,13.5,13,13.5,3714
2012-06-19,13.7,14.5,13.7,14.5,202
2012-06-21,14.5,14.5,14.5,14.5,15
2012-06-22,14.35,14.35,14.35,14.35,5
2012-06-26,14.1,14.1,13.5,13.6,4007
2012-07-03,13.5,13.5,13.04,13.44,86
2012-07-13,13.5,13.5,13.5,13.5,4805
2012-07-31,13.6,13.6,13.5,13.5,10
2012-08-08,13.5,13.5,13.5,13.5,11
2012-08-09,13.5,13.5,13.5,13.5,10
2012-08-10,13.5,13.5,13.5,13.5,10
2012-08-30,13.5,13.5,13.5,13.5,10
2012-08-31,13.49,13.5,13.49,13.5,10
2012-09-13,13.5,13.6,13.5,13.6,105004
2012-09-24,13.52,13.52,13.04,13.04,140
2012-10-10,13.13,13.13,13.13,13.13,10
2012-10-16,13,13,10.51,13,3915
2012-10-31,12.95,13,12.95,13,3505
2012-11-20,13.05,13.05,13.05,13.05,10
2012-12-10,13.13,13.13,13.13,13.13,5
2012-12-18,13.13,13.13,13,13,10
2013-01-02,13.15,13.15,13.15,13.15,300
2013-01-09,13.15,13.15,13.15,13.15,5
2013-01-22,13.15,13.15,13.15,13.15,2
2013-01-23,13.15,13.15,13.15,13.15,5
2013-01-24,13.15,13.15,13,13,20
2013-01-25,13,13,13,13,10
2013-01-28,13,13,13,13,40
2013-01-29,13,13,13,13,10
2013-01-30,13,13,13,13,10
2013-01-31,13,13,13,13,10
2013-02-01,13,13,13,13,10
2013-02-04,13,13,13,13,6
2013-02-05,13,13,13,13,1
2013-02-06,13,13,13,13,1
2013-02-07,13,13,13,13,1
2013-02-08,13,13,13,13,1
2013-02-11,13,13,13,13,1
2013-02-12,13,13,13,13,1
2013-02-13,13,13,13,13,1
2013-02-14,13,13,13,13,1
2013-02-15,13,13,13,13,1
2013-02-18,13,13,13,13,1
2013-02-19,12.8,12.8,12.8,12.8,20
2013-02-25,12.79,13,12.79,13,140
2013-02-26,13,13,13,13,1
2013-02-27,12.8,12.8,12.8,12.8,5
2013-02-28,12.5,12.5,12.49,12.5,140
2013-03-14,12.5,12.63,12.5,12.63,15
2013-03-20,12.7,12.9,12.7,12.9,20
2013-03-21,13,13,13,13,1
