Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-04-14,7.08132,7.29604,6.73274,6.74302,234111.6
2010-04-15,6.92594,6.95811,6.74302,6.74302,100356.56
2010-04-16,6.91019,6.91019,6.65264,6.83953,394.32
2010-04-19,6.65264,6.65264,6.23934,6.64708,634.94
2010-04-20,6.86708,6.89368,6.50208,6.81368,265956.12
2010-04-21,6.50208,6.81368,6.50208,6.81368,395.38
2010-04-22,6.75396,6.75962,6.75396,6.75396,1123.6
2010-04-23,6.49142,6.68009,6.49142,6.52321,2535.52
2010-04-26,6.75962,6.89368,6.55538,6.75962,2891.68
2010-04-27,6.65264,6.65264,6.56094,6.56094,932.8
2010-04-28,6.49142,6.49142,6.43774,6.49142,952.94
2010-04-29,6.8183,6.89368,6.54509,6.54509,805.6
2010-04-30,6.44274,6.83953,6.43774,6.83953,1186.14
2010-05-05,6.65264,6.65264,6.38425,6.38425,249449.8
2010-05-07,6.33632,6.38425,6.33009,6.33009,33359.26
2010-05-10,6.43774,6.43774,6.43774,6.43774,390.08
2010-05-11,6.44274,6.44274,6.24991,6.24991,20405
2010-05-12,6.49142,6.49142,6.43774,6.43774,887.22
2010-05-13,6.46991,6.46991,6.46991,6.46991,1889.98
2010-05-14,6.43774,6.59915,6.43774,6.59915,3404.72
2010-05-17,6.59915,6.59915,6.59915,6.59915,399.62
2010-05-18,6.59915,6.59915,6.59915,6.59915,5849.08
2010-05-20,6.58755,6.59368,6.17009,6.58755,1933.44
2010-05-25,5.97075,6.43774,5.97075,6.41075,608.44
2010-05-26,6.17009,6.35708,6.17009,6.35708,2547.18
2010-05-27,6.38425,6.43774,6.38425,6.43774,21191.52
2010-05-28,6.43774,6.46991,6.27642,6.46991,17022.54
2010-05-31,6.35708,6.44849,6.35708,6.44849,1570.92
2010-06-01,6.43774,6.43774,6.22349,6.28783,12730.6
2010-06-04,6.24991,6.28783,6.23358,6.28783,564.98
2010-06-07,6.23358,6.23358,6.23358,6.23358,348.74
2010-06-08,6.08934,6.23358,6.08934,6.23358,2156.04
2010-06-09,6.22349,6.23358,6.22349,6.23358,128.26
2010-06-10,6.11594,6.12642,6.11594,6.12642,77.38
2010-06-11,6.28783,6.28783,6.175,6.175,4631.14
2010-06-14,6.175,6.175,6.175,6.175,153.7
2010-06-15,6.04085,6.04085,6.04085,6.04085,184.44
2010-06-16,6.04085,6.17009,6.04085,6.17009,57016.34
2010-06-17,6.04085,6.08934,5.90689,5.90689,42828.24
2010-06-18,5.91208,5.96038,5.91208,5.96038,1714.02
2010-06-21,5.90113,5.90113,5.90113,5.90113,542.72
2010-06-23,5.57962,6.00868,5.57962,5.79415,19791.26
2010-06-24,5.74009,5.74594,5.74009,5.74594,97.52
2010-06-25,6.15868,6.17009,6.15868,6.16425,634.94
2010-06-28,6.17009,6.33009,5.95472,6.27642,7453.92
2010-06-29,6.34642,6.49142,6.22349,6.22349,4750.92
2010-06-30,6.06226,6.30368,6.06226,6.30368,275.6
2010-07-01,6.30368,6.30368,6.06226,6.30368,76.32
2010-07-02,6.30368,6.30368,6.30368,6.30368,467.46
2010-07-05,6.30368,6.43774,6.30368,6.43774,484.42
2010-07-06,6.41075,6.52868,6.08934,6.52868,2765.54
