Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-03-30,66.2,77.4,62.5,65.78,8066
2023-03-31,63,65,56,62.77,3502
2023-04-03,62.76,63.84,60.06,63.7,929
2023-04-04,63.84,67.42,63.5,67.42,759
2023-04-05,66.01,67.89,65.3,67.89,638
2023-04-06,67.86,81.43,67,74.9,1202
2023-04-11,75,84.4,75,79.79,1403
2023-04-12,79.79,79.79,70.8,75.9,1000
2023-04-13,74.6,74.6,68.2,72.34,1167
2023-04-14,65.03,66,60.6,63.98,2636
2023-04-17,64.9,66.96,59.24,60.54,4242
2023-04-18,61,63.9,54.75,63.9,3429
2023-04-19,65.47,65.47,58.52,58.55,596
2023-04-20,58.55,58.6,56.39,57,1130
2023-04-21,56.22,58,55.6,55.61,449
2023-04-24,57.8,59.8,53.1,58.94,830
2023-04-25,56.6,58.9,56.6,58.86,248
2023-04-26,58.6,58.6,56.7,58,197
2023-04-27,56.7,57.39,51.21,57.39,392
2023-04-28,57.18,57.39,54.42,57.39,222
2023-05-02,55.55,56.99,55.55,56.99,227
2023-05-04,58.24,58.24,57,58.2,37
2023-05-05,58.26,58.26,58.24,58.24,11
2023-05-08,58.28,58.28,56.27,58.26,137
2023-05-09,58.24,58.24,57.02,58.2,151
2023-05-10,57.11,58.19,57.03,58.19,77
2023-05-11,57.98,57.98,51.22,57,563
2023-05-12,55.47,56.99,54.3,56.47,484
2023-05-15,56.39,56.39,53.31,56.05,572
2023-05-16,55.9,55.9,53.66,55.9,140
2023-05-17,55.9,58.26,54.11,58.18,194
2023-05-18,54.01,58.1,54.01,58.1,46
2023-05-19,54.26,58.09,54.26,58.09,37
2023-05-22,54.52,57.98,54.3,57.98,171
2023-05-23,54.51,57.88,54.5,57.88,56
2023-05-24,54.02,57.99,52.5,57.99,502
2023-05-25,54.1,56.9,53.61,56.9,111
2023-05-26,54,57.94,54,57.94,64
2023-05-29,53.43,55.9,53.43,55.9,56
2023-05-30,55,55,53.01,54.99,52
2023-05-31,53.05,57.75,53.05,57.72,331
2023-06-01,56.8,56.8,53.22,56,83
2023-06-02,56,56,56,56,1
2023-06-05,55.99,65.45,55.99,64,386
2023-06-06,61.9,61.9,53.2,60,313
2023-06-12,55.6,57,55,57,41
2023-06-13,54.61,57,54.61,57,16
