Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-09-25,3.0771,6.8378,3.0771,5.4704,2593
1997-09-26,6.1539,8.2051,5.5386,6.3591,4436
1997-09-30,4.7865,4.9233,4.513,4.9233,659
1997-10-01,4.1711,4.1711,4.1027,4.1027,386
1997-10-02,3.5557,3.5557,3.0087,3.0087,610
1997-10-03,3.2138,3.2138,3.2138,3.2138,138
1997-10-06,3.1453,3.6924,3.1453,3.6924,447
1997-10-07,3.624,4.4445,3.4189,4.4445,1336
1997-10-09,3.8976,4.4445,3.8976,4.4445,264
1997-10-10,3.966,4.0344,3.966,4.0344,276
1997-10-13,3.7609,4.1711,3.7609,4.1711,1915
1997-10-14,4.1027,4.513,4.1027,4.2394,2008
1997-10-15,4.3762,4.3762,4.3762,4.3762,685
1997-10-16,4.3762,4.4445,4.3762,4.4445,1283
1997-10-17,4.7865,4.7865,4.6497,4.7523,1643
1997-10-20,4.8206,5.1283,4.2394,5.1283,3402
1997-10-21,4.3762,5.4018,4.3762,5.4018,2255
1997-10-22,4.6497,5.4362,4.6497,5.3335,1060
1997-10-23,5.3335,5.4018,5.06,5.4018,2109
1997-10-24,4.9917,5.4704,4.9917,5.4704,2822
1997-10-27,4.4788,4.718,3.8291,3.8976,1712
1997-10-28,4.1027,4.1711,4.1027,4.1027,731
1997-10-29,4.1027,4.1027,4.1027,4.1027,138
1997-11-03,3.8291,3.8291,3.8291,3.8291,293
1997-11-04,4.718,5.06,4.718,4.7865,1959
1997-11-05,4.7865,6.0171,4.7865,6.0171,6050
1997-11-06,5.4704,5.6753,5.1283,5.3335,3701
1997-11-07,5.1967,5.2652,5.1967,5.1967,2229
1997-11-12,5.1283,5.1283,4.9917,4.9917,1008
1997-11-13,4.7865,4.9233,4.7865,4.9233,543
1997-11-14,4.513,4.7865,4.4788,4.513,2913
1997-11-17,4.513,5.3335,4.513,5.1967,1367
1997-11-18,4.7865,5.3335,4.7865,5.3335,540
1997-11-19,4.7865,4.7865,4.5814,4.5814,709
1997-11-20,4.6497,4.9233,4.6497,4.9233,689
1997-11-21,4.547,4.7865,4.547,4.7865,891
1997-11-24,4.7865,4.7865,4.7865,4.7865,731
1997-11-27,4.4788,4.7865,4.4788,4.7865,641
1997-11-28,4.4788,4.4788,4.4788,4.4788,514
1997-12-01,4.7865,4.9233,4.4105,4.9233,3084
1997-12-02,4.4788,4.7523,4.3762,4.3762,922
1997-12-03,4.4788,4.5814,4.4788,4.5814,724
1997-12-04,4.4445,5.1283,4.4445,4.7865,3466
1997-12-05,4.8549,4.9917,4.7865,4.7865,3907
1997-12-08,4.7865,5.1283,4.7865,5.1283,589
1997-12-09,4.7865,4.7865,4.6497,4.7865,1413
1997-12-10,4.6497,4.7865,4.6497,4.6497,808
1997-12-11,4.6497,4.6497,4.6497,4.6497,688
1997-12-12,4.6838,4.9233,4.6838,4.7865,4030
1997-12-15,4.7865,4.7865,4.718,4.718,770
1997-12-16,4.7523,4.7865,4.7523,4.7523,1122
1997-12-17,4.7523,4.7865,4.7523,4.7865,1092
1997-12-18,4.889,4.889,4.889,4.889,1791
1997-12-19,4.7865,4.9233,4.718,4.7865,2534
1997-12-22,4.7865,4.7865,4.718,4.718,3932
1997-12-29,4.7865,4.8206,4.6497,4.6497,2182
1997-12-30,4.7865,4.7865,4.7865,4.7865,222
1997-12-31,4.7865,4.7865,4.7865,4.7865,73
1998-01-05,4.7865,4.7865,4.6497,4.6497,933
1998-01-06,4.7865,4.7865,4.6497,4.6497,1243
1998-01-07,4.5814,4.6497,4.513,4.513,779
1998-01-08,4.513,4.513,4.513,4.513,617
1998-01-09,4.6497,4.7865,4.6497,4.6497,379
1998-01-12,4.6497,4.6497,4.6497,4.6497,1168
1998-01-13,4.4445,4.7865,4.4445,4.7865,1904
1998-01-14,4.7865,4.9917,4.7865,4.9917,1833
1998-01-15,4.9917,5.3335,4.9917,5.3335,8376
1998-01-16,5.2652,5.4704,5.1967,5.4704,10204
1998-01-19,5.1967,5.607,5.1625,5.1625,8295
1998-01-20,5.0258,5.0258,4.9233,4.9233,1990
1998-01-21,4.9233,4.9233,4.3762,4.3762,585
1998-01-22,4.3078,5.2309,4.1711,5.2309,59365
1998-01-23,5.2652,5.4704,5.2652,5.2652,8717
1998-01-26,4.9233,5.778,4.9233,5.3335,1679
1998-01-27,4.9233,4.9917,4.3078,4.4445,6352
1998-01-28,4.513,4.5814,4.513,4.5814,439
1998-01-29,4.6497,4.6497,4.4445,4.4445,2194
1998-01-30,4.4445,4.4445,4.3762,4.3762,803
1998-02-02,4.342,4.4445,4.342,4.4445,867
1998-02-03,4.6497,4.9917,4.6497,4.7865,4531
1998-02-04,4.9233,4.9233,4.7865,4.7865,439
1998-02-05,4.7865,5.0258,4.7865,4.7865,1608
1998-02-06,4.6497,4.8549,4.6497,4.8549,8893
1998-02-09,4.8549,4.9917,4.8549,4.889,745
