Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-07-11,0.8679,1.0125,0.5786,0.7714,34087
2013-07-12,0.7714,0.8196,0.6171,0.6171,9204
2013-07-15,0.6075,0.6268,0.5979,0.6268,6121
2013-07-17,0.6268,0.6268,0.5979,0.5979,17
2013-07-18,0.5979,0.675,0.5496,0.675,4993
2013-07-19,0.6654,0.7618,0.6654,0.7618,2385
2013-07-23,0.7618,0.7618,0.675,0.675,2384
2013-07-30,0.6846,0.6846,0.6654,0.6654,415
2013-08-06,0.675,0.675,0.6364,0.6364,2748
2013-08-07,0.5979,0.5979,0.5786,0.5786,1400
2013-08-12,0.6075,0.6075,0.6075,0.6075,2489
2013-08-14,0.6075,0.6075,0.5882,0.5882,502
2013-08-16,0.6171,0.6557,0.6171,0.6557,539
2013-08-27,0.6557,0.6557,0.6557,0.6557,207
2013-08-29,0.6557,0.6557,0.6557,0.6557,104
2013-10-21,0.7136,0.7329,0.7039,0.7039,209
2013-10-22,0.6943,0.6943,0.6943,0.6943,52
2013-10-23,0.6943,0.6943,0.6943,0.6943,52
2013-11-26,0.7425,0.7425,0.7136,0.7136,2018
2013-12-06,0.7136,0.7136,0.6654,0.675,4770
2013-12-09,0.6846,0.7232,0.6846,0.7232,2593
2013-12-10,0.7136,0.7232,0.7136,0.7232,2593
2013-12-20,0.7232,0.7232,0.6268,0.6268,3111
2013-12-30,0.6268,0.6268,0.6268,0.6268,2479
2014-02-03,0.6268,0.6268,0.6268,0.6268,52
2014-03-20,0.6461,0.6461,0.6461,0.6461,104
2014-03-21,0.6461,0.6461,0.6461,0.6461,52
2014-03-24,0.6461,0.6461,0.6461,0.6461,31
2014-03-25,0.6461,0.6461,0.6461,0.6461,83
2014-03-26,0.6461,0.6461,0.6461,0.6461,104
2014-03-27,0.6461,0.6461,0.6461,0.6461,104
2014-03-28,0.6461,0.6461,0.6461,0.6461,104
2014-03-31,0.6461,0.6461,0.6461,0.6461,31
2014-04-03,0.6557,0.6557,0.6557,0.6557,81
2014-05-13,0.6654,0.6654,0.6654,0.6654,52
2014-05-14,0.6654,0.6654,0.6654,0.6654,31
2014-05-15,0.6654,0.6654,0.6654,0.6654,52
2014-05-16,0.6654,0.6654,0.6654,0.6654,31
2014-05-19,0.6654,0.6654,0.6654,0.6654,31
2014-05-20,0.6654,0.6654,0.6654,0.6654,83
2014-05-21,0.6654,0.6654,0.6654,0.6654,52
2014-05-22,0.6654,0.6654,0.6654,0.6654,52
2014-05-23,0.6654,0.6654,0.6654,0.6654,570
2014-05-26,0.6654,0.6654,0.6654,0.6654,560
