Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-30,30.27,30.27,26.906,26.906,15508
2011-05-31,26.897,26.897,22.87,24.456,5845
2011-06-01,24.12,26.618,24.12,24.792,1030
2011-06-02,24.168,24.984,24.168,24.984,620
2011-06-06,24.984,25.84,23.063,24.023,1238
2011-06-08,23.543,23.975,22.63,23.975,785
2011-06-13,22.678,22.678,22.678,22.678,4
2011-06-15,22.678,22.678,22.678,22.678,125
2011-06-16,22.294,22.294,21.621,21.621,104
2011-06-17,21.141,21.141,21.141,21.141,104
2011-06-20,20.66,20.66,20.66,20.66,52
2011-06-22,19.699,20.66,19.219,20.66,780
2011-06-24,20.66,20.66,20.66,20.66,104
2011-06-27,20.66,20.66,20.66,20.66,52
2011-06-29,20.756,22.102,20.756,22.102,889
2011-06-30,22.102,22.966,22.102,22.966,219
2011-07-04,22.678,22.678,22.102,22.678,208
2011-07-05,22.774,22.774,21.333,22.438,354
2011-07-07,22.39,22.39,22.39,22.39,1
2011-07-11,22.39,22.39,21.237,21.237,11
2011-07-12,22.39,22.39,22.39,22.39,1
2011-07-13,21.141,21.141,19.228,20.66,671
2011-07-15,20.18,20.18,19.219,20.18,182
2011-07-18,19.219,19.219,19.219,19.219,156
2011-07-19,22.39,22.39,22.39,22.39,1
2011-07-21,22.38,22.38,22.38,22.38,1
2011-07-22,22.38,22.38,22.38,22.38,1
2011-07-25,20.199,21.333,20.199,21.333,484
2011-07-27,20.18,20.612,19.219,20.612,338
2011-08-03,19.603,19.603,19.603,19.603,125
2011-08-04,19.603,19.603,18.258,18.258,208
2011-08-05,18.258,18.258,17.297,17.297,77
2011-08-08,17.297,17.489,16.336,17.489,567
2011-08-10,16.528,17.297,16.528,17.297,58
2011-08-16,18.162,18.162,18.162,18.162,73
2011-08-17,18.258,18.258,18.258,18.258,52
2011-08-18,18.258,18.258,16.816,18.258,537
2011-08-19,17.297,19.603,17.297,19.603,1301
2011-08-22,19.699,19.699,19.699,19.699,54
2011-08-23,20.18,20.18,19.699,19.699,140
2011-08-24,19.891,19.891,18.93,19.219,59
2011-08-29,18.738,19.219,18.738,19.219,73
2011-09-01,18.258,18.258,17.297,17.297,130
2011-09-15,18.642,18.642,18.642,18.642,1
2011-09-16,18.642,18.642,18.642,18.642,1
2011-09-23,18.258,18.258,18.258,18.258,3
2011-09-28,17.297,17.297,17.297,17.297,104
2011-09-30,17.777,17.777,17.777,17.777,31
2011-10-10,16.816,16.816,16.816,16.816,104
2011-10-11,16.72,16.816,16.72,16.816,120
2011-10-12,16.336,16.336,15.855,15.855,135
2011-11-15,17.777,17.777,17.777,17.777,10
2011-11-18,17.297,17.297,17.297,17.297,2
