Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-07-11,4.94229,5.72615,4.94229,5.5659,1988450.2924647
2007-07-12,5.61036,7.16881,5.5659,7.16881,684115.93569558
2007-07-13,7.74767,8.4601,7.12415,7.56944,702130.70177806
2007-07-16,7.40029,7.48052,6.43859,6.67897,319803.80118037
2007-07-17,6.41191,7.34704,6.11789,7.12415,105146.34503278
2007-07-18,7.34704,7.34704,6.86599,7.16881,53017.836259097
2007-07-19,7.30229,7.47163,6.77707,7.0708,101907.30994496
2007-07-20,7.07979,7.29349,6.94622,7.0708,29862.573100422
2007-07-23,7.09757,7.11536,6.77707,7.11536,62367.543861752
2007-07-24,6.8571,7.01745,6.67897,6.82153,39612.42690192
2007-07-25,6.7502,6.76798,6.34068,6.54559,34482.163743853
2007-07-26,6.50083,6.59005,6.36736,6.50083,54817.982457988
2007-07-27,6.24257,6.59005,6.05565,6.41191,29993.567252473
2007-07-30,6.41191,6.63451,6.41191,6.59005,16166.520468381
2007-07-31,6.67897,7.12415,6.62552,6.94622,13188.450292842
2007-08-01,6.93723,6.94622,6.45637,6.91944,20464.766082561
2007-08-02,6.94622,7.03523,6.77707,7.03523,6174.1228072257
2007-08-03,7.03523,7.03523,6.92833,7.03523,9500.1461991507
2007-08-06,7.03523,7.12415,6.83033,7.03523,25660.526316655
2007-08-07,6.8571,7.25783,6.8571,7.12415,44642.397662324
2007-08-08,7.12415,7.16881,7.08868,7.08868,9388.5964915446
2007-08-09,7.07979,7.21327,7.07979,7.21327,14385.818713935
2007-08-10,7.09757,7.12415,6.60773,6.95511,27398.245614959
2007-08-13,6.60773,7.12415,6.60773,7.12415,17753.801170189
2007-08-14,6.94622,7.21327,6.77707,7.12415,15348.830409874
2007-08-16,6.81264,6.8571,6.29612,6.57217,108083.47953581
2007-08-17,6.34947,6.94622,6.34947,6.67897,11605.263158286
2007-08-20,6.67897,6.94622,6.67897,6.76798,4827.3391814493
2007-08-21,6.46527,6.75909,6.46527,6.72352,45736.403510314
2007-08-22,6.67897,6.94622,6.67897,6.93723,19204.970760881
2007-08-23,7.99713,8.01482,7.12415,7.12415,15038.742690565
