Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-25,1.12,1.34,1.05,1.1,361018
2011-07-26,1.05,1.1,0.85,0.88,131618
2011-07-27,0.88,0.95,0.8,0.89,91512
2011-07-28,0.89,0.89,0.77,0.81,55658
2011-07-29,0.84,0.84,0.77,0.84,32890
2011-08-01,0.79,0.84,0.78,0.79,19795
2011-08-02,0.84,0.84,0.76,0.79,8403
2011-08-03,0.8,0.8,0.73,0.76,2845
2011-08-04,0.72,0.72,0.65,0.65,22255
2011-08-05,0.65,0.65,0.54,0.57,24800
2011-08-08,0.71,0.71,0.57,0.57,56731
2011-08-09,0.55,0.58,0.55,0.57,6598
2011-08-10,0.57,0.57,0.53,0.56,1291
2011-08-11,0.53,0.53,0.48,0.51,17911
2011-08-12,0.52,0.55,0.51,0.54,11697
2011-08-16,0.54,0.63,0.5,0.63,20928
2011-08-17,0.52,0.8,0.51,0.8,312591
2011-08-18,0.75,0.75,0.52,0.57,199994
2011-08-19,0.58,0.58,0.5,0.53,78549
2011-08-22,0.53,0.55,0.5,0.5,30489
2011-08-23,0.51,0.51,0.45,0.49,44181
2011-08-24,0.49,0.49,0.45,0.46,12121
2011-08-25,0.45,0.49,0.43,0.45,26169
2011-08-26,0.45,0.45,0.42,0.44,4991
2011-08-29,0.45,0.45,0.41,0.44,6544
2011-08-30,0.43,0.45,0.42,0.45,3002
2011-08-31,0.42,0.45,0.42,0.44,8488
2011-09-01,0.43,0.45,0.42,0.45,2598
2011-09-02,0.43,0.45,0.43,0.45,11722
2011-09-05,0.44,0.44,0.44,0.44,150
2011-09-06,0.44,0.44,0.44,0.44,644
2011-09-07,0.4,0.45,0.4,0.45,3407
2011-09-09,0.41,0.42,0.38,0.42,25610
2011-09-12,0.37,0.39,0.34,0.35,18259
2011-09-13,0.35,0.36,0.35,0.36,1760
2011-09-14,0.35,0.4,0.35,0.38,11036
2011-09-15,0.38,0.39,0.38,0.39,3100
2011-09-16,0.39,0.44,0.37,0.4,26121
2011-09-19,0.41,0.41,0.41,0.41,1088
2011-09-20,0.4,0.41,0.34,0.35,38459
2011-09-21,0.35,0.36,0.34,0.36,21591
2011-09-22,0.36,0.36,0.32,0.36,11782
2011-09-23,0.32,0.34,0.32,0.34,17236
2011-09-26,0.35,0.36,0.35,0.36,796
2011-09-28,0.34,0.36,0.34,0.34,239
2011-09-29,0.32,0.36,0.32,0.36,5799
2011-09-30,0.36,0.36,0.32,0.36,10682
2011-10-03,0.33,0.37,0.32,0.36,15571
2011-10-06,0.33,0.35,0.3,0.31,26208
2011-10-07,0.31,0.34,0.31,0.34,5689
2011-10-11,0.3,0.31,0.29,0.31,14500
2011-10-12,0.31,0.34,0.31,0.33,17680
2011-10-13,0.3,0.32,0.29,0.32,29320
2011-10-14,0.29,0.32,0.28,0.32,14800
2011-10-17,0.29,0.29,0.28,0.28,7102
2011-10-18,0.29,0.29,0.28,0.28,5000
2011-10-19,0.29,0.29,0.29,0.29,2500
2011-10-20,0.28,0.28,0.28,0.28,2197
2011-10-21,0.31,0.31,0.31,0.31,80
2011-10-25,0.31,0.31,0.31,0.31,200
2011-10-26,0.31,0.31,0.31,0.31,250
2011-10-27,0.31,0.31,0.31,0.31,7970
2011-10-28,0.3,0.34,0.3,0.34,6800
2011-10-31,0.34,0.35,0.34,0.35,1803
2011-11-03,0.35,0.35,0.35,0.35,577
2011-11-04,0.3,0.35,0.3,0.35,1093
