Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-07-10,1.39305,1.76517,1.39305,1.7174,17422.584270418
2013-07-11,1.7174,1.73649,1.67923,1.727,5237.1910114629
2013-07-12,1.7174,1.7174,1.7174,1.7174,314.4943820361
2013-07-15,1.7174,1.7174,1.55523,1.55523,20136.741573906
2013-07-16,1.66964,1.70791,1.5934,1.66015,4564.7191013214
2013-07-17,1.66015,1.66964,1.5934,1.66015,4413.0337080564
2013-07-18,1.66015,1.66015,1.53614,1.61248,7506.4044947073
2013-07-19,1.61248,1.61248,1.52655,1.60299,8869.5505621821
2013-07-22,1.60299,1.61248,1.49797,1.61248,14624.494382656
2013-07-23,1.61248,1.61248,1.46929,1.57431,4999.5505620144
2013-07-24,1.57431,1.57431,1.4598,1.57431,14210.89887702
2013-07-25,1.57431,1.65055,1.57431,1.65055,7577.1910115643
2013-07-26,1.64106,1.64106,1.64106,1.64106,1141.6853933079
2013-07-29,1.63147,1.63147,1.5839,1.63147,1544.1573034377
2013-07-30,1.63147,1.63147,1.5839,1.5839,891.9101123982
2013-07-31,1.63147,1.63147,1.54563,1.61248,5631.5730339519
2013-08-01,1.61248,1.61248,1.52655,1.5934,9722.0224723314
2013-08-02,1.61248,1.61248,1.61248,1.61248,5.0561797755
2013-08-05,1.61248,1.61248,1.5839,1.5839,4758.8764047006
2013-08-06,1.5934,1.5934,1.5934,1.5934,5.0561797755
2013-08-07,1.5934,1.5934,1.5934,1.5934,1.0112359551
2013-08-08,1.61248,1.61248,1.51705,1.56472,6983.5955059206
2013-08-09,1.56472,1.56472,1.56472,1.56472,1.0112359551
2013-08-12,1.55523,1.55523,1.55523,1.55523,696.7415730639
2013-08-13,1.5934,1.62198,1.52655,1.62198,8181.9101127141
2013-08-14,1.65055,1.66964,1.63147,1.66964,8561.1235958766
2013-08-16,1.66964,1.7174,1.66964,1.7174,2624.1573034845
2013-08-19,1.76517,1.76517,1.727,1.75557,5728.6516856415
2013-08-20,1.75557,1.75557,1.74608,1.75557,5824.719101376
2013-08-21,1.75557,1.75557,1.75557,1.75557,209.3258427057
2013-08-22,1.75557,1.75557,1.67923,1.74608,9435.8426970381
2013-08-23,1.75557,1.75557,1.75557,1.75557,106.1797752855
2013-08-26,1.75557,1.75557,1.75557,1.75557,1.0112359551
2013-08-27,1.75557,1.75557,1.75557,1.75557,4.0449438204
2013-08-28,1.75557,1.75557,1.7174,1.7174,2629.21348326
2013-08-29,1.75557,1.75557,1.7174,1.7174,3450.3370788012
2013-08-30,1.7174,1.7174,1.7174,1.7174,10.112359551
2013-09-02,1.7174,1.7174,1.7174,1.7174,23.2584269673
2013-09-03,1.7174,1.7174,1.66964,1.66964,808.98876408
2013-09-04,1.7174,1.74608,1.7174,1.74608,37.4157303387
2013-09-05,1.73649,1.73649,1.73649,1.73649,5.0561797755
2013-09-06,1.73649,1.73649,1.65055,1.70791,1112.35955061
2013-09-09,1.70791,1.70791,1.70791,1.70791,5.0561797755
2013-09-10,1.66964,1.78415,1.66964,1.78415,24251.460675208
2013-09-11,1.79375,1.79375,1.77456,1.79375,11123.5955061
2013-09-12,1.80324,1.80324,1.73649,1.73649,1524.9438202908
2013-09-13,1.73649,1.73649,1.73649,1.73649,628.9887640722
2013-09-16,1.73649,1.851,1.73649,1.851,26249.662922486
2013-09-17,1.8605,2.1181,1.8605,2.06094,107337.64045409
2013-09-18,2.06094,2.06094,1.91785,2.02277,366046.17979114
2013-09-19,2.02277,2.03227,1.9845,2.02277,3844.7191012902
2013-09-20,2.02277,2.14678,2.02277,2.14678,42968.426968154
2013-09-23,2.22312,2.22312,2.09902,2.1181,32755.955057599
2013-09-24,2.23271,2.23271,2.08942,2.1181,14782.247191652
2013-09-25,2.14678,2.14678,2.06094,2.14678,20441.123596391
2013-09-26,2.14678,2.14678,2.06094,2.14678,31335.168540684
2013-09-27,2.14678,2.14678,1.99409,2.01318,21976.179776233
2013-09-30,2.01318,2.01318,1.94633,2.01318,11654.494382528
2013-10-01,2.01318,2.01318,1.97501,2.01318,3892.2471911799
2013-10-02,2.01318,2.01318,1.91785,2.01318,8919.101123982
2013-10-03,2.01318,2.01318,2.01318,2.01318,2.0224719102
2013-10-04,2.01318,2.01318,2.01318,2.01318,5.0561797755
2013-10-07,1.93684,1.95592,1.93684,1.95592,5555.7303373194
2013-10-08,1.95592,1.95592,1.93684,1.95592,1005.1685393694
2013-10-09,1.94633,1.94633,1.87958,1.94633,14355.5056186
2013-10-10,1.94633,1.94633,1.94633,1.94633,18090.000000784
2013-10-11,1.90826,1.90826,1.87958,1.90826,32824.719102546
2013-10-14,1.93684,1.93684,1.88917,1.93684,2602.9213484274
2013-10-15,1.93684,1.93684,1.93684,1.93684,4726.5168541374
2013-10-16,1.93684,2.04186,1.91785,2.00369,40936.853934358
