Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-24,8.5,8.5,4.3,4.45,42871
2022-06-27,4.82,5.65,4.36,5.44,4982
2022-06-28,5.78,6.48,5.55,6.1,3864
2022-06-29,6.76,7,6,6.29,2682
2022-06-30,6.78,6.78,5.701,6.65,1245
2022-07-01,6.729,6.92,6.35,6.87,1310
2022-07-04,6.85,6.85,5.9,6.799,2466
2022-07-05,6.1,6.8,6.1,6.8,1606
2022-07-06,6.52,6.8,6.1,6.8,445
2022-07-07,6.15,6.8,6.15,6.8,311
2022-07-08,6.8,6.8,6.3,6.3,392
2022-07-11,6.6,6.65,6.6,6.65,30
2022-07-12,6.65,6.75,6.65,6.75,72
2022-07-13,6.77,6.77,6.1,6.5,562
2022-07-14,6.05,6.4,5.4,6.3,2453
2022-07-15,6,6.18,5.251,6.1,622
2022-07-19,5.6,6,5.22,6,520
2022-07-20,5.48,6.1,5.2,6,815
2022-07-21,5.85,6.1,5.5,6,765
2022-07-26,5.7,5.95,4.601,5.35,739
2022-07-27,5.35,5.35,5.35,5.35,60
2022-07-28,5.3,5.3,5.3,5.3,2
2022-07-29,5.3,5.3,4.7,5.28,1084
2022-08-01,4.8,5.28,4.65,5.02,2618
2022-08-02,5,5.2,4.3,4.9,26853
2022-08-03,4.88,4.88,4.4,4.72,2180
2022-08-04,4.45,4.85,4.3,4.5,5556
2022-08-05,4.55,4.6,4.55,4.6,100
2022-08-08,4.5,4.8,4.5,4.8,337
2022-08-09,4.78,4.78,4.5,4.75,389
2022-08-10,4.53,4.75,4.2,4.75,620
2022-08-11,4.75,4.79,4.75,4.79,34
2022-08-12,4.79,4.79,4.79,4.79,10
2022-08-17,4.79,4.79,4.6,4.6,525
2022-08-18,4.32,4.56,4.32,4.56,1105
2022-08-22,4.8,4.8,4.02,4.33,1004
2022-08-23,4.1,4.79,4.1,4.4,970
2022-08-24,4.3,4.55,4.3,4.55,390
2022-08-25,4.55,4.55,4.2,4.5,530
2022-08-29,4.08,4.45,4.08,4.45,353
2022-08-30,4.3,4.35,4.1,4.35,215
2022-09-02,4.35,4.45,4.35,4.45,330
2022-09-05,4.45,4.45,4.45,4.45,50
2022-09-07,4.45,4.45,4.45,4.45,3
2022-09-09,4.45,4.45,4.45,4.45,3
2022-09-12,4.44,4.44,4.22,4.44,498
2022-09-13,4.4,4.4,4.4,4.4,3
2022-09-14,4.4,4.4,4.4,4.4,3
2022-09-15,4.38,4.38,4.38,4.38,3
2022-09-16,4.36,4.36,4.36,4.36,3
2022-09-19,4.24,4.45,4.24,4.44,288
2022-09-20,4.45,4.45,4.45,4.45,10
2022-09-21,4.43,4.43,4.43,4.43,3
2022-09-22,4.43,4.43,4.43,4.43,3
2022-09-23,4.24,4.42,4.16,4.38,450
2022-09-27,4.42,4.45,4.42,4.45,90
2022-09-28,4.44,4.44,4.44,4.44,50
2022-09-29,4.4,4.4,4.4,4.4,3
2022-09-30,4.39,4.39,4.39,4.39,3
2022-10-03,4.38,4.38,4.38,4.38,100
2022-10-04,4.4,4.4,4.4,4.4,103
2022-10-05,4.39,4.39,4.39,4.39,3
2022-10-06,4.37,4.37,4.37,4.37,3
2022-10-07,4.4,4.44,4.39,4.44,228
2022-10-10,4.45,4.45,4.45,4.45,3
2022-10-11,4.44,4.62,4.44,4.62,330
2022-10-14,4.58,4.8,4.58,4.8,451
2022-10-17,4.8,4.8,4.5,4.76,55
2022-10-18,4.76,4.76,4.76,4.76,3
2022-10-19,4.7,4.7,4.7,4.7,3
2022-10-20,4.7,4.84,4.7,4.83,878
2022-10-21,4.82,4.82,4.82,4.82,3
2022-10-25,4.6,4.6,4.6,4.6,30
2022-10-26,4.6,4.6,4.6,4.6,3
2022-10-27,4.6,4.6,4.6,4.6,3
2022-10-28,4.5,4.6,4.5,4.6,60
2022-10-31,4.6,4.6,4.6,4.6,2
2022-11-02,4.6,4.6,4.6,4.6,3
2022-11-03,4.58,4.58,4.58,4.58,3
2022-11-04,4.6,4.6,4.6,4.6,3
2022-11-07,4.6,4.6,4.42,4.42,20003
2022-11-08,4.58,4.58,4.58,4.58,30
2022-11-09,4.6,4.6,4.6,4.6,3
2022-11-10,4.6,4.6,4.6,4.6,3
2022-11-14,4.7,4.7,4.7,4.7,400
2022-11-18,4.65,4.65,4.65,4.65,20
2022-11-21,4.6,4.6,4.6,4.6,3
2022-11-22,4.6,4.6,4.6,4.6,3
2022-11-23,4.6,4.6,4.5,4.5,135
2022-11-25,4.46,4.65,4.46,4.65,923
2022-11-28,4.65,4.65,4.65,4.65,710
2022-11-29,4.7,4.7,4.7,4.7,3
2022-11-30,4.68,4.82,4.61,4.82,10702
2022-12-01,4.84,4.9,4.4,4.75,13430
2022-12-02,4.8,4.8,4.5,4.72,540
2022-12-05,4.75,4.75,4.75,4.75,50
2022-12-06,4.75,4.75,4.75,4.75,3
2022-12-07,4.75,5,4.75,5,3516
2022-12-08,5,5.28,5,5,1037
2022-12-09,5.24,6.28,5.2,6.16,4331
2022-12-12,6.36,6.36,5.3,6,695
2022-12-13,5.5,6,4.94,5,2072
2022-12-14,5,5.14,4.98,5.14,805
2022-12-15,5.12,5.3,5.12,5.3,90
2022-12-16,5.24,5.24,5.02,5.02,235
2022-12-19,5.28,5.28,5.26,5.28,220
2022-12-20,5.28,5.28,5.28,5.28,2
2022-12-21,5.28,5.28,5.26,5.28,42
