Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-11-08,136.908,136.908,126.442,133.719,203.8521739139
2017-11-09,133.671,133.719,124.442,133.719,42.4260869567
2017-11-10,133.719,133.719,133.719,133.719,58.9826086959
2017-11-13,133.719,133.719,133.719,133.719,56.9130434785
2017-11-14,133.719,133.719,133.719,133.719,109.6869565222
2017-11-15,133.719,133.719,133.719,133.719,99.3391304352
2017-11-16,133.719,133.719,133.719,133.719,77.6086956525
2017-11-17,133.719,133.719,133.719,133.719,87.9565217395
2017-11-21,124.442,133.265,124.442,133.265,19.6608695653
2017-11-22,124.442,124.442,124.442,124.442,19.6608695653
2017-11-23,124.442,124.442,124.442,124.442,11.3826086957
2017-11-24,124.442,124.442,124.442,124.442,11.3826086957
2017-11-27,115.85,124.442,115.85,124.442,20.695652174
2017-12-05,124.442,124.442,124.442,124.442,24.8347826088
2017-12-13,124.442,124.442,124.442,124.442,357.0000000015
2017-12-20,115.85,122.625,114.256,122.625,18.6260869566
2017-12-21,113.715,113.715,100.06,100.06,33.1130434784
2017-12-22,100.06,106.979,100.06,106.979,1099.9739130481
2017-12-27,106.979,106.979,106.979,106.979,1099.9739130481
2017-12-29,106.979,106.979,106.979,106.979,219.3739130444
2018-01-03,104.157,104.157,104.157,104.157,9.3130434783
2018-01-05,106.863,121.89,106.863,121.89,38.2869565219
2018-01-09,121.871,121.871,121.871,121.871,1.0347826087
2018-01-10,121.871,133.719,121.871,133.719,109.6869565222
2018-01-11,141.914,141.914,141.914,141.914,1.0347826087
2018-01-12,132.811,132.811,132.811,132.811,8.2782608696
2018-01-15,141.73,141.73,123.717,123.717,24.8347826088
2018-01-17,120.083,120.083,112.797,112.797,17.5913043479
2018-01-18,105.52,105.52,100.978,100.978,63.1217391307
2018-01-19,102.611,112.797,102.611,112.797,44.4956521741
2018-01-22,109.153,109.153,109.153,109.153,9.3130434783
2018-01-29,112.797,112.797,112.797,112.797,66.2260869568
2018-02-01,109.153,109.153,109.153,109.153,9.3130434783
2018-02-02,106.428,106.428,106.428,106.428,9.3130434783
2018-02-05,100.06,100.06,100.06,100.06,11.3826086957
2018-02-07,100.06,100.06,100.06,100.06,11.3826086957
2018-02-08,100.06,100.06,95.5157,95.5157,230.7565217401
2018-02-09,95.5157,95.5157,95.5157,95.5157,25.8695652175
2018-02-13,97.3345,97.3345,97.3345,97.3345,74.5043478264
2018-02-15,97.3345,97.3345,97.3345,97.3345,187.2956521747
2018-02-20,94.6044,94.6044,94.6044,94.6044,11.3826086957
2018-02-26,94.6044,94.6044,94.6044,94.6044,11.3826086957
2018-02-28,95.5157,95.5157,95.5157,95.5157,21.7304347827
2018-03-01,93.6931,93.6931,93.6931,93.6931,21.7304347827
2018-03-02,93.6931,93.6931,93.6931,93.6931,21.7304347827
2018-03-05,93.6931,93.6931,93.6931,93.6931,21.7304347827
2018-03-06,93.6931,93.6931,93.6931,93.6931,21.7304347827
2018-03-07,93.6931,94.6044,93.6931,94.6044,21.7304347827
2018-03-08,95.5157,95.5157,95.5157,95.5157,21.7304347827
2018-03-09,95.5157,95.5157,95.5157,95.5157,21.7304347827
2018-03-12,95.5157,102.795,95.5157,102.795,43.4608695654
2018-03-13,97.3345,104.611,92.7828,104.611,121.0695652179
2018-03-14,97.3345,104.611,97.3345,104.611,43.4608695654
2018-03-15,104.611,108.255,104.611,108.255,43.4608695654
2018-03-16,100.06,105.52,98.2429,104.611,77.6086956525
2018-03-19,95.5157,104.611,95.5157,104.611,55.8782608698
2018-03-20,100.06,104.611,97.3345,104.611,66.2260869568
2018-03-21,98.2429,101.886,98.2429,101.886,21.7304347827
2018-03-22,101.886,101.886,97.3345,97.3345,33.1130434784
2018-03-23,94.6044,101.886,90.966,101.886,22.7652173914
2018-03-26,93.6931,93.6931,93.6931,93.6931,11.3826086957
2018-03-27,97.3345,99.1513,97.3345,99.1513,87.9565217395
2018-03-28,93.6931,100.06,88.2379,94.6044,154.1826086963
2018-03-29,94.6044,94.6044,90.0576,94.6044,121.0695652179
2018-04-03,93.6931,95.5157,93.6931,95.5157,121.0695652179
2018-04-04,95.5157,101.886,95.5157,101.886,109.6869565222
2018-04-05,101.886,132.811,101.886,132.811,52.7739130437
2018-04-06,123.717,132.811,122.808,132.811,64.1565217394
2018-04-09,132.811,133.719,132.811,133.719,21.7304347827
2018-04-16,133.719,133.719,133.719,133.719,7.2434782609
2018-04-18,132.811,132.811,132.811,132.811,172.8086956529
2018-04-19,133.719,133.719,133.719,133.719,7.2434782609
2018-05-02,131.902,131.902,131.902,131.902,7.2434782609
2018-05-22,122.808,122.808,122.808,122.808,8.2782608696
2018-05-23,122.808,122.808,122.808,122.808,8.2782608696
2018-05-24,129.177,129.177,125.534,125.534,17.5913043479
2018-05-25,131.902,131.902,131.902,131.902,7.2434782609
2018-05-28,125.534,125.534,125.534,125.534,28.9739130436
2018-06-07,125.534,125.534,125.534,125.534,1.0347826087
2018-06-12,134.627,134.627,134.627,134.627,7.2434782609
2018-07-12,134.627,134.627,134.627,134.627,742.9739130466
2018-11-09,130.085,133.719,130.085,133.719,7.2434782609
2018-12-17,135.545,161.918,135.545,161.918,8.2782608696
2018-12-18,192.842,231.063,165.552,191.035,35.1826086958
2018-12-19,191.035,191.035,191.035,191.035,5.1739130435
2018-12-21,180.115,180.115,180.115,180.115,3.1043478261
2018-12-27,180.115,180.115,180.115,180.115,1.0347826087
2019-01-11,192.842,231.063,192.842,231.063,6.2086956522
2019-01-14,276.541,331.123,276.541,291.095,12.4173913044
2019-01-15,292.912,327.479,292.912,327.479,7.2434782609
2019-01-18,311.099,311.099,311.099,311.099,3.1043478261
2019-02-13,312.926,374.784,312.926,374.784,5.1739130435
2019-02-14,449.379,536.702,449.379,536.702,14.4869565218
2019-02-15,641.313,768.664,641.313,768.664,8.2782608696
2019-02-18,773.216,927.857,773.216,927.857,3.1043478261
2019-02-19,955.147,1146.18,955.147,1146.18,4.1391304348
2019-02-20,1146.18,1373.59,1146.18,1373.59,8.2782608696
2019-02-21,1182.57,1182.57,1100.69,1100.69,2.0695652174
2019-02-22,1055.21,1055.21,1055.21,1055.21,1.0347826087
2019-03-04,850.536,850.536,850.536,850.536,1.0347826087
2019-04-08,686.801,686.801,686.801,686.801,2.0695652174
2019-04-09,550.357,550.357,550.357,550.357,2.0695652174
2019-04-10,454.839,454.839,454.839,454.839,2.0695652174
2019-04-11,363.864,363.864,363.864,363.864,3.1043478261
2019-04-25,325.663,325.663,325.663,325.663,1.0347826087
2019-05-24,325.663,325.663,325.663,325.663,3.1043478261
2019-05-30,289.268,325.663,289.268,325.663,4.1391304348
2019-06-11,303.832,323.836,303.832,323.836,4.1391304348
2019-07-15,323.836,323.836,292.912,323.836,4.1391304348
2019-07-31,325.663,389.338,325.663,389.338,7.2434782609
2019-08-01,463.933,554.899,463.933,554.899,5.1739130435
2019-08-02,659.511,791.403,654.959,791.403,13.4521739131
2019-08-05,791.403,791.403,695.895,695.895,5.1739130435
2019-08-06,650.417,650.417,650.417,650.417,1.0347826087
2019-08-13,609.481,609.481,600.387,600.387,4.1391304348
2019-08-14,573.087,573.087,573.087,573.087,1.0347826087
2019-09-09,454.839,454.839,454.839,454.839,2.0695652174
2019-09-24,363.864,363.864,291.095,291.095,6.2086956522
2019-09-25,232.87,232.87,232.87,232.87,6.2086956522
2019-09-26,187.382,187.382,187.382,187.382,2.0695652174
2019-09-27,187.382,187.382,187.382,187.382,2.0695652174
2019-10-02,181.932,187.382,181.932,187.382,16.5565217392
2019-10-04,163.745,187.382,163.745,187.382,8.2782608696
2019-10-11,165.552,187.382,163.745,163.745,18.6260869566
2019-10-17,163.745,196.486,163.745,196.486,13.4521739131
2019-10-18,181.932,181.932,181.932,181.932,11.3826086957
2019-10-21,181.932,181.932,181.024,181.024,19.6608695653
2019-10-25,171.012,181.932,171.012,181.932,4.1391304348
2019-11-13,181.932,181.932,171.012,181.932,22.7652173914
2019-11-14,171.012,171.012,171.012,171.012,6.2086956522
2019-11-15,171.012,171.012,171.012,171.012,2.0695652174
2019-11-21,165.552,165.552,165.552,165.552,2.0695652174
2019-11-28,165.552,181.932,165.552,181.932,30.0086956523
2019-11-29,165.552,171.012,165.552,171.012,17.5913043479
2019-12-02,165.552,165.552,165.552,165.552,1.0347826087
2019-12-09,159.193,159.193,159.193,159.193,3.1043478261
2019-12-23,163.745,165.552,163.745,165.552,17.5913043479
2019-12-30,162.836,165.552,162.836,165.552,7.2434782609
2020-01-02,159.193,159.193,159.193,159.193,6.2086956522
2020-01-03,152.824,165.552,152.824,165.552,7.2434782609
2020-01-09,148.273,148.273,148.273,148.273,7.2434782609
2020-01-13,153.733,165.552,152.824,152.824,16.5565217392
2020-01-15,149.181,149.181,149.181,149.181,3.1043478261
2020-01-16,153.733,164.653,153.733,163.745,9.3130434783
2020-01-17,152.824,154.641,152.824,154.641,16.5565217392
2020-02-24,162.836,162.836,136.454,136.454,7.2434782609
2020-02-25,162.836,162.836,162.836,162.836,6.2086956522
2020-02-26,171.012,203.772,171.012,203.772,15.5217391305
2020-02-27,227.41,272.898,227.41,272.898,25.8695652175
2020-02-28,327.479,363.864,318.386,318.386,11.3826086957
2020-03-02,300.189,318.386,300.189,318.386,11.3826086957
2020-04-01,181.932,181.932,145.547,176.472,17.5913043479
2020-04-02,142.813,158.284,109.153,137.353,42.4260869567
2020-04-06,158.284,158.284,158.284,158.284,1.0347826087
2020-04-17,126.442,136.454,105.52,136.454,15.5217391305
2020-04-20,137.353,137.353,137.353,137.353,3.1043478261
2020-04-29,133.719,133.719,133.719,133.719,1.0347826087
2020-05-06,133.719,133.719,133.719,133.719,6.2086956522
