Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-03-17,16.6,16.98,12.5,13.55,831848
2021-03-18,14.1,15.6,14,15.17,397656
2021-03-19,15.3,20.6,15.1,19.69,915539
2021-03-22,20.6,23.9,18.36,19.02,688829
2021-03-23,20,21.6,18.59,19,248344
2021-03-24,19,19,17.02,17.5,139949
2021-03-25,17.748,19.4,16.2,17,308540
2021-03-26,17.11,17.448,16.8,17.08,56772
2021-03-29,17.08,17.89,16.22,16.602,90740
2021-03-30,16.9,16.92,16.1,16.1,46638
2021-03-31,16.198,17.1,15.522,15.86,108910
2021-04-01,16,16.002,13.81,14.65,125643
2021-04-06,14.652,16.74,14.65,16.398,80810
2021-04-07,16.686,16.74,15.5,16.4,39193
2021-04-08,16.498,16.498,15.65,16.1,21403
2021-04-09,16.378,18.1,15.6,17.598,132973
2021-04-12,17.778,17.778,16.502,16.96,56784
2021-04-13,16.96,17.2,16.14,16.14,25465
2021-04-14,15.802,16.798,15.71,15.8,36288
2021-04-15,16.188,16.188,15.52,15.7,15419
2021-04-16,15.7,16,15.13,16,17589
2021-04-19,16,16,15.1,15.1,24945
2021-04-20,15.18,15.18,14.32,14.9,27321
2021-04-21,14.99,14.99,14.15,14.3,32063
2021-04-22,14.3,14.968,13.95,14.28,69919
2021-04-23,14.2,14.3,13.22,13.47,67728
2021-04-26,13.11,13.7,13.11,13.3,27069
2021-04-27,13.4,13.6,13.3,13.5,15520
2021-04-28,13.51,13.51,12.78,12.9,43696
2021-04-29,12.89,14,12.602,13.6,62132
2021-04-30,13.5,14.418,13.14,13.2,63676
2021-05-04,13.95,13.95,12.92,13.15,15847
2021-05-05,13.15,13.15,12.52,12.85,14108
2021-05-06,12.85,12.85,12.16,12.3,32963
2021-05-07,12.3,13,12.01,12.56,36817
2021-05-10,12.98,14.2,12.51,13.92,40430
2021-05-11,13.99,14.62,13.65,14,17686
2021-05-12,13.41,14,13.06,13.1,21785
2021-05-13,13.56,13.56,12.7,13.19,16577
2021-05-14,13.4,13.4,12.61,12.8,16553
2021-05-17,13,15.58,12.98,15.55,135884
2021-05-18,15.98,16,14.32,15.6,107470
2021-05-19,15.8,15.97,14.4,14.4,36566
2021-05-20,14.6,15,14.12,14.698,8332
2021-05-21,14.7,14.7,14.3,14.58,8721
2021-05-24,14.3,14.68,13.64,14.08,16270
2021-05-25,14,14.566,13.65,13.7,10988
2021-05-26,13.96,13.96,13.2,13.95,14550
2021-05-27,14,14.66,13.6,14.488,13067
2021-05-28,14.38,14.4,13.772,14.25,13118
2021-05-31,14.01,14.298,13.9,14.09,6377
2021-06-01,14.1,14.23,13.92,14,4805
2021-06-02,14,14.1,13.82,14.05,6284
2021-06-04,13.97,14,13.63,14,7106
2021-06-07,14,14,13.5,13.99,8857
2021-06-08,14.1,14.1,13.71,13.98,8927
2021-06-09,13.97,14.1,13.8,14,6706
2021-06-10,14.16,14.16,13.85,13.85,1893
2021-06-11,13.85,14.06,13.71,13.85,8294
2021-06-14,14.04,14.04,13.6,13.8,6699
2021-06-15,13.8,13.8,13.41,13.44,8911
2021-06-16,13.41,14.98,12.9,13.794,20383
2021-06-17,13.98,13.98,13.3,13.55,4874
2021-06-18,13.7,13.7,13.152,13.69,6394
2021-06-21,13.69,13.69,13.3,13.31,9093
2021-06-22,13.47,13.7,13.002,13.1,14871
2021-06-23,13.05,13.49,13.05,13.378,1268
2021-06-24,13.49,13.49,13.05,13.446,1912
2021-06-25,13.4,13.4,12.42,13.098,20514
2021-06-28,13.1,13.1,12.8,13,5652
2021-06-29,13.1,13.1,12.85,12.95,7021
2021-06-30,13.1,13.1,12.6,12.62,2719
2021-07-01,12.99,12.99,12.62,12.98,841
2021-07-02,12.97,12.98,12.62,12.682,2861
2021-07-05,12.8,12.8,12.522,12.536,6904
2021-07-06,12.6,12.7,12.522,12.6,4031
2021-07-07,12.7,12.8,12.6,12.7,3293
2021-07-08,12.8,13.35,12.65,12.9,14332
2021-07-09,12.706,12.99,12.7,12.99,1235
2021-07-12,13.05,13.1,12.61,12.61,10476
2021-07-13,13,13,12.61,12.7,2742
2021-07-14,12.88,12.88,12.4,12.7,4892
2021-07-15,12.85,12.85,12.602,12.85,1415
2021-07-16,12.85,12.85,12.6,12.82,4447
2021-07-19,12.65,12.85,12.4,12.422,7394
2021-07-20,12.38,12.422,12.18,12.422,7188
2021-07-21,12.422,12.5,12.1,12.4,6847
2021-07-22,12.12,12.4,12.12,12.38,1406
2021-07-23,12.38,12.5,12.17,12.498,1054
2021-07-26,12.3,12.5,11.5,12,20451
2021-07-27,12,12.5,11.56,11.898,17060
2021-07-28,11.7,11.88,11.54,11.85,12254
2021-07-29,11.7,11.7,11.52,11.646,5092
2021-07-30,11.52,11.7,10.85,11.24,27842
2021-08-02,11.1,11.2,10.8,10.99,25586
2021-08-03,10.99,11,10.81,10.94,3072
2021-08-04,10.88,11.8,10.88,11.354,13461
2021-08-05,11.354,11.43,11.03,11.05,1491
2021-08-06,11.38,11.38,11,11.22,12195
2021-08-09,11.25,11.374,11,11.298,4262
2021-08-10,11.01,11.318,11.01,11.3,2422
2021-08-11,11.3,11.31,10.99,11.278,9544
2021-08-12,11.258,11.26,10.99,10.99,6946
2021-08-13,11.238,11.238,10.85,10.9,7069
2021-08-16,10.806,11.27,10.806,11.21,7704
2021-08-17,11.27,12.23,11.27,11.5,16074
2021-08-18,11.67,11.67,11.2,11.2,2894
2021-08-19,11.21,11.21,10.99,11,8832
2021-08-20,10.99,11.2,10.8,10.9,8490
2021-08-23,11,11.15,10.8,11.138,6344
2021-08-24,11.1,11.1,10.6,10.998,8006
2021-08-25,10.82,11,10.7,10.85,9205
2021-08-26,10.9,10.968,10.7,10.88,9289
2021-08-27,10.878,10.878,10.6,10.798,14882
2021-08-30,10.796,10.796,10.65,10.778,3725
2021-08-31,10.778,10.794,10.4,10.738,8942
2021-09-01,10.738,11.04,10.62,10.898,1822
2021-09-02,10.802,10.898,10.62,10.784,3509
2021-09-03,10.798,10.798,10.6,10.69,2481
2021-09-06,10.65,10.898,10.51,10.898,5830
2021-09-07,10.9,12.2,10.9,11.798,16913
2021-09-08,11.5,12.5,11.35,12.48,12145
2021-09-09,12.5,12.8,11.35,12,8232
2021-09-10,12.1,12.3,11.9,12.2,3029
2021-09-13,12.4,12.498,11.9,12.4,6111
2021-09-14,12,12.42,11.7,11.9,3924
2021-09-15,11.99,11.99,11.15,11.7,4796
2021-09-16,11.688,11.688,11.2,11.5,3493
2021-09-17,11.6,11.6,11.18,11.5,1110
2021-09-20,11.688,11.688,11.02,11.38,2593
2021-09-21,11,12,11,11.5,10574
2021-09-22,11.22,11.58,11,11.4,4407
2021-09-23,11.4,11.4,11,11.3,881
2021-09-24,11.6,11.6,10.998,11.35,9537
2021-09-27,11.35,11.35,11.1,11.2,2949
2021-09-28,11.08,11.2,11,11.15,2502
2021-09-29,11,11.15,10.7,11,4111
2021-09-30,10.7,10.95,10.5,10.9,7702
2021-10-01,10.52,10.98,10.512,10.7,2733
2021-10-04,10.84,10.84,10.41,10.7,2985
2021-10-05,10.64,10.7,10.01,10.68,8214
2021-10-06,10.3,10.5,10.02,10.49,3157
2021-10-07,10.11,10.59,10.06,10.48,967
2021-10-08,10.48,10.5,10.2,10.498,3589
2021-10-11,10.59,11.4,10.59,10.89,3409
2021-10-12,10.89,10.9,10.5,10.7,3387
2021-10-13,10.888,10.9,10.33,10.9,2058
2021-10-14,10.35,10.884,10.35,10.78,2592
2021-10-15,10.78,10.78,10.352,10.4,723
2021-10-18,10.3,10.4,10.2,10.4,3645
2021-10-19,10.38,10.68,10.25,10.65,2724
2021-10-20,10.3,10.48,10.222,10.48,2605
2021-10-21,10.24,10.68,10.22,10.66,5551
2021-10-22,10.52,10.66,10.22,10.66,1625
2021-10-25,10.26,10.6,10.12,10.16,5329
2021-10-26,10.1,10.38,10.01,10.28,7176
2021-10-27,10.02,10.38,9.88,10,11034
2021-10-28,10,10.3,9.654,9.989,12939
2021-10-29,9.989,10.2,9.7,9.7,9400
2021-11-02,9.75,10.1,9.75,10.1,6612
2021-11-03,10.1,10.19,9.91,10.19,7503
2021-11-04,10.2,10.2,10.04,10.2,4789
2021-11-05,10.2,10.478,10.06,10.42,23901
2021-11-08,10.36,11.36,10.1,11,18941
2021-11-09,10.99,11.15,10.5,10.9,6799
2021-11-10,10.9,10.988,10.5,10.896,4173
2021-11-12,10.5,10.78,10.3,10.54,4652
2021-11-15,10.36,10.48,10,10.448,5519
2021-11-16,10.44,10.44,9.86,9.92,4526
2021-11-17,9.92,9.998,9.82,9.998,2576
2021-11-18,9.95,9.998,9.7,9.994,6325
2021-11-19,9.8,9.936,9.701,9.8,15059
2021-11-22,9.701,9.8,9.55,9.769,5002
2021-11-23,9.6,9.769,9.5,9.6,7898
2021-11-24,9.6,10,9.6,9.7,6471
2021-11-25,9.99,10,9.652,9.959,2167
2021-11-26,9.958,10,9.7,10,1909
2021-11-29,9.8,10,9.76,9.979,4386
2021-11-30,9.979,10,9.66,9.68,7095
2021-12-01,10,10.28,10,10.28,6969
2021-12-02,10.3,10.35,10,10.25,2527
2021-12-03,10.27,10.27,10.07,10.2,12174
2021-12-06,10.25,10.3,10.07,10.1,4864
2021-12-07,10.07,10.096,9.5,10.09,5710
2021-12-08,9.75,10,9.75,10,4614
2021-12-09,9.85,10,9.8,10,1594
2021-12-10,9.81,9.9,9.8,9.8,3525
2021-12-13,9.8,9.8,9.62,9.73,1052
2021-12-14,9.73,10,9.12,9.7,24526
2021-12-15,9.401,9.5,9,9.5,9350
2021-12-16,9.499,9.9,9.21,9.78,3664
2021-12-17,9.78,9.799,9.4,9.6,613
2021-12-20,9.74,9.74,9.06,9.59,5164
2021-12-21,9.2,9.49,9.1,9.35,1629
2021-12-22,9.2,9.39,9.07,9.27,16230
