Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-22,185,194.9,170,183.9,6887
2021-04-23,185,185,161.02,183,2036
2021-04-26,185,185,168,168,998
2021-04-27,165,173.9,165,172.98,273
2021-04-28,173.98,173.98,166,169.7,492
2021-04-29,169.7,170,163,170,695
2021-04-30,176,176,169,174.98,421
2021-05-04,174.98,174.98,168.92,174.98,544
2021-05-05,174.98,174.98,174.96,174.98,164
2021-05-06,174.98,174.98,174.98,174.98,3
2021-05-07,174.98,174.98,169,174.88,155
2021-05-10,174.98,187,173.98,185,2272
2021-05-11,185,185.5,149,177,2421
2021-05-12,177,179.88,168,179,99
2021-05-13,179,180,169.7,180,1252
2021-05-14,180,180,180,180,4
2021-05-17,180,180,179.98,180,43
2021-05-18,184,184,150,173.9,2174
2021-05-19,170,170,151.62,152,1913
2021-05-20,157,157,150,150,1135
2021-05-21,152,164.2,151,164.2,1014
2021-05-24,164.98,169,160.5,165,1089
2021-05-25,169,169,169,169,1
2021-05-26,169,169,169,169,1
2021-05-27,169,169,160,161,112
2021-05-28,168.8,174,168.7,172,662
2021-05-31,170,170,164,170,186
2021-06-01,172,172,170,172,2094
2021-06-02,172,172.5,170,172.5,530
2021-06-04,173,173,173,173,1
2021-06-07,172,172,172,172,1
2021-06-08,172,172,164.98,172,92
2021-06-09,172,172,170,170,7
2021-06-10,170,170,170,170,7
2021-06-11,172,172,166.88,167,191
2021-06-14,170,170,169.9,169.9,34
2021-06-15,169,169,151.46,157.04,417
2021-06-16,165,165,151,155.62,974
2021-06-17,163,163,145.2,150,583
2021-06-18,150,150,145,145,253
2021-06-21,150,150,140.04,144.5,262
2021-06-22,144.5,145.02,144.5,145,1368
2021-06-23,150,150,144.98,149,74
2021-06-24,149,149,147,147,4
2021-06-25,147,147,140,144.5,84
2021-06-28,144.5,147,144.48,146,432
2021-06-29,146,146,141.98,142,23
2021-06-30,145,145,130,139,423
2021-07-01,140,140,140,140,1
2021-07-02,140,144.48,139.9,144.48,21
2021-07-05,144.48,144.48,134.02,140,62
2021-07-06,140,144,140,144,15
2021-07-07,145,146,144,144,73
2021-07-08,146,151,145.58,149,856
2021-07-09,145.7,155,145.7,155,178
2021-07-12,155,155,143.1,152.98,144
2021-07-13,153.98,153.98,144,152,267
2021-07-14,152,153.98,145,153.98,111
2021-07-15,150,150.04,150,150.04,39
2021-07-16,153.96,153.96,150,153.96,512
2021-07-19,153.96,153.96,153.96,153.96,1
2021-07-20,153.96,153.96,146,153.96,82
2021-07-21,153.94,160,153.94,160,527
2021-07-22,160,166,158,165,228
2021-07-23,162,162,162,162,9
2021-07-26,162,165,158.5,165,104
2021-07-27,164,164,164,164,2
2021-07-28,163.76,163.76,156,162,25
2021-07-29,162,162,162,162,1
2021-07-30,161.5,161.5,161.5,161.5,1
2021-08-02,161.5,161.5,151,156,120
2021-08-03,145.02,161,145.02,161,105
2021-08-04,160,160,140,143.02,177
2021-08-05,149,149,141,145,117
2021-08-06,147.7,150,147.44,150,21
2021-08-09,148.9,148.9,148.9,148.9,1
2021-08-10,148.86,149,147,147,72
2021-08-11,147,147,141.98,142,19
2021-08-12,142,142,139.98,140,75
2021-08-13,140,140,136.9,140,34
2021-08-16,135,140,135,139.9,2102
2021-08-17,142,142,139.98,140,58
2021-08-18,140,140,140,140,1
2021-08-19,139,139,130.1,139,69
2021-08-20,139,139,139,139,1
2021-08-23,139,139,128,135,157
2021-08-24,139,140,137,140,819
2021-08-25,142,142,139.94,140,321
2021-08-26,140,140,130.1,138.88,350
2021-08-27,138.96,140,138.96,140,2361
2021-08-30,145,145,144.02,145,30
2021-08-31,145,145,133,134.02,262
2021-09-01,145,189.94,144.96,189.94,209
2021-09-02,178,178,169,169,4
