Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-16,6.206,6.8687,4.3683,4.3803,53178
2015-04-17,4.3984,4.7238,4.3683,4.5069,16705
2015-04-20,4.5069,4.5069,4.0971,4.3683,6772
2015-04-21,4.308,4.308,4.0851,4.0971,813
2015-04-22,4.073,4.2658,4.073,4.2658,2793
2015-04-23,4.2779,4.2779,4.0971,4.2658,559
2015-04-24,3.9525,4.2176,3.9525,4.2176,739
2015-04-27,4.2478,4.3683,3.9586,4.0971,1935
2015-04-28,3.9586,3.9586,3.8561,3.8561,1527
2015-04-29,3.8561,3.8561,3.826,3.826,198
2015-04-30,3.826,3.826,3.344,3.7055,1723
2015-05-04,3.4464,3.4464,3.0126,3.1632,1877
2015-05-05,3.5187,3.5187,3.0066,3.3139,1582
2015-05-06,3.4344,4.1152,3.4344,4.1152,1773
2015-05-07,4.2176,4.2176,3.4042,3.5729,1965
2015-05-08,3.7055,3.7658,3.5127,3.7658,179
2015-05-11,3.5127,3.8561,3.5127,3.8019,302
2015-05-12,3.9766,4.067,3.9766,4.067,50
2015-05-13,4.067,4.067,4.067,4.067,3
2015-05-14,4.0851,4.0851,3.4344,3.9766,171
2015-05-15,3.6151,3.6151,3.4344,3.4344,166
2015-05-18,3.4344,3.6453,3.4344,3.6453,352
2015-05-20,3.6754,3.6754,3.585,3.585,189
2015-05-27,3.585,3.585,3.4344,3.4344,597
2015-05-28,3.4344,3.8381,3.4344,3.6874,602
2015-06-02,3.7658,3.8381,3.7597,3.7597,553
2015-06-03,3.9164,3.9164,3.7356,3.7356,299
2015-06-05,3.6151,3.6151,3.5549,3.5549,249
2015-06-09,3.5549,3.5549,3.0126,3.1753,1955
2015-06-10,3.1753,3.1753,3.0729,3.0729,375
2015-06-12,3.0126,3.0126,3.0126,3.0126,17
2015-06-15,3.0126,3.0126,3.0126,3.0126,55
2015-06-16,3.0126,3.0126,3.0126,3.0126,71
2015-06-17,3.0126,3.0126,3.0126,3.0126,5
2015-06-18,3.0126,3.0126,3.0126,3.0126,8
2015-06-19,3.0126,3.0126,2.4101,2.4101,3968
2015-06-22,2.2233,2.5366,2.2233,2.386,1266
2015-06-23,2.2595,2.2595,2.1631,2.1631,358
2015-06-24,2.1691,2.1691,2.1631,2.1631,818
2015-06-25,2.1631,2.1631,2.1631,2.1631,17
2015-06-26,2.1631,2.1631,2.1631,2.1631,17
2015-06-29,2.1631,2.1631,2.1631,2.1631,33
2015-06-30,2.1631,2.1631,2.1631,2.1631,7
2015-07-01,2.1631,2.1631,2.1631,2.1631,5
2015-07-02,2.1631,2.1631,2.1631,2.1631,5
2015-07-03,2.1631,2.1631,2.1631,2.1631,174
2015-07-06,2.1631,2.1631,2.1631,2.1631,17
2015-07-07,2.1631,2.1631,2.1631,2.1631,17
2015-07-08,2.1631,2.1631,2.1631,2.1631,17
2015-07-09,2.157,2.157,2.157,2.157,17
2015-07-10,2.157,2.1631,2.157,2.1631,797
2015-07-13,2.1631,2.1631,2.1631,2.1631,5
2015-07-14,2.1631,2.1631,2.1631,2.1631,5
2015-07-15,2.1631,2.1631,2.1631,2.1631,5
2015-07-16,2.1631,2.1631,2.1631,2.1631,7
2015-07-17,2.1631,2.1631,2.1631,2.1631,5
2015-07-20,2.1088,2.1088,2.1088,2.1088,17
2015-07-21,2.1631,2.1631,2.1631,2.1631,7
2015-07-22,2.1631,2.1631,2.1631,2.1631,183
2015-07-23,2.1631,2.1631,2.1631,2.1631,432
2015-07-24,2.1631,2.1631,2.1631,2.1631,8
2015-07-27,2.1631,2.2293,2.1631,2.2293,1142
2015-07-28,2.2233,2.2233,2.2233,2.2233,63
2015-07-29,2.2233,2.2956,2.2233,2.2956,415
2015-07-30,2.2896,2.7475,2.2896,2.7113,3761
2015-07-31,2.7836,2.9403,2.5908,2.5908,1163
2015-08-05,2.633,2.7716,2.633,2.7716,43
2015-08-10,2.7716,3.3259,2.7113,3.3259,1203
2015-08-11,3.1452,3.5549,3.1452,3.5549,365
2015-08-12,3.3139,3.9164,3.3139,3.8561,576
2015-08-18,3.7959,3.7959,3.6151,3.6151,299
2015-08-19,3.7899,4.1574,3.109,4.1574,1792
2015-08-20,4.0971,4.0971,3.344,3.7718,1122
2015-08-21,3.3139,3.3139,2.6752,3.2114,994
2015-08-24,3.0427,3.0427,3.0427,3.0427,498
2015-08-25,3.103,3.103,2.4824,2.6571,3623
2015-08-26,2.6511,2.6571,2.6511,2.6571,581
2015-08-28,2.6089,2.6089,2.5969,2.5969,284
2015-08-31,2.5848,2.5908,2.4884,2.4884,1298
2015-09-01,2.4884,2.4884,2.4884,2.4884,25
2015-09-02,2.4944,2.4944,2.4161,2.4161,1500
2015-09-03,2.4101,2.5306,2.4101,2.5306,332
2015-09-04,2.5306,2.5306,2.5246,2.5246,38
2015-09-07,2.5306,2.5306,2.5246,2.5306,558
2015-09-08,2.5306,2.5607,2.5246,2.5607,1416
2015-09-09,2.5848,2.5848,2.5788,2.5788,40
2015-09-10,2.5848,2.6571,2.5788,2.6511,1022
2015-09-11,2.6571,2.7174,2.6511,2.7174,1323
2015-09-14,2.9042,3.1331,2.9042,3.0126,2690
2015-09-15,3.0126,3.0126,3.0126,3.0126,33
2015-09-16,3.0126,3.0126,3.0126,3.0126,8
2015-09-17,2.9222,3.0066,2.9222,3.0066,207
2015-09-18,3.0066,3.0126,3.0066,3.0126,254
2015-09-21,3.0126,3.0126,3.0126,3.0126,237
2015-09-22,3.0126,3.0126,3.0126,3.0126,17
2015-09-23,3.0126,3.0126,3.0126,3.0126,17
2015-09-24,3.0126,3.0126,3.0126,3.0126,100
2015-09-29,2.9524,2.9524,2.868,2.868,830
2015-09-30,2.8921,2.9945,2.8921,2.9945,166
2015-10-01,2.9885,2.9945,2.9885,2.9945,66
2015-10-05,2.8921,2.8921,2.7113,2.7113,714
2015-10-06,2.7113,2.7113,2.7113,2.7113,25
2015-10-07,2.7113,2.7113,2.7113,2.7113,8
2015-10-08,2.7113,2.7113,2.7113,2.7113,25
2015-10-09,2.7113,2.7113,2.7113,2.7113,17
2015-10-12,2.7113,2.7113,2.7113,2.7113,17
2015-10-13,2.7174,2.7174,2.7113,2.7113,357
2015-10-14,2.7113,2.7113,2.639,2.639,523
2015-10-15,2.6089,2.6089,2.5426,2.5426,41
2015-10-16,2.5426,2.5426,2.5426,2.5426,198
2015-10-19,2.5426,2.5426,2.5366,2.5426,441
2015-10-20,2.5607,2.621,2.5607,2.621,531
2015-10-21,2.627,2.627,2.621,2.621,722
2015-10-22,2.621,2.621,2.621,2.621,17
2015-10-23,2.621,2.621,2.621,2.621,8
2015-11-05,2.6149,2.8198,2.6149,2.8198,1301
2015-11-06,2.862,2.862,2.862,2.862,17
2015-11-10,2.9102,3.3139,2.7716,2.7716,1162
2015-11-17,2.9403,3.4946,2.9403,3.1512,905
2015-11-18,3.1512,3.1512,3.1512,3.1512,41
2015-11-19,3.103,3.103,3.0427,3.0427,531
2015-11-23,3.0427,3.0427,3.0427,3.0427,17
2015-11-24,2.9524,2.9524,2.9222,2.9222,332
2015-12-15,2.874,2.874,2.621,2.8017,597
2015-12-21,2.6812,2.6812,2.5306,2.5306,913
2015-12-28,2.5065,2.5065,2.4101,2.4101,448
2015-12-29,2.4101,2.4101,2.4101,2.4101,415
2016-01-04,2.4402,2.4402,2.4342,2.4342,17
2016-01-13,2.386,2.386,2.2775,2.2775,515
2016-01-19,2.2293,2.2293,1.91,1.91,576
2016-01-20,2.0968,2.0968,2.0968,2.0968,332
2016-01-21,2.1329,2.1329,2.1329,2.1329,498
2016-01-26,2.2474,2.2474,2.2474,2.2474,249
2016-01-27,2.1872,2.3559,1.7533,2.2474,2290
2016-01-28,2.2474,2.3559,2.2474,2.3559,2606
2016-01-29,2.3559,2.3559,2.3498,2.3559,22182
2016-02-01,2.3559,2.3559,2.3559,2.3559,846
2016-02-02,2.3559,2.3559,2.3498,2.3498,17
2016-02-03,2.3197,2.3197,2.2896,2.2896,490
2016-02-15,2.3016,2.3016,2.3016,2.3016,17
2016-02-16,2.2293,2.2293,2.1389,2.1389,249
2016-02-18,2.1872,2.2354,2.1872,2.2354,198
2016-02-19,2.2354,2.2896,2.2354,2.2896,515
2016-02-22,2.3016,2.3016,2.3016,2.3016,8
2016-02-23,2.3016,2.3016,2.3016,2.3016,17
2016-02-24,2.3016,2.3016,2.3016,2.3016,8
2016-02-25,2.3016,2.3016,2.2956,2.3016,340
2016-02-26,2.3016,2.3559,2.3016,2.3559,865
2016-02-29,2.3559,2.3559,2.3498,2.3559,855
2016-03-01,2.3559,2.3559,2.3498,2.3559,1004
2016-03-02,2.3559,2.392,2.3498,2.392,66
2016-03-03,2.3559,2.4041,2.3559,2.4041,1087
2016-03-04,2.4041,2.4041,2.2956,2.38,614
2016-03-07,2.38,2.4101,2.38,2.4101,390
2016-03-08,2.4041,2.4041,2.398,2.4041,1560
2016-03-09,2.4041,2.4041,2.398,2.398,50
2016-03-10,2.4041,2.5547,2.398,2.4101,22524
2016-03-11,2.4101,2.4101,2.4101,2.4101,440
2016-03-15,2.3498,2.3498,2.2354,2.2715,506
2016-03-17,2.2715,2.2956,2.2715,2.2956,83
2016-03-21,2.2896,2.2896,2.2896,2.2896,17
2016-03-31,2.2414,2.2956,2.1389,2.2956,556
2016-04-05,2.2896,2.3559,2.2896,2.3559,531
2016-04-06,2.3559,2.4583,2.3559,2.4583,14529
2016-04-07,2.4402,2.4402,2.4402,2.4402,432
2016-04-08,2.4824,2.4944,2.4824,2.4944,166
2016-04-11,2.4944,2.4944,2.4944,2.4944,25
2016-04-12,2.4221,2.4221,2.3739,2.4101,851
2016-04-14,2.4523,2.9283,2.4523,2.8017,2040
2016-04-15,2.8017,2.8017,2.8017,2.8017,491
2016-04-18,2.8017,2.8017,2.8017,2.8017,23
2016-04-19,2.8017,2.8017,2.8017,2.8017,17
2016-04-20,2.8017,2.8017,2.8017,2.8017,17
2016-04-21,2.7897,2.8017,2.7897,2.8017,465
2016-04-22,2.8017,3.1331,2.7957,3.0126,876
2016-04-25,3.0126,3.0126,3.0126,3.0126,25
2016-05-09,3.0789,3.4344,3.0789,3.4344,498
2016-05-10,3.4283,4.1092,3.3741,3.7597,6206
2016-05-11,3.7597,3.7658,3.4103,3.4103,6143
2016-05-12,3.4163,3.4163,3.4103,3.4103,3245
2016-05-16,3.3139,3.3139,3.3139,3.3139,58
2016-05-17,3.2235,3.2235,3.0126,3.0427,1120
2016-05-20,2.9524,2.9524,2.8921,2.8921,33
2016-05-25,2.8921,2.8921,2.8921,2.8921,17
2016-06-07,2.862,2.862,2.5908,2.5908,1361
2016-06-08,2.5908,2.5908,2.5306,2.5306,448
2016-06-14,2.5366,2.5426,2.4101,2.4101,2191
2016-06-15,2.4101,2.4101,2.4101,2.4101,5
2016-06-20,2.4101,2.4101,2.4101,2.4101,8
2016-06-21,2.4703,2.5547,2.4703,2.5547,1021
2016-06-23,2.5547,2.5547,2.5547,2.5547,83
2016-06-24,2.5306,2.5306,2.5065,2.5246,938
2016-06-27,2.5306,2.5306,2.4101,2.4101,929
2016-06-29,2.4101,2.4101,2.4101,2.4101,17
2016-07-04,2.3498,2.3498,2.2354,2.2354,349
2016-07-05,2.2595,2.2595,2.2595,2.2595,17
2016-07-06,2.2595,2.2595,2.2595,2.2595,33
2016-07-07,2.2595,2.2595,2.2595,2.2595,8
2016-07-08,2.2595,2.2595,2.2595,2.2595,7
2016-07-11,2.2595,2.2595,2.2534,2.2595,100
2016-07-12,2.2595,2.2595,2.2534,2.2595,116
2016-07-13,2.2595,2.2595,2.2595,2.2595,17
2016-07-14,2.2595,2.2595,2.2534,2.2595,90
2016-07-15,2.1811,2.1811,1.8738,1.8738,3676
2016-07-18,1.8738,1.8738,1.8738,1.8738,7
2016-07-19,1.8738,1.8738,1.8738,1.8738,1162
2016-07-20,1.8738,1.8738,1.8738,1.8738,37
2016-07-21,1.8738,1.8738,1.8738,1.8738,7
2016-07-22,1.8738,1.8738,1.8738,1.8738,8
2016-07-25,1.8738,1.8738,1.8738,1.8738,539
2016-07-26,1.8738,1.8738,1.8738,1.8738,17
2016-07-27,1.8678,1.8738,1.8678,1.8738,183
2016-07-28,1.8738,1.8738,1.8738,1.8738,1046
2016-07-29,1.8738,1.8738,1.8738,1.8738,25
2016-08-01,1.8738,2.0245,1.8678,2.0184,10325
2016-08-02,2.0184,2.0184,1.9642,1.9642,581
2016-08-04,1.8678,1.8678,1.8618,1.8678,199
2016-08-05,1.8678,1.8678,1.8678,1.8678,17
2016-08-08,1.8678,1.8678,1.8678,1.8678,33
2016-08-09,1.8678,1.8678,1.8618,1.8678,2114
2016-08-10,1.8678,1.8678,1.8618,1.8678,183
2016-08-11,1.8678,1.8678,1.8618,1.8678,1178
2016-08-12,1.8678,1.8678,1.8678,1.8678,25
2016-08-16,1.8678,1.8678,1.8678,1.8678,17
2016-08-17,1.8678,1.8678,1.8678,1.8678,25
2016-08-18,1.8678,1.8678,1.8196,1.8196,83
2016-08-19,1.8196,1.8196,1.8196,1.8196,17
2016-08-22,1.8437,1.8437,1.8437,1.8437,17
2016-08-23,1.8437,1.8437,1.5666,1.5967,1519
2016-08-24,1.5967,1.5967,1.5184,1.5425,1248
2016-08-25,1.5364,1.5425,1.5364,1.5425,785
2016-08-29,1.5364,1.5364,1.205,1.205,5610
2016-08-30,1.205,1.205,1.0604,1.0665,2207
2016-08-31,1.0002,1.0002,0.7893,0.7893,11304
2016-09-01,0.7893,0.7893,0.6387,0.7893,2773
2016-09-02,0.7833,0.7833,0.7833,0.7833,1012
2016-09-05,0.711,0.711,0.5784,0.6628,33038
2016-09-06,0.6628,0.6929,0.6206,0.6206,10167
2016-09-07,0.6146,0.6146,0.45189,0.49407,47051
2016-09-08,0.49407,0.49407,0.33741,0.36754,66745
2016-09-09,0.36754,0.43984,0.30126,0.39766,51525
2016-09-12,0.42176,0.42176,0.42176,0.42176,1625
2016-09-13,0.40369,0.5001,0.40369,0.46997,14350
2016-09-14,0.5061,0.5061,0.48202,0.5061,9558
2016-09-15,0.5001,0.5784,0.5001,0.5784,15186
2016-09-16,0.5844,0.6628,0.5844,0.6206,4508
2016-09-19,0.723,0.8676,0.6507,0.723,22095
2016-09-20,0.717,0.8496,0.711,0.8496,8806
2016-09-21,0.8435,0.952,0.711,0.946,4692
2016-09-22,0.946,0.946,0.9219,0.9279,5658
2016-09-23,0.8435,0.8978,0.6748,0.7712,20434
2016-09-26,0.7592,0.8917,0.7049,0.8375,10703
2016-09-27,0.8315,0.8737,0.7049,0.8676,2529
2016-09-28,0.8616,0.8978,0.8556,0.8978,798
2016-09-29,0.8917,0.8917,0.717,0.8737,1713
2016-09-30,0.8737,0.8737,0.8737,0.8737,25
2016-10-03,0.8676,0.8676,0.717,0.7652,10725
2016-10-04,0.7652,0.7652,0.6929,0.7411,11782
2016-10-05,0.711,0.8014,0.6869,0.8014,3535
2016-10-10,0.7532,0.7532,0.6628,0.6929,8045
2016-10-11,0.6929,0.6929,0.6387,0.6387,199
2016-10-12,0.6869,0.6929,0.6447,0.6447,232
2016-10-13,0.6326,0.6929,0.6326,0.6929,68
2016-10-14,0.6869,0.6869,0.6808,0.6869,1676
2016-10-18,0.6387,0.7592,0.6387,0.7471,12864
2016-10-19,0.7471,0.7471,0.6869,0.7351,1743
2016-10-20,0.7291,0.7291,0.6869,0.6869,855
2016-10-21,0.723,0.8616,0.6929,0.7652,11744
2016-10-24,0.7652,0.7652,0.6628,0.7411,6793
2016-10-25,0.7351,0.7351,0.711,0.717,217
2016-10-26,0.717,0.717,0.717,0.717,101
2016-10-27,0.711,0.717,0.711,0.717,227
2016-10-28,0.717,0.717,0.5965,0.6025,4083
2016-10-31,0.5844,0.5844,0.48202,0.5121,6465
2016-11-02,0.5121,0.5182,0.5121,0.5182,166
2016-11-03,0.5483,0.5844,0.5242,0.5784,2058
2016-11-04,0.5784,0.5844,0.5543,0.5844,3822
2016-11-07,0.5844,0.6688,0.5784,0.6688,6562
2016-11-08,0.6688,0.6688,0.6688,0.6688,41
2016-11-09,0.6688,0.6688,0.6085,0.6567,7733
2016-11-10,0.6567,0.6869,0.6085,0.6748,5427
2016-11-14,0.6628,0.711,0.6567,0.711,3535
2016-11-15,0.6808,0.6808,0.5965,0.5965,5809
2016-11-16,0.6266,0.6326,0.5905,0.6326,8398
2016-11-17,0.6507,0.6507,0.6507,0.6507,8
2016-11-18,0.6507,0.6507,0.6507,0.6507,17
2016-11-22,0.6085,0.6447,0.5784,0.6387,3577
2016-11-23,0.6206,0.6507,0.6206,0.6507,126
2016-11-24,0.6266,0.6507,0.5965,0.6507,2050
2016-11-25,0.6507,0.6567,0.6387,0.6567,5021
2016-11-28,0.6567,0.7833,0.6507,0.7833,5668
2016-11-29,0.8255,0.8737,0.8255,0.8737,4113
2016-11-30,0.8435,0.8737,0.8435,0.8737,1590
2016-12-02,0.8435,0.8676,0.7291,0.8676,4161
2016-12-08,0.7532,0.8194,0.7291,0.8134,2914
2016-12-12,0.7592,0.7592,0.7291,0.7291,1494
