Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-24,1.2,1.2,0.86,0.86,28205
2011-05-25,0.76,0.99,0.76,0.83,83
2011-05-27,0.96,0.96,0.95,0.95,101
2011-05-30,0.83,0.91,0.82,0.91,3510
2011-06-01,0.77,0.77,0.7,0.72,28000
2011-06-02,0.77,0.77,0.77,0.77,1000
2011-06-03,0.72,0.73,0.72,0.73,7599
2011-06-06,0.68,0.68,0.67,0.67,2500
2011-06-09,0.63,0.69,0.62,0.69,5071
2011-06-10,0.6,0.82,0.57,0.77,17482
2011-06-13,0.7,0.7,0.64,0.67,14316
2011-06-14,0.69,0.69,0.64,0.64,4600
2011-06-16,0.62,0.62,0.61,0.61,7500
2011-06-17,0.59,0.59,0.58,0.58,2000
2011-06-20,0.54,0.54,0.47,0.48,6580
2011-06-21,0.45,0.56,0.44,0.56,7750
2011-06-22,0.51,0.51,0.51,0.51,1010
2011-06-24,0.48,0.48,0.45,0.48,29832
2011-06-27,0.45,0.45,0.44,0.45,14666
2011-06-28,0.44,0.44,0.4,0.4,20682
2011-06-29,0.38,0.38,0.32,0.36,63868
2011-06-30,0.36,0.43,0.36,0.43,45271
2011-07-01,0.43,0.43,0.37,0.42,12772
2011-07-04,0.43,0.43,0.38,0.38,110
2011-07-05,0.44,0.44,0.38,0.39,17870
2011-07-07,0.42,0.42,0.36,0.36,17007
2011-07-08,0.37,0.41,0.36,0.36,6861
2011-07-11,0.36,0.41,0.34,0.38,29067
2011-07-12,0.35,0.35,0.31,0.32,46393
2011-07-13,0.3,0.3,0.3,0.3,100
2011-07-14,0.3,0.3,0.3,0.3,7900
2011-07-15,0.3,0.3,0.3,0.3,11500
2011-07-18,0.3,0.3,0.3,0.3,6306
2011-07-19,0.32,0.32,0.3,0.3,9351
2011-07-20,0.28,0.29,0.28,0.29,2251
2011-07-22,0.27,0.32,0.27,0.32,20586
2011-07-25,0.28,0.28,0.28,0.28,210
2011-07-27,0.27,0.28,0.24,0.28,14500
2011-07-28,0.26,0.28,0.26,0.28,12503
2011-08-01,0.26,0.26,0.26,0.26,2997
2011-08-02,0.25,0.25,0.25,0.25,10476
2011-08-03,0.26,0.26,0.25,0.25,16616
2011-08-04,0.25,0.25,0.25,0.25,100
2011-08-05,0.23,0.23,0.23,0.23,7901
2011-08-09,0.22,0.23,0.21,0.22,22995
2011-08-11,0.22,0.22,0.22,0.22,2000
2011-08-12,0.24,0.24,0.21,0.21,23609
2011-08-17,0.23,0.26,0.23,0.26,15870
2011-08-18,0.27,0.29,0.23,0.24,66033
2011-08-19,0.26,0.26,0.26,0.26,6020
2011-08-22,0.26,0.26,0.26,0.26,500
2011-08-23,0.27,0.3,0.27,0.3,19675
2011-08-26,0.27,0.27,0.27,0.27,9797
2011-08-30,0.24,0.29,0.24,0.25,40400
2011-09-01,0.24,0.24,0.24,0.24,7600
2011-09-02,0.24,0.25,0.2,0.25,60364
2011-09-06,0.25,0.25,0.2,0.25,286
2011-09-09,0.22,0.22,0.22,0.22,5000
2011-09-14,0.19,0.19,0.18,0.19,21926
2011-09-15,0.2,0.2,0.2,0.2,1741
2011-09-16,0.16,0.19,0.16,0.19,50668
2011-09-19,0.16,0.16,0.16,0.16,2549
2011-09-21,0.18,0.18,0.18,0.18,1
2011-09-23,0.18,0.18,0.18,0.18,600
2011-09-27,0.18,0.2,0.18,0.2,10389
2011-09-28,0.16,0.19,0.16,0.18,40500
2011-10-06,0.17,0.17,0.17,0.17,5802
2011-10-11,0.17,0.19,0.16,0.16,52614
2011-10-12,0.17,0.17,0.17,0.17,4016
2011-10-13,0.19,0.2,0.17,0.2,9050
2011-10-14,0.17,0.17,0.16,0.16,2630
2011-10-18,0.17,0.17,0.17,0.17,3500
2011-10-21,0.18,0.19,0.18,0.19,5000
2011-10-28,0.18,0.24,0.18,0.22,70614
2011-10-31,0.23,0.24,0.2,0.2,4665
2011-11-02,0.19,0.22,0.19,0.22,6010
2011-11-03,0.18,0.18,0.18,0.18,4450
2011-11-04,0.21,0.21,0.17,0.17,70
2011-11-07,0.2,0.24,0.2,0.24,43756
2011-11-08,0.26,0.26,0.23,0.26,51750
2011-11-09,0.24,0.24,0.24,0.24,7500
2011-11-16,0.2,0.2,0.2,0.2,10
2011-11-17,0.2,0.2,0.19,0.2,61460
2011-11-18,0.18,0.18,0.16,0.16,37756
2011-11-21,0.18,0.18,0.17,0.17,9882
2011-11-24,0.17,0.17,0.16,0.16,13010
2011-11-28,0.18,0.18,0.18,0.18,1666
2011-11-30,0.16,0.16,0.16,0.16,2334
2011-12-02,0.16,0.16,0.16,0.16,5882
2011-12-05,0.17,0.17,0.17,0.17,5880
2011-12-06,0.17,0.2,0.16,0.16,1360
2011-12-15,0.17,0.17,0.17,0.17,4000
2011-12-21,0.16,0.17,0.15,0.17,60380
2011-12-23,0.19,0.19,0.19,0.19,32
2011-12-30,0.18,0.18,0.18,0.18,20
2012-02-02,0.19,0.19,0.19,0.19,15934
2012-02-03,0.22,0.22,0.19,0.19,1100
2012-02-07,0.23,0.23,0.23,0.23,1100
2012-02-08,0.24,0.24,0.24,0.24,500
2012-02-10,0.24,0.24,0.24,0.24,500
2012-03-08,0.23,0.23,0.23,0.23,4027
2012-03-12,0.25,0.25,0.25,0.25,50
2012-03-13,0.23,0.23,0.2,0.23,59000
2012-03-15,0.21,0.21,0.19,0.2,19000
2012-03-16,0.23,0.28,0.23,0.28,83477
2012-03-19,0.31,0.37,0.31,0.37,99777
2012-03-20,0.5,0.5,0.5,0.5,68420
2012-03-21,0.6,0.7,0.48,0.61,143190
2012-03-22,0.61,0.63,0.49,0.49,54398
2012-03-23,0.49,0.49,0.41,0.47,50269
2012-03-26,0.44,0.47,0.4,0.4,15687
2012-03-27,0.43,0.43,0.39,0.39,1770
2012-03-28,0.37,0.37,0.37,0.37,6760
2012-03-29,0.36,0.39,0.33,0.33,59915
2012-03-30,0.3,0.34,0.3,0.34,5321
2012-04-02,0.33,0.39,0.33,0.39,24500
2012-04-03,0.39,0.46,0.37,0.4,40523
2012-04-04,0.38,0.38,0.36,0.36,14646
2012-04-05,0.33,0.33,0.3,0.33,26217
2012-04-10,0.32,0.32,0.28,0.29,18730
2012-04-11,0.25,0.29,0.25,0.29,2785
2012-04-12,0.27,0.29,0.26,0.29,26400
2012-04-16,0.29,0.3,0.26,0.3,10100
2012-04-17,0.27,0.29,0.27,0.29,7100
2012-04-18,0.26,0.3,0.25,0.25,17837
2012-04-20,0.23,0.24,0.2,0.24,85563
2012-04-23,0.22,0.22,0.21,0.22,18120
2012-04-24,0.2,0.22,0.19,0.21,22150
2012-04-25,0.21,0.21,0.2,0.2,7650
