Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-11-29,6.9,7.4,6.25,6.7,91257
2021-11-30,7,8.85,7,8.6,104211
2021-12-01,9,10,7.22,8.72,91079
2021-12-02,8.95,8.95,8.06,8.5,28923
2021-12-03,8.5,8.79,7.52,8.04,35487
2021-12-06,8.04,8.79,7.91,8.6,8040
2021-12-07,8.5,8.95,8.13,8.85,19304
2021-12-08,8.8,8.8,7.83,8.45,12056
2021-12-09,8.1,8.6,7.921,8.28,2704
2021-12-10,8.05,8.4,8,8.4,7173
2021-12-13,8.1,8.8,8,8.8,7188
2021-12-14,8.8,8.8,8.11,8.73,675
2021-12-15,8.75,8.75,8.2,8.23,1957
2021-12-16,8.5,8.74,8.22,8.49,1303
2021-12-17,8.49,8.7,8.14,8.57,4371
2021-12-20,8.5,8.5,8.05,8.05,8012
2021-12-21,8.06,8.1,7.91,8,2151
2021-12-22,7.98,8.38,7.98,8.38,1017
2021-12-23,8,8.1,7.705,8.1,2883
2021-12-27,8.1,8.1,7.4,7.85,7762
2021-12-28,7.9,7.92,7.562,7.859,3404
2021-12-29,7.91,8.88,7.7,8.36,18549
2021-12-30,8.38,8.5,8.01,8.38,2608
2022-01-03,8.5,8.6,8.1,8.19,4051
2022-01-04,8.44,8.49,7.9,8.49,9567
2022-01-05,8.49,8.7,8.19,8.59,2013
2022-01-07,8.25,8.57,8.25,8.57,559
2022-01-10,8.48,8.48,8.21,8.32,1137
2022-01-11,8.49,8.49,8.2,8.44,1354
2022-01-12,8.49,8.49,8,8.19,2578
2022-01-13,8.25,8.79,8,8.35,11550
2022-01-14,8.2,8.2,8.2,8.2,300
2022-01-17,8.2,8.35,8.1,8.1,1542
2022-01-18,8.11,8.38,8.11,8.375,981
2022-01-19,8.3,8.351,8.11,8.351,1655
2022-01-20,8.375,8.375,8.375,8.375,500
2022-01-21,8.11,8.11,7.51,7.74,14009
2022-01-24,8,8,7.65,7.67,1709
2022-01-25,7.9,7.98,7.8,7.88,922
2022-01-26,7.95,8.3,7.95,8.2,3361
2022-01-27,8.2,8.3,8,8.3,12270
2022-01-28,8.3,8.3,7.8,8.28,597
2022-01-31,8.35,8.35,8.2,8.25,786
2022-02-01,8.3,8.3,7.8,8.3,7805
2022-02-02,7.93,8.25,7.93,8.25,372
2022-02-03,7.9,8.18,7.8,8.18,3015
2022-02-04,7.9,8.1,7.8,8.1,1514
2022-02-07,8.1,8.25,8.1,8.25,30
2022-02-08,8.051,8.051,8.051,8.051,375
2022-02-09,7.8,8.2,7.8,8.2,194
2022-02-10,8.18,8.18,8.18,8.18,865
2022-02-11,8.2,8.2,7.83,8.2,250
2022-02-14,7.84,8.19,7.51,8.19,1139
2022-02-16,8.15,8.15,8.15,8.15,60
2022-02-17,7.9,8.2,7.61,7.8,2841
2022-02-18,7.9,8.18,7.9,8.1,277
2022-02-21,7.9,7.9,7.8,7.8,1172
2022-02-22,7.45,7.9,7.45,7.6,4900
2022-02-23,7.6,7.68,7.45,7.68,1005
2022-02-24,7.12,7.6,5.696,7,4543
2022-02-25,7.1,7.1,6.15,7.09,3241
2022-02-28,7.09,7.2,7.09,7.2,3089
2022-03-01,6.7,7.1,6.5,7.1,2225
2022-03-02,6.51,7.2,6.5,7.1,2225
2022-03-03,7.1,7.1,6.58,6.58,1506
2022-03-04,6.98,7.51,6.98,7.51,485
2022-03-07,7.44,7.44,6.98,7,468
2022-03-08,7,7.42,7,7.42,312
2022-03-10,7,7.42,7,7.42,141
2022-03-11,7.05,7.05,6.95,7,1756
2022-03-15,7,7,6.997,6.997,579
2022-03-16,6.99,6.99,6.9,6.9,246
2022-03-17,6.99,6.99,6.69,6.7,7265
2022-03-18,6.97,6.99,6.81,6.97,6236
2022-03-21,6.97,6.97,6.951,6.951,1327
2022-03-22,6.99,6.99,6.99,6.99,30
2022-03-23,7,7.2,7,7.05,1214
2022-03-24,6.9,6.99,6.9,6.99,705
2022-03-28,6.99,6.99,6.99,6.99,1363
2022-03-29,6.99,7,6.99,7,559
2022-03-31,7,7,7,7,100
2022-04-01,7.24,7.24,7,7,595
2022-04-04,7,7.25,6.9,7.25,711
2022-04-05,7.1,7.25,6.99,7.25,871
2022-04-07,7.4,7.4,7,7.3,512
2022-04-08,7.4,7.5,7.35,7.4,1116
2022-04-11,7.8,8.25,7.8,8,1322
2022-04-12,7.8,8.24,7.8,8.24,542
2022-04-13,7.68,8.25,7.68,7.98,749
2022-04-14,7.98,7.98,7.98,7.98,5
2022-04-19,8,8.72,8,8.72,2365
2022-04-20,8.72,8.72,8.26,8.5,623
2022-04-21,8.3,8.71,8.3,8.6,838
2022-04-22,8.6,8.6,8,8,895
2022-04-25,8,11,8,10.5,18974
2022-04-26,11.4,11.68,9.4,9.59,66754
2022-04-27,9.55,9.55,8.34,9.36,8553
2022-04-28,8.5,9.36,8.35,8.5,7549
2022-04-29,8.8,9.15,8.1,8.9,8542
2022-05-02,8.9,9.15,8.17,8.85,1939
2022-05-04,8.85,8.85,8.3,8.4,1895
2022-05-05,8.4,8.85,8,8,3393
2022-05-06,8,8.7,8,8.7,700
2022-05-09,8.7,8.7,8.5,8.5,275
2022-05-10,8.3,8.4,8.2,8.4,827
2022-05-11,8.4,8.7,8.3,8.7,936
2022-05-12,8.3,8.6,8.3,8.4,248
2022-05-13,8.7,8.75,8.7,8.75,519
2022-05-16,8.75,9.8,8.4,9.55,5546
2022-05-17,9.52,9.52,8.94,9.15,2499
2022-05-18,8.6,9.08,8.6,9.08,2189
2022-05-19,8.56,9,8.1,8.61,2888
2022-05-20,8.56,8.59,8.1,8.55,1724
2022-05-23,8.57,8.57,8.5,8.5,1621
2022-05-24,8.5,8.5,8.5,8.5,410
2022-05-26,8.42,8.59,8.42,8.59,985
2022-05-27,8.59,8.6,8.5,8.6,1778
2022-05-30,7.33,8,7.33,8,12252
2022-05-31,8,8,7.35,7.4,5369
2022-06-01,7.2,7.4,7,7.24,15341
2022-06-02,7.25,7.25,7,7.19,4930
2022-06-03,7,7.19,6.97,7.19,3854
2022-06-06,7,7.1,6.91,7.1,2240
2022-06-07,7,7.1,7,7.1,495
2022-06-08,7.1,7.1,7.1,7.1,250
2022-06-09,7.1,7.18,6.66,7.14,3546
2022-06-10,6.66,7.1,6.6,7.1,3326
2022-06-13,6.6,7.1,6.5,7.1,1197
2022-06-14,7,7.8,6.65,6.98,6049
2022-06-15,7.2,7.2,6.98,7,1268
2022-06-17,7.18,7.18,6.5,6.76,3267
2022-06-20,6.8,7.2,6.54,7.19,2266
2022-06-21,6.7,7.02,6.5,7.02,855
2022-06-22,6.7,6.8,6.5,6.79,4019
2022-06-23,6.8,7,6.7,6.7,1035
2022-06-24,6.7,6.7,6.5,6.5,3470
2022-06-27,6.5,6.5,6.34,6.34,2873
2022-06-28,6.41,6.5,6.34,6.34,3159
2022-06-29,6.33,6.4,6.3,6.35,1463
2022-06-30,6.22,6.35,6,6.35,3696
2022-07-01,6.35,6.4,6.35,6.4,1870
2022-07-04,6.5,6.5,6,6.2,4781
2022-07-05,6,6.1,5.9,5.91,7301
2022-07-06,6,6.1,6,6,3319
2022-07-07,6,6.1,5.65,6.1,2446
2022-07-08,6.18,6.2,5.72,6.09,3295
2022-07-11,6.09,6.09,5.2,6.09,5534
2022-07-12,6.03,6.08,6.03,6.08,330
2022-07-13,6.03,6.03,6.03,6.03,120
2022-07-14,6.03,6.03,5.9,5.9,634
2022-07-18,5.9,6.07,5.85,5.85,3451
2022-07-19,6.03,6.03,5.96,6.03,997
2022-07-20,5.91,6.05,5.91,6.05,2489
2022-07-21,6,6.05,5.92,6.05,652
2022-07-22,6.05,6.09,6.05,6.09,2275
2022-07-25,6.09,6.98,6.09,6.52,4637
2022-07-26,6.52,6.52,5.9,5.9,2556
2022-07-27,5.92,6.05,5.9,5.9,6126
2022-07-28,5.9,5.9,5.82,5.9,747
2022-07-29,6,6.05,5.98,6.05,1856
2022-08-01,6.05,6.61,6.05,6.56,2650
2022-08-02,6.22,6.25,6.01,6.09,1257
2022-08-03,6,6.25,6,6.25,1570
2022-08-04,6.3,6.3,6,6.18,788
