Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-09,70.689,70.9756,66.868,66.868,2290851.9695678
2021-12-10,65.9319,66.3808,62.0917,64.4799,1002850.2576168
2021-12-13,64.5372,64.6136,63.5246,64.4799,191044.86885353
2021-12-14,64.6327,64.9575,63.5246,64.0022,101995.55971954
2021-12-15,64.3843,64.4799,63.5342,64.4799,81989.430913807
2021-12-16,64.9575,65.0435,64.2506,64.8333,61185.61124156
2021-12-17,64.9575,64.9766,64.0022,64.5754,77919.323185447
2021-12-20,64.0022,64.9479,64.0022,64.0022,51426.983606845
2021-12-21,64.0022,64.4608,63.5533,64.0022,90793.341920882
2021-12-22,64.2888,64.9575,64.2793,64.6709,81872.185012167
2021-12-23,64.9575,65.8172,64.8238,65.7217,4736.9437939375
2021-12-27,65.9128,67.7277,65.9128,66.8776,36957.58313838
2021-12-28,67.3361,67.3361,66.8871,67.1546,15560.20608908
2021-12-29,67.2501,69.1893,67.1641,68.5302,22195.067915815
2021-12-30,68.7785,69.5427,68.7785,69.2562,40251.983606782
2022-01-03,69.2562,70.2114,69.2562,70.0872,13758.597189772
2022-01-04,70.6413,72.9817,69.7433,71.4532,83768.00936815
2022-01-05,70.8801,72.59,70.8801,72.1315,47676.161592772
2022-01-07,72.1219,72.59,71.6443,71.8353,80668.320843542
2022-01-10,71.8353,72.3607,71.8353,72.1697,29238.196721475
2022-01-11,72.504,72.9721,71.6538,72.3607,206894.00234308
2022-01-12,72.4085,74.0324,72.4085,73.2969,72305.128806025
2022-01-13,74.4145,74.4145,73.3638,74.2235,35390.466042352
2022-01-14,74.0324,74.3668,73.5644,74.128,136128.77283448
2022-01-17,74.5101,74.7011,74.0229,74.7011,12142.278688592
2022-01-18,74.7011,76.134,73.7459,74.5101,124125.72365409
2022-01-19,74.0324,76.306,72.5996,75.6086,84031.81264684
2022-01-20,75.6086,75.6086,69.0938,70.689,201952.92505968
2022-01-21,70.689,72.4467,69.9248,71.3577,57314.402810625
2022-01-24,71.6443,71.6921,70.3069,70.584,66685.700234565
2022-01-25,69.7529,71.2622,69.7529,70.6222,30752.971897127
2022-01-26,70.6222,70.7368,69.7433,70.1636,10519.679156967
2022-01-27,69.1033,70.1445,68.7785,69.495,15879.491803367
2022-01-28,69.495,69.7338,67.0877,67.8233,7134.2037471125
2022-01-31,69.4281,69.4281,66.9062,68.7785,6771.9976581175
2022-02-01,69.2562,70.7272,69.1606,69.7433,9368.1569087175
2022-02-02,70.2114,71.6443,70.2114,71.6443,18999.070257717
2022-02-03,71.6443,71.9309,71.1667,71.1667,15741.309133577
2022-02-04,71.9309,71.9309,71.1667,71.1667,18082.039812747
2022-02-07,69.7338,69.7338,66.1038,68.8358,38649.2740049
2022-02-08,70.6699,70.8801,69.5905,70.498,8875.096018785
2022-02-09,71.6443,72.5804,70.6031,71.5201,52507.320843385
2022-02-10,72.5996,72.5996,68.043,68.5875,232131.18267109
2022-02-11,67.9188,69.237,67.9188,69.2084,2491.47540985
2022-02-14,69.2275,69.7338,67.8519,69.7338,4427.0796253175
2022-02-15,70.2114,70.498,69.7433,70.2305,1678.0819672225
2022-02-16,70.2305,70.7464,69.7338,70.2114,5620.4754098675
2022-02-17,70.2687,70.2687,68.3391,68.7785,3341.50819674
2022-02-18,69.2466,69.2466,66.8776,67.4412,898.187353635
2022-02-21,67.8137,67.8328,62.2255,67.2501,10673.56440287
2022-02-22,67.2597,67.2597,64.0022,65.4351,15051.442623035
2022-02-23,65.4351,65.5402,64.0022,64.0022,1207.0046838475
2022-02-24,53.4944,60.1812,53.1792,53.1792,18096.695550452
2022-02-25,53.972,59.3692,53.9625,57.3154,47658.365339845
2022-02-28,57.3154,58.0223,55.4049,55.4049,50185.43325555
2022-03-01,54.7362,56.3602,51.5839,52.7684,42902.578454572
2022-03-02,51.5839,52.5391,49.6829,51.1349,72454.826698297
2022-03-03,51.1349,51.5839,50.151,50.151,65747.733021445
2022-03-04,50.151,50.151,46.6166,47.2852,28305.463700392
2022-03-07,47.2852,47.7629,45.8523,46.0434,31132.97423905
2022-03-08,45.9956,47.2279,45.9049,46.0434,15990.456674562
2022-03-09,46.9031,46.9031,42.9866,46.0434,153257.142858
2022-03-10,46.8076,48.2309,44.8111,46.8076,61604.34660456
2022-03-11,46.9987,48.1927,46.1437,46.6691,15246.15456683
2022-03-14,48.7181,49.3677,46.6643,46.8076,5045.76112415
2022-03-15,48.7181,49.1957,47.7629,49.1957,1154.6627634725
2022-03-16,49.1957,52.157,48.6321,50.6573,2282.10772835
2022-03-17,51.1063,56.3602,50.9343,56.3602,10680.892271722
2022-03-18,58.1752,58.1752,53.9816,58.0796,8868.81498834
2022-03-21,58.0796,58.0796,54.5738,55.3954,7839.7728337675
2022-03-22,55.4049,57.3059,54.0294,55.5004,7316.3536300175
2022-03-23,55.4049,56.3506,54.7362,55.3094,1082.430913355
2022-03-24,55.2998,57.2008,55.2903,56.3602,50693.149883187
2022-03-25,57.1721,57.1721,55.9303,57.1244,4766.2552693475
2022-03-28,57.3154,58.3662,56.8474,57.7931,5750.2833723975
2022-03-29,57.7931,59.3215,57.4492,58.7483,4385.2060890175
2022-03-30,58.7483,59.5125,58.7483,59.5125,1647.723653405
2022-03-31,59.417,60.8499,59.417,60.1812,7971.6744731125
2022-04-01,60.8499,61.9007,60.7448,61.6141,6740.5925058925
2022-04-04,61.9007,62.1013,61.4708,61.7192,2884.0398126625
2022-04-05,61.8051,63.047,61.1365,61.6141,135996.87119514
2022-04-06,58.7674,63.047,58.4044,63.047,10724.859484837
2022-04-07,63.047,69.3421,63.047,67.8233,40173.47072622
2022-04-08,67.6322,68.683,67.6322,68.3009,60442.355972235
2022-04-11,67.2501,69.6765,66.9635,69.6191,122674.80562129
2022-04-12,69.1511,69.1511,67.0686,68.1958,47039.683841012
2022-04-13,66.9635,66.9635,64.5754,66.868,24506.487119575
2022-04-14,65.1485,67.1546,65.1485,65.7217,2789.8243559875
2022-04-19,66.1038,66.3904,63.4291,63.4291,1568.163934435
2022-04-20,63.4291,63.9067,63.047,63.047,1225.8477751825
2022-04-21,63.047,64.0022,61.9007,63.047,705.569086655
2022-04-22,65.9128,66.0083,59.3215,61.1365,13963.777517642
2022-04-25,65.9128,65.9128,59.8946,60.1812,3086.07962531
2022-04-26,60.1812,60.6588,55.3094,60.4678,12297.210772902
2022-04-27,62.8559,62.8559,57.2199,57.3154,3070.3770491975
2022-04-28,58.5573,58.5573,56.8378,58.2707,66362.227166647
2022-04-29,59.226,59.226,57.3154,57.3154,3418.974238895
2022-05-02,58.2707,58.2707,54.4497,54.4497,400.9391100725
2022-05-04,54.4497,56.1691,54.0676,55.4049,13059.309133562
2022-05-05,56.3602,57.0289,56.3602,56.3602,209.3676815
2022-05-06,57.3154,57.5065,55.1183,56.8378,20335.882904095
2022-05-09,60.1812,60.1812,56.3602,56.3602,533.887587825
2022-05-10,58.2707,58.2707,55.0228,55.2139,16765.117096112
2022-05-11,55.8826,55.8826,54.5452,55.4049,493.0608899325
2022-05-12,55.4049,57.3154,55.2139,55.5004,13000.686182742
2022-05-13,55.6915,61.232,55.6915,57.8886,38296.489461572
2022-05-16,61.9007,61.9007,59.417,60.8499,1492.791569095
2022-05-17,61.8051,61.8051,59.7991,60.6588,4305.6463700475
2022-05-18,60.6588,60.6588,57.3154,59.226,6891.3372365725
2022-05-19,59.226,59.226,57.7931,58.2707,459.5620608925
2022-05-20,59.226,59.226,56.3602,57.3154,3535.1733021275
2022-05-23,58.0796,59.226,55.6915,58.5573,46952.79625319
2022-05-24,58.7483,59.7036,56.7423,58.6528,50544.498829322
2022-05-25,58.8438,60.1812,57.411,59.8946,235763.71194511
2022-05-26,60.1812,62.4738,57.8886,62.4738,26714.269320992
2022-05-27,62.3783,62.3783,59.6081,59.7991,20085.688524702
2022-05-30,58.8438,59.417,56.8378,56.8378,22966.587822142
2022-05-31,56.7423,57.3154,49.96,49.96,133028.03747147
2022-06-01,51.3928,53.6855,51.3928,52.0615,67639.370023797
2022-06-02,52.5391,56.7423,52.5391,56.2647,44862.259953412
2022-06-03,56.3602,56.3602,52.5391,53.781,12964.04683848
2022-06-06,54.4497,55.9781,53.4944,55.9781,96217.01171014
2022-06-07,54.9273,57.1244,53.6855,57.1244,7132.1100702975
2022-06-08,57.1244,57.1244,53.1123,53.5899,10036.039812702
2022-06-09,54.4497,54.4497,53.5899,53.781,376.8618267
2022-06-10,54.9273,54.9273,53.2078,54.4497,63700.117096375
2022-06-13,54.0676,54.0676,52.5391,54.0676,60678.94145233
2022-06-14,53.781,53.781,49.96,52.9213,26960.276346755
2022-06-15,54.3541,54.3541,50.2465,51.5839,65773.903981632
2022-06-17,51.5839,52.5391,49.96,52.5391,72628.601873942
2022-06-20,53.4944,53.4944,50.2465,50.7242,6425.494145235
2022-06-21,52.5391,52.5391,49.96,50.7242,1004.9648712
2022-06-22,52.5391,52.5391,48.336,49.3868,4736.9437939375
2022-06-23,48.8136,48.8136,46.8554,46.8554,1745.0796253025
2022-06-24,47.7629,47.7629,43.2254,45.8523,11899.412178052
2022-06-27,46.9987,47.7629,45.0404,47.7629,1289.70491804
2022-06-28,50.0555,50.0555,46.33,47.2852,2487.28805622
2022-06-29,48.145,48.6226,46.521,48.6226,3498.533957865
2022-06-30,48.8136,53.5899,47.7629,53.5899,120938.10070325
2022-07-01,51.5839,51.5839,49.96,50.6286,21796.222482557
2022-07-04,50.6286,51.0107,49.8644,50.2465,909.7025761175
2022-07-05,49.8644,49.96,46.1389,49.6734,14097.772833802
2022-07-06,46.8076,50.2465,46.8076,47.7629,5267.69086654
2022-07-07,50.2465,50.2465,49.1002,50.2465,1071.96252928
2022-07-08,50.5331,51.2973,47.4285,47.6673,5635.1311475725
2022-07-11,47.6196,52.0615,46.4255,52.0615,14150.114754177
2022-07-12,51.1063,56.0736,50.6286,55.3094,17312.613583235
2022-07-13,56.1691,56.1691,53.5899,53.972,2876.71194381
2022-07-14,54.7362,54.7362,51.4884,51.5839,4449.063231875
2022-07-15,52.3481,55.4049,48.7181,50.151,7952.8313817775
2022-07-18,50.6286,50.6286,48.7181,49.6734,15326.761124207
2022-07-19,49.8644,49.8644,49.5779,49.5779,204.1334894625
2022-07-20,49.8644,50.151,49.5779,50.151,1054.1662763525
2022-07-21,50.6286,51.1063,47.4285,49.6734,22308.126463825
2022-07-22,49.6734,49.6734,48.4315,48.7181,3360.351288075
2022-07-25,49.1957,49.5779,48.2405,49.2913,846.8922716675
2022-07-26,49.2913,49.6734,48.336,48.336,23096.395784672
2022-07-27,48.336,48.5271,46.2345,46.9031,5668.6299766125
2022-07-28,48.336,50.151,46.33,49.6734,28818.414520067
2022-07-29,49.6734,55.4049,47.8584,52.5391,57790.714286037
2022-08-01,54.4497,55.4049,52.5391,55.4049,80747.880562512
2022-08-02,55.4049,58.4617,52.9213,55.6915,106824.62529334
2022-08-03,55.1183,59.9902,51.4884,54.4497,36866.508196927
2022-08-04,54.4497,54.4497,52.0615,52.5391,19385.353630085
2022-08-05,53.3034,53.4944,52.5391,53.1123,43464.7306794
2022-08-08,53.6855,56.3602,52.8257,53.3989,59766.09836099
