Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-09,26.7934,28.5095,26.6591,28.5095,21001717.447338
2010-11-10,28.5095,28.5095,27.4524,27.4524,2532067.0194254
2010-11-12,26.9776,28.2976,26.3963,28.2976,3116583.2199132
2010-11-15,28.1911,28.4031,27.4524,27.769,717880.90916741
2010-11-16,27.6098,27.7172,27.0303,27.0303,665778.8886499
2010-11-17,27.0035,27.4524,26.7665,26.7665,798346.33238221
2010-11-18,27.1886,27.5052,26.9507,26.9507,487853.76730769
2010-11-19,27.1886,27.2414,26.898,27.0303,684163.51584862
2010-11-22,27.0303,27.1886,26.9507,27.0553,651580.44257676
2010-11-23,27.0303,27.0303,26.4759,26.4759,561398.7579314
2010-11-24,26.6591,26.9248,26.4759,26.9248,664404.74093591
2010-11-25,27.0035,27.0553,26.5555,26.8711,154049.30481155
2010-11-26,26.8711,26.8711,26.3481,26.7138,748882.41620241
2010-11-29,26.5018,26.5295,26.2602,26.3176,301319.69696168
2010-11-30,26.1324,26.6591,26.1324,26.6591,186087.90446088
2010-12-01,26.6591,27.5589,26.5018,27.5052,411573.44491366
2010-12-02,27.5052,27.6385,27.2941,27.4793,436511.20106922
2010-12-03,27.4524,27.5052,27.1886,27.2941,108370.77667408
2010-12-06,27.2682,27.2941,26.8711,26.9776,95960.235055858
2010-12-07,26.7665,26.9248,26.6082,26.7934,154640.23154076
2010-12-08,26.6869,26.9776,26.6082,26.9776,603806.12311449
2010-12-09,26.9248,27.0303,26.7138,26.9248,247075.43201268
2010-12-10,26.9248,26.9776,26.7665,26.8461,93665.66764664
2010-12-13,26.8711,27.1886,26.8711,27.1886,146084.21747249
2010-12-14,26.9776,27.1349,26.7138,26.7138,127832.46776498
2010-12-15,26.6869,26.7665,26.6332,26.7387,187517.14772001
2010-12-16,26.7138,26.7387,26.5295,26.7138,131809.06975807
2010-12-17,26.6082,26.6591,26.5018,26.5295,101508.68054256
