Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-22,0.6,0.63,0.45,0.45,627806
2011-07-25,0.44,0.44,0.37,0.4,97581
2011-07-26,0.37,0.37,0.34,0.37,43567
2011-07-27,0.37,0.5,0.32,0.48,200088
2011-07-28,0.48,0.48,0.44,0.46,50067
2011-07-29,0.5,0.5,0.38,0.44,43775
2011-08-01,0.44,0.45,0.43,0.45,2452
2011-08-02,0.48,0.48,0.44,0.44,6510
2011-08-03,0.47,0.47,0.41,0.45,798
2011-08-04,0.41,0.46,0.36,0.39,61274
2011-08-05,0.35,0.39,0.32,0.39,33894
2011-08-08,0.37,0.38,0.35,0.38,26010
2011-08-09,0.34,0.37,0.33,0.37,2040
2011-08-10,0.4,0.4,0.35,0.37,5320
2011-08-11,0.35,0.35,0.3,0.34,38134
2011-08-12,0.32,0.37,0.32,0.37,14788
2011-08-16,0.33,0.33,0.33,0.33,6778
2011-08-17,0.31,0.36,0.31,0.33,5282
2011-08-18,0.36,0.36,0.36,0.36,1
2011-08-22,0.35,0.35,0.35,0.35,3848
2011-08-23,0.35,0.35,0.35,0.35,2240
2011-08-24,0.36,0.37,0.36,0.37,1155
2011-08-25,0.35,0.36,0.35,0.36,642
2011-08-26,0.31,0.31,0.29,0.31,33672
2011-08-29,0.32,0.32,0.32,0.32,5462
2011-08-31,0.31,0.33,0.31,0.33,8110
2011-09-01,0.34,0.34,0.32,0.34,2020
2011-09-02,0.35,0.35,0.35,0.35,10
2011-09-08,0.32,0.32,0.32,0.32,60300
2011-09-09,0.33,0.33,0.33,0.33,310
2011-09-14,0.3,0.3,0.3,0.3,3000
2011-09-16,0.27,0.3,0.27,0.3,8842
2011-09-19,0.28,0.33,0.28,0.33,7000
2011-09-21,0.28,0.33,0.28,0.33,5074
2011-09-27,0.28,0.33,0.28,0.33,7160
2011-09-28,0.28,0.3,0.28,0.3,12460
2011-09-29,0.28,0.33,0.27,0.33,5336
2011-09-30,0.34,0.34,0.27,0.27,1110
2011-10-04,0.3,0.3,0.3,0.3,30000
2011-10-07,0.27,0.3,0.26,0.3,5010
2011-10-10,0.3,0.3,0.3,0.3,4690
2011-10-11,0.29,0.29,0.29,0.29,1000
2011-10-14,0.34,0.34,0.34,0.34,1
2011-10-18,0.28,0.28,0.27,0.27,11190
2011-10-24,0.3,0.3,0.3,0.3,400
2011-11-03,0.3,0.3,0.3,0.3,600
2011-11-07,0.3,0.3,0.3,0.3,1000
2011-11-17,0.27,0.27,0.26,0.26,6600
2011-11-21,0.26,0.3,0.25,0.25,2881
2011-11-22,0.3,0.3,0.3,0.3,10
2011-11-30,0.25,0.28,0.24,0.28,7882
2011-12-08,0.3,0.3,0.25,0.3,5749
2011-12-20,0.24,0.24,0.24,0.24,1211
2011-12-22,0.24,0.28,0.24,0.28,2543
2011-12-23,0.25,0.29,0.25,0.29,4651
2011-12-27,0.25,0.25,0.25,0.25,1550
2011-12-28,0.25,0.25,0.23,0.23,7666
2011-12-29,0.22,0.22,0.22,0.22,783
2011-12-30,0.24,0.24,0.24,0.24,500
2012-01-02,0.25,0.25,0.25,0.25,1960
2012-01-12,0.24,0.24,0.24,0.24,3000
2012-01-13,0.24,0.24,0.22,0.22,3460
2012-01-18,0.22,0.22,0.22,0.22,228
2012-01-19,0.22,0.22,0.2,0.2,11912
2012-01-23,0.22,0.22,0.22,0.22,8128
2012-01-25,0.25,0.28,0.25,0.28,5100
2012-02-07,0.27,0.27,0.23,0.23,1288
2012-02-10,0.2,0.2,0.2,0.2,3000
2012-02-13,0.2,0.2,0.17,0.2,19458
2012-02-14,0.18,0.18,0.18,0.18,18000
2012-02-15,0.18,0.18,0.18,0.18,1960
2012-02-20,0.2,0.2,0.2,0.2,10
2012-02-23,0.2,0.24,0.2,0.2,13000
2012-02-24,0.22,0.27,0.22,0.27,20723
2012-02-27,0.27,0.29,0.24,0.28,16200
2012-02-28,0.28,0.3,0.28,0.29,12700
2012-02-29,0.3,0.3,0.3,0.3,795
2012-03-01,0.27,0.29,0.27,0.29,5500
2012-03-02,0.3,0.3,0.3,0.3,250
2012-03-05,0.3,0.3,0.3,0.3,2650
2012-03-06,0.27,0.27,0.24,0.25,13100
2012-03-15,0.21,0.25,0.21,0.25,7838
2012-03-16,0.25,0.27,0.25,0.27,11704
2012-03-19,0.27,0.29,0.27,0.29,10100
2012-03-21,0.28,0.28,0.28,0.28,1000
2012-03-22,0.24,0.24,0.24,0.24,1100
2012-03-23,0.25,0.28,0.24,0.28,14903
2012-03-26,0.24,0.24,0.24,0.24,6000
2012-03-29,0.24,0.24,0.24,0.24,16000
2012-03-30,0.28,0.28,0.28,0.28,900
2012-04-10,0.28,0.28,0.28,0.28,1000
2012-04-16,0.28,0.3,0.28,0.28,9723
2012-04-19,0.3,0.3,0.3,0.3,9903
2012-04-24,0.24,0.24,0.24,0.24,10000
2012-04-25,0.23,0.23,0.2,0.2,2420
2012-04-26,0.2,0.2,0.18,0.18,10000
2012-04-27,0.22,0.24,0.22,0.24,15000
2012-04-30,0.24,0.26,0.24,0.26,1000
2012-05-18,0.26,0.26,0.26,0.26,19
2012-05-21,0.27,0.27,0.27,0.27,3999
2012-05-22,0.28,0.28,0.22,0.28,14010
2012-05-30,0.28,0.28,0.28,0.28,2000
2012-06-28,0.23,0.23,0.23,0.23,1100
2012-06-29,0.27,0.27,0.27,0.27,1250
2012-07-18,0.21,0.21,0.16,0.16,17278
2012-07-31,0.15,0.15,0.14,0.14,11600
2012-08-31,0.19,0.19,0.19,0.19,1250
2012-09-04,0.18,0.18,0.18,0.18,3000
2012-09-07,0.12,0.12,0.12,0.12,3000
2012-09-26,0.12,0.14,0.12,0.12,3268
2012-09-28,0.12,0.12,0.12,0.12,90
2012-10-23,0.14,0.14,0.14,0.14,2060
2012-11-09,0.15,0.15,0.15,0.15,300
2012-11-20,0.16,0.16,0.16,0.16,4500
2012-11-21,0.13,0.13,0.13,0.13,5000
2012-11-26,0.14,0.14,0.14,0.14,2
2012-12-03,0.14,0.14,0.14,0.14,350
2012-12-06,0.12,0.12,0.12,0.12,1400
2012-12-07,0.12,0.12,0.12,0.12,32600
2012-12-11,0.07,0.07,0.07,0.07,40550
2012-12-12,0.08,0.08,0.08,0.08,4500
2012-12-14,0.09,0.09,0.09,0.09,600
2012-12-19,0.08,0.08,0.08,0.08,1000
2012-12-21,0.09,0.09,0.09,0.09,4500
2012-12-27,0.09,0.09,0.09,0.09,500
2013-01-11,0.09,0.09,0.09,0.09,14500
2013-02-13,0.09,0.09,0.09,0.09,11885
2013-02-15,0.09,0.09,0.09,0.09,2615
2013-02-21,0.08,0.08,0.08,0.08,500
2013-02-25,0.09,0.09,0.09,0.09,32385
2013-03-12,0.08,0.08,0.08,0.08,13000
2013-05-22,0.07,0.07,0.07,0.07,10000
2013-05-27,0.06,0.06,0.05,0.05,10000
2013-05-31,0.04,0.04,0.04,0.04,50
2013-06-21,0.04,0.04,0.03,0.04,12622
2013-07-09,0.04,0.04,0.04,0.04,1
2013-08-06,0.04,0.04,0.04,0.04,1
2013-08-09,0.04,0.04,0.04,0.04,1
2013-09-17,0.04,0.04,0.04,0.04,1
2013-09-20,0.03,0.03,0.03,0.03,1
2013-09-24,0.03,0.03,0.03,0.03,2
2013-09-25,0.03,0.03,0.03,0.03,1
2013-09-26,0.04,0.04,0.04,0.04,1
2013-09-27,0.05,0.05,0.05,0.05,1
2013-09-30,0.06,0.06,0.06,0.06,1
2013-10-01,0.07,0.07,0.07,0.07,1
2013-10-02,0.07,0.07,0.07,0.07,2
2013-10-03,0.07,0.07,0.07,0.07,4
2013-10-09,0.07,0.07,0.07,0.07,1
2013-10-10,0.07,0.07,0.05,0.05,4
2013-10-14,0.04,0.04,0.04,0.04,3
2013-11-08,0.04,0.04,0.04,0.04,1
2013-11-13,0.05,0.05,0.05,0.05,1
2013-11-18,0.05,0.05,0.05,0.05,1
2013-11-20,0.05,0.05,0.05,0.05,1
2013-11-28,0.05,0.05,0.05,0.05,1
2013-12-18,0.04,0.04,0.04,0.04,1
2014-01-09,0.05,0.06,0.05,0.06,4
2014-01-10,0.07,0.07,0.07,0.07,2
2014-01-13,0.07,0.07,0.07,0.07,1
2014-01-14,0.07,0.07,0.07,0.07,1
2014-01-24,0.06,0.06,0.06,0.06,1
2014-01-28,0.06,0.06,0.06,0.06,1
2014-01-29,0.08,0.08,0.08,0.08,1
2014-02-03,0.08,0.08,0.08,0.08,1
2014-02-12,0.1,0.1,0.1,0.1,1
2014-02-13,0.12,0.14,0.12,0.14,3000
2014-02-19,0.15,0.15,0.15,0.15,4
2014-02-24,0.15,0.18,0.15,0.18,5
2014-02-25,0.24,0.28,0.24,0.28,5
2014-02-26,0.28,0.28,0.28,0.28,3
2014-03-04,0.22,0.22,0.22,0.22,1
