Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-05-06,7.12946,7.63041,7.12946,7.63041,4455555.6271358
2004-05-07,7.8616,8.01567,7.59175,7.8616,1241759.1640223
2004-05-10,7.32974,7.62275,7.32974,7.51481,253948.31190429
2004-05-11,7.43778,7.55328,7.43778,7.49941,218619.45338239
2004-05-12,7.50697,7.59175,7.50697,7.58429,87330.948555527
2004-05-13,7.60725,7.64582,7.55328,7.55328,180045.81994079
2004-05-14,7.50697,7.50697,7.22965,7.4839,304483.19936553
2004-05-17,7.39922,7.54563,7.32209,7.49941,65327.090034004
2004-05-18,7.50697,7.63041,7.50697,7.59175,1389277.8135442
2004-05-19,7.59175,7.66113,7.59175,7.63041,892083.19938217
2004-05-20,7.63041,7.63041,7.4839,7.59175,43309.646303477
2004-05-21,7.55328,7.64582,7.55328,7.63041,272282.07396269
2004-05-24,7.57634,7.63041,7.51481,7.63041,29101.607717866
2004-05-25,7.55328,7.58429,7.47625,7.58429,64338.504824972
2004-05-26,7.55328,7.55328,7.49941,7.55328,92739.951771114
2004-05-27,7.53787,7.63041,7.53022,7.63041,185028.45659688
2004-05-28,7.56113,7.68438,7.55328,7.66888,186339.95177376
2004-05-31,7.63041,7.63041,7.58429,7.5995,18112.21865003
2004-06-01,7.66113,7.69203,7.63041,7.67663,69141.398715784
2004-06-02,7.69203,7.78447,7.68438,7.70744,93351.286176276
2004-06-03,7.70744,7.8616,7.70744,7.8616,129795.17685255
2004-06-04,7.90007,7.97729,7.8616,7.97729,128044.77492324
2004-06-07,7.97729,8.16925,7.97729,8.09299,128745.98071104
2004-06-08,8.13165,8.16925,8.05433,8.13165,56555.225081987
2004-06-09,8.13165,8.20868,8.09299,8.16925,151514.79100107
2004-06-11,8.20868,8.4014,8.20868,8.4014,36081.270097484
2004-06-14,8.36265,8.5548,8.36265,8.5548,526205.30548113
2004-06-15,8.63231,8.67116,8.5548,8.63231,568073.87461415
2004-06-16,8.67116,8.67116,8.47815,8.63231,776081.18973258
2004-06-17,8.63231,8.63231,8.47815,8.5169,284581.91319134
2004-06-18,8.32418,8.59355,8.32418,8.59355,214209.48553661
2004-06-21,8.5548,8.5548,8.4014,8.5548,49056.189712
2004-06-22,8.5169,8.63231,8.47815,8.5548,212728.69775522
2004-06-23,8.59355,8.82417,8.59355,8.70963,200948.23151694
2004-06-24,8.70963,8.78656,8.63231,8.70963,133611.57556648
2004-06-25,8.63231,8.70963,8.63231,8.70963,5371.382636808
2004-06-28,8.63231,8.70963,8.59355,8.63231,141419.93569532
2004-06-29,8.59355,8.82417,8.59355,8.74905,1220532.7974622
2004-06-30,8.70963,8.8636,8.70963,8.78656,151554.50161201
2004-07-01,8.63231,8.82417,8.63231,8.74905,24573.553055358
2004-07-02,8.74905,8.74905,8.59355,8.70963,51548.553056122
2004-07-05,8.63231,8.70963,8.59355,8.67116,478549.43731258
2004-07-06,8.5548,8.59355,8.47815,8.5169,110180.2250835
2004-07-07,8.5169,8.63231,8.5169,8.5169,9925.5627012456
2004-07-08,8.59355,8.63231,8.59355,8.63231,19007.797428191
2004-07-09,8.5169,8.63231,8.5169,8.5548,108958.60128926
2004-07-12,8.5169,8.67116,8.5169,8.5548,11871.382636992
2004-07-13,8.47815,8.63231,8.4014,8.47815,131249.83923201
2004-07-14,8.36265,8.43939,8.36265,8.43939,34421.784566891
2004-07-15,8.4014,8.4014,8.09299,8.16925,43970.096464267
2004-07-16,8.09299,8.16925,8.09299,8.16925,89276.768491273
2004-07-19,8.32418,8.32418,8.20868,8.24724,357433.11898118
2004-07-20,8.24724,8.24724,8.09299,8.24724,10482.556270393
2004-07-21,8.24724,8.36265,8.09299,8.24724,9484.5659166672
2004-07-22,8.24724,8.32418,8.16925,8.32418,13429.501608097
2004-07-23,8.20868,8.47815,8.20868,8.47815,86823.070742008
2004-07-26,8.5548,8.5548,8.4014,8.47815,347649.67846643
2004-07-27,8.47815,8.47815,8.4014,8.47815,159833.11897559
2004-07-28,8.4014,8.4014,8.4014,8.4014,202492.76527904
2004-07-29,8.20868,8.43939,8.20868,8.43939,1868.4887460336
2004-07-30,8.43939,8.43939,8.24724,8.4014,389.7909967956
2004-08-02,8.20868,8.4014,8.16925,8.4014,3464.228295918
2004-08-03,8.4014,8.43939,8.24724,8.43939,6968.1672027696
2004-08-04,8.28571,8.32418,8.20868,8.32418,14803.697749615
2004-08-05,8.32418,8.4014,8.32418,8.36265,60719.614149629
2004-08-06,8.4014,8.5548,8.4014,8.5169,102665.51447236
2004-08-09,8.32418,8.4014,8.24724,8.32418,11223.472669128
2004-08-10,8.4014,8.4014,8.24724,8.24724,15907.234727138
2004-08-11,8.20868,8.36265,7.8616,8.28571,34291.157557241
2004-08-12,8.24724,8.24724,8.09299,8.09299,3971.06109336
2004-08-13,8.09299,8.32418,7.97729,8.32418,110763.34405458
2004-08-16,8.36265,8.36265,8.13165,8.24724,57075.643088432
2004-08-17,8.32418,8.5548,8.24724,8.5548,598965.59487226
2004-08-18,8.5548,8.63231,8.5548,8.59355,22640.273312538
2004-08-19,8.5169,8.63231,8.5169,8.5169,22574.437299674
2004-08-20,8.5548,8.70963,8.47815,8.67116,82374.437301367
2004-08-23,8.67116,8.70963,8.63231,8.70963,47240.996785903
2004-08-24,8.74905,9.01747,8.74905,9.01747,155383.44051887
2004-08-25,9.05594,9.17019,8.8636,9.01747,314434.88746871
2004-08-26,9.05594,9.09555,8.94053,9.01747,63171.22186674
2004-08-27,8.90293,9.01747,8.90293,9.01747,1933.27974282
2004-08-30,9.09555,9.09555,9.01747,9.09555,337322.82959154
2004-08-31,9.09555,9.2879,9.09555,9.2879,844155.62703354
2004-09-01,9.2879,9.32617,9.21038,9.24962,142666.63987542
2004-09-02,9.24962,9.2879,9.24962,9.24962,147040.0321585
2004-09-03,9.24962,9.36445,9.24962,9.32617,17243.810289877
2004-09-06,9.17019,9.40368,9.17019,9.2879,10690.514469756
2004-09-07,9.24962,9.48024,9.24962,9.44196,20201.205788353
2004-09-08,9.32617,9.44196,9.24962,9.40368,11858.842444066
